MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
279.json	org.apache.commons.io.input.Tailer.run()	noCall	noCall	true	2664
866.json	org.apache.commons.io.output.LockableFileWriter.write(java.lang.String)	noCall	noCall	true	5833
575.json	org.apache.commons.io.monitor.FileAlterationObserver.getListeners()	noCall	noCall	true	3570
541.json	org.apache.commons.io.serialization.ValidatingObjectInputStream.accept(java.lang.String...)	noCall	noCall	true	787
875.json	org.apache.commons.io.output.ByteArrayOutputStream.write(byte[], int, int)	noCall	noCall	true	5399
168.json	org.apache.commons.io.FilenameUtils.getPath(java.lang.String)	noCall	noCall	true	5669
1078.json	org.apache.commons.io.FileUtils.copyFile(java.io.File, java.io.OutputStream)	noCall	noCall	true	2329
187.json	org.apache.commons.io.FilenameUtils.isExtension(java.lang.String, java.util.Collection<java.lang.String>)	noCall	noCall	true	4824
479.json	org.apache.commons.io.input.ReversedLinesFileReader.FilePart.createLeftOver()	null	org.apache.commons.io.input.ReversedLinesFileReader.FilePart.readLine()	true	2252
503.json	org.apache.commons.io.LineIterator.nextLine()	502.json	org.apache.commons.io.LineIterator.next()	true	4392
352.json	org.apache.commons.io.input.ObservableInputStream.read(byte[])	361.json	org.apache.commons.io.input.ObservableInputStream.consume()	true	563
125.json	org.apache.commons.io.EndianUtils.readSwappedInteger(java.io.InputStream)	248.json,130.json	org.apache.commons.io.input.SwappedDataInputStream.readInt(),org.apache.commons.io.EndianUtils.readSwappedFloat(java.io.InputStream)	true	5287
132.json	org.apache.commons.io.EndianUtils.readSwappedDouble(java.io.InputStream)	244.json	org.apache.commons.io.input.SwappedDataInputStream.readDouble()	true	5287
1097.json	org.apache.commons.io.FileUtils.forceMkdirParent(java.io.File)	921.json	org.apache.commons.io.output.DeferredFileOutputStream.thresholdReached()	true	1852
462.json	org.apache.commons.io.input.ProxyInputStream.handleIOException(java.io.IOException)	458.json,455.json,451.json,454.json,452.json,456.json,453.json	org.apache.commons.io.input.ProxyInputStream.reset(),org.apache.commons.io.input.ProxyInputStream.available(),org.apache.commons.io.input.ProxyInputStream.read(),org.apache.commons.io.input.ProxyInputStream.skip(long),org.apache.commons.io.input.ProxyInputStream.read(byte[]),org.apache.commons.io.input.ProxyInputStream.close(),org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)	true	3257
703.json	org.apache.commons.io.IOUtils.toByteArray(java.io.InputStream, int)	704.json	org.apache.commons.io.IOUtils.toByteArray(java.io.InputStream, long)	true	2471
487.json	org.apache.commons.io.FileSystemUtils.freeSpaceKb()	noCall	noCall	true	2872
130.json	org.apache.commons.io.EndianUtils.readSwappedFloat(java.io.InputStream)	245.json	org.apache.commons.io.input.SwappedDataInputStream.readFloat()	true	5287
520.json	org.apache.commons.io.comparator.PathFileComparator.compare(java.io.File, java.io.File)	noCall	noCall	true	3662
270.json	org.apache.commons.io.input.Tailer.create(java.io.File, org.apache.commons.io.input.TailerListener, long, boolean, boolean, int)	269.json,273.json	org.apache.commons.io.input.Tailer.create(java.io.File, org.apache.commons.io.input.TailerListener, long, boolean, int),org.apache.commons.io.input.Tailer.create(java.io.File, org.apache.commons.io.input.TailerListener, long, boolean, boolean)	true	2044
660.json	org.apache.commons.io.IOUtils.copyLarge(java.io.Reader, java.io.Writer)	655.json	org.apache.commons.io.IOUtils.copy(java.io.Reader, java.io.Writer)	true	4902
