MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
3520.json	com.facebook.places.internal.LocationPackageRequestParams.getBluetoothMaxScanResults()	3482.json	com.facebook.places.internal.BleScannerImpl.getScanResults()	true	594
1939.json	com.facebook.share.widget.JoinAppGroupDialog.registerCallbackImpl(com.facebook.internal.CallbackManagerImpl, com.facebook.FacebookCallback<com.facebook.share.widget.JoinAppGroupDialog.Result>)	noCall	noCall	true	1349
2184.json	com.facebook.ShareGraphRequest.createOpenGraphObject(com.facebook.share.model.ShareOpenGraphObject)	noCall	noCall	true	1180
1872.json	com.facebook.share.widget.AppInviteDialog.registerCallbackImpl(com.facebook.internal.CallbackManagerImpl, com.facebook.FacebookCallback<com.facebook.share.widget.AppInviteDialog.Result>)	noCall	noCall	true	1349
3346.json	com.facebook.login.widget.ProfilePictureView.setCropped(boolean)	noCall	noCall	false	2274
549.json	com.facebook.internal.FetchedAppSettingsManager.Anonymous-4e268d1a-06d6-48ba-9ded-0db68cecd480.run()	noCall	noCall	true	1341
29.json	com.facebook.FacebookSdk.isInitialized()	142.json,124.json	com.facebook.internal.Validate.sdkInitialized(),com.facebook.internal.AttributionIdentifiers.getAndroidAdvertiserId()	false	1349
3129.json	com.facebook.login.LoginClient.checkPermission(java.lang.String)	noCall	noCall	true	2182
3135.json	com.facebook.login.LoginClient.logAuthorizationMethodComplete(java.lang.String, com.facebook.login.LoginClient.Result, java.util.Map<java.lang.String, java.lang.String>)	3124.json	com.facebook.login.LoginClient.complete(com.facebook.login.LoginClient.Result)	true	1931
3407.json	com.facebook.login.widget.LoginButton.setToolTipStyle(com.facebook.login.widget.ToolTipPopup.Style)	noCall	noCall	true	1678
2017.json	com.facebook.internal.FacebookDialogBase.canShow(CONTENT)	noCall	noCall	true	1349
2773.json	com.facebook.share.model.ShareContent.Builder.setRef(java.lang.String)	noCall	noCall	true	1931
2486.json	com.facebook.share.internal.LikeActionController.Anonymous-a2e5b85a-b027-48cc-b5d5-9f0fcf90c534.onError(com.facebook.internal.AppCall, com.facebook.FacebookException)	noCall	noCall	true	1523
2034.json	com.facebook.internal.AppCall.getCallId()	1910.json,1911.json,null,null,2031.json,2909.json,2923.json,null,2924.json,2486.json,2112.json,null,null,null,null,2109.json,1912.json	com.facebook.share.widget.MessageDialog.NativeHandler.Anonymous-ce152a11-25f6-486c-9774-cb09101ae61f.getParameters(),com.facebook.share.widget.MessageDialog.NativeHandler.Anonymous-535308e3-7f2f-4f42-bdcf-f6ed39c1d547.getLegacyParameters(),com.facebook.share.widget.ShareDialog.NativeHandler.createAppCall(com.facebook.share.model.ShareContent),com.facebook.share.widget.ShareDialog.NativeHandler.Anonymous-7824e29a-cae4-4d42-9050-1fa89340de35.getParameters(),com.facebook.internal.AppCall.finishPendingCall(java.util.UUID, int),com.facebook.share.widget.ShareDialog.ShareStoryHandler.Anonymous-645e4933-3a49-405f-b64c-9a8259305766.getParameters(),com.facebook.share.widget.ShareDialog.ShareStoryHandler.Anonymous-28a60212-2286-4141-b7d0-b567d35a5832.getLegacyParameters(),com.facebook.share.widget.ShareDialog.CameraEffectHandler.createAppCall(com.facebook.share.model.ShareContent),com.facebook.share.widget.ShareDialog.ShareStoryHandler.createAppCall(com.facebook.share.model.ShareContent),com.facebook.share.internal.LikeActionController.Anonymous-a2e5b85a-b027-48cc-b5d5-9f0fcf90c534.onError(com.facebook.internal.AppCall, com.facebook.FacebookException),com.facebook.internal.DialogPresenter.setupAppCallForNativeDialog(com.facebook.internal.AppCall, com.facebook.internal.DialogPresenter.ParameterProvider, com.facebook.internal.DialogFeature),com.facebook.share.widget.ShareDialog.WebShareHandler.createAppCall(com.facebook.share.model.ShareContent),com.facebook.share.widget.ShareDialog.CameraEffectHandler.Anonymous-c7704b7a-81b7-4de5-a9d5-11bd35fd98a1.getLegacyParameters(),com.facebook.share.widget.ShareDialog.NativeHandler.Anonymous-7bdbab68-ba12-4258-899a-cd140a5fa8d8.getLegacyParameters(),com.facebook.share.widget.ShareDialog.CameraEffectHandler.Anonymous-b682bed0-e7f0-4379-bb3b-039336ee17d4.getParameters(),com.facebook.internal.DialogPresenter.setupAppCallForErrorResult(com.facebook.internal.AppCall, com.facebook.FacebookException),com.facebook.share.widget.MessageDialog.NativeHandler.createAppCall(com.facebook.share.model.ShareContent)	false	1931
3695.json	com.facebook.fbloginsample.PostFeedActivity.onGetPostsCompleted(java.util.List<com.facebook.fbloginsample.entities.Post>)	noCall	noCall	true	389
2311.json	com.facebook.share.internal.LikeDialog.show(com.facebook.share.internal.LikeContent)	noCall	noCall	false	389
2284.json	com.facebook.share.internal.ShareFeedContent.Builder.setLinkDescription(java.lang.String)	noCall	noCall	true	1244
1204.json	com.facebook.appevents.internal.ActivityLifecycleTracker.getCurrentDeviceSessionID()	null,null,1169.json	com.facebook.appevents.internal.ActivityLifecycleTracker.Anonymous-402ea887-4d99-4353-b4f2-c216781ab91d.run(),com.facebook.appevents.internal.ActivityLifecycleTracker.checkCodelessSession(java.lang.String),com.facebook.appevents.codeless.ViewIndexer.buildAppIndexingRequest(java.lang.String, com.facebook.AccessToken, java.lang.String, java.lang.String)	true	45
2535.json	com.facebook.share.internal.LikeActionController.AbstractRequestWrapper.setRequest(com.facebook.GraphRequest)	noCall	noCall	true	1523
2813.json	com.facebook.share.model.ShareMessengerGenericTemplateElement.getSubtitle()	noCall	noCall	true	363
1975.json	com.facebook.share.ShareApi.Anonymous-6de3f6a1-5ee8-4b15-9862-4d2672f80e3d.mapValue(java.lang.Object, com.facebook.internal.CollectionMapper.OnMapValueCompleteListener)	noCall	noCall	true	1349
749.json	com.facebook.GraphRequestAsyncTask.doInBackground(java.lang.Void...)	noCall	noCall	true	2378
1499.json	com.facebook.GraphRequestBatch.size()	1392.json,1401.json,1422.json,1406.json	com.facebook.GraphRequest.toHttpConnection(com.facebook.GraphRequestBatch),com.facebook.GraphRequest.executeConnectionAndWait(java.net.HttpURLConnection, com.facebook.GraphRequestBatch),com.facebook.GraphRequest.serializeToUrlConnection(com.facebook.GraphRequestBatch, java.net.HttpURLConnection),com.facebook.GraphRequest.runCallbacks(com.facebook.GraphRequestBatch, java.util.List<com.facebook.GraphResponse>)	true	2342
2062.json	com.facebook.internal.WebDialog.getWebView()	noCall	noCall	true	1509
2821.json	com.facebook.share.model.ShareMessengerGenericTemplateElement.Builder.setTitle(java.lang.String)	noCall	noCall	true	363
1820.json	com.facebook.share.model.AppInviteContent.Builder.build()	3855.json	com.example.rps.RpsFragment.presentAppInviteDialog()	true	2254
3819.json	com.example.rps.MainActivity.onResumeFragments()	noCall	noCall	true	1931
3782.json	com.example.hellofacebook.HelloFacebookSampleActivity.Anonymous-c34bea4b-758e-4706-b600-f6b6a1aa2cfe.showAlert()	noCall	noCall	true	2258
2447.json	com.facebook.share.internal.MessengerShareContentUtility.getWebviewHeightRatioString(com.facebook.share.model.ShareMessengerURLActionButton.WebviewHeightRatio)	noCall	noCall	true	363
33.json	com.facebook.FacebookSdk.addLoggingBehavior(com.facebook.LoggingBehavior)	noCall	noCall	false	2353
1888.json	com.facebook.share.widget.ShareButtonBase.registerCallback(com.facebook.CallbackManager, com.facebook.FacebookCallback<com.facebook.share.Sharer.Result>)	noCall	noCall	true	1349
2275.json	com.facebook.share.internal.ShareFeedContent.getMediaSource()	noCall	noCall	true	1244
1025.json	com.facebook.appevents.AppEvent.md5Checksum(java.lang.String)	1024.json	com.facebook.appevents.AppEvent.calculateChecksum()	false	832
3546.json	com.facebook.places.internal.WifiScannerImpl.getCachedScanResults()	3552.json,3551.json	com.facebook.places.internal.WifiScannerImpl.getActiveScanResults(),com.facebook.places.internal.WifiScannerImpl.getWifiScans()	true	594
2.json	com.facebook.FacebookGraphResponseException.toString()	noCall	noCall	true	1313
2726.json	com.facebook.share.model.ShareOpenGraphContent.describeContents()	noCall	noCall	true	2232
2827.json	com.facebook.share.model.ShareMessengerGenericTemplateElement.Builder.readFrom(com.facebook.share.model.ShareMessengerGenericTemplateElement)	noCall	noCall	true	363
1147.json	com.facebook.appevents.codeless.CodelessLoggingEventListener.AutoLoggingAccessibilityDelegate.logEvent()	noCall	noCall	false	168
3376.json	com.facebook.login.widget.ToolTipPopup.unregisterObserver()	3374.json,3375.json	com.facebook.login.widget.ToolTipPopup.dismiss(),com.facebook.login.widget.ToolTipPopup.registerObserver()	true	1678
3481.json	com.facebook.places.internal.BleScannerImpl.Anonymous-acc926ae-ed93-4cd0-bcab-88e72c2fd486.compare(com.facebook.places.internal.BluetoothScanResult, com.facebook.places.internal.BluetoothScanResult)	noCall	noCall	true	594
