MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1057.json	me.prettyprint.cassandra.serializers.DynamicCompositeSerializer.get()	null,null,2487.json,2486.json	me.prettyprint.cassandra.serializers.SerializerTypeInferer.getSerializer(java.lang.Class<?>),me.prettyprint.cassandra.serializers.SerializerTypeInferer.getSerializer(java.lang.Object),me.prettyprint.cassandra.service.template.ColumnFamilyUpdater.setDynamicComposite(N, me.prettyprint.hector.api.beans.DynamicComposite, int),me.prettyprint.cassandra.service.template.ColumnFamilyUpdater.setDynamicComposite(N, me.prettyprint.hector.api.beans.DynamicComposite)	true	729
572.json	me.prettyprint.hector.api.locking.HLockManagerConfigurator.setLockManagerCF(java.lang.String)	noCall	noCall	true	379
2818.json	me.prettyprint.cassandra.service.MultigetSliceIterator.getThreadCountUsed()	noCall	noCall	true	129
2037.json	me.prettyprint.cassandra.service.spring.HectorTemplateImpl.createSubCountQuery(me.prettyprint.hector.api.Serializer<K>, me.prettyprint.hector.api.Serializer<SN>, me.prettyprint.hector.api.Serializer<N>)	noCall	noCall	true	1059
491.json	me.prettyprint.hector.api.beans.AbstractComposite.compareTo(me.prettyprint.hector.api.beans.AbstractComposite)	noCall	noCall	true	860
1202.json	me.prettyprint.cassandra.locking.HLockManagerImpl.smartWait(long)	1198.json	me.prettyprint.cassandra.locking.HLockManagerImpl.acquire(me.prettyprint.hector.api.locking.HLock, long)	true	379
953.json	me.prettyprint.cassandra.connection.ConcurrentHClientPool.getNumIdle()	958.json	me.prettyprint.cassandra.connection.ConcurrentHClientPool.getStatusAsString()	true	1023
1513.json	me.prettyprint.cassandra.model.thrift.ThriftSuperSliceQuery.setColumnFamily(java.lang.String)	noCall	noCall	true	1045
1093.json	me.prettyprint.cassandra.serializers.BigDecimalSerializer.toByteArray(java.math.BigDecimal)	1092.json,1090.json	me.prettyprint.cassandra.serializers.BigDecimalSerializer.toByteBuffer(java.math.BigDecimal),me.prettyprint.cassandra.serializers.BigDecimalSerializer.toBytes(java.math.BigDecimal)	true	268
955.json	me.prettyprint.cassandra.connection.ConcurrentHClientPool.getMaxActive()	noCall	noCall	true	1016
1565.json	me.prettyprint.cassandra.model.thrift.AbstractThriftClientWrapper.recv_system_update_column_family()	noCall	noCall	true	918
487.json	me.prettyprint.hector.api.beans.AbstractComposite.getComparatorsByPosition()	noCall	noCall	true	859
336.json	me.prettyprint.hector.api.factory.HFactory.createKeyspace(java.lang.String, me.prettyprint.hector.api.Cluster, me.prettyprint.hector.api.ConsistencyLevelPolicy, me.prettyprint.cassandra.service.FailoverPolicy, java.util.Map<java.lang.String, java.lang.String>)	noCall	noCall	true	970
205.json	me.prettyprint.hom.EntityManagerFactoryImpl.getCache()	noCall	noCall	true	344
923.json	me.prettyprint.cassandra.connection.LatencyAwareHClientPool.clear()	null	me.prettyprint.cassandra.connection.DynamicLoadBalancingPolicy.Anonymous-b1ff5ad2-c13e-4b62-85cc-ab0edd14319f.run()	true	880
2453.json	me.prettyprint.cassandra.service.template.AbstractTemplateUpdater.getCurrentMutator()	2445.json,2602.json	me.prettyprint.cassandra.service.template.SuperCfTemplate.update(me.prettyprint.cassandra.service.template.SuperCfUpdater<K, SN, N>),me.prettyprint.cassandra.service.template.AbstractColumnFamilyTemplate.executeIfNotBatched(me.prettyprint.cassandra.service.template.AbstractTemplateUpdater<K, N>)	true	658
98.json	me.prettyprint.hom.PropertyMappingDefinition.toString()	noCall	noCall	true	954
471.json	me.prettyprint.hector.api.beans.AbstractComposite.Component.getBytes(me.prettyprint.hector.api.Serializer<A>)	522.json,472.json	me.prettyprint.hector.api.beans.AbstractComposite.serialize(),me.prettyprint.hector.api.beans.AbstractComposite.Component.getBytes()	true	852
1549.json	me.prettyprint.cassandra.model.thrift.AbstractThriftClientWrapper.recv_get()	noCall	noCall	true	918
498.json	me.prettyprint.hector.api.beans.AbstractComposite.clear()	noCall	noCall	true	860
1924.json	me.prettyprint.cassandra.service.ColumnFamilyRowCopy.setDestinationKey(K)	noCall	noCall	true	340
466.json	me.prettyprint.hector.api.beans.AbstractComposite.ComponentEquality.toByte()	522.json	me.prettyprint.hector.api.beans.AbstractComposite.serialize()	true	851
2605.json	me.prettyprint.cassandra.service.template.AbstractColumnFamilyTemplate.deleteColumn(K, N)	noCall	noCall	true	866
207.json	me.prettyprint.hom.EntityManagerImpl.initialize(me.prettyprint.hom.annotations.AnnotationScanner, java.lang.String[])	noCall	noCall	true	941
106.json	me.prettyprint.hom.EntityManagerConfigurator.getClusterName()	noCall	noCall	true	937
920.json	me.prettyprint.cassandra.connection.LatencyAwareHClientPool.p(double)	919.json	me.prettyprint.cassandra.connection.LatencyAwareHClientPool.score()	true	880
1523.json	me.prettyprint.cassandra.model.thrift.AbstractThriftClientWrapper.describe_splits(java.lang.String, java.lang.String, java.lang.String, int)	noCall	noCall	true	918
