MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1018.json	org.hibernate.search.engine.impl.MutableSearchFactoryState.getProgrammaticMapping()	noCall	noCall	true	1659
6719.json	org.hibernate.search.jmx.impl.IndexControl.setNumberOfObjectLoadingThreads(int)	noCall	noCall	true	2192
3891.json	org.hibernate.search.util.impl.ConcurrentReferenceHashMap.replace(K, V, V)	noCall	noCall	true	780
3438.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addId(java.io.Serializable)	noCall	noCall	true	1822
2919.json	org.hibernate.search.cfg.IndexEmbeddedMapping.prefix(java.lang.String)	noCall	noCall	true	2463
240.json	org.hibernate.search.bridge.impl.NumericBridgeProvider.encodeWithStringFieldByDefault(java.lang.Class<?>)	239.json	org.hibernate.search.bridge.impl.NumericBridgeProvider.provideFieldBridge(org.hibernate.search.bridge.impl.ExtendedBridgeProvider.ExtendedBridgeProviderContext)	true	574
5847.json	org.hibernate.search.elasticsearch.impl.ElasticsearchIndexManager.getIndexName(java.lang.String, java.util.Properties)	noCall	noCall	false	185
6759.json	org.hibernate.search.impl.FullTextSessionImpl.purge(java.lang.Class<T>, java.io.Serializable)	noCall	noCall	true	3279
3165.json	org.hibernate.search.cfg.EntitySpatialMapping.bottomSpatialHashLevel(int)	noCall	noCall	true	1520
2057.json	org.hibernate.search.query.engine.impl.FacetManagerImpl.FacetSelectionImpl.selectFacets(org.hibernate.search.query.facet.FacetCombine, org.hibernate.search.query.facet.Facet...)	2056.json	org.hibernate.search.query.engine.impl.FacetManagerImpl.FacetSelectionImpl.selectFacets(org.hibernate.search.query.facet.Facet...)	true	1984
1432.json	org.hibernate.search.backend.impl.lucene.LuceneBackendResources.getIndexName()	noCall	noCall	true	2823
3007.json	org.hibernate.search.cfg.FieldMapping.termVector(org.hibernate.search.annotations.TermVector)	2846.json	org.hibernate.search.cfg.FieldBridgeMapping.termVector(org.hibernate.search.annotations.TermVector)	true	2691
4346.json	org.hibernate.search.filter.StandardFilterKey.equals(java.lang.Object)	noCall	noCall	true	3292
3308.json	org.hibernate.search.indexes.spi.DirectoryBasedIndexManager.getSerializer()	noCall	noCall	true	1836
3464.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addOffsetAttribute(int, int)	noCall	noCall	true	1822
3047.json	org.hibernate.search.cfg.FullTextFilterDefMapping.entity(java.lang.Class<?>)	noCall	noCall	true	2463
1997.json	org.hibernate.search.query.engine.impl.AbstractHSQuery.getTimeoutManager()	1898.json,1895.json,1905.json	org.hibernate.search.query.engine.impl.LuceneHSQuery.queryResultSize(),org.hibernate.search.query.engine.impl.LuceneHSQuery.queryEntityInfos(),org.hibernate.search.query.engine.impl.LuceneHSQuery.getQueryHits(org.hibernate.search.query.engine.impl.LazyQueryState, java.lang.Integer)	true	1995
1901.json	org.hibernate.search.query.engine.impl.LuceneHSQuery.clearCachedResults()	noCall	noCall	false	1984
2509.json	org.hibernate.search.query.dsl.impl.PhraseQueryContext.getSlop()	2387.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsPhraseQueryBuilder.createQuery(org.hibernate.search.query.dsl.impl.FieldContext)	true	2275
6352.json	org.hibernate.search.hcore.util.impl.HibernateHelper.getClass(T)	null,6761.json,null	org.hibernate.search.engine.impl.HibernateStatelessInitializer.getClass(T),org.hibernate.search.impl.FullTextSessionImpl.index(T),org.hibernate.search.hcore.util.impl.HibernateHelper.getClassFromWork(org.hibernate.search.backend.spi.Work)	false	2244
105.json	org.hibernate.search.bridge.builtin.TikaBridge.NoopTikaMetadataProcessor.prepareMetadata()	noCall	noCall	true	1444
3701.json	org.hibernate.search.util.configuration.impl.MaskedProperty.remove(java.lang.Object)	noCall	noCall	true	3007
2594.json	org.hibernate.search.query.dsl.impl.ConnectedFacetRangeEndContext.above(T)	noCall	noCall	true	1982
3042.json	org.hibernate.search.cfg.FullTextFilterDefMapping.cache(org.hibernate.search.annotations.FilterCacheModeType)	noCall	noCall	true	2463
654.json	org.hibernate.search.engine.metadata.impl.PropertyMetadata.Builder.addBridgeDefinedField(org.hibernate.search.engine.metadata.impl.BridgeDefinedField)	554.json	org.hibernate.search.engine.metadata.impl.AnnotationMetadataProvider.bindFieldAnnotation(java.lang.String, org.hibernate.search.annotations.Field, org.hibernate.search.engine.metadata.impl.NumericFieldsConfiguration, java.util.Set<org.hibernate.search.annotations.Facet>, org.hibernate.search.engine.metadata.impl.TypeMetadata.Builder, org.hibernate.search.engine.metadata.impl.PropertyMetadata.Builder, org.hibernate.search.engine.impl.ConfigContext, org.hibernate.search.engine.metadata.impl.ParseContext)	false	185
6502.json	org.hibernate.search.query.hibernate.impl.LoaderHelper.isObjectNotFoundException(java.lang.RuntimeException)	noCall	noCall	false	3146
2798.json	org.hibernate.search.cfg.CalendarBridgeMapping.entity(java.lang.Class<?>)	noCall	noCall	true	2463
4376.json	org.hibernate.search.filter.impl.FullTextFilterImpl.getParameter(java.lang.String)	noCall	noCall	true	3292
5466.json	org.hibernate.search.elasticsearch.impl.ElasticsearchHSQueryImpl.IndexSearcher.convertQueryHit(com.google.gson.JsonObject)	5417.json,null	org.hibernate.search.elasticsearch.impl.ElasticsearchHSQueryImpl.queryEntityInfos(),org.hibernate.search.elasticsearch.impl.ElasticsearchHSQueryImpl.ElasticsearchDocumentExtractor.runSearch()	true	254
3106.json	org.hibernate.search.cfg.PropertyDescriptor.getCalendarBridge()	1069.json	org.hibernate.search.engine.impl.MappingModelMetadataProvider.MappingModelAnnotationReader.createCalendarBridge(org.hibernate.search.cfg.PropertyDescriptor)	true	2463
3276.json	org.hibernate.search.store.impl.DirectoryProviderHelper.getSourceDirectoryPath(java.lang.String, java.util.Properties, boolean)	null	org.hibernate.search.store.impl.DirectoryProviderHelper.getSourceDirectory(java.lang.String, java.util.Properties, boolean)	true	3292
4250.json	org.hibernate.search.util.logging.impl.LoggerInfoStream.message(java.lang.String, java.lang.String)	noCall	noCall	true	703
1550.json	org.hibernate.search.backend.impl.BatchedQueueingProcessor.prepareWorks(org.hibernate.search.backend.impl.WorkQueue)	1549.json	org.hibernate.search.backend.impl.BatchedQueueingProcessor.add(org.hibernate.search.backend.spi.Work, org.hibernate.search.backend.impl.WorkQueue)	true	3292
5876.json	org.hibernate.search.elasticsearch.impl.ElasticsearchNestingContextFactoryProvider.getNestingContextFactory()	noCall	noCall	true	176
3310.json	org.hibernate.search.indexes.spi.DirectoryBasedIndexManager.requestSerializer()	3308.json	org.hibernate.search.indexes.spi.DirectoryBasedIndexManager.getSerializer()	true	94
2042.json	org.hibernate.search.query.engine.impl.DocumentExtractorImpl.getMaxIndex()	noCall	noCall	true	1995
2417.json	org.hibernate.search.query.dsl.impl.RangeQueryContext.setExcludeFrom(boolean)	2524.json,2516.json	org.hibernate.search.query.dsl.impl.ConnectedMultiFieldsRangeQueryBuilder.excludeLimit(),org.hibernate.search.query.dsl.impl.ConnectedRangeMatchingContext.ConnectedFromRangeContext.excludeLimit()	true	2280
6689.json	org.hibernate.search.cfg.impl.DelegatingClassLoaderService.locateResourceStream(java.lang.String)	noCall	noCall	true	893
6568.json	org.hibernate.search.query.hibernate.impl.ObjectLoaderBuilder.timeoutManager(org.hibernate.search.query.engine.spi.TimeoutManager)	noCall	noCall	true	2122
5873.json	org.hibernate.search.elasticsearch.impl.ElasticsearchIndexManager.toString()	noCall	noCall	true	176
3639.json	org.hibernate.search.jmx.impl.JMXRegistrar.unRegisterMBean(java.lang.String)	948.json,3664.json,913.json	org.hibernate.search.engine.impl.ImmutableSearchFactory.registerMBeans(),org.hibernate.search.jmx.impl.JMXRegistrar.IndexingProgressMonitor.indexingCompleted(),org.hibernate.search.engine.impl.ImmutableSearchFactory.close()	false	2192
