MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
497.json	com.github.javaparser.printer.PrettyPrintVisitor.visit(com.github.javaparser.ast.stmt.ReturnStmt, java.lang.Void)	noCall	noCall	true	2369
1854.json	com.github.javaparser.ast.visitor.ObjectIdentityEqualsVisitor.visit(com.github.javaparser.ast.type.UnionType, com.github.javaparser.ast.visitor.Visitable)	noCall	noCall	true	251
2635.json	com.github.javaparser.ast.nodeTypes.NodeWithParameters.hasParametersOfType(java.lang.Class<?>...)	noCall	noCall	true	448
6802.json	com.github.javaparser.symbolsolver.javassistmodel.JavassistInterfaceDeclaration.solveSymbolForFQN(java.lang.String, com.github.javaparser.symbolsolver.model.resolution.TypeSolver, java.lang.String)	6801.json	com.github.javaparser.symbolsolver.javassistmodel.JavassistInterfaceDeclaration.solveSymbol(java.lang.String, com.github.javaparser.symbolsolver.model.resolution.TypeSolver)	true	188
5722.json	com.github.javaparser.symbolsolver.resolution.typeinference.constraintformulas.MethodReferenceThrowsCompatibleWithType.toString()	noCall	noCall	true	220
492.json	com.github.javaparser.printer.PrettyPrintVisitor.visit(com.github.javaparser.ast.stmt.SwitchStmt, java.lang.Void)	noCall	noCall	true	2369
6609.json	com.github.javaparser.symbolsolver.reflectionmodel.ReflectionClassDeclaration.object()	noCall	noCall	true	886
3138.json	com.github.javaparser.ast.modules.ModuleDeclaration.accept(com.github.javaparser.ast.visitor.GenericVisitor<R, A>, A)	3149.json,1264.json,1166.json,965.json,1364.json,868.json	com.github.javaparser.ast.modules.ModuleDeclaration.clone(),com.github.javaparser.ast.visitor.GenericVisitorAdapter.visit(com.github.javaparser.ast.CompilationUnit, A),com.github.javaparser.ast.visitor.ModifierVisitor.visit(com.github.javaparser.ast.CompilationUnit, A),com.github.javaparser.ast.visitor.NoCommentHashCodeVisitor.visit(com.github.javaparser.ast.CompilationUnit, java.lang.Void),com.github.javaparser.ast.visitor.HashCodeVisitor.visit(com.github.javaparser.ast.CompilationUnit, java.lang.Void),com.github.javaparser.ast.visitor.GenericListVisitorAdapter.visit(com.github.javaparser.ast.CompilationUnit, A)	true	424
5489.json	com.github.javaparser.symbolsolver.logic.FunctionalInterfaceLogic.getFunctionalMethod(com.github.javaparser.resolution.types.ResolvedType)	5717.json,6328.json,6329.json,5491.json,6470.json	com.github.javaparser.symbolsolver.resolution.typeinference.TypeHelper.getFunctionType(com.github.javaparser.resolution.types.ResolvedType),com.github.javaparser.symbolsolver.javaparsermodel.TypeExtractor.visit(com.github.javaparser.ast.expr.LambdaExpr, java.lang.Boolean),com.github.javaparser.symbolsolver.javaparsermodel.TypeExtractor.visit(com.github.javaparser.ast.expr.MethodReferenceExpr, java.lang.Boolean),com.github.javaparser.symbolsolver.logic.FunctionalInterfaceLogic.isFunctionalInterfaceType(com.github.javaparser.resolution.types.ResolvedType),com.github.javaparser.symbolsolver.javaparsermodel.contexts.LambdaExprContext.solveSymbolAsValue(java.lang.String, com.github.javaparser.symbolsolver.model.resolution.TypeSolver)	true	893
1283.json	com.github.javaparser.ast.visitor.GenericVisitorAdapter.visit(com.github.javaparser.ast.expr.IntegerLiteralExpr, A)	noCall	noCall	true	2369
5878.json	com.github.javaparser.symbolsolver.javaparser.Navigator.findNameExpression(com.github.javaparser.ast.Node, java.lang.String)	noCall	noCall	true	1000
