MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
5937.json	org.eclipse.jgit.dircache.BaseDirCacheEditor.fastKeep(int, int)	5948.json,6006.json	org.eclipse.jgit.dircache.DirCacheEditor.applyEdits(),org.eclipse.jgit.dircache.DirCacheBuilder.keep(int, int)	true	3176
4886.json	org.eclipse.jgit.internal.storage.file.ObjectDirectoryInserter.newTempFile()	4883.json,4884.json	org.eclipse.jgit.internal.storage.file.ObjectDirectoryInserter.toTemp(org.eclipse.jgit.util.sha1.SHA1, int, long, java.io.InputStream),org.eclipse.jgit.internal.storage.file.ObjectDirectoryInserter.toTemp(int, byte[], int, int)	true	2833
6972.json	org.eclipse.jgit.api.CherryPickResult.CherryPickStatus.toString()	noCall	noCall	true	2636
2419.json	org.eclipse.jgit.transport.PackParser.use(int)	2406.json,2457.json,2409.json,2400.json,2456.json,2407.json	org.eclipse.jgit.transport.PackParser.readPackHeader(),org.eclipse.jgit.transport.PackParser.InflaterStream.close(),org.eclipse.jgit.transport.PackParser.indexOneObject(),org.eclipse.jgit.transport.PackParser.readObjectHeader(org.eclipse.jgit.transport.PackParser.ObjectTypeAndSize),org.eclipse.jgit.transport.PackParser.InflaterStream.read(byte[], int, int),org.eclipse.jgit.transport.PackParser.readPackFooter()	true	3176
8628.json	org.eclipse.jgit.util.time.MonotonicSystemClock.Anonymous-9469b5e0-388b-4f34-b8e8-c0d52a2c7d52.blockUntil(java.time.Duration)	noCall	noCall	true	565
7088.json	org.eclipse.jgit.api.Git.submoduleDeinit()	noCall	noCall	true	164
2291.json	org.eclipse.jgit.transport.FetchHeadRecord.write(java.io.Writer)	1958.json	org.eclipse.jgit.transport.FetchProcess.updateFETCH_HEAD(org.eclipse.jgit.transport.FetchResult)	true	3176
6463.json	org.eclipse.jgit.blame.BlameGenerator.getSourceEnd()	null,null	org.eclipse.jgit.api.blame.BlameGeneratorTest.testBoundLineDelete(),org.eclipse.jgit.api.blame.BlameGeneratorTest.testRenamedBoundLineDelete()	true	2567
3064.json	org.eclipse.jgit.internal.storage.reftable.ReftableReader.ObjCursorImpl.initScan()	3063.json,3038.json	org.eclipse.jgit.internal.storage.reftable.ReftableReader.ObjCursorImpl.initSeek(),org.eclipse.jgit.internal.storage.reftable.ReftableReader.byObjectId(org.eclipse.jgit.lib.AnyObjectId)	true	297
6038.json	org.eclipse.jgit.dircache.DirCacheCheckout.setFailOnConflict(boolean)	7266.json,null,7438.json,6812.json,7195.json,7471.json,7237.json,7020.json,7422.json,null,null,7385.json,null,7436.json	org.eclipse.jgit.api.SubmoduleUpdateCommand.call(),org.eclipse.jgit.api.RebaseCommandTest.checkoutCommit(org.eclipse.jgit.revwalk.RevCommit),org.eclipse.jgit.api.RebaseCommand.checkoutCommit(java.lang.String, org.eclipse.jgit.revwalk.RevCommit),org.eclipse.jgit.api.RevertCommand.call(),org.eclipse.jgit.api.CherryPickCommand.call(),org.eclipse.jgit.api.CheckoutCommand.call(),org.eclipse.jgit.api.StashApplyCommand.call(),org.eclipse.jgit.api.ResetCommand.checkoutIndex(org.eclipse.jgit.lib.ObjectId),org.eclipse.jgit.api.RebaseCommand.checkoutCurrentHead(),org.eclipse.jgit.lib.DirCacheCheckoutTest.resetHardAndCount(org.eclipse.jgit.revwalk.RevCommit),org.eclipse.jgit.lib.DirCacheCheckoutTest.resetHard(org.eclipse.jgit.revwalk.RevCommit),org.eclipse.jgit.api.MergeCommand.call(),org.eclipse.jgit.junit.RepositoryTestCase.checkoutBranch(java.lang.String),org.eclipse.jgit.api.RebaseCommand.abort(org.eclipse.jgit.api.RebaseResult)	true	2844
5060.json	org.eclipse.jgit.internal.storage.pack.DeltaTask.add(org.eclipse.jgit.internal.storage.pack.DeltaTask.Slice)	5055.json	org.eclipse.jgit.internal.storage.pack.DeltaTask.Block.partitionTasks()	true	1880
2597.json	org.eclipse.jgit.transport.BaseReceivePack.getClientShallowCommits()	2617.json	org.eclipse.jgit.transport.BaseReceivePack.needCheckConnectivity()	true	1383
5615.json	org.eclipse.jgit.revwalk.DepthWalk.RevWalk.toObjectWalkWithSameObjects()	noCall	noCall	true	674
8590.json	org.eclipse.jgit.util.SystemReader.Default.openSystemConfig(org.eclipse.jgit.lib.Config, org.eclipse.jgit.util.FS)	noCall	noCall	true	2717
9478.json	org.eclipse.jgit.lib.SubmoduleConfig.FetchRecurseSubmodulesMode.toConfigValue()	null	org.eclipse.jgit.lib.SubmoduleConfigTest.fetchRecurseToConfigValue()	true	463
5349.json	org.eclipse.jgit.revwalk.RevWalk.isMergedInto(org.eclipse.jgit.revwalk.RevCommit, org.eclipse.jgit.revwalk.RevCommit)	7399.json,9551.json,7428.json,2094.json,null,2621.json,280.json,7433.json,1852.json,6953.json,5691.json,2743.json,7385.json	org.eclipse.jgit.api.RebaseCommand.call(),org.eclipse.jgit.lib.RefUpdate.updateImpl(org.eclipse.jgit.revwalk.RevWalk, org.eclipse.jgit.lib.RefUpdate.Store),org.eclipse.jgit.api.RebaseCommand.initFilesAndRewind(),org.eclipse.jgit.transport.PushProcess.prepareRemoteUpdates(),org.eclipse.jgit.revwalk.RevWalkMergedIntoTest.testOldCommitWalk(),org.eclipse.jgit.transport.BaseReceivePack.validateCommands(),org.eclipse.jgit.pgm.Merge.isMergedInto(org.eclipse.jgit.lib.Ref, org.eclipse.jgit.lib.AnyObjectId),org.eclipse.jgit.api.RebaseCommand.tryFastForward(org.eclipse.jgit.revwalk.RevCommit),org.eclipse.jgit.transport.ReceiveCommand.updateType(org.eclipse.jgit.revwalk.RevWalk),org.eclipse.jgit.api.DeleteBranchCommand.call(),org.eclipse.jgit.revwalk.RevWalkUtils.findBranchesReachableFrom(org.eclipse.jgit.revwalk.RevCommit, org.eclipse.jgit.revwalk.RevWalk, java.util.Collection<org.eclipse.jgit.lib.Ref>),org.eclipse.jgit.internal.ketch.LagCheck.check(org.eclipse.jgit.lib.ObjectId, org.eclipse.jgit.transport.ReceiveCommand),org.eclipse.jgit.api.MergeCommand.call()	true	3176
2575.json	org.eclipse.jgit.transport.BaseReceivePack.setTimeout(int)	null	org.eclipse.jgit.transport.Daemon.Anonymous-5c6dde27-6f03-413e-abe5-3ff82e0f92a7.create(org.eclipse.jgit.transport.DaemonClient, org.eclipse.jgit.lib.Repository)	true	3176
4358.json	org.eclipse.jgit.internal.storage.file.WindowCursor.pin(org.eclipse.jgit.internal.storage.file.PackFile, long)	4354.json,4351.json,4353.json,4122.json,4355.json	org.eclipse.jgit.internal.storage.file.WindowCursor.inflate(org.eclipse.jgit.internal.storage.file.PackFile, long, byte[], boolean),org.eclipse.jgit.internal.storage.file.WindowCursor.copy(org.eclipse.jgit.internal.storage.file.PackFile, long, byte[], int, int),org.eclipse.jgit.internal.storage.file.WindowCursor.copyPackAsIs(org.eclipse.jgit.internal.storage.file.PackFile, long, org.eclipse.jgit.internal.storage.pack.PackOutputStream),org.eclipse.jgit.internal.storage.file.PackFile.copyPackAsIs(org.eclipse.jgit.internal.storage.pack.PackOutputStream, org.eclipse.jgit.internal.storage.file.WindowCursor),org.eclipse.jgit.internal.storage.file.WindowCursor.quickCopy(org.eclipse.jgit.internal.storage.file.PackFile, long, long)	true	3176
541.json	org.eclipse.jgit.junit.http.RecordingLogger.debug(java.lang.String, java.lang.Object, java.lang.Object)	noCall	noCall	true	3070
8432.json	org.eclipse.jgit.util.FS.isSymLink(java.io.File)	7351.json,null	org.eclipse.jgit.api.CleanCommand.call(),org.eclipse.jgit.gitrepo.RepoCommandSymlinkTest.testLinkFileBare()	true	1864
6244.json	org.eclipse.jgit.revplot.PlotCommitList.source(org.eclipse.jgit.revwalk.RevWalk)	null,null,null,null,null,null,null,null,null,null,null,null,128.json,null,null,null,null	org.eclipse.jgit.revplot.PlotCommitListTest.testEgitHistory(),org.eclipse.jgit.revplot.PlotCommitListTest.testBug419359(),org.eclipse.jgit.revplot.PlotCommitListTest.testMergeBlockedByOther(),org.eclipse.jgit.revplot.PlotCommitListTest.testBug300282_1(),org.eclipse.jgit.revplot.PlotCommitListTest.test2SideBranches(),org.eclipse.jgit.revplot.PlotCommitListTest.testTwoRoots2(),org.eclipse.jgit.revplot.PlotCommitListTest.testSideBranch(),org.eclipse.jgit.revplot.PlotCommitListTest.testTwoRoots1(),org.eclipse.jgit.revplot.PlotCommitListTest.testMergeBlockedBySelf(),org.eclipse.jgit.revplot.PlotCommitListTest.testDanglingCommitShouldContinueLane(),org.eclipse.jgit.revplot.PlotCommitListTest.testMultipleMerges(),org.eclipse.jgit.revplot.PlotCommitListTest.testBug368927(),org.eclipse.jgit.pgm.Glog.walkLoop(),org.eclipse.jgit.revplot.AbstractPlotRendererTest.createCommitList(org.eclipse.jgit.lib.ObjectId),org.eclipse.jgit.revplot.PlotCommitListTest.testDuplicateParents(),org.eclipse.jgit.revplot.PlotCommitListTest.testMerged(),org.eclipse.jgit.revplot.PlotCommitListTest.testLinear()	true	3176
6795.json	org.eclipse.jgit.events.WorkingTreeModifiedEvent.dispatch(org.eclipse.jgit.events.WorkingTreeModifiedListener)	noCall	noCall	true	299
28.json	org.eclipse.jgit.awtui.AWTPlotRenderer.drawCommitDot(int, int, int, int)	noCall	noCall	true	3176
2408.json	org.eclipse.jgit.transport.PackParser.endInput()	2394.json	org.eclipse.jgit.transport.PackParser.parse(org.eclipse.jgit.lib.ProgressMonitor, org.eclipse.jgit.lib.ProgressMonitor)	true	3176
