MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
2003.json	com.sun.jna.platform.win32.COM.TypeInfoUtil.getVarDesc(int)	noCall	noCall	true	1947
2224.json	com.sun.jna.platform.win32.COM.RecordInfo.IsMatchingType(com.sun.jna.platform.win32.COM.IRecordInfo)	noCall	noCall	true	2026
2734.json	com.sun.jna.platform.EnumUtils.setToInteger(java.util.Set<T>)	noCall	noCall	true	1519
3673.json	com.sun.jna.DefaultTypeMapper.getFromNativeConverter(java.lang.Class<?>)	noCall	noCall	true	4058
3418.json	com.sun.jna.platform.win32.COM.util.office.Wordautomation_KB_313193_Mod.main(java.lang.String[])	noCall	noCall	true	813
950.json	com.sun.jna.platform.win32.DdemlUtil.DdeClient.postAdvise(java.lang.String, java.lang.String)	noCall	noCall	true	692
19.json	com.sun.jna.contrib.demo.AlphaMaskDemo.update(boolean, boolean)	18.json,29.json,26.json,27.json,21.json,null	com.sun.jna.contrib.demo.AlphaMaskDemo.update(),com.sun.jna.contrib.demo.AlphaMaskDemo.Anonymous-a28b0ca6-b16e-4d78-b871-406aac506e3e.mouseReleased(java.awt.event.MouseEvent),com.sun.jna.contrib.demo.AlphaMaskDemo.setImage(java.awt.Image),com.sun.jna.contrib.demo.AlphaMaskDemo.setAlpha(float),com.sun.jna.contrib.demo.AlphaMaskDemo.updateX11(boolean, boolean),com.sun.jna.contrib.demo.AlphaMaskDemo.run()	true	4091
4244.json	com.sun.jna.CallbackReference.DefaultCallbackProxy.callback(java.lang.Object[])	noCall	noCall	true	4042
3528.json	com.sun.jna.Native.getStructureAlignment(java.lang.Class<?>)	4060.json	com.sun.jna.Structure.setAlignType(int)	true	4058
3986.json	com.sun.jna.Memory.size()	677.json,921.json,4026.json,3979.json,null,599.json,2567.json,21.json,null,2579.json,675.json,2577.json,527.json,1824.json,488.json,491.json,null,511.json,4124.json,673.json	com.sun.jna.platform.win32.WevtapiUtil.EvtGetPublisherMetadataProperty(com.sun.jna.platform.win32.Winevt.EVT_HANDLE, int, int),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.execute(java.lang.String, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.Memory.dump(),com.sun.jna.Memory.share(long),com.sun.jna.platform.WindowUtils.X11WindowUtils.X11TransparentContentPane.paintDirect(java.awt.image.BufferedImage, java.awt.Rectangle),com.sun.jna.platform.win32.W32ServiceManager.enumServicesStatusExProcess(int, int, java.lang.String),com.sun.jna.platform.win32.W32Service.enumDependentServices(int),com.sun.jna.contrib.demo.AlphaMaskDemo.updateX11(boolean, boolean),com.sun.jna.platform.win32.Advapi32Util.registryGetStringArray(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String),com.sun.jna.platform.mac.XAttrUtil.encodeString(java.lang.String),com.sun.jna.platform.win32.WevtapiUtil.EvtGetChannelConfigProperty(com.sun.jna.platform.win32.Winevt.EVT_HANDLE, int),com.sun.jna.platform.mac.XAttrUtil.setXAttr(java.lang.String, java.lang.String, java.lang.String),com.sun.jna.platform.win32.Advapi32Util.EventLogIterator.read(),com.sun.jna.platform.win32.PdhUtil.PdhEnumObjectItemCounters(java.lang.String, java.lang.String, java.lang.String, int),com.sun.jna.platform.win32.Advapi32Util.registrySetStringValue(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String, java.lang.String),com.sun.jna.platform.win32.Advapi32Util.registrySetExpandableStringValue(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String, java.lang.String),com.sun.jna.platform.win32.PdhUtil.PdhEnumObjectItemInstances(java.lang.String, java.lang.String, java.lang.String, int),com.sun.jna.platform.win32.Advapi32Util.registryGetValues(com.sun.jna.platform.win32.WinReg.HKEY),com.sun.jna.Structure.toArray(com.sun.jna.Structure[]),com.sun.jna.platform.win32.WevtapiUtil.EvtRender(com.sun.jna.platform.win32.Winevt.EVT_HANDLE, com.sun.jna.platform.win32.Winevt.EVT_HANDLE, int, com.sun.jna.ptr.IntByReference)	true	4091
