MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1700.json	lombok.javac.apt.LombokProcessor.getModuleNameFor(javax.lang.model.element.Element)	1698.json	lombok.javac.apt.LombokProcessor.process(java.util.Set<? extends javax.lang.model.element.TypeElement>, javax.annotation.processing.RoundEnvironment)	true	154
990.json	lombok.javac.JavacNode.removeDeferredErrors()	noCall	noCall	true	1975
906.json	lombok.bytecode.ClassFileMetaData.readInteger(int)	902.json,907.json,912.json	lombok.bytecode.ClassFileMetaData.containsInteger(int),lombok.bytecode.ClassFileMetaData.readFloat(int),lombok.bytecode.ClassFileMetaData.poolContent()	true	2895
2144.json	lombok.core.AnnotationValues.AnnotationValue.isExplicit()	2157.json	lombok.core.AnnotationValues.isExplicit(java.lang.String)	true	3234
818.json	lombok.installer.eclipse.EclipseProductLocation.equals(java.lang.Object)	noCall	noCall	true	3294
32.json	com.sun.tools.javac.code.Symbol.MethodSymbol.params()	noCall	noCall	false	225
298.json	lombok.delombok.FormatPreferences.unrollBoolean(java.util.Map<java.lang.String, java.lang.String>, java.lang.String, java.lang.String, java.lang.String, boolean)	noCall	noCall	true	1672
2952.json	lombok.eclipse.EclipseNode.addError(java.lang.String)	2494.json,2526.json,2467.json,2939.json,2419.json,null,2532.json,2516.json,null,2826.json,2517.json,2730.json	lombok.eclipse.handlers.EclipseSingularsRecipes.EclipseSingularizer.checkForAlreadyExistingNodesAndGenerateError(lombok.eclipse.EclipseNode, lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData),lombok.eclipse.handlers.HandleFieldNameConstants.generateFieldNameConstantsForType(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode, lombok.AccessLevel, java.lang.String, java.lang.String),lombok.eclipse.handlers.HandleFieldDefaults.generateFieldDefaultsForType(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode, lombok.AccessLevel, boolean, boolean),lombok.eclipse.handlers.HandleSynchronized.createLockField(lombok.core.AnnotationValues<lombok.Synchronized>, lombok.eclipse.EclipseNode, boolean, boolean),lombok.eclipse.handlers.HandleConstructor.checkLegality(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode, java.lang.String),lombok.eclipse.handlers.EclipseHandlerUtil.Anonymous-26351152-45c5-45a8-b0fe-0a860a64bf37.setError(java.lang.String, int),lombok.eclipse.handlers.HandleToString.generateToString(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode, java.util.List<lombok.core.handlers.InclusionExclusionUtils.Included<lombok.eclipse.EclipseNode, lombok.ToString.Include>>, boolean, java.lang.Boolean, boolean, lombok.core.handlers.HandlerUtil.FieldAccess),lombok.eclipse.handlers.HandleUtilityClass.checkLegality(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode),lombok.eclipse.handlers.HandleWither.generateWitherForType(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode, lombok.AccessLevel, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.addError(java.lang.String, lombok.eclipse.EclipseNode),lombok.eclipse.handlers.HandleUtilityClass.changeModifiersAndGenerateConstructor(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode),lombok.eclipse.handlers.EclipseHandlerUtil.sanityCheckForMethodGeneratingAnnotationsOnBuilderClass(lombok.eclipse.EclipseNode, lombok.eclipse.EclipseNode)	false	3314
1657.json	lombok.javac.apt.Processor.writeFile(java.lang.String)	1656.json	lombok.javac.apt.Processor.report(javax.annotation.processing.ProcessingEnvironment)	true	949
1229.json	lombok.javac.handlers.JavacHandlerUtil.hasAnnotation(java.lang.String, lombok.javac.JavacNode, boolean)	1225.json	lombok.javac.handlers.JavacHandlerUtil.hasAnnotation(java.lang.String, lombok.javac.JavacNode)	true	154
80.json	com.sun.tools.javac.main.JavaCompiler.enterTrees(com.sun.tools.javac.util.List<com.sun.tools.javac.tree.JCTree.JCCompilationUnit>)	289.json	lombok.delombok.Delombok.delombok()	true	225
100.json	lombok.delombok.DelombokApp.Anonymous-2db5bf50-6132-4ecd-a3d3-31702f99b21b.loadStreamAsClass(java.lang.String, boolean, java.io.InputStream)	noCall	noCall	true	3147
614.json	lombok.core.SpiLoadUtil.Anonymous-30a0767f-7c60-430e-9acf-d20a5e9b0e3c.remove()	noCall	noCall	true	3301
1325.json	lombok.javac.handlers.JavacHandlerUtil.addError(java.lang.String, lombok.javac.JavacNode)	noCall	noCall	false	491
972.json	lombok.javac.JavacImportList.applyNameToStarImports(java.lang.String, java.lang.String)	noCall	noCall	true	1934
1594.json	lombok.javac.apt.Javac6BaseFileObjectWrapper.openWriter()	noCall	noCall	true	2748
1688.json	lombok.javac.apt.LombokProcessor.Anonymous-50ee9247-876f-4afb-a9c2-f2c03ac11a52.toString()	noCall	noCall	true	2841
2855.json	lombok.eclipse.handlers.singulars.EclipseGuavaSingularizer.generateMethods(lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData, boolean, lombok.eclipse.EclipseNode, boolean, lombok.eclipse.handlers.EclipseSingularsRecipes.TypeReferenceMaker, lombok.eclipse.handlers.EclipseSingularsRecipes.StatementMaker)	noCall	noCall	true	1276
852.json	lombok.installer.UninstallException.isWarning()	null,758.json,718.json	lombok.installer.InstallerGUI.Anonymous-56f32f37-5a4e-4baa-bdc7-84808c985dcb.run(),lombok.installer.InstallerGUI.doUninstall(),lombok.installer.Installer.cliInstaller(boolean, java.util.List<java.lang.String>)	true	2910
3000.json	lombok.eclipse.HandlerLibrary.loadVisitorHandlers(lombok.eclipse.HandlerLibrary)	2996.json	lombok.eclipse.HandlerLibrary.load()	true	3313
2174.json	lombok.core.AST.getPackageDeclaration()	2227.json	lombok.core.LombokNode.getPackageDeclaration()	true	3145
849.json	lombok.installer.OsUtils.OS.getLineEnding()	noCall	noCall	true	3142
306.json	lombok.delombok.FormatPreferences.generateDelombokComment()	253.json	lombok.delombok.DelombokResult.print(java.io.Writer)	true	1672
509.json	lombok.javac.JavacTreeMaker.TypeTag.typeTag(com.sun.tools.javac.tree.JCTree)	noCall	noCall	true	1810
