MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
7849.json	com.mongodb.internal.connection.AbstractByteBufBsonDocument.deserializeBsonValue(org.bson.BsonReader)	7836.json,null,null,7839.json	com.mongodb.internal.connection.AbstractByteBufBsonDocument.containsValue(java.lang.Object),com.mongodb.internal.connection.AbstractByteBufBsonDocument.Anonymous-e0076893-3771-412d-9080-02a4a14535b5.find(org.bson.BsonReader),com.mongodb.internal.connection.AbstractByteBufBsonDocument.Anonymous-8fe58bac-ea62-4ae0-a7f1-147ea6270825.find(org.bson.BsonReader),com.mongodb.internal.connection.AbstractByteBufBsonDocument.get(java.lang.Object)	true	1045
6311.json	com.mongodb.connection.ServerSettings.hashCode()	noCall	noCall	true	1343
10049.json	com.mongodb.async.client.MongoDatabaseImpl.createCollection(com.mongodb.async.client.ClientSession, java.lang.String, com.mongodb.async.SingleResultCallback<java.lang.Void>)	noCall	noCall	true	246
8991.json	com.mongodb.operation.CommandOperationHelper.rethrowIfNotNamespaceError(com.mongodb.MongoCommandException, T)	8990.json,9333.json,8830.json,8829.json,9332.json	com.mongodb.operation.CommandOperationHelper.rethrowIfNotNamespaceError(com.mongodb.MongoCommandException),com.mongodb.operation.ListCollectionsOperation.execute(com.mongodb.binding.ReadBinding),com.mongodb.operation.ListIndexesOperation.execute(com.mongodb.binding.ReadBinding),com.mongodb.operation.ListIndexesOperation.Anonymous-e2a6d11e-4234-4133-afab-14320373fe26.call(com.mongodb.binding.ConnectionSource, com.mongodb.connection.Connection),com.mongodb.operation.ListCollectionsOperation.Anonymous-ca2cc9fd-1ab3-4aa1-b684-c2f4f941d4ba.call(com.mongodb.binding.ConnectionSource, com.mongodb.connection.Connection)	true	1563
5479.json	com.mongodb.client.model.Variable.getValue()	null	com.mongodb.client.model.Aggregates.LookupStage.toBsonDocument(java.lang.Class<TDocument>, org.bson.codecs.configuration.CodecRegistry)	true	204
6813.json	com.mongodb.MongoClientSettings.Builder.build()	null,1669.json	documentation.DocumentationSamples.testInsert(),com.mongodb.client.MongoClients.create(com.mongodb.ConnectionString, com.mongodb.MongoDriverInformation)	true	174
8506.json	com.mongodb.operation.FindAndUpdateOperation.getUpdate()	8533.json,8532.json	com.mongodb.operation.FindAndUpdateOperation.getCommandCreator(com.mongodb.session.SessionContext),com.mongodb.operation.FindAndUpdateOperation.Anonymous-e353c6f7-0644-4344-9dd1-7de875b7694e.create(com.mongodb.connection.ServerDescription, com.mongodb.connection.ConnectionDescription)	true	1410
9656.json	com.mongodb.internal.operation.SyncOperations.count(org.bson.conversions.Bson, com.mongodb.client.model.CountOptions, com.mongodb.internal.client.model.CountStrategy)	1187.json	com.mongodb.client.internal.MongoCollectionImpl.executeCount(com.mongodb.client.ClientSession, org.bson.conversions.Bson, com.mongodb.client.model.CountOptions, com.mongodb.internal.client.model.CountStrategy)	true	197
7610.json	com.mongodb.internal.connection.DefaultServer.Anonymous-7c095e1a-ad33-4528-b8ac-8efa4eb0f0c6.onResult(com.mongodb.internal.connection.InternalConnection, java.lang.Throwable)	noCall	noCall	true	1563
3338.json	org.bson.BsonInt32.longValue()	noCall	noCall	true	1505
9625.json	com.mongodb.operation.CursorHelper.getNumberToReturn(int, int, int)	9641.json,9642.json,9313.json,9312.json	com.mongodb.operation.AsyncQueryBatchCursor.getMore(com.mongodb.connection.AsyncConnection, com.mongodb.ServerCursor, com.mongodb.async.SingleResultCallback<java.util.List<T>>, boolean),com.mongodb.operation.AsyncQueryBatchCursor.asGetMoreCommandDocument(long),com.mongodb.operation.QueryBatchCursor.asGetMoreCommandDocument(),com.mongodb.operation.QueryBatchCursor.getMore()	true	1917
6028.json	com.mongodb.client.model.InsertOneOptions.bypassDocumentValidation(java.lang.Boolean)	noCall	noCall	true	1015
7349.json	com.mongodb.internal.connection.MongoCredentialWithCache.getFromCache(java.lang.Object, java.lang.Class<T>)	7936.json	com.mongodb.internal.connection.ScramShaAuthenticator.ScramShaSaslClient.getClientProof(java.lang.String, java.lang.String, int, java.lang.String)	true	106
3751.json	org.bson.types.BSONTimestamp.compareTo(org.bson.types.BSONTimestamp)	noCall	noCall	true	2171
1461.json	com.mongodb.client.internal.AggregateIterableImpl.hint(org.bson.conversions.Bson)	noCall	noCall	true	282
3814.json	org.bson.types.Decimal128.parse(java.lang.String)	null,2258.json,842.json,2281.json,1.json,2319.json	com.mongodb.util.JSONCallback.objectDone(),org.bson.json.JsonReader.visitNumberDecimalConstructor(),tour.Decimal128QuickTour.main(java.lang.String[]),org.bson.json.JsonReader.visitNumberDecimalExtendedJson(),tour.Decimal128LegacyAPIQuickTour.main(java.lang.String[]),org.bson.json.JsonToken.getValue(java.lang.Class<T>)	true	739
5526.json	com.mongodb.client.model.geojson.codecs.GeometryDecoderHelper.decodePosition(org.bson.BsonReader)	5513.json,5524.json	com.mongodb.client.model.geojson.codecs.GeometryDecoderHelper.decodePoint(org.bson.BsonReader),com.mongodb.client.model.geojson.codecs.GeometryDecoderHelper.decodeCoordinates(org.bson.BsonReader)	true	458
3430.json	org.bson.io.ByteBufferBsonInput.readInt64()	noCall	noCall	true	2122
696.json	com.mongodb.gridfs.GridFSInputFile.setId(java.lang.Object)	noCall	noCall	true	2031
10944.json	com.mongodb.internal.session.BaseClientSessionImpl.advanceClusterTime(org.bson.BsonDocument)	noCall	noCall	true	315
4031.json	org.bson.BsonDocumentWrapper.clear()	noCall	noCall	true	1505
