MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1889.json	io.netty.handler.codec.dns.DnsResponseCode.valueOf(int)	1700.json	io.netty.handler.codec.dns.DatagramDnsResponseDecoder.newResponse(io.netty.channel.socket.DatagramPacket, io.netty.buffer.ByteBuf)	true	1476
9640.json	io.netty.handler.codec.http2.Http2StreamChannelId.equals(java.lang.Object)	noCall	noCall	true	318
17895.json	io.netty.buffer.EmptyByteBuf.getMediumLE(int)	noCall	noCall	true	941
17211.json	io.netty.buffer.AdvancedLeakAwareCompositeByteBuf.toString(int, int, java.nio.charset.Charset)	noCall	noCall	true	888
6926.json	io.netty.channel.socket.DefaultSocketChannelConfig.setSoLinger(int)	6740.json,6913.json	io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setSoLinger(int),io.netty.channel.socket.DefaultSocketChannelConfig.setOption(io.netty.channel.ChannelOption<T>, T)	true	3609
7628.json	io.netty.handler.codec.http.cookie.ServerCookieEncoder.encode(io.netty.handler.codec.http.cookie.Cookie...)	7809.json	io.netty.handler.codec.http.ServerCookieEncoder.encode(io.netty.handler.codec.http.Cookie...)	true	1146
1548.json	io.netty.resolver.dns.InflightNameResolver.transferResult(io.netty.util.concurrent.Future<T>, io.netty.util.concurrent.Promise<T>)	1547.json,null	io.netty.resolver.dns.InflightNameResolver.resolve(java.util.concurrent.ConcurrentMap<java.lang.String, io.netty.util.concurrent.Promise<U>>, java.lang.String, io.netty.util.concurrent.Promise<U>, boolean),io.netty.resolver.dns.InflightNameResolver.Anonymous-0f6aee07-41f2-4e6b-a600-b536ff6eccdd.operationComplete(io.netty.util.concurrent.Future<U>)	true	769
11050.json	io.netty.handler.codec.http2.Http2Exception.CompositeStreamException.add(io.netty.handler.codec.http2.Http2Exception.StreamException)	10512.json	io.netty.handler.codec.http2.DefaultHttp2LocalFlowController.WindowUpdateVisitor.visit(io.netty.handler.codec.http2.Http2Stream)	true	1248
6730.json	io.netty.channel.socket.oio.OioDatagramChannel.block(java.net.InetAddress, java.net.NetworkInterface, java.net.InetAddress)	noCall	noCall	true	2222
1236.json	io.netty.resolver.dns.DnsResolveContext.AuthoritativeNameServerList.add(io.netty.handler.codec.dns.DnsRecord)	1221.json	io.netty.resolver.dns.DnsResolveContext.extractAuthoritativeNameServers(java.lang.String, io.netty.handler.codec.dns.DnsResponse)	true	503
15463.json	io.netty.buffer.WrappedCompositeByteBuf.setInt(int, int)	17137.json	io.netty.buffer.AdvancedLeakAwareCompositeByteBuf.setInt(int, int)	true	888
1655.json	io.netty.handler.codec.dns.DefaultDnsQuery.addRecord(io.netty.handler.codec.dns.DnsSection, int, io.netty.handler.codec.dns.DnsRecord)	1712.json	io.netty.handler.codec.dns.DatagramDnsQuery.addRecord(io.netty.handler.codec.dns.DnsSection, int, io.netty.handler.codec.dns.DnsRecord)	true	1152
17881.json	io.netty.buffer.EmptyByteBuf.markWriterIndex()	noCall	noCall	true	1998
12218.json	io.netty.handler.codec.DefaultHeaders.add(io.netty.handler.codec.Headers<? extends K, ? extends V, ?>)	7489.json	io.netty.handler.codec.http.DefaultHttpHeaders.add(io.netty.handler.codec.http.HttpHeaders)	false	1333
