MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
827.json	okhttp3.ConnectionSpec.isCompatible(javax.net.ssl.SSLSocket)	975.json,977.json	okhttp3.internal.connection.ConnectionSpecSelector.configureSecureSocket(javax.net.ssl.SSLSocket),okhttp3.internal.connection.ConnectionSpecSelector.isFallbackPossible(javax.net.ssl.SSLSocket)	true	494
1321.json	okhttp3.internal.cache.DiskLruCache.initialize()	1329.json,1335.json,1351.json,1338.json,1346.json,2034.json,1331.json	okhttp3.internal.cache.DiskLruCache.get(java.lang.String),okhttp3.internal.cache.DiskLruCache.size(),okhttp3.internal.cache.DiskLruCache.snapshots(),okhttp3.internal.cache.DiskLruCache.remove(java.lang.String),okhttp3.internal.cache.DiskLruCache.evictAll(),okhttp3.Cache.initialize(),okhttp3.internal.cache.DiskLruCache.edit(java.lang.String, long)	true	578
2037.json	okhttp3.Cache.Anonymous-3424fc26-e011-408c-93c7-3ecd63191648.hasNext()	noCall	noCall	true	572
458.json	okhttp3.benchmarks.SynchronousHttpClient.acceptingJobs()	noCall	noCall	true	902
1730.json	okhttp3.HttpUrl.Builder.scheme(java.lang.String)	679.json	okhttp3.mockwebserver.MockWebServer.url(java.lang.String)	true	460
1924.json	okhttp3.RealCall.redactedUrl()	1923.json	okhttp3.RealCall.toLoggableString()	true	94
285.json	okhttp3.sample.SampleServer.fileToResponse(java.lang.String, java.io.File)	283.json	okhttp3.sample.SampleServer.dispatch(okhttp3.mockwebserver.RecordedRequest)	true	1051
1631.json	okhttp3.internal.http2.Http2Reader.readData(okhttp3.internal.http2.Http2Reader.Handler, int, byte, int)	1628.json	okhttp3.internal.http2.Http2Reader.nextFrame(okhttp3.internal.http2.Http2Reader.Handler)	true	1070
862.json	okhttp3.OkHttpClient.internalCache()	1925.json	okhttp3.RealCall.getResponseWithInterceptorChain()	true	1212
1727.json	okhttp3.HttpUrl.hashCode()	1834.json	okhttp3.Address.hashCode()	true	460
494.json	okhttp3.internal.huc.OkHttpsURLConnection.setHostnameVerifier(javax.net.ssl.HostnameVerifier)	noCall	noCall	true	1251
831.json	okhttp3.ConnectionSpec.Builder.allEnabledCipherSuites()	noCall	noCall	true	264
1137.json	okhttp3.internal.platform.AndroidPlatform.getSelectedProtocol(javax.net.ssl.SSLSocket)	noCall	noCall	true	81
1382.json	okhttp3.internal.cache.CacheStrategy.Factory.getCandidate()	1381.json	okhttp3.internal.cache.CacheStrategy.Factory.get()	true	937
1046.json	okhttp3.internal.http.RetryAndFollowUpInterceptor.cancel()	1914.json	okhttp3.RealCall.cancel()	true	29
2119.json	okhttp3.internal.huc.JavaApiConverter.extractStatusLine(java.util.Map<java.lang.String, java.util.List<java.lang.String>>)	2118.json	okhttp3.internal.huc.JavaApiConverter.extractStatusLine(java.net.CacheResponse)	true	872
1320.json	okhttp3.internal.cache.DiskLruCache.Anonymous-337fa9de-68b9-4bda-9d84-366921be705f.run()	noCall	noCall	true	899
