MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
3634.json	voldemort.client.protocol.pb.VAdminProto.SwapStoreResponse.Builder.clearPreviousStoreDir()	noCall	noCall	true	1622
7631.json	voldemort.server.protocol.admin.AsyncOperationStatus.setStatus(java.lang.String)	877.json,9372.json,null,null,9370.json,7703.json,null,9368.json,9367.json,null	voldemort.client.protocol.admin.AdminClient.RPCOperations.getAsyncRequestStatus(int, int),voldemort.store.bdb.BdbNativeBackup.cleanStaleFiles(java.io.File, voldemort.server.protocol.admin.AsyncOperationStatus),voldemort.server.protocol.admin.AdminServiceRequestHandler.handleNativeBackup(voldemort.client.protocol.pb.VAdminProto.NativeBackupRequest),voldemort.store.readonly.fetcher.BasicFetchStrategy.copyFileWithCheckSum(voldemort.store.readonly.fetcher.HdfsFile, java.io.File, voldemort.store.readonly.checksum.CheckSum.CheckSumType),voldemort.store.bdb.BdbNativeBackup.backupFiles(java.lang.String[], java.io.File, voldemort.server.protocol.admin.AsyncOperationStatus),voldemort.server.protocol.admin.AdminServiceRequestHandler.Anonymous-f907528a-d276-4bb6-ab6a-56ede6e40960.markComplete(),voldemort.client.protocol.admin.AdminClient.RPCOperations.waitForCompletion(int, int, long, java.util.concurrent.TimeUnit, voldemort.server.protocol.admin.AsyncOperationStatus),voldemort.store.bdb.BdbNativeBackup.determineLastFile(java.io.File, voldemort.server.protocol.admin.AsyncOperationStatus),voldemort.store.bdb.BdbNativeBackup.Anonymous-ae930739-bc09-4bc7-b44c-69c9e402c975.accept(java.io.File, java.lang.String),voldemort.server.protocol.admin.AsyncOperation.updateStatus(java.lang.String)	true	2111
9950.json	voldemort.store.routed.action.PerformParallelPutRequests.processResponse(voldemort.store.routed.Response<voldemort.utils.ByteArray, java.lang.Object>, voldemort.store.routed.Pipeline)	9949.json	voldemort.store.routed.action.PerformParallelPutRequests.execute(voldemort.store.routed.Pipeline)	true	831
6824.json	voldemort.client.protocol.vold.VoldemortNativeClientRequestFormat.isCompleteGetVersionResponse(java.nio.ByteBuffer)	noCall	noCall	true	1959
10570.json	voldemort.store.readonly.ReadOnlyUtils.getPartitionReplicaTuple(java.lang.String)	null	voldemort.client.protocol.admin.AdminClient.ReadOnlySpecificOperations.fetchPartitionFiles(int, java.lang.String, java.util.List<java.lang.Integer>, java.lang.String, java.util.Set<java.lang.Object>, java.util.concurrent.atomic.AtomicBoolean)	true	1569
7383.json	voldemort.server.VoldemortConfig.getFetcherBufferSize()	noCall	noCall	true	665
11377.json	voldemort.tools.RebalanceControllerCLI.getValidOptions(java.lang.String[])	11378.json	voldemort.tools.RebalanceControllerCLI.main(java.lang.String[])	true	795
10625.json	voldemort.store.readonly.ReadOnlyStorageEngine.KeyValueLocation.getValueLocation()	null,10626.json	voldemort.store.readonly.ReadOnlyStorageEngine.getAll(java.lang.Iterable<voldemort.utils.ByteArray>, java.util.Map<voldemort.utils.ByteArray, byte[]>),voldemort.store.readonly.ReadOnlyStorageEngine.KeyValueLocation.compareTo(voldemort.store.readonly.ReadOnlyStorageEngine.KeyValueLocation)	true	2292
7134.json	voldemort.server.VoldemortConfig.setMetadataDirectory(java.lang.String)	noCall	noCall	true	665
5770.json	voldemort.client.protocol.pb.VAdminProto.VoldemortAdminRequest.Builder.setSwapStore(voldemort.client.protocol.pb.VAdminProto.SwapStoreRequest.Builder)	noCall	noCall	true	1751
8958.json	voldemort.rest.AbstractRestService.stopInner()	noCall	noCall	true	881
9942.json	voldemort.store.routed.action.PerformParallelDeleteRequests.abortPipeline(voldemort.store.routed.Pipeline)	9946.json	voldemort.store.routed.action.PerformParallelDeleteRequests.executeInternal(voldemort.store.routed.Pipeline)	true	363
8319.json	voldemort.serialization.protobuf.ProtoBufSerializer.toObject(byte[])	noCall	noCall	true	2398
6815.json	voldemort.client.protocol.vold.VoldemortNativeClientRequestFormat.readResults(java.io.DataInputStream)	6812.json,6818.json	voldemort.client.protocol.vold.VoldemortNativeClientRequestFormat.readGetResponse(java.io.DataInputStream),voldemort.client.protocol.vold.VoldemortNativeClientRequestFormat.readGetAllResponse(java.io.DataInputStream)	true	2311
7261.json	voldemort.server.VoldemortConfig.getSlopFrequencyMs()	7867.json	voldemort.server.storage.StorageService.startInner()	true	665
7062.json	voldemort.xml.StoreDefinitionsMapper.readStoreList(java.io.File)	11313.json,11407.json,11089.json,11019.json,11438.json,null,11362.json,null,11400.json,11085.json,null,null,11412.json,11378.json	voldemort.tools.ZoneClipperCLI.main(java.lang.String[]),voldemort.tools.RebalancePlanCLI.main(java.lang.String[]),voldemort.tools.admin.command.AdminCommandStore.SubCommandStoreUpdate.doStoreUpdate(voldemort.client.protocol.admin.AdminClient, java.util.List<java.lang.Integer>, java.lang.String),voldemort.tools.PartitionAnalysisCLI.main(java.lang.String[]),voldemort.VoldemortAdminTool.executeAddStores(voldemort.client.protocol.admin.AdminClient, java.lang.String, int),voldemort.VoldemortAdminTool.main(java.lang.String[]),voldemort.tools.RepartitionerCLI.main(java.lang.String[]),voldemort.store.readonly.benchmark.BuildTestStore.run(java.lang.String[]),voldemort.tools.ValidateSchemaForAvroStores.validate(java.io.File),voldemort.tools.admin.command.AdminCommandStore.SubCommandStoreAdd.doStoreAdd(voldemort.client.protocol.admin.AdminClient, java.util.List<java.lang.Integer>, java.lang.String),voldemort.tools.admin.command.AdminCommandMeta.SubCommandMetaSet.executeCommand(java.lang.String[]),voldemort.store.metadata.MetadataStore.readFromDirectory(java.io.File, int),voldemort.tools.ImportTextDumpToBDB.main(java.lang.String[]),voldemort.tools.RebalanceControllerCLI.main(java.lang.String[])	true	2311
11029.json	voldemort.tools.admin.AdminToolUtils.getAllPartitions(voldemort.client.protocol.admin.AdminClient)	null,null	voldemort.tools.admin.command.AdminCommandStream.SubCommandStreamFetchEntries.executeCommand(java.lang.String[]),voldemort.tools.admin.command.AdminCommandStream.SubCommandStreamFetchKeys.executeCommand(java.lang.String[])	true	454
10842.json	voldemort.store.slop.SlopStorageEngine.entries()	noCall	noCall	true	1776
3934.json	voldemort.client.protocol.pb.VAdminProto.SlopPurgeJobRequest.Builder.mergeFrom(voldemort.client.protocol.pb.VAdminProto.SlopPurgeJobRequest)	noCall	noCall	true	614
7743.json	voldemort.server.protocol.vold.PutRequestHandler.processRequest()	noCall	noCall	true	131
