MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
5707.json	org.apache.wicket.markup.html.form.Button.onError()	10602.json,10604.json	org.apache.wicket.extensions.wizard.AjaxWizardButtonBar.Anonymous-662c1db7-797c-4357-99bd-aae7f9453b04.onError(org.apache.wicket.ajax.AjaxRequestTarget),org.apache.wicket.extensions.wizard.AjaxWizardButtonBar.ajaxify(org.apache.wicket.extensions.wizard.WizardButton)	true	2736
4234.json	org.apache.wicket.DefaultExceptionMapper.mapUnexpectedExceptions(java.lang.Exception, org.apache.wicket.Application)	4232.json	org.apache.wicket.DefaultExceptionMapper.internalMap(java.lang.Exception)	true	1246
4400.json	org.apache.wicket.Component.getVariation()	6472.json,3980.json,7141.json,6962.json,4400.json,7360.json,6181.json,6453.json,7019.json	org.apache.wicket.markup.html.panel.AssociatedMarkupSourcingStrategy.getHeaderId(org.apache.wicket.Component, org.apache.wicket.markup.MarkupStream),org.apache.wicket.Localizer.getStringIgnoreSettings(java.lang.String, org.apache.wicket.Component, org.apache.wicket.model.IModel<?>, java.util.Locale, java.lang.String, java.lang.String),org.apache.wicket.markup.transformer.XsltTransformer.getResourceStream(org.apache.wicket.Component),org.apache.wicket.markup.resolver.AutoLinkResolver.ResourceReferenceAutolink.getVariation(),org.apache.wicket.Component.getVariation(),org.apache.wicket.markup.DefaultMarkupCacheKeyProvider.getCacheKey(org.apache.wicket.MarkupContainer, java.lang.Class<?>),org.apache.wicket.markup.html.image.resource.LocalizedImageResource.setSrcAttribute(org.apache.wicket.markup.ComponentTag),org.apache.wicket.markup.html.border.BorderBehavior.findMarkupStream(org.apache.wicket.Component),org.apache.wicket.markup.DefaultMarkupResourceStreamProvider.getMarkupResourceStream(org.apache.wicket.MarkupContainer, java.lang.Class<?>)	true	4551
5115.json	org.apache.wicket.core.request.handler.RenderPageRequestHandler.getRenderCount()	noCall	noCall	true	2471
4493.json	org.apache.wicket.Component.onRemove()	1976.json,4355.json	org.apache.wicket.feedback.FencedFeedbackPanel.onRemove(),org.apache.wicket.Component.internalOnRemove()	true	3269
4228.json	org.apache.wicket.mock.MockWebResponse.flush()	noCall	noCall	true	3059
2939.json	org.apache.wicket.request.cycle.RequestCycleListenerCollection.onExceptionRequestHandlerResolved(org.apache.wicket.request.cycle.RequestCycle, org.apache.wicket.request.IRequestHandler, java.lang.Exception)	2965.json	org.apache.wicket.request.cycle.RequestCycle.executeExceptionRequestHandler(java.lang.Exception, int)	true	2660
1559.json	org.apache.wicket.resource.FileSystemResourceReference.getPath(java.net.URI, java.util.Map<java.lang.String, java.lang.String>)	1560.json	org.apache.wicket.resource.FileSystemResourceReference.getPath(java.net.URI)	true	934
6057.json	org.apache.wicket.markup.html.form.validation.FormComponentFeedbackIndicator.onConfigure()	noCall	noCall	true	3865
8331.json	org.apache.wicket.protocol.ws.api.HttpSessionCopy.getId()	noCall	noCall	true	2170
10382.json	org.apache.wicket.extensions.ajax.markup.html.autocomplete.AbstractAutoCompleteRenderer.render(T, org.apache.wicket.request.Response, java.lang.String)	noCall	noCall	true	4429
921.json	org.apache.wicket.examples.ajax.builtin.RatingsPage.RatingModel.getNrOfVotes()	noCall	noCall	true	4386
5111.json	org.apache.wicket.core.request.handler.RenderPageRequestHandler.getLogData()	noCall	noCall	true	2420
9385.json	org.apache.wicket.util.collections.ReadOnlyIterator.remove()	noCall	noCall	true	4058
1575.json	org.apache.wicket.settings.JavaScriptLibrarySettings.getJQueryReference()	1441.json,2342.json	org.apache.wicket.resource.JQueryPluginResourceReference.getDependencies(),org.apache.wicket.ajax.WicketAjaxJQueryResourceReference.getDependencies()	true	2338
10468.json	org.apache.wicket.extensions.ajax.markup.html.AjaxEditableLabel.onCancel(org.apache.wicket.ajax.AjaxRequestTarget)	null	org.apache.wicket.extensions.ajax.markup.html.AjaxEditableLabel.EditorAjaxBehavior.respond(org.apache.wicket.ajax.AjaxRequestTarget)	true	4328
9875.json	org.apache.wicket.util.convert.converter.CharacterConverter.getTargetType()	noCall	noCall	true	4857
6353.json	org.apache.wicket.markup.html.internal.Enclosure.getChild()	6356.json,6355.json	org.apache.wicket.markup.html.internal.Enclosure.onConfigure(),org.apache.wicket.markup.html.internal.Enclosure.isVisible()	true	2609
10206.json	org.apache.wicket.devutils.inspector.EnhancedPageView.TreeProvider.hasChildren(org.apache.wicket.devutils.inspector.EnhancedPageView.TreeNode)	noCall	noCall	true	2129
2316.json	org.apache.wicket.behavior.AbstractAjaxBehavior.unbind(org.apache.wicket.Component)	noCall	noCall	true	1967
