Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1539	4,4,4,4,4,8,8,15,23,24,23,23	3,3,3,3,3,7,7,11,18,19,18,18	4,4,4,4,4,8,8,15,22,23,22,22	0,0,0,0,0,0,0,0,0,0,0,0	0,1,33,54,76,252,252,621,621,640,754,802	0,1,2,1,1,6,2,11,16,2,1,6	0,2,4,2,2,8,4,15,24,3,3,12	0,2,28,6,4,294,28,168,390,27,61,73	0,0,0,1,0,0,0,0,0,1,0,1	2184.json
1438	4	3	4	0	0	0	0	0	0	148.json
716	30	18	28	0	0	0	0	0	0	183.json
1046	16	12	16	0	0	0	0	0	0	1808.json
556	4	3	4	0	0	0	0	0	0	1926.json
790	4	3	4	0	0	0	0	0	0	415.json
680	4,4	3,3	4,4	0,0	0,198	0,1	0,2	0,65	0,0	431.json
929	8,8,8	6,6,6	8,8,8	0,0,0	0,192,264	0,0,1	0,0,2	0,0,40	0,0,1	1490.json
1549	12,12,11,11,10,10,10,13,17,32,34,34,27,27,36,36,36,36,37,37	9,9,8,8,7,7,7,11,12,23,24,24,19,19,23,23,23,23,23,23	11,11,10,10,9,9,9,13,17,31,32,32,25,25,32,32,32,32,32,32	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,33,43,56,118,172,246,253,253,722,724,731,799,812,815,819,942,1098,1211,1213	0,1,3,1,2,1,1,4,6,20,3,1,1,1,13,1,2,2,2,3	0,2,7,2,5,2,2,5,8,25,4,2,9,2,17,2,4,4,3,6	0,4,103,21,74,9,9,129,70,534,91,6,196,6,114,8,31,4,36,18	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	1044.json
1351	4,4	3,2	4,3	0,0	0,625	0,1	0,2	0,62	0,1	333.json
510	4,4	3,3	4,4	0,0	0,59	0,1	0,2	0,2	0,0	284.json
1251	3	3	3	0	0	0	0	0	0	2514.json
1382	4,7,7,7	4,6,5,6	4,6,5,6	0,0,0,0	0,22,128,137	0,3,1,1	0,3,2,2	0,67,65,2	0,0,0,0	2605.json
1539	3	2	3	0	0	0	0	0	0	220.json
1429	4,4	3,3	4,4	0,0	0,0	0,1	0,2	0,54	0,0	307.json
556	4	3	4	1	0	0	0	0	0	2311.json
717	4,4,4,4,4	3,3,3,3,3	4,4,4,4,4	1,1,1,1,1	0,0,0,15,98	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,1,0,0	2326.json
1243	4	3	4	1	0	0	0	0	0	2826.json
1298	9,9,17,14,19,16,20,20	8,8,12,10,14,12,15,15	9,9,16,13,18,15,19,19	0,0,0,0,0,0,0,0	0,2,99,117,139,140,430,847	0,2,7,1,8,5,5,2	0,4,8,5,11,13,6,4	0,7,198,54,246,24,109,6	0,0,0,0,0,0,1,0	1947.json
1494	4,4,4	3,3,3	4,4,4	0,0,0	0,0,207	0,0,0	0,0,0	0,0,0	0,0,0	2063.json
1430	4	4	4	0	0	0	0	0	0	1182.json
1549	7,9,9,10	7,9,9,9	7,9,9,9	0,0,0,0	0,269,297,662	0,2,3,1	0,2,6,2	0,126,33,76	0,0,0,0	2483.json
1531	5	5	5	0	0	0	0	0	0	530.json
1494	4,4,4	3,3,3	4,4,4	0,0,0	0,0,207	0,0,0	0,0,0	0,0,0	0,0,0	2039.json
1531	3	3	3	0	0	0	0	0	0	526.json
544	3	3	3	0	0	0	0	0	0	403.json
1263	11,11,14,14	10,10,12,12	9,9,11,11	0,0,0,0	0,23,377,378	0,9,11,2	0,18,20,4	0,24,83,94	0,0,0,0	2736.json
898	6,9	6,7	6,9	0,0	0,34	0,4	0,5	0,12	0,1	1737.json
809	4	3	3	0	0	0	0	0	0	2569.json
1279	3,4	3,3	3,3	0,0	0,393	0,1	0,2	0,8	0,0	2748.json
407	10,10	6,6	6,6	0,0	0,0	0,1	0,2	0,10	0,1	2786.json
387	4	3	4	0	0	0	0	0	0	577.json
1426	20,18,19,20,20,20	14,12,13,14,14,14	20,16,17,18,18,18	0,0,0,0,0,0	0,480,588,611,718,819	0,4,1,3,1,1	0,11,1,5,2,2	0,178,115,79,10,5	0,0,0,0,0,0	44.json
1350	9	6	8	0	0	0	0	0	0	1285.json
1538	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,41,235,1087	0,1,1,1	0,2,2,2	0,17,9,2	0,0,0,0	250.json
1549	18,19,19,22,22,21,21,21,25,30,30,30,30,30,30,34,34	16,15,15,17,17,16,16,16,19,22,22,22,22,22,22,25,25	17,18,18,21,21,20,20,20,24,29,29,29,29,29,29,33,33	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,43,56,57,64,161,244,246,264,363,367,367,455,539,796,920,1098	0,8,5,7,6,0,9,5,4,5,5,1,1,2,1,4,7	0,15,10,11,12,1,18,10,4,5,10,2,2,4,2,4,14	0,131,201,56,31,16,45,51,171,269,528,4,10,2,6,109,14	0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0	927.json
1047	4	3	4	0	0	0	0	0	0	2140.json
1538	18,3,4,5,4	14,3,3,4,3	18,3,4,5,4	0,0,0,0,0	0,4,328,520,1047	0,3,4,1,4	0,21,8,1,9	0,303,55,110,163	0,0,0,1,1	1937.json
1539	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,42,236,1088	0,1,1,1	0,2,2,2	0,17,9,2	0,0,0,0	225.json
1538	8,8,8,8,8	6,6,6,6,6	8,8,8,8,8	0,0,0,0,0	0,32,107,251,1151	0,1,1,7,1	0,2,2,14,2	0,7,6,33,14	0,0,0,0,0	1457.json
1534	34,34,37,42,42,42,42,51,48,48,48,57,58,68,68,68,69,74,74,75,87,96,98,80,81,81,112,120,120,183,187,191,191,260,274,291,61,62,62,62,62,71	28,28,31,31,31,31,31,36,33,33,33,37,37,43,43,43,43,47,47,47,56,67,67,49,54,54,70,75,75,118,120,122,122,160,169,180,44,44,44,44,44,49	34,34,37,42,42,42,42,51,48,48,48,57,58,68,68,68,69,73,73,74,86,95,97,80,80,80,101,108,108,168,171,175,175,240,252,268,57,58,58,58,58,66	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,18,18,38,59,81,86,115,146,229,231,235,235,235,237,239,240,240,242,333,333,333,335,335,354,588,623,646,672,790,790,793,797,835,836,836,839,927,948,993,1083,1190	0,1,3,2,2,1,3,9,7,1,2,9,2,12,1,11,1,8,1,12,12,28,2,19,21,4,38,8,3,63,10,23,1,69,14,17,31,5,1,13,1,9	0,2,3,4,4,2,6,10,17,2,4,9,3,14,2,22,1,11,2,24,12,47,2,56,41,8,45,8,6,63,16,42,2,69,14,17,292,9,2,26,2,9	0,10,127,55,6,5,30,211,170,6,18,245,37,256,14,297,41,226,24,101,393,474,68,597,651,44,487,153,106,2221,262,735,6,1938,284,446,6235,12,9,618,2,165	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	1538.json
772	15,15,15,19,19,14,15	11,11,11,13,13,10,11	13,13,13,16,16,12,13	0,0,0,0,0,0,0	0,0,14,19,22,147,248	0,1,2,6,1,1,1	0,2,4,8,2,7,1	0,2,34,51,2,123,28	0,0,0,1,0,0,0	786.json
750	24,27,30,30,30,30	16,17,19,19,19,19	22,23,26,26,26,26	0,0,0,0,0,0	0,20,20,80,143,419	0,8,7,1,1,2	0,13,11,2,2,4	0,245,90,4,19,30	0,0,0,0,0,0	1603.json
1506	12,15,13,12,17,18,11,11,11,11	12,12,10,10,13,14,7,7,7,7	12,15,12,12,17,18,11,11,11,11	0,0,0,0,0,0,0,0,0,0	0,1,12,55,302,734,735,804,804,816	0,0,10,1,4,4,4,0,1,1	0,0,22,3,4,7,15,0,2,2	0,17,271,69,101,112,334,0,26,26	0,0,0,0,0,0,1,0,0,0	1982.json
1216	4	3	4	0	0	0	0	0	0	355.json
1216	4	3	4	0	0	0	0	0	0	359.json
1345	18,21,21,22,22,22,22	14,16,16,16,16,16,16	18,21,21,22,22,22,22	0,0,0,0,0,0,0	0,48,48,48,575,709,916	0,3,2,2,1,1,6	0,4,4,3,2,2,12	0,147,116,94,14,4,60	0,0,0,1,0,0,0	47.json
1549	15,15	15,15	15,15	0,0	0,211	0,2	0,4	0,69	0,0	2714.json
1172	4	3	4	0	0	0	0	0	0	1907.json
1364	28,28,28,28	20,20,20,20	28,28,28,28	0,0,0,0	0,82,184,627	0,1,1,1	0,2,2,2	0,7,5,6	0,1,0,0	70.json
1365	6	5	6	0	0	0	0	0	0	564.json
1497	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,0,194,1046	0,1,1,1	0,2,2,2	0,17,9,2	0,0,0,0	296.json
1292	4,4	3,3	4,4	0,0	0,50	0,1	0,2	0,6	0,0	1595.json
1387	12,14,9	11,11,7	12,14,9	0,0,0	0,0,2	0,5,2	0,8,9	0,12,135	0,0,0	1701.json
406	4	3	4	1	0	0	0	0	0	578.json
1450	4,4	3,3	4,4	0,0	0,919	0,1	0,2	0,7	0,0	115.json
1350	5	4	5	0	0	0	0	0	0	1134.json
1494	4,4,4	3,3,3	4,4,4	0,0,0	0,0,207	0,0,0	0,0,0	0,0,0	0,0,0	2044.json
1305	23,23,4,4	16,16,3,3	21,21,4,4	0,0,0,0	0,211,555,575	0,1,1,1	0,2,21,2	0,10,323,7	0,0,0,0	1601.json
1549	22,29,31,34,34,42,42,43,41,41,41,63,63,63,63,56,56,56,56,56,56,56,56,56,57,57	16,23,25,24,24,30,30,31,29,29,29,43,43,43,43,39,39,39,39,39,39,39,39,39,39,39	19,26,28,31,31,39,39,40,38,38,38,58,58,58,58,51,51,51,51,51,51,51,51,51,51,51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,17,17,43,53,57,57,57,161,246,257,303,305,315,316,369,369,455,812,942,943,943,943,945,945,1098	0,16,9,14,3,8,2,1,1,3,8,25,2,1,1,2,1,1,2,7,2,2,1,1,2,3	0,25,16,25,6,8,4,1,4,6,16,28,4,2,2,11,2,2,4,14,4,4,2,2,3,6	0,476,68,127,80,191,85,11,47,49,66,367,60,63,1,121,6,59,12,85,54,28,53,50,157,10	0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0	797.json
1367	4	3	4	0	0	0	0	0	0	327.json
1200	4	3	4	0	0	0	0	0	0	381.json
1279	3	3	3	1	0	0	0	0	0	2733.json
1374	5	5	5	0	0	0	0	0	0	489.json
859	63,63,67,67,64,64,64,64,61,73,73,73,73	41,41,44,44,43,43,43,43,40,47,47,47,47	58,58,62,62,61,61,61,61,58,70,70,70,70	0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,29,29,32,32,32,32,38,39,122,252,408	0,4,11,1,2,1,1,2,4,13,2,1,5	0,8,18,2,5,2,2,4,11,14,4,2,10	0,148,212,7,109,1,33,28,151,232,12,5,10	0,0,0,1,1,0,0,0,1,1,0,0,0	1524.json
1046	4	3	4	0	0	0	0	0	0	1816.json
607	4	3	4	0	0	0	0	0	0	1785.json
1450	9,9,9,9	7,7,7,7	9,9,9,9	0,0,0,0	0,4,147,999	0,1,1,1	0,2,2,2	0,1,9,2	0,1,0,0	131.json
1387	18,21,14	16,16,11	18,21,14	0,0,0	0,0,2	0,7,8	0,11,23	0,23,256	0,0,0	1702.json
1494	3,4	3,3	3,4	0,0	0,135	0,1	0,2	0,28	0,0	1238.json
1212	9	7	9	0	0	0	0	0	0	1731.json
1444	13,14,14,20,20,20,21,26,26	9,8,8,12,12,12,13,17,17	13,12,12,18,18,18,19,24,24	0,0,0,0,0,0,0,0,0	0,56,61,62,139,141,263,491,993	0,3,1,8,1,4,1,7,2	0,5,2,10,2,8,1,9,4	0,30,5,92,6,40,25,135,4	0,1,0,0,0,0,0,0,0	1067.json
756	43,43,59,59,12	32,32,43,43,9	42,42,58,58,12	0,0,0,0,0	0,6,6,19,131	0,1,17,1,2	0,2,18,2,51	0,3,478,6,1277	0,1,0,0,0	890.json
716	31	19	27	0	0	0	0	0	0	185.json
800	31,34,34	21,23,23	26,29,29	0,0,0	0,193,349	0,8,1	0,13,2	0,266,2	0,0,0	798.json
1531	5	5	5	0	0	0	0	0	0	505.json
1188	10,10	7,7	9,9	0,0	0,11	0,2	0,4	0,12	0,0	193.json
1511	9,12,9,8	8,9,5,5	9,12,9,8	0,0,0,0	0,26,41,512	0,5,4,1	0,7,11,3	0,13,79,27	0,0,0,0	2429.json
841	28,33,33,33,33,33,33,40,40,45,45,57,58	20,24,24,24,24,24,24,28,28,31,31,41,41	28,33,33,33,33,33,33,38,38,42,42,54,54	0,0,0,0,0,0,0,0,0,0,0,0,0	0,36,91,104,234,390,412,417,417,426,503,505,535	0,15,5,1,2,6,1,7,2,7,1,13,3	0,25,10,2,4,12,2,7,4,9,2,14,5	0,275,280,4,29,14,10,228,77,123,58,435,69	0,0,0,0,0,0,0,0,0,0,0,0,0	935.json
1529	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,32,226,1078	0,1,1,1	0,2,2,2	0,17,9,2	0,0,0,0	269.json
