Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
7446	14,29,34,34,34,34,37,37,22,25,30,32,37,59,59,64,79,82,87,88,86,90,90,93,93,88,91,93,97,97,62,67,69,73	9,26,31,31,31,32,33,33,19,20,24,27,30,49,49,52,65,68,72,68,72,75,75,77,77,77,80,82,85,85,49,53,53,57	9,25,30,30,30,31,33,33,19,21,26,29,33,54,54,58,74,77,82,77,82,85,85,88,88,88,91,93,97,97,62,67,69,73	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,13,27,31,76,173,174,181,199,250,555,566,747,815,832,1229,1293,1321,1322,1323,1326,1347,1523,1535,1842,1887,1918,2234,2366,2399,2719,5894,6299,6746	0,21,6,1,1,3,6,1,8,5,7,4,5,33,2,5,17,4,5,2,1,4,2,6,1,1,4,2,4,13,1,6,18,5	0,27,7,2,2,6,9,2,31,7,9,6,5,44,4,5,19,5,5,3,4,4,4,9,2,2,5,2,4,26,38,7,34,6	0,558,167,7,1,46,76,11,652,236,132,188,210,760,41,174,758,142,259,29,34,148,60,198,9,20,143,72,232,196,1145,295,383,253	0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	4925.json
7254	5,5,5,5,3,3	5,5,5,5,3,3	5,5,5,5,3,3	0,0,0,0,1,1	0,551,638,638,1368,5093	0,1,1,1,1,1	0,2,2,2,4,2	0,1,27,1,80,6	0,0,0,0,0,0	4281.json
6879	6,12,13,16,18,24	6,10,10,15,17,24	6,10,11,15,17,24	0,0,0,0,0,0	0,158,251,2174,2229,3128	0,7,2,11,6,8	0,8,3,19,10,10	0,150,42,243,173,350	0,0,0,0,0,0	6491.json
6519	5,3	5,3	5,3	0,1	0,25	0,2	0,6	0,102	0,0	2184.json
5525	13,11	13,11	13,11	0,0	0,4378	0,3	0,8	0,127	0,0	4913.json
6981	25,25,25,27,27	16,16,16,16,16	19,19,19,19,19	0,0,0,0,0	0,1320,2313,2346,4060	0,5,5,2,1	0,10,10,2,2	0,118,20,75,44	0,1,0,0,0	148.json
3696	3	3	3	1	0	0	0	0	0	8739.json
7446	3,3,5,3,3	3,3,5,3,3	3,3,5,3,3	1,1,0,0,0	0,10,200,1902,5285	0,0,3,1,1	0,0,4,4,2	0,0,58,39,6	0,0,0,0,0	5081.json
6216	3,3	3,3	3,3	1,1	0,1264	0,2	0,4	0,6	0,0	4428.json
3976	6,10,10	6,10,10	6,10,10	0,0,0	0,35,3414	0,4,1	0,4,2	0,130,23	0,0,0	8474.json
