Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2703	3,3	3,3	3,3	1,1	0,13	0,0	0,0	0,0	0,0	2184.json
2852	6,6	6,6	6,6	0,0	0,553	0,1	0,2	0,22	0,1	731.json
2614	4	4	4	0	0	0	0	0	0	1808.json
3060	3,3	3,3	3,3	1,1	0,17	0,0	0,0	0,16	0,0	3198.json
1821	63,63,61	41,41,39	57,57,55	0,0,0	0,313,1794	0,1,5	0,2,12	0,23,95	0,0,0	415.json
1821	3	3	3	1	0	0	0	0	0	431.json
2906	3	3	3	1	0	0	0	0	0	3018.json
1821	3	3	3	1	0	0	0	0	0	333.json
1821	3	3	3	0	0	0	0	0	0	284.json
2436	3	3	3	0	0	0	0	0	0	2978.json
1472	7	6	6	0	0	0	0	0	0	2514.json
3027	3,3	3,3	3,3	0,0	0,0	0,3	0,6	0,36	0,0	2605.json
2723	4	4	4	0	0	0	0	0	0	2870.json
3173	3,3,4	3,3,4	3,3,4	1,1,0	0,64,175	0,1,2	0,2,3	0,8,43	0,1,0	220.json
1821	4	4	4	0	0	0	0	0	0	307.json
2245	11	11	11	0	0	0	0	0	0	2631.json
2117	9,11,13,13	9,11,12,12	9,11,13,13	0,0,0,0	0,160,192,204	0,7,4,2	0,12,6,4	0,141,141,89	0,0,1,1	2311.json
3710	5,3,3,3,6,3,3	5,3,3,3,6,3,3	5,3,3,3,5,3,3	0,0,0,0,0,0,0	0,253,517,1118,1119,1371,3683	0,1,0,1,4,1,1	0,4,0,2,5,6,2	0,81,0,5,146,180,19	0,0,0,0,0,0,0	2826.json
