Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
120	4	3	4	0	0	0	0	0	0	4281.json
2059	4	3	4	1	0	0	0	0	0	6491.json
1601	4,4	3,3	4,4	1,1	0,63	0,1	0,2	0,10	0,0	11879.json
1694	11	8	10	0	0	0	0	0	0	15388.json
923	5	4	5	0	0	0	0	0	0	14050.json
665	4	3	4	1	0	0	0	0	0	12851.json
3117	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,175,175,2892	0,2,2,1	0,4,4,2	0,16,0,73	0,0,0,0	14758.json
1417	7,19	6,13	7,16	0,0	0,1354	0,17	0,22	0,354	0,0	8739.json
1107	4	3	4	0	0	0	0	0	0	5081.json
120	5	3	5	0	0	0	0	0	0	4428.json
315	4	3	4	0	0	0	0	0	0	8474.json
2075	4,5,5,7	3,4,4,6	4,5,5,7	0,0,0,0	0,443,454,741	0,5,5,3	0,9,9,4	0,41,0,58	0,0,0,0	3721.json
3060	9,9	7,7	9,9	0,0	0,1216	0,2	0,4	0,21	0,0	8365.json
2584	16,15,15	11,10,10	15,14,14	0,0,0	0,74,859	0,1,1	0,3,2	0,39,5	0,0,0	731.json
1787	11,11	8,8	9,9	0,0	0,44	0,2	0,4	0,55	0,0	17454.json
2004	4	3	4	0	0	0	0	0	0	4623.json
1570	1	2	1	0	0	0	0	0	0	1808.json
1785	4,4	3,3	4,4	0,0	0,54	0,1	0,2	0,8	0,0	17807.json
1681	4	3	4	0	0	0	0	0	0	20463.json
2886	15,15,15	10,10,10	15,15,15	0,0,0	0,52,2017	0,1,3	0,2,6	0,20,21	0,0,0	11181.json
3432	4,4,4	3,3,3	4,4,4	0,0,0	0,1068,1623	0,1,1	0,2,2	0,4,11	0,0,0	17137.json
1298	4,4	3,3	4,4	0,0	0,996	0,1	0,2	0,18	0,0	16406.json
1808	12,12	8,8	9,9	0,0	0,34	0,9	0,18	0,112	0,0	19954.json
2531	4,4	3,3	4,4	1,1	0,0	0,0	0,0	0,0	0,0	5530.json
120	13	13	13	0	0	0	0	0	0	4016.json
1777	4	3	4	1	0	0	0	0	0	5586.json
366	5	4	5	0	0	0	0	0	0	10416.json
3643	4,4	3,3	4,4	1,1	0,1584	0,0	0,0	0,0	0,0	6428.json
1760	4	3	4	0	0	0	0	0	0	19772.json
1502	6	5	6	0	0	0	0	0	0	14915.json
651	7	3	7	0	0	0	0	0	0	10921.json
1774	4	3	4	0	0	0	0	0	0	20315.json
651	4	3	4	1	0	0	0	0	0	21296.json
1809	4,4	3,3	4,4	0,0	0,22	0,1	0,2	0,7	0,0	18574.json
1809	4,6	3,3	4,6	0,0	0,282	0,3	0,4	0,92	0,0	18357.json
2075	9,9,11,11,25,25	6,6,8,8,17,17	7,7,9,9,22,22	0,0,0,0,0,0	0,65,443,454,741,755	0,1,9,9,16,1	0,2,16,16,18,2	0,21,134,0,440,14	0,0,0,0,0,0	3663.json
1645	4	3	4	0	0	0	0	0	0	10794.json
1025	21,21,23	14,14,15	18,18,21	0,0,0	0,156,659	0,2,13	0,4,24	0,44,391	0,0,0	9518.json
1601	4	3	4	0	0	0	0	0	0	12222.json
1502	33	20	23	0	0	0	0	0	0	415.json
120	4	3	4	0	0	0	0	0	0	4040.json
3186	4,4	3,3	4,4	0,0	0,0	0,0	0,0	0,0	0,0	9358.json
2167	4	3	4	0	0	0	0	0	0	22655.json
1774	4,4	3,3	4,4	0,0	0,961	0,1	0,2	0,7	0,0	21243.json
4120	6,5,5,6,6,6,12,17,12,9,16,16,11,11,18	5,4,4,5,5,5,8,11,8,6,10,7,7,7,11	6,5,5,6,6,6,10,13,10,7,14,11,8,11,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,57,58,113,303,380,663,736,738,872,1243,1354,2290,2377,2614	0,0,0,1,0,1,7,6,1,2,9,9,8,11,8	0,1,0,1,0,2,8,7,7,7,11,18,21,22,9	0,29,0,27,0,9,130,115,115,43,153,456,528,122,165	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7397.json
1601	4,6	3,3	4,6	0,0	0,412	0,3	0,4	0,85	0,0	12088.json
1759	13,13	8,8	9,9	0,0	0,16	0,4	0,8	0,39	0,0	13560.json
2544	4,4	3,3	4,4	0,0	0,735	0,1	0,2	0,8	0,0	17567.json
665	4	3	4	0	0	0	0	0	0	3421.json
120	8	6	8	0	0	0	0	0	0	4374.json
1576	7,7	5,5	6,6	0,0	0,449	0,1	0,2	0,26	0,0	431.json
1458	4,4	3,3	4,4	0,0	0,226	0,1	0,2	0,11	0,0	20230.json
