Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2099	15,15,14,14,12	13,13,13,13,11	15,15,14,14,11	0,0,0,0,0	0,0,9,170,1609	0,0,2,2,4	0,0,5,4,10	0,0,82,4,98	0,1,1,0,0	2184.json
701	8	4	6	0	0	0	0	0	0	148.json
1813	15,14,15	10,10,10	15,14,15	0,0,0	0,144,1549	0,4,2	0,8,3	0,25,68	0,1,0	731.json
5956	4,4,3,11,12,13	3,3,3,3,3,3	4,4,3,11,12,13	1,1,1,1,1,1	0,3707,4248,5058,5096,5100	0,0,1,9,1,1	0,0,2,10,1,1	0,0,11,242,39,36	0,0,0,0,0,1	1808.json
5959	11,12,12,12,12,12,6,8,8,8	7,7,7,7,7,7,6,6,6,6	9,10,10,10,10,10,6,8,8,8	0,0,0,0,0,0,0,0,0,0	0,911,3560,3710,4031,4080,4202,4313,5040,5915	0,2,1,0,3,1,2,4,1,1	0,3,2,0,6,2,8,6,2,2	0,14,1,0,9,2,130,139,22,12	0,0,1,0,0,1,0,0,0,0	1926.json
2021	4,4,4,4	3,3,3,3	4,4,4,4	1,1,1,1	0,92,171,192	0,2,1,1	0,4,2,2	0,6,32,3	0,0,1,1	3198.json
6425	6,6,6,5	5,5,5,5	6,6,6,5	0,0,0,0	0,4175,4496,4756	0,0,2,3	0,0,4,6	0,0,6,19	0,0,0,1	3663.json
2021	5,5,4,4,4,4	4,4,4,4,4,4	5,5,4,4,4,4	0,0,0,0,0,0	0,92,312,312,1323,1711	0,2,0,1,0,1	0,4,0,2,0,2	0,4,4,6,0,6	0,0,0,1,0,0	3421.json
6261	4,4,4,4	3,3,3,3	4,4,4,4	1,1,1,1	0,16,4012,4333	0,1,0,2	0,2,0,4	0,6,0,6	0,0,0,0	3796.json
1547	13,14,12,12	9,9,9,9	13,14,12,12	0,0,0,0	0,19,65,538	0,2,1,1	0,3,4,2	0,45,216,4	0,0,0,0	3575.json
1758	12,6,6,4,5	9,5,4,3,3	12,6,6,4,5	0,0,0,0,0	0,24,33,41,176	0,1,2,1,3	0,8,4,4,5	0,136,16,69,81	0,0,1,1,1	1490.json
4057	9,9,9,8,8	4,4,4,4,4	9,9,9,8,8	0,0,0,0,0	0,1807,2128,2332,2346	0,0,2,6,0	0,0,4,12,0	0,0,2,26,0	0,0,0,1,0	3018.json
1624	7,8	7,8	7,8	0,0	0,525	0,3	0,5	0,53	0,1	1044.json
362	3	3	3	1	0	0	0	0	0	2978.json
2091	9,9,33,33,33,33	8,8,27,27,27,27	9,9,33,33,33,33	0,0,0,0,0,0	0,162,404,922,1230,2073	0,3,29,1,1,4	0,6,33,2,2,8	0,10,1496,1,26,24	0,0,0,0,0,0	2514.json
2027	4,4	3,3	4,4	1,1	0,98	0,1	0,2	0,2	0,0	2605.json
2021	7,7,7	5,5,5	6,6,6	0,0,0	0,23,92	0,0,3	0,0,6	0,0,3	0,0,0	2870.json
6200	4,4,3,3	3,3,3,3	4,4,3,3	0,0,0,0	0,3950,4434,5187	0,0,1,1	0,0,2,2	0,1,15,20	0,0,0,1	2631.json
1881	24,21,21,21	15,15,15,15	21,18,18,18	0,0,0,0	0,170,212,1183	0,1,2,1	0,2,4,2	0,34,2,3	0,1,1,0	2311.json
1908	4,6,3	3,3,3	4,3,3	1,1,1	0,621,1009	0,3,1	0,3,5	0,235,258	0,0,0	2326.json
1432	10,10	9,9	10,10	0,0	0,62	0,1	0,2	0,7	0,0	2826.json
1587	10,11,11,12	9,9,9,9	10,11,11,12	0,0,0,0	0,29,452,693	0,2,1,2	0,3,2,3	0,39,61,41	0,0,0,0	1947.json
1552	9,9	7,7	9,9	0,0	0,664	0,1	0,2	0,17	0,1	2063.json
1165	3	3	3	0	0	0	0	0	0	1182.json
6072	14,13,24,24,24,24,24,23	9,8,17,17,17,17,19,19	10,9,20,20,20,20,20,20	0,0,0,0,0,0,0,0	0,2278,2554,3822,4143,4193,5182,5402	0,4,15,0,5,2,9,5	0,9,19,0,10,4,16,11	0,107,466,0,12,8,212,56	0,0,0,0,0,1,0,0	2483.json
996	3	3	3	1	0	0	0	0	0	530.json
4128	4,4,4,3	3,3,3,3	4,4,4,3	0,0,0,1	0,1879,2200,2530	0,0,2,1	0,0,4,2	0,0,6,17	0,0,0,0	2039.json
996	10,8	10,8	10,8	0,0	0,249	0,2	0,6	0,90	0,0	526.json
1674	19,19,19	15,15,15	16,16,16	0,0,0	0,76,1638	0,2,6	0,4,12	0,10,144	0,0,0	2736.json
2095	4,4	3,3	4,4	1,1	0,166	0,2	0,4	0,4	0,0	1737.json
5957	4,4,3	3,3,3	4,4,3	1,1,1	0,3708,5059	0,0,1	0,0,2	0,0,30	0,0,0	1765.json
6234	4,4,4,3	3,3,3,3	4,4,4,3	0,0,0,0	0,3985,4306,4427	0,0,1,1	0,0,2,2	0,0,2,6	0,0,0,0	2569.json
6217	9,9,5,5,6,5,5,5,4,4	4,4,3,3,3,3,3,3,3,3	8,8,5,5,6,5,5,5,4,4	0,0,0,0,0,0,0,0,0,0	0,17,21,24,51,110,3967,4288,4438,4619	0,9,2,2,2,1,0,3,0,2	0,18,8,4,3,3,0,6,0,4	0,57,231,12,34,34,0,8,4,15	0,1,0,1,1,1,0,0,1,0	2748.json
2027	4,4,4	3,3,3	4,4,4	1,1,1	0,20,98	0,1,1	0,2,2	0,8,2	0,0,0	2786.json
996	3,3	3,3	3,3	0,0	0,905	0,1	0,2	0,6	0,0	577.json
701	1,1	2,2	1,1	0,0	0,445	0,0	0,0	0,0	0,0	44.json
1644	17,17	17,17	17,17	0,0	0,85	0,1	0,2	0,6	0,0	1285.json
6407	4,4,3	3,3,3	4,4,3	0,0,0	0,4157,4720	0,0,0	0,0,0	0,0,4	0,0,1	927.json
2021	11,11,11,10	8,8,8,8	9,9,9,8	0,0,0,0	0,23,92,275	0,0,4,1	0,0,8,2	0,0,4,24	0,0,0,0	2872.json
4057	5,5,5,4	4,4,4,4	5,5,5,4	0,0,0,0	0,1807,2128,2307	0,0,2,1	0,0,4,2	0,0,4,11	0,0,0,0	2883.json
1881	11,8,8,8	8,8,8,8	11,8,8,8	0,0,0,0	0,1398,1565,1797	0,1,1,1	0,3,2,2	0,87,26,12	0,0,1,0	1370.json
6202	4,4,4,4	3,3,3,3	4,4,4,4	1,1,1,1	0,881,3952,4273	0,1,0,1	0,2,0,2	0,11,0,2	0,0,0,0	3776.json
6689	4,4,4,4,4,4,4	3,3,3,3,3,3,3	4,4,4,4,4,4,4	1,0,1,1,1,1,1	0,15,290,303,2367,4440,4854	0,1,1,0,1,0,1	0,2,2,0,2,0,2	0,7,7,0,17,0,14	0,0,0,0,0,0,1	3826.json
1708	5,19,19,20	4,15,15,15	5,16,16,17	0,0,0,0	0,21,118,789	0,18,1,2	0,22,2,3	0,572,42,37	0,1,0,0	2228.json
6101	4,4,4	3,3,3	4,4,4	1,1,1	0,3851,4172	0,0,2	0,0,4	0,0,10	0,0,0	2271.json
1720	3,3,3	3,3,3	3,3,3	1,1,1	0,214,1022	0,1,1	0,2,2	0,6,1	0,0,0	2140.json
1109	9,10	7,7	9,9	0,0	0,23	0,1	0,1	0,99	0,0	1937.json
1634	5	4	5	0	0	0	0	0	0	2212.json
6384	7,7,10,10,10,10,10,8	5,5,5,5,5,5,5,5	6,6,9,9,9,9,9,7	0,0,0,0,0,0,0,0	0,219,689,697,4135,4456,4505,4666	0,0,4,1,0,5,3,1	0,0,5,2,0,10,6,2	0,9,129,31,0,16,6,28	0,0,0,0,0,0,1,0	1457.json
6888	4,4,4,3,3,3	3,3,3,3,3,3	4,4,4,3,3,3	1,1,1,1,0,1	0,4638,4959,5098,5163,5171	0,0,2,0,3,1	0,0,4,0,6,2	0,0,6,4,21,8	0,0,0,0,1,1	774.json
6136	19,23,23,23,23,21,21,21,22,22,22	13,17,17,17,17,17,19,19,19,19,19	19,23,23,23,23,21,21,21,22,22,22	0,0,0,0,0,0,0,0,0,0,0	0,840,3886,4207,4257,4386,4397,4401,4436,4467,4585	0,4,0,10,3,1,4,9,2,12,1	0,4,0,20,6,2,8,18,3,24,2	0,147,0,20,6,23,116,30,48,48,13	0,1,0,0,1,0,0,1,1,1,1	3079.json
264	3	3	3	1	0	0	0	0	0	719.json
6346	17,17,17,17,17,16,16,19,19,18,18,21,32,45,45,36,36	11,11,11,11,11,11,11,12,12,13,13,16,25,33,33,28,28	16,16,16,16,16,15,15,18,18,17,17,20,30,40,40,34,34	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,51,1298,4097,4418,4617,4635,4652,4736,4811,5013,5119,5267,5294,5430,5459,5742	0,1,2,0,4,1,1,5,2,13,2,5,25,17,7,5,1	0,2,4,0,8,2,2,7,4,27,4,7,39,21,14,19,2	0,5,12,0,8,10,39,277,2,453,20,103,614,520,163,631,1	0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1	3285.json
2017	4,4,14,14	3,3,12,12	4,4,14,14	0,0,0,0	0,88,233,1319	0,2,12,2	0,4,13,4	0,4,422,2	0,0,0,0	3226.json
6402	36,30,30,25,26,26,25,24,24,24,24,24,24,24,21,21,21,8	20,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7	31,26,26,23,24,24,23,23,23,23,23,23,23,23,20,20,20,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,7,17,198,237,461,675,909,1354,2159,4152,4473,4523,4591,4687,5037,5092	0,3,2,0,2,0,3,1,2,4,1,0,7,4,3,1,2,2	0,12,4,5,3,0,7,3,4,8,2,0,14,8,9,2,4,17	0,271,4,106,49,4,42,7,62,8,12,0,28,8,24,13,12,785	0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1	1538.json
1784	18,15,14	6,3,3	11,8,7	0,0,0	0,24,56	0,5,2	0,13,5	0,82,82	0,0,0	1684.json
1098	28	23	25	0	0	0	0	0	0	786.json
6152	6,6,6,6,5,8,8	5,5,5,5,5,8,8	6,6,6,6,5,8,8	0,0,0,0,0,0,0	0,3902,4223,4255,4393,4517,5454	0,0,3,1,1,4,1	0,0,6,2,2,5,2	0,0,18,17,18,83,1	0,0,0,0,0,0,0	1603.json
1545	12	12	12	0	0	0	0	0	0	1975.json
1720	3,16	3,3	3,16	1,1	0,821	0,14	0,15	0,611	0,0	1982.json
49	3	2	2	0	0	0	0	0	0	47.json
6217	4,5,5,5,3	3,3,3,3,3	4,5,5,5,3	0,0,0,0,0	0,17,1974,3967,4532	0,5,1,0,1	0,9,2,0,2	0,67,13,0,18	0,1,0,0,1	2714.json
3217	4,4,4	3,3,3	4,4,4	1,1,1	0,967,1288	0,0,1	0,0,2	0,0,2	0,0,0	3029.json
6204	10,9,20,20,24,24,28,26,30,30,30,30,32,32,25,24,24,19,20	5,5,15,15,19,19,22,19,22,22,22,22,24,24,19,19,19,15,15	10,9,20,20,21,21,24,23,26,26,26,26,28,28,21,21,21,18,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,39,98,424,424,477,2706,2707,2794,3954,4275,4325,4349,4387,4422,4495,4614,4769,5900	0,0,13,5,20,2,4,3,4,0,11,1,3,1,3,1,1,13,2	0,0,15,10,36,4,4,8,4,0,22,2,4,2,11,2,2,31,3	0,17,425,106,437,133,96,41,86,2,48,2,90,29,272,3,5,126,65	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0	1907.json
500	2,2	2,2	2,2	0,0	0,244	0,0	0,0	0,0	0,0	70.json
996	3	3	3	0	0	0	0	0	0	564.json
6217	4,4,4,4	3,3,3,3	4,4,4,4	0,0,0,0	0,17,3967,4288	0,4,0,1	0,8,0,2	0,18,0,2	0,1,0,0	2630.json
6355	17,15,15,15,15,26,26,28,30,30,30,30,18,18,18,14,14,14,18,18,18	10,10,10,10,10,17,17,18,19,19,19,19,12,12,12,9,9,9,12,12,12	15,14,14,14,14,22,22,24,26,26,26,26,18,18,18,13,13,13,17,17,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,60,62,403,416,455,1023,1307,1834,1948,2871,4106,4427,4610,4628,4733,5255,5495,6208	0,2,3,1,1,13,0,5,4,1,1,1,2,0,4,1,1,2,6,0,1	0,6,6,2,2,15,0,8,6,2,2,2,16,0,8,5,2,4,8,0,2	0,77,56,13,13,384,0,150,102,6,9,23,404,0,16,161,5,2,119,0,12	0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1	753.json
124	3	3	3	1	0	0	0	0	0	1595.json
264	10	9	10	0	0	0	0	0	0	1701.json
6136	30,38,38,38,38,38,37,43,19,17	16,20,20,20,20,20,20,25,15,14	23,32,32,32,32,32,31,36,17,16	0,0,0,0,0,0,0,0,0,0	0,129,1088,3886,4207,4257,4393,4416,4468,4746	0,33,3,0,13,5,1,8,3,1	0,58,6,0,26,10,2,10,30,4	0,971,6,0,28,25,32,126,1008,50	0,1,0,0,0,1,0,1,1,1	3040.json
1012	3	3	3	1	0	0	0	0	0	3474.json
996	3,3	3,3	3,3	0,0	0,905	0,1	0,2	0,6	0,0	578.json
17	3	2	2	0	0	0	0	0	0	115.json
1554	9	7	9	0	0	0	0	0	0	3464.json
1626	8,8,3	7,7,3	8,8,3	0,0,1	0,467,1128	0,1,1	0,2,7	0,13,170	0,0,0	1134.json
4128	12,12,12,12,11,11,11	9,9,9,9,9,9,9	12,12,12,12,11,11,11	0,0,0,0,0,0,0	0,1879,2200,2232,2399,2567,3524	0,0,5,1,1,1,2	0,0,10,2,2,2,4	0,0,16,16,23,4,2	0,0,0,0,1,1,1	2044.json
1634	3,3	3,3	3,3	1,1	0,736	0,1	0,2	0,27	0,0	1601.json
1707	12,10,15,10,8,10,9	5,3,4,3,3,3,3	12,10,15,10,8,10,9	0,0,0,0,0,0,0	0,1,518,518,585,1230,1327	0,3,6,1,4,5,3	0,8,7,7,10,8,7	0,130,274,274,185,146,140	0,1,0,0,0,0,0	1385.json
