Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4670	9,9	8,8	8,8	0,0	0,1301	0,0	0,0	0,0	0,1	148.json
3179	3,3,3	3,3,3	3,3,3	0,0,0	0,353,598	0,1,1	0,2,2	0,22,6	0,0,0	731.json
5376	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,445,2007,2795,4719	0,1,0,1,2	0,2,0,2,4	0,12,0,12,4	0,0,1,0,1	183.json
2855	3	3	3	0	0	0	0	0	0	415.json
3370	13,13,13,13,13,13,13	13,13,13,13,13,13,13	13,13,13,13,13,13,13	0,0,0,0,0,0,0	0,1,2,526,533,789,2660	0,0,1,1,2,4,1	0,0,2,2,4,8,2	0,0,8,9,4,24,4	0,1,0,1,0,0,0	431.json
74	3	3	3	0	0	0	0	0	0	1044.json
4826	7,7,7,7	7,7,7,7	7,7,7,7	0,0,0,0	0,4,1457,2741	0,0,0,1	0,0,0,2	0,0,0,3	0,0,1,0	333.json
141	7	7	7	0	0	0	0	0	0	284.json
4826	3,3,3	3,3,3	3,3,3	1,1,1	0,4,1457	0,0,0	0,0,0	0,0,0	0,0,1	220.json
3370	3,3	3,3	3,3	1,1	0,1	0,0	0,0	0,0	0,1	307.json
770	6,6	6,6	6,6	0,0	0,115	0,1	0,2	0,50	0,0	1182.json
4043	10,10,10,10	10,10,10,10	10,10,10,10	0,0,0,0	0,54,673,1462	0,2,0,2	0,4,0,4	0,32,0,18	0,0,1,0	530.json
4043	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,673,1205,1462	0,0,1,1	0,0,2,2	0,0,2,12	0,1,0,0	526.json
516	5	5	5	0	0	0	0	0	0	403.json
4280	2,2,2,2,3	2,2,2,2,2	2,2,2,2,2	0,0,0,0,0	0,911,919,920,4020	0,0,0,0,1	0,0,0,0,1	0,0,0,0,16	0,1,0,0,0	577.json
4820	6,6,6	6,6,6	6,6,6	0,0,0	0,1451,2239	0,0,1	0,0,2	0,0,6	0,1,0	44.json
6379	5,5,5,5,5	3,3,3,3,3	5,5,5,5,5	0,0,0,0,0	0,126,382,384,3010	0,0,1,1,0	0,0,2,2,0	0,0,1,5,0	0,0,1,0,1	250.json
