Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
652	7,7	6,6	6,6	0,0	0,586	0,1	0,2	0,15	0,0	2184.json
4367	29,29,29,29,27,27,27	18,18,18,18,18,18,18	20,20,20,20,18,18,18	0,0,0,0,0,0,0	0,313,583,606,929,1721,2909	0,2,0,0,3,1,1	0,4,0,0,6,2,2	0,6,0,0,48,6,1	0,0,0,0,0,0,0	148.json
3287	16,16,16,16,16,16	14,14,14,14,14,14	16,16,16,16,16,16	0,0,0,0,0,0	0,1,1,45,641,641	0,1,0,1,2,3	0,2,0,2,4,6	0,17,0,17,42,18	0,0,0,0,0,0	731.json
2101	12,12,20,20,20,20,20,20	12,12,16,16,16,16,16,16	12,12,19,19,19,19,19,19	0,0,0,0,0,0,0,0	0,826,1006,1006,1006,1188,1496,2056	0,1,13,1,1,3,1,1	0,2,18,2,2,6,2,2	0,6,464,3,3,24,8,14	0,0,0,0,1,0,0,0	183.json
222	3	3	3	0	0	0	0	0	0	1808.json
1876	6,6	5,5	5,5	0,0	0,567	0,1	0,2	0,2	0,0	1926.json
5363	3,3,3,12,12,12	3,3,3,12,12,12	3,3,3,12,12,12	0,0,0,0,0,0	0,1579,1602,2627,2717,2717	0,0,0,10,1,1	0,0,0,11,2,2	0,0,0,271,18,6	0,0,0,1,0,0	415.json
3948	1,1,1	3,3,3	1,1,1	0,0,0	0,164,187	0,0,0	0,0,0	0,0,0	0,0,0	431.json
3759	3	3	3	1	0	0	0	0	0	1490.json
923	3	3	3	0	0	0	0	0	0	3018.json
6092	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,2308,2331,3446	0,0,0,1	0,0,0,2	0,0,0,6	0,0,0,0	1044.json
1418	5,5	5,5	5,5	0,0	0,143	0,1	0,2	0,6	0,0	333.json
5766	3,3,3,3,3,3	4,3,3,3,3,3	3,3,3,3,3,3	0,1,1,1,1,1	0,56,1813,1982,2005,3120	0,1,1,0,0,1	0,2,2,0,0,2	0,1,6,0,0,6	0,0,0,0,0,0	284.json
923	16,16	15,15	15,15	0,0	0,10	0,4	0,8	0,24	0,0	2978.json
3331	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,11,35,686	0,1,0,1	0,2,0,2	0,4,0,6	0,0,0,0	2514.json
110	3,3,3	3,3,3	3,3,3	0,0,0	0,0,1	0,0,1	0,0,2	0,0,6	0,0,0	2605.json
6146	71,71,71,71,71,73,73	66,66,66,66,66,68,68	66,66,66,66,66,68,68	0,0,0,0,0,0,0	0,2092,2362,2385,3500,3881,5916	0,1,0,0,1,2,1	0,2,0,0,2,2,2	0,10,0,0,12,60,34	0,0,0,0,0,0,0	2870.json
5793	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,2,13,27,2009,2032	0,1,1,1,0,0	0,2,2,2,0,0	0,12,17,5,0,0	0,0,0,0,0,0	220.json
5793	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,2,13,27,113,2009,2032	0,1,1,1,1,0,0	0,2,2,2,2,0,0	0,12,12,7,7,0,0	0,0,0,0,0,0,0	307.json
3729	3	3	3	0	0	0	0	0	0	2631.json
5798	7,7,7,7,7,7,7,7	7,7,7,7,7,7,7,7	7,7,7,7,7,7,7,7	0,0,0,0,0,0,0,0	0,70,680,1924,2014,2037,3152,3152	0,1,1,2,0,0,1,1	0,2,2,4,0,0,2,2	0,12,15,13,0,0,12,6	0,0,0,0,0,0,0,0	2311.json
2371	15,15	15,15	15,15	0,0	0,247	0,1	0,2	0,12	0,0	2326.json
1856	12,12,12	12,12,12	12,12,12	0,0,0	0,581,1186	0,1,3	0,2,6	0,126,67	0,0,0	2826.json
6145	9,9,9,9	9,9,9,9	9,9,9,9	0,0,0,0	0,2361,2384,3499	0,0,0,1	0,0,0,2	0,0,0,12	0,0,0,0	1947.json
6486	4,7,7,7,7,6,6,6,6,4,4,4,4	4,7,7,7,7,6,6,6,6,4,4,4,4	4,7,7,7,7,6,6,6,6,4,4,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0	0,366,378,2702,2725,3549,3840,3940,3940,5389,5437,5816,6441	0,3,1,0,0,2,1,1,1,1,1,1,1	0,3,2,0,0,5,2,2,2,4,2,2,2	0,99,26,0,0,62,6,47,25,75,3,19,14	0,0,0,0,0,0,0,0,0,0,0,0,0	2063.json
6425	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,2,2641,2664,3123	0,1,0,0,1	0,2,0,0,2	0,12,0,0,52	0,0,0,0,0	1182.json
346	3	3	3	0	0	0	0	0	0	2483.json
5665	3,4,4,4	3,4,4,4	3,4,4,4	0,0,0,0	0,302,1881,1904	0,2,0,0	0,3,0,0	0,29,0,0	0,0,0,0	530.json
1338	3	3	3	0	0	0	0	0	0	2039.json
5665	7,7,8,8,8,8,8,8	7,7,8,8,8,8,8,8	7,7,8,8,8,8,8,8	0,0,0,0,0,0,0,0	0,291,302,1786,1881,1904,3019,3019	0,4,2,1,0,0,1,1	0,8,3,2,0,0,2,2	0,12,29,4,0,0,6,6	0,0,0,0,0,0,0,0	526.json
5363	3,3,3	3,3,3	3,3,3	0,0,0	0,1579,1602	0,0,0	0,0,0	0,0,0	0,0,0	403.json
5685	38,38,51,52,52,52,52,52,52,52	29,29,41,42,42,42,42,42,42,42	37,37,44,45,45,45,45,45,45,45	0,0,0,0,0,0,0,0,0,0	0,0,19,422,1901,1924,3039,4217,4242,5015	0,2,47,6,0,0,3,8,1,1	0,4,81,11,0,0,6,16,2,2	0,16,1575,50,0,0,18,136,2,13	0,0,1,1,0,0,0,0,1,0	2736.json
2750	3,3,3	3,3,3	3,3,3	0,0,0	0,104,2046	0,1,1	0,2,2	0,12,33	0,0,0	1737.json
3303	3,3	3,3	3,3	0,0	0,657	0,1	0,2	0,6	0,0	1765.json
2762	16,16,17,19,19,19,19,18,17,17	15,15,15,17,17,17,17,17,16,16	16,16,17,19,19,19,19,18,17,17	0,0,0,0,0,0,0,0,0,0	0,0,6,6,6,116,116,921,921,1517	0,3,5,4,2,2,2,1,1,1	0,6,9,6,4,4,4,2,3,2	0,6,323,29,41,30,12,24,33,1	0,0,0,0,0,0,0,0,0,1	2569.json
5039	3,3,3	3,3,3	3,3,3	0,0,0	0,1255,1278	0,0,0	0,0,0	0,0,0	0,0,0	2748.json
6312	26,22,22,22,22,22,22,27,30,28,28	17,18,18,18,18,18,18,22,24,23,23	24,18,18,18,18,18,18,22,24,23,23	0,0,0,0,0,0,0,0,0,0,0	0,151,2529,2552,3305,3667,3667,4281,4456,4497,4569	0,19,0,0,0,1,2,5,10,2,1	0,42,0,0,0,2,4,5,17,6,2	0,499,0,0,60,12,12,163,248,134,29	0,0,0,0,0,0,0,0,0,0,0	2786.json
