Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
476	6,6,7,6,6	6,6,7,6,6	6,6,7,6,6	0,0,0,0,0	0,99,104,122,126	0,0,2,1,2	0,0,3,3,4	0,0,86,92,27	0,0,0,0,0	731.json
203	3	3	3	0	0	0	0	0	0	183.json
269	3,3,3	3,3,3	3,3,3	0,0,0	0,9,93	0,2,2	0,4,4	0,42,8	0,1,0	415.json
3511	4,4,4,9,12,13,15,15,15,15,15,15,12,12,3,3,3,3,3,3,3,3,3,3	4,4,4,8,11,12,14,14,14,14,14,14,11,11,3,3,3,3,3,3,3,3,3,3	4,4,4,8,11,12,14,14,14,14,14,14,11,11,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,26,26,216,285,292,381,406,406,407,410,440,483,511,518,572,573,1481,2218,2832,2838,3035,3225,3438	0,0,1,6,3,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1	0,0,2,7,3,5,2,2,2,2,2,2,3,2,11,2,2,2,2,2,2,2,4,2	0,0,8,260,154,75,90,34,12,12,19,12,152,9,423,3,7,6,13,17,7,13,38,65	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1	1490.json
1293	3,3	3,3	3,3	0,0	0,620	0,0	0,0	0,0	0,0	1044.json
2030	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0	0,959,1357,1370,1380,1481,1650,1681,1702,1744	0,1,0,0,0,1,3,1,1,1	0,2,0,0,0,2,3,2,2,2	0,49,0,0,0,1,1,15,1,12	0,0,0,0,0,0,0,0,0,1	333.json
2795	4,4	4,4	4,4	0,0	0,2122	0,0	0,0	0,0	0,0	284.json
203	3	3	3	1	0	0	0	0	0	220.json
300	3,3	3,3	3,3	1,1	0,5	0,2	0,4	0,24	0,0	307.json
349	3	3	3	0	0	0	0	0	0	1182.json
225	9	3	9	1	0	0	0	0	0	530.json
225	8	3	8	0	0	0	0	0	0	526.json
269	3,3	3,3	3,3	0,0	0,9	0,2	0,4	0,20	0,1	403.json
371	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,0,49,76,306	0,1,2,0,1	0,2,4,0,2	0,6,24,0,14	0,0,0,0,0	577.json
309	13	12	12	0	0	0	0	0	0	44.json
378	4	4	4	0	0	0	0	0	0	1285.json
3979	3,3,3,3,3,3,2,2,3,3,4,3,3,6,16,15,17,17,17,17,24,26,22,25,26	3,3,3,3,3,3,2,2,3,3,4,3,3,6,14,14,17,17,17,17,19,18,12,14,8	3,3,3,3,3,3,2,2,3,3,4,3,3,6,16,15,17,17,17,17,19,18,12,14,22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,32,422,425,492,493,494,684,742,742,743,933,1002,1735,1740,1740,1742,2863,3306,3596,3783,3802,3852,3895,3907	0,1,0,0,0,1,0,0,1,1,2,1,1,3,11,2,8,1,0,0,19,21,11,3,22	0,2,0,0,0,2,1,0,1,2,3,3,2,3,12,5,14,2,0,0,31,40,26,3,43	0,12,0,0,0,7,30,0,30,7,39,39,12,147,535,101,226,12,0,0,358,993,594,113,932	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0	250.json
665	3	3	3	0	0	0	0	0	0	1370.json
203	21,21	21,21	21,21	0,0	0,83	0,1	0,2	0,7	0,1	225.json
3512	3,4,4,4,4,4,3,4,4,4,9,10,11,13,13,14	3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4	3,4,4,4,4,4,3,4,4,4,9,10,11,13,13,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,27,217,276,945,1199,1312,2712,2839,3163,3163,3164,3166,3172,3203	0,3,0,0,1,0,1,2,1,0,2,1,1,2,1,1	0,5,0,0,2,0,3,3,2,0,6,1,1,2,2,1	0,112,0,0,13,0,131,131,87,0,108,59,73,155,7,59	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1457.json
729	3,3	2,2	2,2	0,0	0,56	0,0	0,0	0,0	0,0	774.json
729	7,7,7,7,7	6,6,6,6,6	6,6,6,6,6	0,0,0,0,0	0,52,56,57,657	0,6,0,0,6	0,12,0,0,12	0,26,0,0,26	0,0,0,0,1	719.json
3549	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,2	3,3,3,3,3,3,3,3,3,2	0,0,0,0,0,0,0,0,0,0	0,0,37,63,63,101,254,572,2876,3073	0,0,0,0,1,1,2,1,0,1	0,0,0,0,2,2,4,2,0,2	0,0,0,0,7,7,13,14,0,29	0,0,0,0,0,0,0,0,0,0	1538.json
608	16,16,16,16,16,16	14,14,14,14,14,14	14,14,14,14,14,14	0,0,0,0,0,0	0,5,237,258,313,396	0,0,0,0,0,2	0,0,0,0,0,4	0,0,0,0,0,108	0,0,0,0,0,0	786.json
269	3,3,3	3,3,3	3,3,3	0,0,0	0,9,93	0,1,2	0,2,4	0,4,69	0,1,0	355.json
269	3	3	3	0	0	0	0	0	0	359.json
309	3	3	3	0	0	0	0	0	0	47.json
