Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4562	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,87,150,1582,4036	0,2,2,0,0	0,4,4,0,0	0,75,8,0,0	0,0,0,0,0	29850.json
3963	3,3,3	3,3,3	3,3,3	1,1,1	0,983,3436	0,0,0	0,0,0	0,0,0	0,0,0	26253.json
4562	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,87,1582,4036	0,2,0,0	0,4,0,0	0,6,0,0	0,0,0,0	29342.json
4562	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,87,1582,4036	0,2,0,0	0,4,0,0	0,33,0,0	0,0,0,0	29600.json
431	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	4925.json
431	7,7	7,7	7,7	0,0	0,0	0,0	0,0	0,0	0,0	4281.json
4475	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,176,1495,1918,3948	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	34152.json
2517	4,4	2,2	3,3	0,0	0,1990	0,0	0,0	0,0	0,0	6491.json
720	5,5	3,3	4,4	0,0	0,193	0,0	0,0	0,0	0,0	2184.json
431	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	4913.json
1825	30,30	28,28	28,28	0,0	0,1298	0,0	0,0	0,0	0,0	148.json
2726	3,3	3,3	3,3	1,1	0,2200	0,0	0,0	0,0	0,0	11879.json
1296	24,64,25,25	9,41,11,11	12,45,13,13	0,0,0,0	0,138,664,770	0,46,12,0	0,52,63,0	0,1187,1518,0	0,0,0,0	15388.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	14050.json
4562	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,87,1582,4036	0,2,0,2	0,4,0,4	0,22,0,72	0,0,0,0	25636.json
3594	6,6,6	6,6,6	6,6,6	0,0,0	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	12851.json
417	3	3	3	1	0	0	0	0	0	24667.json
4562	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,87,150,1582,4036	0,2,2,0,0	0,4,4,0,0	0,77,8,0,0	0,0,0,0,0	29849.json
3966	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,581,986,3439	0,1,0,0	0,2,0,0	0,36,0,0	0,0,0,0	27672.json
3826	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,3,846,3300	0,1,0,0	0,2,0,0	0,2,0,0	0,0,0,0	16260.json
4037	3,3,3	3,3,3	3,3,3	0,0,0	0,1057,3510	0,0,0	0,0,0	0,0,0	0,0,0	14758.json
526	3	3	3	1	0	0	0	0	0	8739.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	21187.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,2	0,0,4	0,0,22	0,0,0	25505.json
431	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	5081.json
4496	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,9,1516,3969	0,2,0,0	0,4,0,0	0,29,0,0	0,0,0,0	18737.json
3966	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,581,986,3439	0,2,0,0	0,4,0,0	0,52,0,0	0,0,0,0	26730.json
4475	8,8,8	8,8,8	8,8,8	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	31073.json
4374	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,546,1394,3847	0,2,0,0	0,4,0,0	0,10,0,0	0,0,0,0	22515.json
3594	3,3,3	3,3,3	3,3,3	0,0,0	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	11120.json
2840	16,72,75,75,75	8,32,32,32,32	11,39,39,39,39	0,0,0,0,0	0,928,928,2313,2395	0,62,4,0,1	0,68,5,0,2	0,1608,92,0,6	0,0,0,0,0	8474.json
3826	3,3,3	3,3,3	3,3,3	0,0,0	0,846,3300	0,0,0	0,0,0	0,0,0	0,0,0	15746.json
431	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	3721.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	14017.json
3785	44,37,37,37,37,37	26,28,28,28,28,28	30,30,30,30,30,30	0,0,0,0,0,0	0,0,805,1047,1226,3259	0,25,0,1,1,0	0,57,0,2,2,0	0,745,0,28,16,0	0,0,0,0,0,0	8365.json
417	3	3	3	1	0	0	0	0	0	36007.json
1825	19,19,19	16,16,16	19,19,19	0,0,0	0,3,1298	0,0,0	0,0,0	0,0,0	0,0,0	731.json
4487	3,3,3	3,3,3	3,3,3	1,1,1	0,1507,3960	0,0,0	0,0,0	0,0,0	0,0,0	23101.json
436	3	3	3	0	0	0	0	0	0	17454.json
431	6,6	6,6	6,6	0,0	0,0	0,0	0,0	0,0	0,0	4623.json
1825	8,8	7,7	7,7	0,0	0,1298	0,0	0,0	0,0	0,0	183.json
3963	3,3,3	3,3,3	3,3,3	0,0,0	0,983,3436	0,0,0	0,0,0	0,0,0	0,0,0	26158.json
4562	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,87,1582,4036	0,2,0,0	0,4,0,0	0,36,0,0	0,0,0,0	29569.json
1825	5,5,5	5,5,5	5,5,5	0,0,0	0,3,1298	0,0,0	0,0,0	0,0,0	0,0,0	1808.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	11890.json
417	3	3	3	0	0	0	0	0	0	17807.json
436	3	3	3	1	0	0	0	0	0	34955.json
436	3	3	3	1	0	0	0	0	0	22087.json
4475	3,3,3	3,3,3	3,3,3	1,1,1	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	29275.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	20463.json
447	4	3	4	0	0	0	0	0	0	18288.json
3966	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,581,986,3439	0,2,0,0	0,4,0,0	0,28,0,0	0,0,0,0	26961.json
436	3	3	3	0	0	0	0	0	0	15625.json
4475	7,7,7	7,7,7	7,7,7	0,0,0	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	31768.json
3840	6,6,6,6	3,3,3,3	5,5,5,5	0,0,0,0	0,642,860,3314	0,1,0,0	0,2,0,0	0,6,0,0	0,0,0,0	5782.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	9386.json
4475	3,3,3	3,3,3	3,3,3	1,1,1	0,1495,3948	0,0,0	0,0,0	0,0,0	0,0,0	31726.json
3594	3,3,3	3,3,3	3,3,3	1,1,1	0,614,3067	0,0,0	0,0,0	0,0,0	0,0,0	11181.json
436	3	3	3	1	0	0	0	0	0	34097.json
3827	3,3,3	3,3,3	3,3,3	1,1,1	0,847,3301	0,0,0	0,0,0	0,0,0	0,0,0	21948.json
