Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1912	45,45,45	32,32,32	43,43,43	0,0,0	0,62,747	0,0,2	0,0,4	0,0,21	0,0,0	2184.json
1326	3,3	3,3	3,3	0,0	0,161	0,0	0,0	0,0	0,0	148.json
1121	22	17	19	0	0	0	0	0	0	3721.json
462	3	3	3	0	0	0	0	0	0	731.json
332	34,34,34,40,43,44	33,33,33,38,38,39	31,31,31,36,38,39	0,0,0,0,0,0	0,21,27,51,124,244	0,1,1,9,38,1	0,2,2,12,73,1	0,42,25,199,268,32	0,0,0,1,0,0	183.json
1697	3,3	3,3	3,3	1,1	0,532	0,0	0,0	0,0	0,0	1808.json
2081	6,6,6,7	5,5,5,6	5,5,5,6	0,0,0,0	0,231,916,1822	0,0,0,1	0,0,0,1	0,0,0,52	0,0,0,0	1926.json
44	3	3	3	0	0	0	0	0	0	3198.json
2990	5,4	4,4	4,4	0,0	0,1001	0,0	0,0	0,1	0,0	3663.json
2663	12,12,15	11,11,14	11,11,14	0,0,0	0,813,1498	0,0,0	0,0,0	0,0,119	0,0,0	415.json
2410	23,24,27,27,27,27	22,22,27,27,27,27	20,21,26,26,26,26	0,0,0,0,0,0	0,329,337,560,910,1245	0,13,25,0,1,0	0,25,47,0,2,0	0,101,682,0,23,0	0,0,0,0,0,0	3421.json
2081	13,13,13	13,13,13	13,13,13	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	431.json
2990	10,14,14,14,14,17,16,20	11,15,15,15,15,18,14,15	10,14,14,14,14,17,15,18	0,0,0,0,0,0,0,0	0,32,35,61,70,543,909,1001	0,12,1,2,1,5,8,4	0,20,2,4,2,7,17,4	0,174,10,27,14,265,457,239	0,0,0,0,0,0,0,0	3796.json
1326	3,3	2,2	2,2	0,0	0,161	0,0	0,0	0,0	0,0	3575.json
2989	6,6,6,6	6,6,6,6	6,6,6,6	0,0,0,0	0,908,1139,1824	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1490.json
1697	3,3	3,3	3,3	0,0	0,532	0,0	0,0	0,0	0,0	3018.json
1659	13,13	11,11	11,11	0,0	0,494	0,0	0,0	0,0	0,0	1044.json
3074	9,9,9,9	9,9,9,9	9,9,9,9	0,0,0,0	0,126,1224,1909	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	333.json
738	25,25	15,14	20,20	0,0	0,274	0,1	0,2	0,17	0,0	284.json
2982	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,34,901,1132,1817	0,0,1,1,0	0,0,2,2,0	0,0,6,21,0	0,0,0,0,0	2978.json
2255	9,17,27,27,27	9,9,9,9,9	9,13,23,23,23	0,0,0,0,0	0,60,174,405,1090	0,12,16,0,0	0,16,22,0,0	0,306,311,0,0	0,0,0,0,0	2514.json
1165	3	3	3	0	0	0	0	0	0	2605.json
2081	4,4,4	4,4,4	4,4,4	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,0,0	2870.json
478	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,1,161,168	0,0,1,1	0,0,2,2	0,0,12,18	0,0,0,0	220.json
3074	5,5,5,8,8,8	5,5,5,8,8,8	5,5,5,8,8,8	0,0,0,0,0,0	0,83,126,448,1224,1909	0,1,0,5,0,0	0,2,0,7,0,0	0,7,0,127,0,0	0,0,0,0,0,0	307.json
2964	4,5,5,6,7,7,7	4,5,5,6,7,7,7	4,5,5,6,7,7,7	0,0,0,0,0,0,0	0,301,883,919,947,1114,1799	0,4,5,1,1,0,0	0,7,10,1,1,0,0	0,80,120,34,41,0,0	0,0,0,0,0,0,0	2631.json
1121	3	2	2	0	0	0	0	0	0	2311.json
1165	3	3	3	1	0	0	0	0	0	2326.json
1095	3	3	3	0	0	0	0	0	0	2826.json
2017	3,3,3	3,3,3	3,3,3	1,1,1	0,167,852	0,0,0	0,0,0	0,0,0	0,0,0	1947.json
2552	19,19,19,19,26	11,11,11,11,11	15,15,15,15,21	0,0,0,0,0	0,470,702,1386,2344	0,1,0,0,24	0,2,0,0,41	0,15,0,0,137	0,0,0,0,0	2063.json
900	3	3	3	0	0	0	0	0	0	1182.json
2255	22,23,38,42,45,45,45,44	15,16,21,22,23,23,23,23	21,22,30,31,34,34,34,33	0,0,0,0,0,0,0,0	0,161,174,182,210,405,1090,1645	0,2,33,4,4,3,0,1	0,3,51,4,5,6,0,3	0,68,939,195,186,28,0,39	0,0,0,0,0,0,0,0	2483.json
3063	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,72,81,115,982,1213,1898	0,1,1,0,1,0,0	0,2,2,0,2,0,0	0,8,8,0,10,0,0	0,0,0,0,0,0,0	530.json
235	6	3	6	0	0	0	0	0	0	2039.json
3063	5,5,5,5	5,5,5,5	5,5,5,5	0,0,0,0	0,115,1213,1898	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	526.json
