Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
364	3	3	3	0	0	0	0	0	0	29850.json
1793	3,3	3,3	3,3	0,0	0,139	0,0	0,0	0,0	0,0	41122.json
2247	4,6,6,6,6,6,6,6,6	4,6,6,6,6,6,6,6,6	4,6,6,6,6,6,6,6,6	0,0,0,0,0,0,0,0,0	0,11,13,124,125,252,383,538,622	0,4,5,0,0,1,1,1,2	0,6,10,0,0,2,2,2,4	0,152,425,0,0,29,7,13,118	0,0,0,0,0,0,0,0,0	26253.json
361	3	3	3	0	0	0	0	0	0	29342.json
339	3,11	3,11	3,11	0,0	0,31	0,10	0,12	0,137	0,0	29600.json
1893	33	17	21	0	0	0	0	0	0	4281.json
399	3,3	3,3	3,3	1,1	0,116	0,0	0,0	0,0	0,0	34152.json
56	12	4	10	0	0	0	0	0	0	4913.json
66	6,6	4,4	6,6	0,0	0,42	0,1	0,2	0,33	0,0	11879.json
1400	14,14,15,15,7	10,10,10,10,5	10,10,11,11,5	0,0,0,0,0	0,69,69,369,375	0,1,2,1,2	0,2,3,2,12	0,7,119,6,302	0,0,0,0,0	15388.json
296	5	5	5	0	0	0	0	0	0	14050.json
2247	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,124,125,581,581,669	0,0,0,2,2,1	0,0,0,4,4,2	0,0,0,10,10,4	0,0,0,0,0,0	25636.json
1285	4,4,5	4,4,5	4,4,5	0,0,0	0,444,578	0,1,1	0,2,1	0,7,63	0,0,0	12851.json
42	3	3	3	0	0	0	0	0	0	24667.json
364	13	13	13	0	0	0	0	0	0	29849.json
387	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,7,104,118	0,0,1,0	0,0,2,0	0,0,4,0	0,0,0,1	27672.json
1127	3	3	3	0	0	0	0	0	0	16260.json
1777	8,8,6,8	8,8,6,8	8,8,6,8	0,0,0,0	0,123,523,523	0,0,4,6	0,0,7,10	0,0,140,145	0,0,0,0	42314.json
311	3	3	3	0	0	0	0	0	0	14758.json
1659	15,11,17,17,17,16,27,3,6,28,42,41,43,45,45,44,45,47,47,53,50,14	8,8,12,12,12,10,17,2,3,15,23,23,24,23,23,24,25,27,27,33,30,3	8,8,12,12,12,11,20,3,5,20,33,32,33,36,36,34,35,37,37,43,40,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,5,24,110,320,320,350,370,465,488,496,839,863,1123,1124,1134,1350,1375,1622,1622	0,1,9,0,1,8,22,1,6,25,26,5,6,5,2,4,1,3,1,12,0,10	0,6,12,0,2,17,32,26,9,28,38,11,10,8,4,6,1,4,2,18,3,56	0,142,253,0,1,246,601,771,211,912,490,77,180,132,18,84,53,50,55,144,103,1448	0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40502.json
548	8	8	8	0	0	0	0	0	0	8739.json
1739	57,57,59,70,56,63,63,64,65,64	37,37,37,41,35,41,41,42,43,42	38,38,40,48,36,42,42,43,44,43	0,0,0,0,0,0,0,0,0,0	0,85,427,436,469,478,576,1434,1641,1734	0,0,10,15,7,9,2,10,1,4	0,0,18,19,28,11,4,19,1,9	0,0,232,447,697,258,80,258,57,54	0,0,0,0,0,0,0,0,0,0	39799.json
1480	5	5	5	0	0	0	0	0	0	21187.json
1408	6,6,5,7,7,7	5,5,4,5,5,5	5,5,4,5,5,5	0,0,0,0,0,0	0,162,307,495,560,845	0,0,1,2,1,0	0,0,3,2,2,0	0,0,47,82,22,0	0,0,0,0,0,0	25505.json
1162	3,3,8	3,3,3	3,3,8	0,0,0	0,343,1157	0,1,6	0,2,7	0,22,164	0,0,0	5081.json
1240	3,3	3,3	3,3	0,0	0,1065	0,0	0,0	0,0	0,0	18737.json
1474	4,4	3,3	3,3	0,0	0,158	0,1	0,2	0,24	0,0	26730.json
51	4	3	4	0	0	0	0	0	0	31073.json
1262	8	8	8	0	0	0	0	0	0	41811.json
72	3	3	3	1	0	0	0	0	0	22515.json
1688	3	3	3	1	0	0	0	0	0	11120.json
3129	6,6,6,6,6,6	5,5,5,5,5,5	6,6,6,6,6,6	0,0,0,0,0,0	0,160,211,798,1006,1007	0,2,0,0,0,0	0,4,0,0,0,0	0,18,0,0,0,0	0,0,0,0,0,0	4428.json
38	4	4	4	0	0	0	0	0	0	8474.json
1031	8	6	6	0	0	0	0	0	0	15746.json
1831	5,5	5,5	5,5	0,0	0,1424	0,1	0,2	0,15	0,0	3721.json
430	34	25	25	0	0	0	0	0	0	14017.json
1224	3,3,3	3,3,3	3,3,3	1,1,1	0,0,253	0,0,0	0,0,0	0,0,0	0,0,0	8365.json
3	6	6	6	0	0	0	0	0	0	36007.json
2910	4,4,4,3,3,3,3,3	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,0	0,579,755,787,788,974,1039,2580	0,0,0,0,0,1,2,2	0,0,0,0,0,2,4,4	0,0,0,1,0,5,16,22	0,0,1,0,0,0,0,0	731.json
578	38	25	33	0	0	0	0	0	0	23101.json
185	3	3	3	0	0	0	0	0	0	17454.json
1105	3,9	2,8	2,8	0,0	0,13	0,7	0,8	0,181	0,0	4623.json
148	10	6	10	0	0	0	0	0	0	183.json
1790	50	36	43	0	0	0	0	0	0	26158.json
1341	3	3	3	1	0	0	0	0	0	38101.json
339	3	3	3	0	0	0	0	0	0	29569.json
2	9	9	9	0	0	0	0	0	0	11890.json
2124	3,3,3	3,3,3	3,3,3	0,0,0	0,1,2	0,3,0	0,6,0	0,10,0	0,0,0	17807.json
382	13,13	10,10	10,10	0,0	0,99	0,0	0,0	0,0	0,0	34955.json
1170	3,5	3,3	3,3	1,1	0,0	0,3	0,4	0,145	0,0	22087.json
339	3	3	3	0	0	0	0	0	0	29275.json
1162	15	11	11	0	0	0	0	0	0	20463.json
1151	3,3	3,3	3,3	0,0	0,455	0,1	0,2	0,54	0,0	40160.json
