Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1167	14	14	14	0	0	0	0	0	0	4925.json
1167	4	3	4	0	0	0	0	0	0	4281.json
1167	7	7	7	0	0	0	0	0	0	6491.json
1167	3	3	3	0	0	0	0	0	0	2184.json
1167	3	3	3	0	0	0	0	0	0	4913.json
1167	3	3	3	0	0	0	0	0	0	148.json
2860	3,3	4,3	3,3	0,0	0,2012	0,1	0,2	0,42	0,1	11879.json
3357	3	3	3	0	0	0	0	0	0	15388.json
3829	17,17,3,16,16,16	16,16,3,16,16,16	17,17,3,16,16,16	0,0,0,0,0,0	0,465,1152,2592,2894,3046	0,0,2,14,1,1	0,0,18,15,2,2	0,0,269,267,4,4	0,0,0,0,0,0	14050.json
878	4	4	4	0	0	0	0	0	0	12851.json
1335	5	5	5	0	0	0	0	0	0	16260.json
3577	4,4	5,5	4,4	0,0	0,213	0,0	0,0	0,0	0,0	14758.json
1167	3	3	3	0	0	0	0	0	0	8739.json
2633	3	4	3	0	0	0	0	0	0	21187.json
1167	3	3	3	0	0	0	0	0	0	5081.json
2789	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,831,832,860	0,2,2,2	0,4,4,4	0,27,27,115	0,0,0,0	18737.json
3240	3	3	3	0	0	0	0	0	0	22515.json
3829	3,5,5,9	3,3,3,6	3,5,5,9	0,0,0,0	0,203,465,2471	0,3,0,7	0,4,0,10	0,69,0,173	0,0,0,0	11120.json
1167	3	3	3	0	0	0	0	0	0	4428.json
1167	3	3	3	1	0	0	0	0	0	8474.json
2804	3	3	3	0	0	0	0	0	0	15746.json
1167	3	3	3	0	0	0	0	0	0	3721.json
2954	3,3	3,3	3,3	0,0	0,1050	0,0	0,0	0,0	0,0	14017.json
1167	3	3	3	0	0	0	0	0	0	8365.json
1167	3	3	3	0	0	0	0	0	0	731.json
3829	3,3,3,3	4,4,4,3	3,3,3,3	0,0,0,0	0,260,465,533	0,2,0,2	0,4,0,4	0,41,0,51	0,0,0,0	17454.json
1167	3,3	3,3	3,3	0,0	0,231	0,1	0,2	0,4	0,0	4623.json
1167	3	3	3	0	0	0	0	0	0	183.json
1167	15,15	12,12	12,12	0,0	0,231	0,1	0,2	0,4	0,0	1808.json
3028	3	4	3	0	0	0	0	0	0	11890.json
3829	3,3,3,10,10,17,25,28,21,28,25	3,3,3,10,10,10,17,17,10,17,17	3,3,3,10,10,10,18,21,14,21,18	0,0,0,0,0,0,0,0,0,0,0	0,465,1109,1130,1159,1925,1994,2503,2588,2716,2951	0,0,1,8,1,8,8,1,18,8,6	0,0,2,9,2,9,8,2,43,9,12	0,0,9,218,27,467,339,62,243,171,209	0,0,0,0,0,0,0,1,0,0,0	17807.json
1127	4	3	4	0	0	0	0	0	0	22087.json
1693	5	4	4	0	0	0	0	0	0	20463.json
1155	9	9	9	0	0	0	0	0	0	18288.json
3532	3,3	3,3	3,3	0,0	0,168	0,0	0,0	0,0	0,0	15625.json
893	9	9	9	0	0	0	0	0	0	5782.json
1167	3,3	3,3	3,3	0,0	0,1033	0,0	0,0	0,0	0,0	9386.json
1167	3	3	3	0	0	0	0	0	0	1926.json
2385	3,3,3,3	4,4,3,3	3,3,3,3	0,0,0,0	0,12,16,84	0,2,2,2	0,4,4,4	0,33,33,23	0,0,1,0	11181.json
2932	5	3	5	0	0	0	0	0	0	21948.json
3721	11,10,10	10,10,10	11,10,10	0,0,0	0,357,550	0,0,0	0,0,0	0,8,0	0,0,0	17137.json
2054	3	4	3	0	0	0	0	0	0	16406.json
1167	3	3	3	0	0	0	0	0	0	5530.json
3829	4,4	5,5	4,4	0,0	0,465	0,0	0,0	0,0	0,0	14296.json
3829	11,11,11	10,10,10	11,11,11	0,0,0	0,93,465	0,1,0	0,2,0	0,7,0	0,0,0	15430.json
1167	4	4	4	0	0	0	0	0	0	6513.json
1167	7	7	7	0	0	0	0	0	0	4016.json
1167	3	3	3	0	0	0	0	0	0	5586.json
215	4	3	3	0	0	0	0	0	0	20894.json
1167	5	3	5	0	0	0	0	0	0	10416.json
1167	3,3	3,3	3,3	0,0	0,118	0,1	0,2	0,4	0,0	6428.json
3193	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,23,31,63	0,1,1,1	0,2,2,2	0,23,26,8	0,0,0,0	19772.json
1167	3	3	3	0	0	0	0	0	0	6262.json
3941	3,3,3	3,3,3	3,3,3	0,0,0	0,577,2516	0,0,1	0,0,2	0,0,11	0,0,0	10921.json
3736	3,3,3	4,4,3	3,3,3	0,0,0	0,372,2513	0,0,3	0,0,6	0,0,66	0,0,0	21296.json
3941	3,3,5,3	3,3,5,3	3,3,5,3	0,0,0,0	0,577,1059,1172	0,0,2,1	0,0,2,4	0,0,46,80	0,0,1,0	18574.json
1149	13	12	13	0	0	0	0	0	0	6348.json
1167	3,3	3,3	3,3	0,0	0,19	0,3	0,6	0,28	0,0	3198.json
1016	9	9	9	0	0	0	0	0	0	18357.json
1167	31,31	27,27	27,27	0,0	0,231	0,1	0,2	0,4	0,0	3663.json
657	3	3	3	0	0	0	0	0	0	10794.json
3253	14,14	12,12	12,12	0,0	0,250	0,1	0,2	0,10	0,1	18211.json
3294	5	3	5	0	0	0	0	0	0	14814.json
1167	3,3	3,3	3,3	0,0	0,84	0,1	0,2	0,14	0,0	9518.json
3829	3,3	3,3	3,3	0,0	0,465	0,0	0,0	0,0	0,0	12222.json
1167	6,6,6	5,5,5	6,6,6	0,0,0	0,231,390	0,1,1	0,2,2	0,8,8	0,0,0	415.json
1167	3	3	3	0	0	0	0	0	0	4040.json
1167	3	3	3	0	0	0	0	0	0	9358.json
2834	3	3	3	0	0	0	0	0	0	22655.json
2384	2	2	2	0	0	0	0	0	0	21243.json
1167	11,3	9,3	9,3	0,0	0,208	0,1	0,10	0,318	0,0	7397.json
1412	3,3,3	3,3,3	3,3,3	0,0,0	0,154,223	0,0,2	0,0,4	0,0,14	0,0,0	20873.json
2384	4	3	4	0	0	0	0	0	0	12088.json
3829	3,3,3	3,3,3	3,3,3	0,0,0	0,465,791	0,0,3	0,0,6	0,0,41	0,0,0	13560.json
3829	7,7,10,10,8,8,8	7,7,10,10,8,8,8	7,7,10,10,8,8,8	0,0,0,0,0,0,0	0,465,1104,1177,2782,2894,3046	0,0,3,1,1,1,1	0,0,3,2,4,2,2	0,0,81,10,36,4,4	0,0,0,1,0,0,0	17567.json
1167	3	3	3	0	0	0	0	0	0	3421.json
3829	3,3	3,3	3,3	0,0	0,465	0,0	0,0	0,0	0,0	13428.json
2871	20,20	16,16	18,18	0,0	0,2667	0,1	0,2	0,11	0,1	11338.json
1167	3,3	3,3	3,3	0,0	0,231	0,1	0,2	0,4	0,0	4374.json
