Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
293	12,14,14	12,14,14	12,14,14	0,0,0	0,69,82	0,6,4	0,10,8	0,160,44	0,0,1	29850.json
924	7,7	7,7	7,7	0,0	0,632	0,0	0,0	0,0	0,0	26253.json
901	7	7	7	0	0	0	0	0	0	29342.json
202	3	3	3	0	0	0	0	0	0	29600.json
1910	3	3	3	1	0	0	0	0	0	4925.json
1904	3	3	3	1	0	0	0	0	0	4281.json
880	3	3	3	1	0	0	0	0	0	34152.json
1907	3	3	3	1	0	0	0	0	0	6491.json
181	11	11	11	0	0	0	0	0	0	2184.json
76	3	3	3	0	0	0	0	0	0	4913.json
32	7	5	5	0	0	0	0	0	0	148.json
308	3	3	3	1	0	0	0	0	0	11879.json
2639	3,3,4,3	3,3,3,3	3,3,3,3	0,0,0,0	0,50,134,140	0,0,2,1	0,0,3,3	0,0,23,119	0,0,0,0	15388.json
502	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,243,252,278	0,0,1,1	0,0,2,2	0,0,42,5	0,0,0,0	14050.json
1333	5	5	5	0	0	0	0	0	0	25636.json
1307	4,4	4,4	4,4	0,0	0,1062	0,1	0,2	0,12	0,0	12851.json
1585	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,9,9,51	0,1,0,1	0,2,0,2	0,14,0,12	0,0,0,0	24667.json
293	5,7,7,7	5,7,7,7	5,7,7,7	0,0,0,0	0,69,82,103	0,3,4,1	0,4,8,2	0,126,66,8	0,0,1,0	29849.json
4004	13,13,10,10,12,15,17,17,17,17,17,17,17,18,7,7	12,12,10,10,12,14,16,16,16,16,16,16,16,17,7,7	12,12,10,10,12,14,16,16,16,16,16,16,16,17,7,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,145,446,695,1856,2256,2283,2283,2396,2831,3367,3460,3498,3501,3753	0,0,1,1,2,3,2,2,2,2,2,2,0,15,2,0	0,0,4,2,2,3,2,4,4,4,4,4,0,29,15,0	0,0,132,22,79,99,112,24,46,12,110,72,0,553,505,0	0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0	27672.json
2713	7,7,7,7	7,7,7,7	7,7,7,7	0,0,0,0	0,1090,1180,2329	0,1,1,0	0,2,2,0	0,5,7,0	0,0,0,0	16260.json
103	3,3	3,3	3,3	1,1	0,20	0,2	0,4	0,13	0,0	14758.json
503	3,3,3	3,3,3	3,3,3	0,0,0	0,155,252	0,0,0	0,0,0	0,0,0	0,0,0	8739.json
1111	17,17,20,24,25	16,16,19,22,22	16,16,19,22,23	0,0,0,0,0	0,113,181,215,803	0,2,3,4,2	0,4,3,4,3	0,42,134,163,92	0,1,0,0,0	39799.json
2740	10,10,4,4,4,4,4,4,4	10,10,4,4,4,4,4,4,4	10,10,4,4,4,4,4,4,4	0,0,0,0,0,0,0,0,0	0,4,161,790,800,802,907,957,2684	0,0,1,1,1,1,0,0,0	0,0,8,2,2,2,0,0,0	0,0,189,23,23,23,0,0,0	0,0,0,0,0,0,0,0,0	21187.json
384	3,3	3,3	3,3	0,0	0,92	0,0	0,0	0,0	0,0	25505.json
109	3	3	3	0	0	0	0	0	0	5081.json
2203	3,3	3,3	3,3	1,1	0,259	0,0	0,0	0,0	0,0	18737.json
1908	3,3	3,3	3,3	1,1	0,1623	0,0	0,0	0,0	0,0	26730.json
1033	7,8	7,7	7,7	0,0	0,755	0,4	0,7	0,42	0,0	31073.json
1111	3	3	3	1	0	0	0	0	0	22515.json
1181	3	3	3	0	0	0	0	0	0	11120.json
1916	3	3	3	0	0	0	0	0	0	4428.json
667	7,6,6,6	7,6,6,6	7,6,6,6	0,0,0,0	0,143,319,381	0,3,0,1	0,7,0,2	0,98,0,14	0,0,0,0	8474.json
1384	3,3	3,3	3,3	1,1	0,985	0,1	0,2	0,5	0,1	15746.json
1949	4,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,1,1,1,1,1	0,25,33,38,39,1950	0,1,0,1,0,1	0,3,0,2,0,2	0,76,0,14,0,5	0,0,0,0,0,1	3721.json
370	10,10,10	10,10,10	10,10,10	0,0,0	0,111,147	0,1,1	0,2,2	0,15,1	0,0,1	14017.json
229	6	6	6	0	0	0	0	0	0	8365.json
502	3,5,8,8,6,7	3,5,8,8,6,7	3,5,8,8,6,7	0,0,0,0,0,0	0,0,0,18,68,194	0,2,5,1,6,7	0,4,7,2,14,13	0,283,151,11,336,287	0,0,1,0,0,0	36007.json
1868	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0	0,1,131,146,665,1469,1520,1591,1670	0,1,1,0,1,0,0,2,2	0,2,2,0,2,0,0,4,4	0,7,6,0,30,0,0,14,59	0,0,0,0,0,0,0,0,1	731.json
76	3	3	3	1	0	0	0	0	0	38929.json
286	3	3	3	0	0	0	0	0	0	17454.json
1910	3	3	3	1	0	0	0	0	0	4623.json
33	3	3	3	1	0	0	0	0	0	183.json
2364	3,3,3	3,3,3	3,3,3	0,0,0	0,2072,2140	0,0,1	0,0,2	0,1,37	0,0,0	26158.json
1897	3,3	3,3	3,3	0,0	0,1589	0,0	0,0	0,0	0,0	38101.json
336	7,7,7,5	7,7,7,5	7,7,7,5	0,0,0,0	0,0,59,337	0,1,1,2	0,2,2,6	0,4,33,136	0,1,0,1	1808.json
2700	3,3	3,3	3,3	1,1	0,564	0,0	0,0	0,0	0,0	11890.json
879	3,3,3	3,3,3	3,3,3	1,1,1	0,480,591	0,1,0	0,2,0	0,5,0	0,1,1	17807.json
751	3	3	3	1	0	0	0	0	0	22087.json
1346	3	3	3	0	0	0	0	0	0	29275.json
2579	7,7,7,7,7,7,7,7	7,7,7,7,7,7,7,7	7,7,7,7,7,7,7,7	0,0,0,0,0,0,0,0	0,8,460,746,796,853,978,993	0,1,1,0,0,1,1,1	0,2,2,0,0,2,2,2	0,37,7,0,0,17,40,30	0,0,0,0,0,0,0,0	20463.json
3469	3,3,3	3,3,3	3,3,3	1,1,0	0,459,2525	0,0,1	0,0,2	0,0,7	0,0,0	40160.json
721	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	18288.json
2430	3,3,3	3,3,3	3,3,3	0,0,0	0,2139,2230	0,2,1	0,4,2	0,37,9	0,0,0	26961.json
2134	6,6,6,6,6,6,7,7,3	6,6,6,6,6,6,7,7,3	6,6,6,6,6,6,7,7,3	0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,15	0,0,0,2,2,0,2,1,1	0,0,0,4,4,0,3,2,6	0,0,0,34,34,0,58,8,223	0,0,0,1,0,0,0,1,0	31768.json
1819	3	3	3	1	0	0	0	0	0	5782.json
944	3	3	3	1	0	0	0	0	0	9386.json
2066	3,3	3,3	3,3	1,1	0,1832	0,2	0,4	0,16	0,0	31726.json
336	14,14,14,13,13,14	14,14,14,13,13,14	14,14,14,13,13,14	0,0,0,0,0,0	0,0,50,108,122,169	0,1,2,0,1,1	0,2,4,1,2,1	0,5,113,50,7,72	0,1,1,0,0,0	1926.json
