Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1651	5,5	3,3	4,4	0,0	0,1	0,0	0,0	0,0	0,0	2184.json
1075	21	19	19	0	0	0	0	0	0	148.json
693	3	3	3	1	0	0	0	0	0	731.json
1368	15	13	15	0	0	0	0	0	0	183.json
1586	3	3	3	1	0	0	0	0	0	1808.json
1071	28,27,27,27	21,21,21,21	24,23,23,23	0,0,0,0	0,0,1,1	0,5,0,4	0,11,0,8	0,129,0,70	0,0,0,0	1926.json
1520	3	3	3	0	0	0	0	0	0	1490.json
1815	8,8,8,8,8,8,8	7,7,7,7,7,7,7	8,8,8,8,8,8,8	0,0,0,0,0,0,0	0,0,2,3,11,42,117	0,3,3,2,1,2,0	0,6,6,4,2,4,0	0,21,31,24,29,16,29	0,0,0,0,0,0,0	1044.json
1868	4,3,3,3,3,3,4,4	3,3,3,3,3,3,3,3	3,3,3,3,3,3,4,4	0,0,0,0,0,0,0,0	0,2,8,8,78,95,145,170	0,1,1,1,0,2,2,0	0,3,2,2,0,4,3,0	0,44,16,48,0,24,51,1	0,0,0,0,1,0,0,0	333.json
1597	4,3,3	4,3,3	4,3,3	0,0,0	0,208,208	0,1,1	0,3,2	0,24,4	0,0,0	2605.json
1991	4,4,5,11,11,11,11,12,12,12,12,12,12,12	3,3,4,10,10,10,10,12,12,12,12,12,12,12	4,4,5,11,11,11,11,12,12,12,12,12,12,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,1,7,35,120,218,269,294,405,407,424	0,4,2,9,0,1,1,4,0,1,0,12,1,4	0,8,3,12,0,2,2,7,0,2,0,24,2,8	0,34,22,200,0,4,10,160,0,38,14,125,43,59	0,0,0,0,0,0,0,0,0,1,0,0,0,1	2311.json
1520	25	20	22	0	0	0	0	0	0	2326.json
1990	3,3	3,3	3,3	1,1	0,293	0,0	0,0	0,0	0,0	1947.json
1780	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,48,55,82	0,1,1,0	0,2,2,0	0,14,12,0	0,0,0,0	2063.json
995	3	3	3	1	0	0	0	0	0	1182.json
1281	4,5,3	3,4,3	4,5,3	0,0,0	0,131,244	0,1,1	0,1,4	0,79,163	0,0,0	2483.json
1581	4	4	4	0	0	0	0	0	0	530.json
1790	5,5,6,5	3,3,3,3	5,5,6,5	0,0,0,0	0,3,4,92	0,0,6,0	0,0,11,0	0,0,41,30	0,0,0,0	2039.json
1591	4,4,4	4,4,4	4,4,4	0,0,0	0,1,1	0,0,0	0,0,0	0,0,0	0,1,0	526.json
924	3	3	3	1	0	0	0	0	0	2736.json
1776	3,3	3,3	3,3	0,0	0,78	0,0	0,0	0,6	0,0	1737.json
1280	5	5	5	0	0	0	0	0	0	1765.json
1578	3	3	3	0	0	0	0	0	0	2569.json
1373	3	3	3	1	0	0	0	0	0	2786.json
1110	3	3	3	1	0	0	0	0	0	577.json
1643	3,3	3,3	3,3	0,0	0,275	0,1	0,2	0,20	0,0	44.json
1832	4,4,4,4	3,3,3,3	3,3,3,3	1,1,1,1	0,57,134,215	0,0,0,1	0,0,0,2	0,0,0,30	0,0,0,0	1285.json
1075	3	3	3	0	0	0	0	0	0	250.json
1380	14,11	9,9	10,9	0,0	0,1	0,2	0,7	0,22	0,0	927.json
476	3	3	3	0	0	0	0	0	0	1370.json
1623	7,4,4	7,4,4	7,4,4	0,0,0	0,5,8	0,2,1	0,7,2	0,74,46	0,0,0	2271.json
1648	7	3	7	0	0	0	0	0	0	1937.json
1075	3	3	3	1	0	0	0	0	0	225.json
1863	3,3,3	3,3,3	3,3,3	1,1,1	0,7,165	0,1,0	0,2,0	0,5,4	0,0,0	1457.json
1649	4	3	4	0	0	0	0	0	0	1538.json
1809	3,3,3	3,3,3	3,3,3	0,0,0	0,32,111	0,1,0	0,2,0	0,5,0	0,0,0	1684.json
1649	4,4	3,3	4,4	0,0	0,53	0,1	0,2	0,29	0,0	1603.json
1413	16,17,17	12,13,13	12,13,13	0,0,0	0,97,97	0,3,1	0,5,2	0,112,9	0,0,1	1975.json
1413	3	3	3	0	0	0	0	0	0	1982.json
1520	6	3	6	0	0	0	0	0	0	355.json
1685	27,27,35,35,29,29,29,29,29	21,21,25,25,21,21,21,21,21	23,23,28,28,22,22,22,22,22	0,0,0,0,0,0,0,0,0	0,31,42,44,45,275,417,418,418	0,3,10,3,9,1,1,1,1	0,6,12,6,24,2,2,2,2	0,201,217,15,332,10,9,9,9	0,0,0,0,1,0,1,1,1	47.json
1947	3,3	3,3	3,3	0,0	0,249	0,0	0,0	0,0	0,0	2714.json
1315	3	3	3	1	0	0	0	0	0	1907.json
1685	35,30,30,10	23,25,29,7	31,26,30,10	0,0,0,0	0,17,313,332	0,10,7,6	0,25,14,32	0,226,232,906	0,0,0,0	70.json
1649	3	3	3	0	0	0	0	0	0	1595.json
1520	3	3	3	0	0	0	0	0	0	1701.json
1110	3	3	3	1	0	0	0	0	0	578.json
1410	28,28	21,21	22,22	0,0	0,52	0,1	0,2	0,6	0,1	115.json
1784	3,3,3	3,3,3	3,3,3	0,0,0	0,52,86	0,2,0	0,4,0	0,19,0	0,0,0	1134.json
1790	7,7,6,6	3,3,3,3	7,7,6,6	0,0,0,0	0,3,4,92	0,0,6,0	0,0,13,0	0,0,52,36	0,0,0,0	2044.json
1649	4	3	4	0	0	0	0	0	0	1601.json
1584	5	4	5	0	0	0	0	0	0	1385.json
1640	4	4	4	0	0	0	0	0	0	1366.json
1868	4,8,8,8,8,8,8,8,3	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0	0,0,1,2,8,16,78,170,188	0,6,1,2,2,1,0,0,1	0,8,2,4,4,2,0,0,7	0,168,6,39,14,6,0,0,141	0,0,0,0,0,0,1,0,0	327.json
1556	3	3	3	1	0	0	0	0	0	2733.json
1590	3,3	3,3	3,3	1,1	0,0	0,0	0,0	0,0	0,0	489.json
1649	3	3	3	0	0	0	0	0	0	1524.json
316	3	3	3	0	0	0	0	0	0	1816.json
1641	3,18	3,16	3,16	1,0	0,1	0,15	0,15	0,520	0,1	131.json
1520	3	3	3	0	0	0	0	0	0	1702.json
1591	4,4	4,4	4,4	0,0	0,167	0,1	0,2	0,8	0,1	1238.json
1820	4,4,4	4,4,4	4,4,4	0,0,0	0,44,122	0,1,0	0,2,0	0,2,4	0,0,0	1731.json
1460	6	6	6	0	0	0	0	0	0	1067.json
1508	3	3	3	0	0	0	0	0	0	890.json
1581	6,6	6,6	6,6	0,0	0,2	0,1	0,2	0,6	0,0	505.json
1654	12,12,9	7,7,6	10,10,9	0,0,0	0,13,244	0,1,1	0,2,5	0,6,138	0,0,1	193.json
1597	3	3	3	0	0	0	0	0	0	2429.json
566	8	8	8	0	0	0	0	0	0	935.json
1827	6,6,6,6,6,6,6,6	6,6,6,6,6,6,6,6	6,6,6,6,6,6,6,6	0,0,0,0,0,0,0,0	0,2,23,51,52,54,95,129	0,1,2,0,1,1,2,0	0,2,4,0,2,2,4,0	0,6,24,0,4,7,34,0	0,0,0,0,0,0,0,0	1670.json
1827	3,3,3	3,3,3	3,3,3	0,0,0	0,51,129	0,0,0	0,0,0	0,0,0	0,0,0	1672.json
1632	20,20,23,20	18,18,20,18	18,18,20,18	0,0,0,0	0,1,170,170	0,1,3,0	0,2,3,3	0,128,36,36	0,0,1,0	1169.json
1618	4	4	4	0	0	0	0	0	0	2268.json
1373	7,8	5,5	5,5	0,0	0,562	0,2	0,3	0,9	0,1	943.json
1904	4,4,4,4,5,5,5,5,5,5,5	4,4,4,4,5,5,5,5,5,5,5	4,4,4,4,5,5,5,5,5,5,5	0,0,0,0,0,0,0,0,0,0,0	0,36,40,42,54,129,206,288,300,315,315	0,1,2,1,1,1,0,1,1,2,3	0,2,4,2,1,2,0,2,2,4,6	0,1,23,8,37,1,0,37,8,18,59	0,0,0,0,0,0,0,0,0,0,0	1823.json
1584	9	9	9	0	0	0	0	0	0	486.json
1765	6,6,6	6,6,6	6,6,6	0,0,0	0,33,67	0,2,0	0,4,0	0,19,0	0,0,0	1158.json
1597	4,4,4,4,3	3,3,3,3,3	4,4,4,4,3	0,0,0,0,0	0,15,21,315,560	0,3,1,1,1	0,6,2,2,3	0,108,30,23,73	0,0,0,0,0	2426.json
1582	5,5	5,5	5,5	0,0	0,193	0,2	0,4	0,31	0,0	2445.json
1520	3	3	3	1	0	0	0	0	0	2656.json
1578	3	3	3	0	0	0	0	0	0	2570.json
1991	4,4,5,11,11,11,11,12,12,12,12,12,12,12	3,3,4,10,10,10,10,12,12,12,12,12,12,12	4,4,5,11,11,11,11,12,12,12,12,12,12,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,1,7,35,120,218,269,294,405,407,424	0,4,2,9,0,1,1,4,0,1,0,12,1,4	0,8,3,12,0,2,2,7,0,2,0,24,2,8	0,34,22,200,0,4,10,160,0,38,14,125,43,59	0,0,0,0,0,0,0,0,0,1,0,0,0,1	2340.json
