Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2548	3	3	3	1	0	0	0	0	0	29850.json
765	4	4	4	0	0	0	0	0	0	26253.json
4209	8,8,8,8,8,8,8,9	8,8,8,8,8,8,8,8	8,8,8,8,8,8,8,9	0,0,0,0,0,0,0,0	0,720,819,819,840,1027,1191,2709	0,0,1,1,1,1,2,2	0,0,2,2,2,2,4,4	0,0,26,18,5,26,40,30	0,0,0,0,0,0,0,0	29342.json
1878	4,4,4,4,4	4,4,4,4,4	4,4,4,4,4	0,0,0,0,0	0,15,42,42,1036	0,2,1,1,1	0,4,2,2,2	0,37,8,8,17	0,0,0,0,0	4925.json
1878	14	12	14	0	0	0	0	0	0	4281.json
1878	3	3	3	1	0	0	0	0	0	6491.json
2361	3,3,3	3,3,3	3,3,3	1,1,1	0,0,0	0,1,2	0,2,4	0,1,28	0,0,0	2184.json
1842	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,6,6,1000	0,1,1,1	0,2,2,2	0,8,8,17	0,0,0,0	4913.json
4203	17,17,18,3,18,18,18,18,25,25	14,14,15,3,15,15,15,15,15,15	14,14,15,3,15,15,15,15,22,22	0,0,0,0,0,0,0,0,0,0	0,2,9,701,701,707,714,1624,1648,2333	0,0,1,1,16,2,0,0,22,2	0,0,1,17,17,4,0,0,37,4	0,0,54,434,434,46,0,0,185,85	0,0,0,0,0,0,0,0,0,0	148.json
4689	4,4,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,17,859,1141,1200,1405,2271	0,0,1,1,0,0,2	0,0,3,2,0,0,4	0,0,62,41,0,0,14	0,0,0,0,0,0,0	11879.json
4689	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,17,1130,1154,1200	0,0,1,1,0	0,0,2,2,0	0,0,10,15,0	0,0,0,0,0	15388.json
1878	3	3	3	1	0	0	0	0	0	25636.json
283	3,10,10	3,10,10	3,10,10	0,0,0	0,88,94	0,8,1	0,9,2	0,200,26	0,0,0	12851.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,17,1200,1358	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	24667.json
2548	3	3	3	0	0	0	0	0	0	29849.json
561	10	8	9	0	0	0	0	0	0	27672.json
1868	3	3	3	1	0	0	0	0	0	16260.json
2394	3	3	3	0	0	0	0	0	0	14758.json
3621	3,3,3	3,3,3	3,3,3	0,0,0	0,13,132	0,1,0	0,2,0	0,14,0	0,0,0	8739.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,17,1200,1405	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	21187.json
2540	3	3	3	1	0	0	0	0	0	25505.json
3322	6,6	4,4	6,6	0,0	0,1444	0,6	0,12	0,55	0,0	5081.json
3346	3,3,5,5,6	3,3,5,5,6	3,3,5,5,6	0,0,0,0,0	0,52,327,2576,3053	0,0,3,1,3	0,0,4,2,5	0,0,67,13,77	0,0,0,0,0	18737.json
3839	6,6,7	6,6,7	6,6,7	0,0,0	0,350,3536	0,0,3	0,0,5	0,0,66	0,0,0	26730.json
2236	4	4	4	0	0	0	0	0	0	22515.json
2814	3	3	3	0	0	0	0	0	0	11120.json
1252	9,11,11	8,10,10	8,11,11	0,0,0	0,0,696	0,8,11	0,14,22	0,208,11	0,0,0	4428.json
1864	3,3,3	3,3,3	3,3,3	0,0,0	0,0,373	0,0,0	0,0,0	0,0,0	0,0,0	8474.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,17,592,1200	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	15746.json
4689	3,3,3	3,3,3	3,3,3	1,1,1	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	3721.json
1861	3,3,5	3,3,5	3,3,5	0,0,0	0,124,131	0,0,3	0,0,4	0,0,27	0,1,0	14017.json
2662	11,17	9,12	9,13	0,0	0,31	0,9	0,12	0,307	0,0	8365.json
4203	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,2,714,1624	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	731.json
3878	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,112,389,1035,2423	0,2,0,0,0	0,4,0,0,0	0,18,0,0,0	0,0,0,0,0	23101.json
1759	3	3	3	0	0	0	0	0	0	4623.json
4117	3,3,3	3,3,3	3,3,3	0,0,0	0,628,1538	0,0,0	0,0,0	0,0,0	0,0,0	183.json
770	3	2	2	0	0	0	0	0	0	26158.json
2537	24	22	24	0	0	0	0	0	0	29569.json
1173	3	3	3	0	0	0	0	0	0	1808.json
4689	25,25,24,24,24,24,24,22,23,22,22,22,22,22,22	21,21,18,18,18,18,18,16,16,15,15,15,15,15,15	24,24,22,22,22,22,22,20,21,20,20,20,20,20,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,17,859,1141,1200,1299,1405,1606,2329,2405,2879,3919,3924,4493,4493	0,0,19,2,0,1,0,1,4,2,1,1,1,1,1	0,0,39,4,0,2,0,4,5,5,2,2,2,2,2	0,0,590,51,0,41,0,119,20,79,15,20,10,56,19	0,0,0,0,0,0,0,0,0,0,1,0,1,0,0	11890.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,17,1200,1395	0,0,0,0	0,0,0,0	0,0,0,2	0,0,0,0	17807.json
4689	84,84,84,84,84,84,84,82,82,82,82,83,89,90,90,84	44,44,44,44,44,44,44,43,43,43,43,43,43,44,44,45	59,59,59,59,59,59,59,57,57,57,57,58,64,65,65,66	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,17,951,955,971,1200,1299,1299,1366,1405,1451,2296,3062,4218,4382,4589	0,0,1,1,1,0,3,4,1,0,2,2,0,1,1,1	0,0,2,2,2,0,6,10,2,0,4,3,1,1,2,8	0,0,16,16,47,0,84,73,43,0,48,102,47,49,8,161	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	22087.json
4689	11,11,15,14,15,19,17,26,26,26,26,30,30	9,9,12,11,11,13,12,18,18,18,18,19,19	10,10,14,13,13,15,14,21,21,21,21,25,25	0,0,0,0,0,0,0,0,0,0,0,0,0	0,17,908,908,908,928,942,951,1200,2205,3234,3854,3944	0,0,4,0,5,5,1,12,0,1,1,4,1	0,0,4,1,9,6,4,15,0,2,2,4,2	0,0,98,43,163,265,216,610,0,19,14,84,34	0,0,0,0,0,0,1,0,0,1,0,0,1	29275.json
