Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
467	4,4	4,3	4,4	0,1	0,47	0,2	0,4	0,65	0,0	4925.json
434	3	3	3	0	0	0	0	0	0	6491.json
663	11,3	9,3	11,3	0,0	0,0	0,1	0,10	0,206	0,1	2184.json
420	3,3	3,3	3,3	0,0	0,6	0,0	0,0	0,0	0,0	4913.json
1050	6	6	6	0	0	0	0	0	0	148.json
503	3,3	3,3	3,3	0,0	0,13	0,2	0,4	0,6	0,0	5081.json
867	8,8,8	7,7,7	8,8,8	0,0,0	0,265,426	0,1,0	0,2,0	0,13,0	0,0,0	4428.json
1758	10,11	6,6	10,10	0,0	0,0	0,3	0,5	0,22	0,0	3721.json
2825	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,333,907,1501	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	731.json
581	12,11	10,9	12,11	0,0	0,0	0,1	0,3	0,56	0,0	183.json
2896	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,319,404,978,2485	0,0,0,0,1	0,0,0,0,2	0,0,0,0,8	0,0,0,0,0	1808.json
889	13,13,13,15,15,15,16,16,18	10,10,10,11,11,11,12,12,12	10,10,10,13,13,13,14,14,14	0,0,0,0,0,0,0,0,0	0,0,9,9,9,9,11,94,202	0,0,1,10,0,0,1,0,4	0,0,2,18,0,0,1,0,6	0,0,7,201,0,0,53,0,48	0,0,0,0,0,1,0,0,0	5782.json
3542	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,134,489,843,1050,1624	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1926.json
3996	8,8,8,8,8,8,8,8,8,9	7,7,7,7,7,7,7,7,7,8	8,8,8,8,8,8,8,8,8,9	0,0,0,0,0,0,0,0,0,0	0,472,588,943,1296,1296,1397,1503,2078,3339	0,1,0,0,1,0,1,0,0,1	0,2,0,0,2,0,2,0,0,1	0,26,0,0,60,0,29,0,0,17	0,0,0,0,0,0,0,0,0,0	6513.json
581	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,0,0,0,33,57,167	0,1,2,1,1,1,0	0,2,4,2,2,2,0	0,4,33,9,6,47,0	0,0,0,0,0,0,0	5586.json
3355	6,6,6,7,7,7,7,7	6,6,6,7,7,7,7,7	6,6,6,7,7,7,7,7	0,0,0,0,0,0,0,0	0,112,302,459,862,1437,1712,1804	0,1,0,2,0,0,1,0	0,2,0,3,0,0,2,0	0,20,0,6,0,0,12,0	0,1,0,0,0,0,0,0	6428.json
2540	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,1,16,48,622,863	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,2	0,0,0,0,0,0	6262.json
2896	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,1,404,978,1345,2485,2582	0,1,0,0,3,1,0	0,2,0,0,6,2,0	0,6,0,0,3,6,0	0,0,0,0,0,0,0	3663.json
602	3,3	3,3	3,3	1,1	0,0	0,0	0,0	0,0	0,0	415.json
3996	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	1,1,1,1,1,1	0,588,943,1296,1504,2078	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	4374.json
1862	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,219,686,692,1259	0,1,1,2,1	0,2,2,4,2	0,3,3,42,32	0,0,0,0,1	431.json
1631	3,3	3,3	3,3	0,0	0,548	0,2	0,4	0,23	0,0	3796.json
2553	22,22,22,22,22,22,27,30	16,16,16,16,16,16,17,19	22,22,22,22,22,22,27,30	0,0,0,0,0,0,0,0	0,0,33,61,635,791,956,1950	0,0,3,0,0,1,14,3	0,0,6,0,0,2,23,3	0,0,24,0,0,29,298,131	0,1,0,0,0,0,0,1	3575.json
1436	14	14	14	0	0	0	0	0	0	6239.json
2329	3,3,4,4,4	3,3,4,4,4	3,3,4,4,4	0,0,0,0,0	0,411,981,995,1531	0,0,1,1,0	0,0,1,2,0	0,0,51,9,0	0,0,0,0,0	1490.json
166	3,3,5	2,3,5	2,3,5	0,0,0	0,0,104	0,1,3	0,2,4	0,36,51	0,0,0	6364.json
1923	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,5,246,246,1482	0,0,0,0,2	0,0,0,0,4	0,0,0,0,24	0,0,0,0,0	7064.json
483	7	7	7	0	0	0	0	0	0	3018.json
1642	10	9	10	0	0	0	0	0	0	6424.json
1196	14,13	14,13	14,13	0,0	0,113	0,1	0,3	0,32	0,0	333.json
602	3	3	3	1	0	0	0	0	0	5979.json
3196	6,6,6,6	6,6,6,6	6,6,6,6	0,0,0,0	0,143,704,1278	0,0,0,0	0,0,0,0	0,0,0,2	0,0,0,0	2978.json
1841	3,3	3,3	3,3	0,0	0,1	0,0	0,0	0,0	0,0	4512.json
355	7	7	7	0	0	0	0	0	0	5176.json
2984	4,4,4,4,4	4,4,4,4,4	4,4,4,4,4	0,0,0,0,0	0,10,92,492,1066	0,1,0,0,0	0,2,0,0,0	0,5,0,0,0	0,0,0,0,0	2514.json
581	8,8	7,7	8,8	0,0	0,129	0,1	0,2	0,10	0,0	5914.json
2540	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,1,16,48,622,863	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,2	0,0,0,0,0,0	6256.json
272	8,8,8	7,7,7	8,8,8	0,0,0	0,0,0	0,0,3	0,0,6	0,0,67	0,0,0	6961.json
602	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,99,99,182	0,0,0,3	0,0,0,6	0,0,0,11	0,0,0,0	5395.json
1350	3	3	3	0	0	0	0	0	0	2605.json
461	3	3	3	0	0	0	0	0	0	7161.json
3150	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,97,658,1232,2569	0,0,0,0,1	0,0,0,0,2	0,0,0,2,25	0,0,0,0,0	2870.json
1407	3,3,3	3,3,3	3,3,3	0,0,0	0,287,825	0,2,2	0,4,4	0,20,27	0,0,0	3965.json
35	25	20	23	0	0	0	0	0	0	2311.json
3021	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	1,1,1,1,1,1	0,37,129,529,1103,1402	0,0,0,0,0,1	0,0,0,0,0,2	0,0,0,0,0,1	0,0,0,0,0,0	2326.json
3411	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,3,358,919,1493	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2826.json
1327	3	3	3	0	0	0	0	0	0	1947.json
602	6	6	6	0	0	0	0	0	0	5971.json
1924	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,6,247,247,247	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	7090.json
355	3	3	3	1	0	0	0	0	0	5052.json
503	9	3	9	0	0	0	0	0	0	4983.json
2818	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,118,118,326,900,1186	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2063.json
