Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
946	3	3	3	0	0	0	0	0	0	4281.json
1727	3,3,3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0	0,19,87,88,90,90,103,112,438,444,788,892	0,0,0,1,0,0,0,0,1,0,1,0	0,0,0,2,0,0,0,0,2,0,2,0	0,0,0,9,0,0,0,0,28,0,8,0	0,0,0,0,0,0,0,0,0,0,0,0	6491.json
951	3	3	3	0	0	0	0	0	0	2184.json
1145	3,3	3,3	3,3	0,0	0,0	0,1	0,2	0,12	0,0	148.json
1223	4,4,4,4,4,4	4,4,4,4,4,4	4,4,4,4,4,4	0,0,0,0,0,0	0,26,26,28,45,55	0,0,0,3,1,0	0,0,0,6,2,0	0,0,0,85,8,0	0,0,0,0,0,0	5081.json
3099	3,3,3,3,3,3	3,3,4,4,4,4	3,3,3,3,3,3	0,0,0,0,0,0	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,0,0,0	0,0,0,0,0,0	4428.json
3099	3,3,3,3,3,3	3,3,4,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,10,0,0	0,0,0,0,0,0	3721.json
3099	3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,8,8,8,11	3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,8,8,8,11	3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,8,8,8,11	1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,203,1067,1123,1137,1795,1813,1823,1838,1839,1840,1857,1873,1920,1920,1935,1935,1977	0,0,3,1,0,0,0,2,2,2,1,1,1,4,1,4,2,6,1,3	0,0,6,1,0,0,0,3,4,4,2,1,2,8,2,8,2,12,2,3	0,0,22,31,0,0,0,26,28,28,7,49,22,26,35,32,86,9,1,93	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	731.json
1710	24,24,19,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,16,14,14,14,19,36,3,3	24,24,19,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,16,14,14,14,16,28,3,3	24,24,19,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,16,14,14,14,16,28,3,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,2,5,6,70,72,72,72,73,75,86,86,95,410,421,427,445,488,566,567,771,875,897,1028,1029,1118	0,2,8,6,4,0,1,3,2,1,0,2,0,1,4,0,2,2,2,0,4,0,13,20,1,1	0,4,21,15,8,0,2,6,4,2,0,4,0,4,8,0,4,4,2,2,8,0,21,23,35,2	0,12,400,287,76,0,12,41,53,10,1,8,0,257,20,0,154,12,171,171,32,0,220,922,1633,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0	4623.json
707	5,5	5,5	5,5	0,0	0,1	0,0	0,0	0,0	0,0	183.json
