Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
3180	36,32,32,32,49,49	35,31,31,31,49,49	31,27,27,27,41,41	0,0,0,0,0,0	0,4,85,233,356,884	0,1,1,1,22,2	0,6,2,2,27,4	0,142,37,23,553,2	0,0,0,0,1,0	26253.json
821	23	3	23	0	0	0	0	0	0	4281.json
2103	3,3,3	3,3,3	3,3,3	1,1,0	0,54,120	0,0,1	0,0,2	0,0,10	0,0,0	6491.json
2474	3	3	3	0	0	0	0	0	0	11879.json
2375	13,13	7,7	10,10	0,0	0,226	0,1	0,2	0,12	0,0	15388.json
2836	3	3	3	0	0	0	0	0	0	14050.json
3509	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,136,206,208	0,0,0,1	0,0,0,2	0,0,0,8	0,0,0,1	12851.json
3550	9,10,10,8	9,10,10,8	9,10,10,8	0,0,0,0	0,39,173,510	0,4,0,5	0,7,0,12	0,65,0,161	0,1,0,0	24667.json
3315	8,7,3,3,3	8,7,3,3,3	8,7,3,3,3	0,0,0,0,0	0,405,757,794,1165	0,1,1,1,1	0,3,6,2,2	0,28,126,43,18	0,0,0,0,0	27672.json
2438	4	4	4	0	0	0	0	0	0	16260.json
2836	3	3	3	0	0	0	0	0	0	14758.json
1989	5,5	3,3	5,5	0,0	0,1033	0,1	0,2	0,4	0,1	8739.json
2883	4,4	4,4	4,4	0,0	0,26	0,0	0,0	0,0	0,0	21187.json
2005	5	5	5	0	0	0	0	0	0	25505.json
2629	10,8,8,8	10,8,8,8	10,8,8,8	0,0,0,0	0,10,10,29	0,3,0,1	0,8,0,2	0,109,0,16	0,0,0,0	18737.json
3256	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,341,346,605	0,2,1,1	0,4,2,2	0,39,12,21	0,0,0,0	26730.json
2223	3	3	3	0	0	0	0	0	0	22515.json
3033	3	3	3	0	0	0	0	0	0	11120.json
3067	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,0,4,41	0,2,0,2	0,4,0,4	0,4,0,24	0,0,0,0	15746.json
3040	3,3,3	3,3,3	3,3,3	1,1,1	0,165,204	0,1,1	0,2,2	0,4,5	0,0,0	14017.json
1983	12,12,11,11,8	9,11,10,10,9	11,11,10,10,8	0,0,0,0,0	0,4,5,6,11	0,3,4,1,4	0,6,9,2,11	0,104,168,11,220	0,0,1,0,0	731.json
3828	24,23,23,23,23,23,13,18,18,19,19,19,15,15,22	18,15,15,15,15,15,9,13,13,13,13,13,10,10,14	22,19,19,19,19,19,11,16,16,16,16,16,12,12,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,18,28,63,222,270,343,445,450,501,793,1008,2287,2569,2923	0,18,0,2,1,2,4,12,0,2,1,2,0,1,8	0,37,0,4,2,4,18,19,0,3,2,4,4,2,9	0,209,0,14,1,26,531,386,0,51,15,83,236,1,276	0,0,0,0,1,1,0,0,0,0,0,0,0,1,0	17454.json
2631	3,3	3,3	3,3	0,0	0,33	0,0	0,0	0,0	0,0	26158.json
2002	3	3	3	0	0	0	0	0	0	11890.json
2629	3,3,3	3,3,3	3,3,3	1,1,1	0,1,35	0,0,0	0,0,0	0,0,0	0,0,0	17807.json
3486	3	3	3	1	0	0	0	0	0	18288.json
2752	3	3	3	0	0	0	0	0	0	26961.json
2991	4,4	4,4	4,4	0,0	0,116	0,2	0,4	0,28	0,0	15625.json
3110	3,3	3,3	3,3	0,0	0,5	0,0	0,0	0,0	0,0	9386.json
2889	4,4	4,4	4,4	0,0	0,1	0,4	0,8	0,42	0,0	11181.json
2957	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,22,22,100	0,2,0,2	0,4,0,4	0,38,0,56	0,0,0,0	21948.json
2703	3,3	3,3	3,3	0,0	0,5	0,0	0,0	0,0	0,0	17137.json
3706	11,12,10,9,9,9	6,9,8,8,8,8	9,11,10,9,9,9	0,0,0,0,0,0	0,0,1060,1063,1325,1342	0,11,10,5,3,1	0,21,22,11,6,2	0,185,165,177,86,9	0,0,0,0,0,0	27954.json
3519	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	1,1,1,1,1,1	0,142,143,148,148,396	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	23815.json
2378	3	3	3	0	0	0	0	0	0	24846.json
3309	4,4,4	4,4,4	4,4,4	0,0,0	0,245,434	0,0,1	0,0,2	0,0,4	0,0,0	16406.json
1508	16	13	14	0	0	0	0	0	0	19954.json
2699	13,13	12,12	12,12	0,0	0,631	0,1	0,2	0,17	0,0	25019.json
3049	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,77,208,292	0,0,2,0	0,0,4,0	0,0,11,0	0,0,0,0	5530.json
3536	24,24,24,26,27,31,31,31,31	19,19,19,19,20,24,24,24,24	22,22,22,23,24,28,28,28,28	0,0,0,0,0,0,0,0,0	0,2,347,553,628,818,897,898,1482	0,0,2,4,9,5,2,3,4	0,0,4,6,17,6,4,6,8	0,0,69,276,103,103,33,39,35	0,0,0,0,0,1,0,0,0	27315.json
3068	18,18,18,18,3	3,3,3,3,3	18,18,18,18,3	0,0,0,0,0	0,0,5,28,232	0,1,0,3,1	0,2,0,6,17	0,8,0,52,581	0,0,0,0,0	14296.json
3063	24,24,24,27,27,20,20,20,20,21	21,21,21,20,20,17,17,17,17,17	22,22,22,23,23,18,18,18,18,19	0,0,0,0,0,0,0,0,0,0	0,0,8,13,13,13,188,362,594,1231	0,0,1,10,2,3,2,1,2,4	0,0,2,17,4,13,4,2,4,7	0,0,18,677,95,472,15,2,10,65	0,0,0,0,0,0,0,0,0,1	15430.json
817	3	3	3	0	0	0	0	0	0	28152.json
864	3,3	3,3	3,3	0,0	0,10	0,1	0,2	0,15	0,0	4016.json
2981	3	3	3	0	0	0	0	0	0	24929.json
3046	4,4,4	4,4,4	4,4,4	0,0,0	0,171,210	0,1,4	0,2,8	0,4,23	0,0,0	14235.json
2841	3,3	3,3	3,3	0,0	0,84	0,0	0,0	0,0	0,0	5586.json
2938	3,3,3	3,3,3	3,3,3	0,0,0	0,3,81	0,0,0	0,0,0	0,0,0	0,0,0	20894.json
3262	4	4	4	0	0	0	0	0	0	10416.json
2046	4	4	4	0	0	0	0	0	0	6428.json
2537	3	3	3	0	0	0	0	0	0	19772.json
2615	4,4	4,4	4,4	0,0	0,32	0,0	0,0	0,0	0,0	6262.json
3006	4,4	4,4	4,4	0,0	0,170	0,2	0,4	0,13	0,0	14915.json
2174	18	16	16	0	0	0	0	0	0	10921.json
2981	4,4,4	4,4,4	4,4,4	0,0,0	0,122,149	0,0,3	0,0,6	0,0,40	0,0,0	20315.json
2907	3,3,3	3,3,3	3,3,3	0,0,0	0,50,287	0,0,2	0,0,4	0,0,12	0,0,1	21296.json
2600	8,21,17,17	9,21,17,17	8,20,16,16	0,0,0,0	0,63,64,260	0,20,2,1	0,27,8,2	0,593,115,6	0,0,0,0	18574.json
2411	3,3	3,3	3,3	1,1	0,792	0,0	0,0	0,0	0,0	18357.json
3337	3	3	3	0	0	0	0	0	0	10794.json
2405	4	4	4	0	0	0	0	0	0	18211.json
2836	5	3	5	0	0	0	0	0	0	14814.json
3176	3	3	3	0	0	0	0	0	0	26314.json
2585	3,3,3	3,3,3	3,3,3	1,1,1	0,1,2	0,0,0	0,0,0	0,0,0	0,0,0	9518.json
3056	3	3	3	0	0	0	0	0	0	12222.json
1989	4,4	4,4	4,4	0,0	0,273	0,1	0,2	0,37	0,1	9358.json
2011	3	3	3	1	0	0	0	0	0	22655.json
2902	4,4	4,4	4,4	0,0	0,45	0,0	0,0	0,0	0,0	21243.json
3727	3,3	3,3	3,3	0,0	0,362	0,0	0,0	0,0	0,0	7397.json
2832	3	3	3	0	0	0	0	0	0	20873.json
2991	4,4	4,4	4,4	0,0	0,155	0,2	0,4	0,13	0,0	13560.json
2925	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,10,15,22	0,1,1,1	0,2,2,2	0,26,17,11	0,0,0,0	27469.json
1868	13,7	9,7	13,7	0,0	0,301	0,3	0,12	0,532	0,0	17567.json
3042	14,4	14,3	14,4	0,0	0,164	0,2	0,14	0,550	0,0	13428.json
3303	4	4	4	0	0	0	0	0	0	11338.json
3972	16,15,15,17,17,17,20,20	12,15,15,17,17,17,20,20	14,15,15,17,17,17,20,20	0,0,0,0,0,0,0,0	0,126,136,162,174,206,257,606	0,9,1,6,0,0,9,0	0,20,2,10,0,0,15,0	0,242,22,150,0,0,211,0	0,0,0,0,0,0,1,0	7188.json
2395	14,14	9,9	10,10	0,0	0,3	0,2	0,4	0,14	0,0	18371.json
808	19	13	15	0	0	0	0	0	0	20230.json
2820	10,11,8	9,9,8	8,9,8	0,0,0	0,1,224	0,4,0	0,7,3	0,139,21	0,0,0	26987.json
2600	4,3,3,4	4,3,3,4	4,3,3,4	0,0,0,0	0,0,17,19	0,1,0,2	0,3,0,3	0,37,0,37	0,1,0,1	6171.json
3063	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,388,406,465,484,489	0,0,1,0,0,0	0,0,2,0,0,0	0,0,48,0,0,0	0,0,0,0,0,0	25769.json
3727	3,3,8,8,8,8,9,7	3,3,6,6,6,6,7,7	3,3,8,8,8,8,9,7	0,0,0,0,0,0,0,0	0,14,436,907,1076,1082,1084,1085	0,1,6,1,0,1,7,1	0,2,7,2,0,2,13,4	0,28,334,3,0,8,193,126	0,0,0,0,0,0,0,0	27193.json
1424	5,4	3,3	4,4	0,0	0,271	0,4	0,9	0,174	0,0	3796.json
2699	3	3	3	0	0	0	0	0	0	25053.json
3067	3,3,3	3,3,3	3,3,3	0,0,0	0,0,4	0,2,0	0,4,0	0,4,0	0,0,0	16167.json
3344	3,3,3	3,3,3	3,3,3	0,0,0	0,281,508	0,0,1	0,0,2	0,0,5	0,0,0	14958.json
2005	3	3	3	1	0	0	0	0	0	25308.json
2543	4	4	4	0	0	0	0	0	0	6239.json
3834	11,11,11,9	8,8,8,8	11,11,11,9	0,0,0,0	0,24,36,468	0,2,0,0	0,4,0,0	0,44,0,57	0,0,0,0	7359.json
3314	28,30,30,32,38,38	26,28,28,30,37,37	26,28,28,30,37,37	0,0,0,0,0,0	0,142,396,674,720,1260	0,4,1,2,7,3	0,6,2,2,8,6	0,148,17,101,385,30	0,0,0,1,0,0	7760.json
3354	3,4	3,4	3,4	0,0	0,40	0,1	0,1	0,51	0,0	8264.json
612	4	4	4	0	0	0	0	0	0	24506.json
3331	4,4,4	4,4,4	4,4,4	0,0,0	0,268,456	0,0,1	0,0,2	0,0,4	0,0,0	16300.json
2551	4	4	4	0	0	0	0	0	0	9512.json
3632	7,7,7,7,7,7,6,6	5,5,5,5,5,5,4,4	7,7,7,7,7,7,6,6	0,0,0,0,0,0,0,0	0,25,139,252,281,371,438,606	0,1,1,0,0,0,1,2	0,2,2,0,0,0,3,4	0,8,7,0,0,0,19,30	0,0,0,0,0,0,1,0	1490.json
3068	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,5,193,232	0,0,1,2	0,0,2,4	0,0,4,13	0,0,0,0	14586.json
1989	3	3	3	1	0	0	0	0	0	9233.json
3037	4,4	4,4	4,4	0,0	0,1	0,2	0,4	0,38	0,0	16068.json
1380	3	3	3	1	0	0	0	0	0	7064.json
3809	9,9,9,10,11,11,11	9,9,9,10,11,11,11	9,9,9,10,11,11,11	0,0,0,0,0,0,0	0,11,77,81,177,291,443	0,0,4,2,1,1,0	0,0,8,3,1,2,0	0,0,31,54,39,6,0	0,0,0,0,0,1,0	7264.json
2046	4	4	4	0	0	0	0	0	0	6424.json
1727	4	4	4	0	0	0	0	0	0	11110.json
2760	3,3	3,3	3,3	1,1	0,1	0,0	0,0	0,0	0,0	23501.json
1871	4	3	4	0	0	0	0	0	0	1044.json
3330	6,6,6,17,17,3	3,3,3,3,3,3	6,6,6,17,17,3	0,0,0,0,0,0	0,0,267,290,304,494	0,0,0,15,1,1	0,0,0,19,2,16	0,0,9,318,5,661	0,0,0,0,0,0	14627.json
3248	4	4	4	0	0	0	0	0	0	19595.json
3337	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,274,462,501	0,0,1,1	0,0,2,2	0,0,4,5	0,0,0,0	14222.json
2304	3	3	3	1	0	0	0	0	0	17902.json
