Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2008	8,10,10	6,8,8	7,9,9	0,0,0	0,1253,1835	0,2,1	0,2,2	0,187,13	0,0,0	4925.json
3437	14,14	9,9	14,13	0,0	0,399	0,10	0,20	0,74	0,1	4281.json
3437	4,6	3,5	4,6	1,0	0,569	0,3	0,4	0,77	0,0	6491.json
2510	16	11	14	0	0	0	0	0	0	148.json
1687	4	3	4	0	0	0	0	0	0	11879.json
2013	4	3	4	1	0	0	0	0	0	14050.json
3437	6,4,7,7,7,7,7	6,3,6,6,6,6,6	6,4,7,7,7,7,7	0,0,0,0,0,0,0	0,2437,2459,2459,2459,2948,2948	0,0,3,3,3,3,1	0,3,6,6,3,6,2	0,72,114,0,0,27,24	0,0,0,0,0,0,1	12851.json
2008	125,126,134,139,139,137,138,137,153,151	58,58,64,68,68,68,69,68,80,77	76,76,83,88,88,88,89,88,102,99	0,0,0,0,0,0,0,0,0,0	0,96,96,111,383,453,562,562,625,799	0,2,9,7,1,0,1,1,16,2	0,3,10,9,2,2,1,3,16,6	0,60,622,174,6,123,126,157,832,148	0,0,0,0,0,0,0,0,0,0	5081.json
2155	4,4,4,4,4,7	3,3,3,3,3,5	4,4,4,4,4,7	0,0,0,0,0,0	0,37,40,40,140,952	0,0,0,0,0,4	0,0,0,0,0,5	0,0,0,0,0,96	0,0,0,0,0,0	11120.json
3437	5,5	4,4	5,5	0,0	0,941	0,1	0,2	0,5	0,0	4428.json
713	5	4	5	0	0	0	0	0	0	8474.json
3269	4,4,4	3,3,3	4,4,4	1,1,1	0,53,148	0,2,1	0,4,2	0,21,9	0,0,0	8365.json
1650	10	8	10	0	0	0	0	0	0	731.json
3373	29	18	26	0	0	0	0	0	0	4623.json
2443	11	7	11	0	0	0	0	0	0	183.json
1538	4,5,5	3,4,4	4,5,5	0,0,0	0,1,4	0,1,0	0,1,0	0,30,0	0,0,0	1808.json
1974	6,7,9,9,9,14	5,6,6,5,5,6	6,7,7,6,6,7	0,0,0,0,0,0	0,2,9,14,20,105	0,1,3,2,0,9	0,1,4,4,0,13	0,38,146,72,0,138	0,0,0,0,0,0	11890.json
898	11,11,11,11	7,7,7,7	11,11,11,11	0,0,0,0	0,16,39,73	0,2,0,0	0,4,0,0	0,42,0,0	0,0,0,1	9386.json
104	7,7	6,6	7,7	0,0	0,97	0,3	0,6	0,32	0,0	1926.json
2014	4	3	4	0	0	0	0	0	0	11181.json
1761	4	3	4	0	0	0	0	0	0	14296.json
3437	4	3	4	0	0	0	0	0	0	6513.json
2049	6,15,16,16,16	5,13,14,14,14	6,15,16,16,16	0,0,0,0,0	0,1,628,761,797	0,10,1,1,1	0,11,1,2,2	0,265,59,41,13	0,0,0,0,1	4016.json
2014	4	3	4	0	0	0	0	0	0	14235.json
3433	7,7	5,5	7,7	0,0	0,56	0,6	0,12	0,28	0,0	5586.json
2112	31,31,31,4,4	19,19,19,3,3	30,30,30,4,4	0,0,0,0,0	0,6,15,811,881	0,0,0,0,1	0,0,0,27,2	0,0,0,1345,6	0,0,0,0,0	10416.json
2958	40,40,40,39,41,41	33,33,33,32,34,34	37,37,37,36,38,38	0,0,0,0,0,0	0,2,691,1130,1307,1411	0,7,1,1,2,1	0,14,2,3,2,2	0,69,37,33,91,7	0,0,0,0,0,0	6428.json
2119	4	3	4	1	0	0	0	0	0	6262.json
2079	4,7,7	3,5,5	4,7,7	0,0,0	0,140,1267	0,4,1	0,5,2	0,81,4	0,0,1	10921.json
2743	6,6,6,5	4,5,5,4	5,6,6,5	0,0,0,0	0,218,251,2053	0,4,0,0	0,8,0,1	0,54,0,27	0,0,0,0	3663.json
2205	28,30,30,30,30,30,30,30,30,30,28,33,30,30,36,36,34,47	17,17,17,17,17,17,17,17,17,17,16,19,17,17,20,20,19,26	22,22,22,22,22,22,22,22,22,22,23,27,26,26,29,29,27,37	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,42,50,87,90,90,164,189,240,302,357,490,500,548,548,566,576	0,2,0,2,0,0,0,1,1,1,14,5,10,1,9,1,1,15	0,2,0,4,0,0,0,2,2,2,30,5,23,2,12,2,4,17	0,133,0,39,0,0,0,6,6,16,490,164,371,5,430,7,61,293	0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0	10794.json
7	4	3	4	0	0	0	0	0	0	9518.json
1800	7	5	6	0	0	0	0	0	0	415.json
328	6	5	6	0	0	0	0	0	0	4040.json
1090	4,4,4,4,4	3,3,3,3,3	4,4,4,4,4	0,0,1,1,1	0,56,91,231,265	0,0,1,1,2	0,0,2,2,4	0,0,7,1,12	0,0,0,0,1	9358.json
