Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1610	3	3	3	0	0	0	0	0	0	4925.json
3906	19,19,19,19,19,13,18	18,18,18,18,18,12,18	19,19,19,19,19,13,18	0,0,0,0,0,0,0	0,228,270,1266,3150,3483,3721	0,1,0,0,1,1,10	0,2,0,0,2,8,21	0,5,0,0,12,86,277	0,0,0,0,0,0,1	4281.json
1610	4	3	4	0	0	0	0	0	0	4913.json
1027	29,29,29	24,24,24	28,28,28	0,0,0	0,206,382	0,1,1	0,2,2	0,7,7	0,0,0	148.json
3906	3	3	3	1	0	0	0	0	0	8739.json
3413	3,3	3,3	3,3	1,1	0,773	0,0	0,0	0,0	0,0	5081.json
205	34	22	24	0	0	0	0	0	0	4428.json
3140	13,14,14,12,11,13,14	13,14,14,12,11,11,12	13,14,14,12,11,13,14	0,0,0,0,0,0,0	0,490,500,1714,1928,1930,2023	0,2,0,5,2,3,1	0,3,0,12,5,4,1	0,77,0,140,62,34,22	0,0,0,0,0,0,0	3721.json
1798	10	10	10	0	0	0	0	0	0	8365.json
281	20	14	20	0	0	0	0	0	0	731.json
3906	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,0,0,0	0,270,442,1266,3150	0,0,1,0,1	0,0,2,0,2	0,0,18,0,6	0,0,0,0,0	4623.json
3546	3	3	3	0	0	0	0	0	0	183.json
2515	14	9	11	0	0	0	0	0	0	1808.json
1482	3,3	3,3	3,3	0,0	0,726	0,1	0,2	0,60	0,0	5782.json
1999	7,7,10	4,4,7	7,7,10	0,0,0	0,158,377	0,1,7	0,2,11	0,69,103	0,0,0	9386.json
3402	3	3	3	1	0	0	0	0	0	1926.json
3906	50,54,54,56,60	44,46,46,49,53	44,47,47,49,53	0,0,0,0,0	0,1149,3153,3192,3728	0,5,1,10,7	0,6,2,18,10	0,98,12,32,71	0,1,0,0,1	5530.json
3899	11,11,11	10,10,10	10,10,10	0,0,0	0,2,387	0,1,1	0,2,2	0,3,2	0,1,1	6513.json
951	7	6	7	0	0	0	0	0	0	4016.json
3906	3	3	3	1	0	0	0	0	0	5586.json
2904	9	9	9	0	0	0	0	0	0	10416.json
3297	17,18,18,17,17	14,15,15,14,14	14,15,15,14,14	0,0,0,0,0	0,163,576,1440,1450	0,1,1,0,1	0,1,2,1,2	0,31,14,31,4	0,1,0,0,0	6428.json
1845	4	4	4	0	0	0	0	0	0	6262.json
3906	11,14	10,12	11,13	0,0	0,1765	0,3	0,3	0,41	0,1	6348.json
1027	8	3	8	0	0	0	0	0	0	3198.json
3140	32,32	28,28	28,28	0,0	0,500	0,0	0,0	0,0	0,0	3663.json
901	4	4	4	0	0	0	0	0	0	4040.json
1622	4	4	4	0	0	0	0	0	0	9358.json
783	5	5	5	0	0	0	0	0	0	7397.json
3140	3,3,12	3,3,12	3,3,12	1,1,0	0,500,2215	0,0,11	0,0,13	0,0,266	0,0,0	3421.json
2652	3,3	3,3	3,3	0,0	0,12	0,0	0,0	0,0	0,0	4374.json
3530	89,90,90,95,95,95,95,99,99,122	56,57,57,60,60,60,60,63,63,80	78,79,79,82,82,82,82,86,86,105	0,0,0,0,0,0,0,0,0,0	0,66,318,528,598,738,809,1872,2059,3027	0,7,1,37,1,1,1,4,3,45	0,13,2,69,2,2,2,4,6,67	0,89,1,924,17,1,14,122,12,1043	0,0,0,1,1,1,0,1,0,1	7188.json
3906	16,16,23,23,23,35,32,34,34,34,34	15,15,20,20,20,29,26,28,28,28,28	15,15,21,21,21,30,27,29,29,29,29	0,0,0,0,0,0,0,0,0,0,0	0,116,328,1185,1469,1620,2059,2193,2435,3153,3399	0,1,10,1,1,18,1,21,1,1,1	0,2,13,2,2,24,5,40,2,2,2	0,10,119,14,20,402,50,68,4,6,19	0,1,0,0,1,1,0,0,0,0,0	431.json
1091	3	3	3	1	0	0	0	0	0	6171.json
3140	4,4	3,3	4,4	0,0	0,500	0,0	0,0	0,0	0,0	3796.json
1615	3	3	3	0	0	0	0	0	0	3575.json
3421	3,3	3,3	3,3	0,0	0,2665	0,1	0,2	0,6	0,0	6239.json
951	3	3	3	1	0	0	0	0	0	4044.json
2761	4	4	4	0	0	0	0	0	0	7359.json
2701	26,26	23,23	25,25	0,0	0,1945	0,1	0,2	0,6	0,0	7760.json
3906	10,10	10,10	10,10	0,0	0,3772	0,1	0,2	0,1	0,1	8264.json
1003	3	3	3	1	0	0	0	0	0	1490.json
3297	13	13	13	0	0	0	0	0	0	6364.json
3906	3	3	3	0	0	0	0	0	0	9233.json
3618	3	3	3	0	0	0	0	0	0	7064.json
2652	7,7,9,8,9,17,18	6,6,8,7,9,14,14	7,7,9,8,9,14,15	0,0,0,0,0,0,0	0,12,811,975,975,975,1711	0,0,3,0,3,9,16	0,0,4,1,5,10,32	0,0,35,28,60,225,20	0,0,0,0,0,0,0	3018.json
3085	4,4	4,4	4,4	0,0	0,2329	0,1	0,2	0,6	0,0	7264.json
3297	3	3	3	0	0	0	0	0	0	6424.json
3906	9,9,4,4	8,8,3,3	9,9,4,4	0,0,0,0	0,269,272,3150	0,1,1,1	0,2,7,2	0,26,104,6	0,0,0,0	1044.json
3906	3,3	3,3	3,3	1,1	0,116	0,1	0,2	0,16	0,1	9089.json
3906	25,24,28,24,24,29,29,26,28	23,23,23,23,23,23,23,21,23	24,23,27,23,23,28,28,25,27	0,0,0,0,0,0,0,0,0	0,232,1090,1093,2303,2898,3150,3483,3772	0,4,9,5,5,10,1,1,3	0,9,14,14,10,15,2,5,4	0,179,59,59,25,82,6,102,56	0,0,0,1,0,0,0,0,1	333.json
1573	12,14	7,8	12,14	0,0	0,1543	0,2	0,2	0,85	0,0	10055.json
1094	15	13	15	0	0	0	0	0	0	284.json
3144	3	3	3	1	0	0	0	0	0	5979.json
32	28	22	26	0	0	0	0	0	0	2978.json
2538	4,4	4,4	4,4	0,0	0,1782	0,1	0,2	0,12	0,0	4512.json
3623	3,3	3,3	3,3	1,1	0,983	0,0	0,0	0,0	0,0	5176.json
3906	4,4	3,3	4,4	0,0	0,3153	0,1	0,2	0,6	0,0	2514.json
2652	3,3	3,3	3,3	0,0	0,12	0,0	0,0	0,0	0,0	4160.json
3906	10	10	10	0	0	0	0	0	0	8668.json
3906	3	3	3	1	0	0	0	0	0	5914.json
3906	3	3	3	1	0	0	0	0	0	8688.json
3906	3,3	3,3	3,3	0,0	0,910	0,1	0,2	0,12	0,0	8899.json
2210	17,16	15,14	16,15	0,0	0,1973	0,3	0,7	0,14	0,1	6256.json
3366	3	3	3	1	0	0	0	0	0	6961.json
3906	8,8	7,7	8,8	0,0	0,3153	0,1	0,2	0,6	0,0	8686.json
3906	9,9,9	9,9,9	9,9,9	0,0,0	0,232,3150	0,1,1	0,2,2	0,25,6	0,0,0	5733.json
3906	8,9,9	8,9,9	8,9,9	0,0,0	0,1846,3153	0,1,1	0,1,2	0,26,6	0,0,0	5395.json
1554	13	13	13	0	0	0	0	0	0	8162.json
3568	3	3	3	0	0	0	0	0	0	6740.json
1359	3,3	3,3	3,3	1,1	0,1150	0,0	0,0	0,0	0,0	2605.json
3669	6,15	3,12	6,15	0,0	0,87	0,11	0,13	0,277	0,0	7161.json
1602	3	3	3	0	0	0	0	0	0	2870.json
3906	15,7,7,8,8	13,4,4,4,4	14,6,6,7,7	0,0,0,0,0	0,232,1083,1088,3150	0,2,2,3,1	0,12,4,5,2	0,176,20,26,6	0,0,1,0,0	220.json
3637	3	3	3	0	0	0	0	0	0	9063.json
2156	4	4	4	0	0	0	0	0	0	7448.json
306	3	3	3	0	0	0	0	0	0	8280.json
3906	15,15,16,15,15,16,16	14,14,14,14,14,14,14	14,14,15,14,14,15,15	0,0,0,0,0,0,0	0,232,1090,1093,2303,2898,3150	0,1,3,2,2,3,1	0,2,5,5,4,5,2	0,43,19,19,10,31,6	0,0,0,1,0,0,0	307.json
1932	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,1,1,1,1	0,107,114,141,1405	0,2,1,2,0	0,4,2,4,0	0,34,6,46,0	0,1,0,1,0	2631.json
2657	3,3	3,3	3,3	1,1	0,17	0,0	0,0	0,0	0,0	5160.json
1718	7,8,5	8,9,3	7,8,5	0,0,0	0,512,1327	0,1,3	0,1,9	0,13,61	0,1,1	8621.json
3906	11,11,11	10,10,10	11,11,11	0,0,0	0,116,3150	0,2,1	0,4,2	0,29,6	0,1,0	2311.json
3906	4,5,4	4,5,4	4,5,4	0,0,0	0,164,504	0,3,1	0,5,3	0,35,28	0,0,0	2326.json
2413	5	3	5	0	0	0	0	0	0	9021.json
1824	3	3	3	0	0	0	0	0	0	6139.json
3422	3,3	3,3	3,3	0,0	0,505	0,1	0,2	0,33	0,0	9166.json
1602	12,12	12,12	12,12	0,0	0,846	0,1	0,2	0,6	0,0	2826.json
3808	16,19,14	16,19,14	16,19,14	0,0,0	0,617,891	0,4,8	0,5,21	0,36,128	0,1,1	8223.json
1867	3	3	3	1	0	0	0	0	0	1947.json
1047	6	5	6	0	0	0	0	0	0	8515.json
3906	3	3	3	1	0	0	0	0	0	5971.json
3080	3	3	3	0	0	0	0	0	0	7090.json
3906	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,270,1266,1289	0,0,0,1	0,0,0,2	0,0,0,6	0,0,0,0	5052.json
2652	13,13,3	13,13,3	13,13,3	0,0,0	0,12,117	0,0,1	0,0,12	0,0,252	0,0,0	4638.json
1610	3	3	3	0	0	0	0	0	0	4983.json
1586	10	8	10	0	0	0	0	0	0	10080.json
3906	3	3	3	0	0	0	0	0	0	7578.json
3906	42,41,41,41,44,39,39,39	34,34,34,34,34,29,29,30	38,37,37,37,40,35,35,36	0,0,0,0,0,0,0,0	0,116,1185,1801,2065,3079,3324,3332	0,9,2,3,7,2,2,2	0,19,4,6,11,9,4,4	0,178,28,42,199,61,23,6	0,1,0,0,0,0,0,1	2063.json
3439	3,3	3,3	3,3	0,0	0,719	0,1	0,2	0,14	0,0	1182.json
3227	3	3	3	0	0	0	0	0	0	7149.json
3629	9,9	5,5	5,5	0,0	0,32	0,2	0,4	0,6	0,1	6677.json
655	5,5,5,5,6,6,7,8	3,3,3,3,3,3,3,3	5,5,5,5,6,6,7,8	0,0,0,0,0,0,0,0	0,7,7,52,56,210,326,361	0,2,1,2,2,1,2,2	0,4,2,4,3,2,3,3	0,28,7,16,57,9,18,57	0,0,0,0,0,0,0,0	2483.json
1428	3	3	3	1	0	0	0	0	0	8747.json
1652	3	3	3	0	0	0	0	0	0	5978.json
2652	8,8	8,8	8,8	0,0	0,12	0,0	0,0	0,0	0,0	4788.json
3800	6	6	6	0	0	0	0	0	0	10243.json
3576	5,5	5,5	5,5	0,0	0,2820	0,1	0,2	0,6	0,0	8850.json
3800	3,3	3,3	3,3	0,0	0,330	0,0	0,0	0,0	0,0	530.json
3906	29,29,29	19,19,19	20,20,20	0,0,0	0,277,3150	0,2,1	0,4,2	0,39,18	0,0,0	6592.json
3906	3,3	3,3	3,3	0,0	0,3150	0,1	0,2	0,12	0,0	8368.json
3637	3	3	3	0	0	0	0	0	0	9080.json
1196	31,31	19,19	19,19	0,0	0,440	0,1	0,2	0,12	0,0	7603.json
613	8,9	5,5	8,9	0,0	0,4	0,2	0,3	0,21	0,1	5270.json
3906	13	11	12	0	0	0	0	0	0	8679.json
3789	3	3	3	0	0	0	0	0	0	9419.json
205	90	69	71	0	0	0	0	0	0	4421.json
3800	25,25	24,24	24,24	0,0	0,330	0,0	0,0	0,0	0,0	526.json
3906	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,270,275,2947	0,0,3,1	0,0,6,2	0,0,23,18	0,0,0,0	8858.json
3115	1	3	1	0	0	0	0	0	0	9695.json
3906	10,10	9,9	10,10	0,0	0,3150	0,1	0,2	0,6	0,0	5648.json
855	3	3	3	0	0	0	0	0	0	7878.json
3906	3	3	3	0	0	0	0	0	0	403.json
2052	14,17,16	12,15,15	13,16,15	0,0,0	0,1035,1213	0,6,1	0,9,3	0,42,28	0,1,1	5855.json
1602	3	3	3	0	0	0	0	0	0	2736.json
2023	8,9,3	5,5,3	8,9,3	0,0,0	0,156,400	0,1,1	0,1,8	0,56,226	0,0,0	1737.json
1665	3	3	3	1	0	0	0	0	0	7566.json
983	3	3	3	0	0	0	0	0	0	9313.json
3297	3	3	3	0	0	0	0	0	0	6391.json
3906	69,69,69	50,50,50	50,50,50	0,0,0	0,309,3153	0,6,1	0,12,2	0,36,6	0,1,0	8659.json
3906	6,6,5,5	6,6,3,3	6,6,5,5	0,0,0,0	0,232,3003,3153	0,1,3,1	0,2,7,2	0,45,62,6	0,0,0,0	1765.json
3906	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,958,3150,3697	0,0,1,0	0,0,2,0	0,0,6,0	0,0,0,0	2569.json
2652	6,6,6	6,6,6	6,6,6	0,0,0	0,12,891	0,0,1	0,0,2	0,0,6	0,0,1	4673.json
205	4	3	4	0	0	0	0	0	0	4545.json
3530	3	3	3	0	0	0	0	0	0	7061.json
2337	19,16	14,11	17,14	0,0	0,490	0,1	0,5	0,45	0,0	6866.json
1602	3	3	3	1	0	0	0	0	0	2748.json
3906	3	3	3	0	0	0	0	0	0	8245.json
1602	3	3	3	0	0	0	0	0	0	2786.json
3789	4,4,4,4,4	4,4,4,4,4	4,4,4,4,4	0,0,0,0,0	0,153,1149,2265,2739	0,0,0,1,1	0,0,0,2,2	0,0,0,20,14	0,0,0,1,0	3937.json
205	17	14	15	0	0	0	0	0	0	4534.json
3906	21,21,26,3	17,17,17,3	17,17,22,3	0,0,0,0	0,116,2065,2283	0,4,10,2	0,8,15,27	0,63,189,766	0,0,0,0	9371.json
3906	5,5,5	5,5,5	5,5,5	0,0,0	0,232,3150	0,1,1	0,2,2	0,21,12	0,0,0	6213.json
1824	3	3	3	1	0	0	0	0	0	6144.json
2652	3,3,3	3,3,3	3,3,3	0,0,0	0,12,979	0,0,1	0,0,2	0,0,20	0,0,0	4594.json
1995	5	3	5	0	0	0	0	0	0	8600.json
569	19	18	19	0	0	0	0	0	0	577.json
3899	21,21	10,10	10,10	0,0	0,2	0,1	0,2	0,6	0,1	6500.json
3906	3	3	3	1	0	0	0	0	0	5539.json
3906	16,16,14,14,15,15	9,9,7,7,8,8	9,9,7,7,8,8	0,0,0,0,0,0	0,280,294,3150,3578,3612	0,1,1,1,4,1	0,2,4,2,7,2	0,10,47,12,48,6	0,1,0,0,0,1	5962.json
2302	10,10,10,14	9,9,9,14	10,10,10,14	0,0,0,0	0,2,1098,1614	0,0,2,7	0,0,4,10	0,0,26,128	0,0,1,1	44.json
3637	3,3,3	3,3,3	3,3,3	0,0,0	0,1,997	0,0,0	0,0,0	0,0,0	0,0,0	4435.json
3486	5,3	5,3	5,3	0,0	0,2969	0,1	0,4	0,43	0,1	7490.json
2052	8	8	8	0	0	0	0	0	0	5818.json
3906	5,5	5,5	5,5	0,0	0,3150	0,1	0,2	0,6	0,0	1285.json
3574	3	3	3	1	0	0	0	0	0	7309.json
1358	3	3	3	1	0	0	0	0	0	9861.json
328	3,3	3,3	3,3	0,0	0,2	0,1	0,2	0,7	0,1	4196.json
3906	12,12,12,16,18	11,11,11,15,18	12,12,12,16,18	0,0,0,0,0	0,1083,3153,3400,3400	0,1,1,14,4	0,2,2,24,6	0,1,6,90,15	0,1,0,0,1	250.json
3906	3	3	3	1	0	0	0	0	0	8732.json
2379	3	3	3	1	0	0	0	0	0	927.json
