Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2671	4,4	4,4	4,4	0,0	0,6	0,0	0,0	0,0	0,0	2184.json
1952	3	3	3	0	0	0	0	0	0	148.json
4702	1,1	3,3	1,1	1,1	0,1387	0,0	0,0	0,0	0,0	3721.json
4820	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	183.json
4820	5,4,4	4,4,4	5,4,4	0,0,0	0,189,1505	0,1,0	0,2,0	0,24,0	0,0,0	4016.json
2113	3	3	3	0	0	0	0	0	0	3198.json
4758	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,159,1443,3101	0,1,0,1	0,2,0,2	0,3,0,3	0,0,0,0	3663.json
3764	8,8,8,8	8,8,8,8	8,8,8,8	0,0,0,0	0,111,449,1143	0,0,0,1	0,0,0,2	0,0,0,24	0,1,0,0	415.json
4677	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,17,635,1362,1535	0,3,1,0,1	0,6,2,0,2	0,12,5,0,14	0,0,0,0,0	4040.json
1952	3	3	3	0	0	0	0	0	0	3421.json
2495	5	7	5	0	0	0	0	0	0	431.json
4820	3,3	3,3	3,3	0,0	0,1505	0,0	0,0	0,0	0,0	3796.json
4032	27,27,22,23,25,25,25,23	22,22,17,18,20,20,20,18	23,23,18,19,21,21,21,19	0,0,0,0,0,0,0,0	0,717,1414,1424,2343,2352,2383,2870	0,0,1,1,3,2,7,14	0,0,7,1,4,4,14,30	0,0,359,46,87,6,112,112	0,0,0,1,0,0,0,0	3575.json
4677	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,17,635,1362	0,3,1,0	0,6,2,0	0,12,5,0	0,0,0,0	4044.json
4660	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,875,875,1007,1345	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	3018.json
1421	3	3	3	0	0	0	0	0	0	1044.json
4011	13,13,13,13,12	10,10,10,10,9	13,13,13,13,12	0,0,0,0,0	0,50,275,696,2354	0,1,1,0,1	0,2,2,0,3	0,8,11,0,91	0,1,1,0,0	4080.json
1592	9	8	8	0	0	0	0	0	0	333.json
1763	4	4	4	0	0	0	0	0	0	284.json
63	3	3	3	0	0	0	0	0	0	2514.json
4820	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,129,170,1505	0,1,1,0	0,2,2,0	0,13,13,0	0,1,1,0	4160.json
304	14	14	14	0	0	0	0	0	0	2605.json
4820	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	220.json
4787	1,1	3,3	1,1	1,1	0,1472	0,0	0,0	0,0	0,0	3965.json
859	3,10	3,8	3,10	1,0	0,0	0,10	0,13	0,350	0,0	307.json
1731	4	4	4	0	0	0	0	0	0	2311.json
