Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
32	3	3	3	0	0	0	0	0	0	2184.json
419	3	3	3	1	0	0	0	0	0	148.json
208	7,5	7,5	7,5	0,0	0,0	0,1	0,4	0,137	0,0	183.json
1547	5,5,5,3	5,5,5,3	5,5,5,3	0,0,0,0	0,98,100,243	0,0,0,1	0,0,0,4	0,0,0,47	0,0,0,0	1926.json
500	6,6,7,8	3,3,5,5	5,5,6,6	0,0,0,0	0,0,0,0	0,2,3,6	0,4,5,11	0,46,115,145	0,1,0,0	415.json
5	3	3	3	0	0	0	0	0	0	1490.json
1547	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,58,99,100	0,1,0,0	0,2,0,0	0,5,0,0	0,1,0,0	1044.json
70	3	3	3	1	0	0	0	0	0	333.json
1173	8	3	6	0	0	0	0	0	0	284.json
1442	3,3	3,3	3,3	0,0	0,1	0,1	0,2	0,6	0,0	220.json
375	3	3	3	0	0	0	0	0	0	307.json
597	5	5	5	0	0	0	0	0	0	2311.json
597	5	5	5	0	0	0	0	0	0	2326.json
595	3	3	3	0	0	0	0	0	0	1947.json
595	3	3	3	0	0	0	0	0	0	2063.json
673	10	10	10	0	0	0	0	0	0	1182.json
1417	4,4,4,4,4	3,3,3,3,3	4,4,4,4,4	0,0,0,0,0	0,2,38,415,437	0,3,3,1,1	0,6,6,2,2	0,122,11,7,5	0,0,0,0,0	530.json
1468	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,19,21,163	0,0,0,1	0,0,0,2	0,0,0,24	0,0,0,0	2039.json
1378	10,10	9,9	9,9	0,0	0,0	0,3	0,6	0,12	0,0	526.json
1055	3,5	3,3	3,4	0,0	0,871	0,3	0,4	0,26	0,0	403.json
1304	3,3	3,3	3,3	0,0	0,444	0,1	0,2	0,7	0,0	1737.json
1304	3,3,3	3,3,3	3,3,3	0,0,0	0,444,444	0,1,1	0,2,2	0,7,15	0,0,0	1765.json
483	3	3	3	0	0	0	0	0	0	577.json
559	9,9	7,7	8,8	0,0	0,523	0,2	0,4	0,36	0,1	44.json
1023	3	3	3	0	0	0	0	0	0	1285.json
375	3	3	3	0	0	0	0	0	0	250.json
1668	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1	0,52,68,68,183,191,192,220,221	0,2,0,0,1,1,1,0,0	0,4,0,0,2,2,2,0,0	0,31,0,0,13,6,5,0,0	0,0,0,0,0,0,0,0,0	927.json
1304	3,3	3,3	3,3	0,0	0,444	0,1	0,2	0,7	0,0	2228.json
574	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,0	0,0,24,148	0,1,2,3	0,2,4,6	0,51,42,51	0,1,0,0	2271.json
595	3	3	3	0	0	0	0	0	0	2140.json
504	3	3	3	0	0	0	0	0	0	1937.json
1637	4,4,4,4,4,4	4,4,4,4,4,4	4,4,4,4,4,4	0,0,0,0,0,0	0,188,190,190,568,569	0,0,0,0,1,1	0,0,0,0,2,2	0,0,0,0,11,11	0,0,0,0,0,0	225.json
853	25,25,27,30,30,3	21,21,21,24,24,3	22,22,22,25,25,3	0,0,0,0,0,0	0,6,6,94,236,570	0,1,3,3,1,1	0,2,4,3,2,29	0,1,58,51,28,612	0,1,0,0,1,0	2212.json
1683	7,7,7,9,9,7,9,12,12,19,13,14,11,11,12,12,11,11,11,11,12,12,12,12,20,20,20,20,20,20,20,20,20,20,20,30,29,29,22,22,24,24,24,28,28,28,28,28,30,32,27,27,26,27,27,27,27,27,27,30	7,7,7,9,9,7,9,12,12,13,13,14,11,11,12,12,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,20,20,20,16,16,17,17,17,17,17,17,17,17,18,18,16,16,15,16,16,16,16,16,16,18	7,7,7,9,9,7,9,12,12,13,13,14,11,11,12,12,11,11,11,11,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,25,24,24,19,19,20,20,20,22,22,22,22,22,24,26,21,21,20,21,21,21,21,21,21,23	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,2,2,3,6,7,10,10,11,12,12,25,25,36,39,41,51,67,67,68,79,80,81,81,81,82,82,82,83,83,84,84,84,86,86,134,134,142,198,213,220,234,235,236,246,271,271,535,535,599,599,656,681,1173,1415,1635,1677	0,2,1,3,2,1,3,5,1,9,2,1,4,2,1,1,2,1,7,2,3,2,1,1,8,1,1,4,3,1,0,1,1,0,0,16,3,1,0,1,3,1,1,10,0,0,0,1,2,3,2,1,0,1,2,2,1,2,11,4	0,4,2,4,4,4,4,7,2,11,10,1,11,4,1,2,5,2,14,4,5,4,2,2,8,2,2,8,6,2,0,2,2,0,0,22,7,2,7,2,4,2,2,16,0,0,0,2,2,4,9,2,1,1,4,4,2,4,22,5	0,21,54,131,20,141,138,158,6,385,249,48,261,99,67,1,96,19,126,45,75,11,3,18,330,6,6,60,64,11,0,4,13,0,0,390,115,5,222,5,86,1,6,164,0,0,0,8,117,94,275,6,16,16,12,10,45,62,345,121	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	1457.json
878	13,13,13	13,13,13	13,13,13	0,0,0	0,0,0	0,3,0	0,6,0	0,89,0	0,0,0	774.json
1182	3,3,8,15,16,16,18	3,3,7,12,12,12,16	3,3,8,14,15,15,17	0,0,0,0,0,0,0	0,22,480,929,930,930,930	0,1,6,8,4,2,5	0,2,7,9,7,4,8	0,14,110,243,130,12,101	0,0,1,0,0,0,0	719.json
715	3	3	3	0	0	0	0	0	0	1538.json
1292	3	3	3	1	0	0	0	0	0	1684.json
1181	3	3	3	0	0	0	0	0	0	786.json
1185	3	3	3	0	0	0	0	0	0	1603.json
595	3	3	3	0	0	0	0	0	0	1975.json
595	3	3	3	0	0	0	0	0	0	1982.json
380	7,7	3,3	7,7	0,0	0,0	0,1	0,2	0,1	0,0	355.json
559	6	4	6	0	0	0	0	0	0	47.json
1687	5,5,5,5,5,5,3,3,3,3	5,5,5,5,5,5,3,3,3,3	5,5,5,5,5,5,3,3,3,3	0,0,0,0,0,0,0,0,0,0	0,0,0,1,3,3,56,238,240,382	0,0,0,1,0,0,1,0,0,1	0,0,0,2,0,0,4,0,0,2	0,0,0,32,0,0,32,0,0,20	0,0,0,0,0,0,0,0,0,0	1907.json
559	3	3	3	0	0	0	0	0	0	70.json
1661	3,3,3,4	3,3,3,4	3,3,3,4	0,0,0,0	0,213,214,1178	0,0,0,1	0,0,0,1	0,0,0,58	0,0,0,0	564.json
