Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2605	3	3	3	1	0	0	0	0	0	2184.json
2402	9,9,8	12,12,10	9,9,8	0,0,0	0,0,0	0,2,3	0,4,7	0,24,182	0,0,0	148.json
1248	21	22	21	0	0	0	0	0	0	731.json
1697	13	14	13	0	0	0	0	0	0	183.json
3538	57,65,75,75,44	58,67,78,78,45	48,55,64,64,38	0,0,0,0,0	0,286,1021,1058,2332	0,8,10,72,8	0,8,10,144,47	0,307,339,81,993	0,1,1,1,1	1808.json
2361	22,22,22	24,24,24	22,22,22	0,0,0	0,9,16	0,2,1	0,4,2	0,16,1	0,0,0	1926.json
3526	15,15	15,15	13,13	0,0	0,12	0,1	0,2	0,15	0,0	3198.json
2524	8,8,8,8	8,8,8,8	8,8,8,8	0,0,0,0	0,217,297,2234	0,1,1,2	0,2,2,4	0,7,21,90	0,1,0,0	415.json
2605	10,32,30	10,30,31	9,29,28	0,0,0	0,123,1720	0,23,7	0,30,16	0,678,206	0,1,1	431.json
2013	3	3	3	1	0	0	0	0	0	1490.json
1997	3	3	3	0	0	0	0	0	0	3018.json
4041	3,3,3,3	4,4,4,4	3,3,3,3	0,0,0,0	0,9,121,160	0,1,1,0	0,2,2,0	0,6,22,0	0,1,1,0	1044.json
1138	13,6,7,7	12,5,6,6	12,5,6,6	0,0,0,0	0,0,14,1121	0,1,1,2	0,9,1,4	0,382,51,53	0,1,0,0	333.json
4050	9,11,11,9,8,24,25,20,30,35,33,33,29,31,34,34,34,36,38	13,14,14,9,9,24,25,21,25,28,27,27,22,22,25,25,25,28,30	9,11,11,8,8,22,23,19,23,25,24,24,20,20,23,23,23,25,26	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,3,4,6,7,12,84,104,124,169,541,571,770,868,1452,1939,3334	0,3,2,7,3,22,1,2,11,5,6,0,1,1,3,1,1,2,2	0,4,4,16,7,28,1,9,12,5,14,0,6,2,3,2,2,2,2	0,42,27,284,47,578,25,211,674,128,109,0,124,97,228,8,37,134,139	0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0	2978.json
3136	5,5,4	6,6,5	5,5,4	0,0,0	0,11,1133	0,1,1	0,2,3	0,35,43	0,0,0	2605.json
1697	3	4	3	0	0	0	0	0	0	2870.json
1697	13	13	12	0	0	0	0	0	0	220.json
2402	3	3	3	0	0	0	0	0	0	307.json
3136	5,5,4	6,6,5	5,5,4	0,0,0	0,11,1133	0,1,1	0,2,3	0,30,43	0,0,0	2631.json
4047	3,3,3	4,4,4	3,3,3	0,0,0	0,127,166	0,2,0	0,4,0	0,16,0	0,1,0	2311.json
4047	20,11,12,12,12,9,10,10,10	17,9,10,10,10,10,11,11,11	16,6,7,7,7,7,7,7,7	0,0,0,0,0,0,0,0,0	0,4,4,6,9,19,19,127,166	0,5,1,5,1,0,3,5,0	0,19,1,10,2,3,5,10,0	0,387,37,59,12,166,53,15,0	0,0,1,0,1,1,1,1,0	2326.json
1221	7	7	7	0	0	0	0	0	0	2826.json
163	19	22	19	0	0	0	0	0	0	1947.json
2208	4	5	4	0	0	0	0	0	0	2063.json
1206	3	3	3	1	0	0	0	0	0	2483.json
2542	3	3	3	0	0	0	0	0	0	530.json
171	3	4	3	0	0	0	0	0	0	2039.json
2542	3	3	3	0	0	0	0	0	0	526.json
1242	3,3	4,4	3,3	0,0	0,1225	0,0	0,0	0,0	0,0	403.json
676	9,7	9,7	9,7	0,0	0,56	0,1	0,4	0,63	0,0	2736.json
4041	1,1,1	3,3,3	1,1,1	0,0,0	0,121,160	0,1,0	0,2,0	0,44,0	0,1,0	1737.json
4041	20,20,20,20,20,20	17,17,17,17,17,17	12,12,12,12,12,12	0,0,0,0,0,0	0,13,121,160,394,400	0,1,10,0,1,1	0,2,20,0,2,2	0,10,40,0,67,7	0,1,1,0,0,1	1765.json
676	23,25	20,22	20,22	0,0	0,590	0,5	0,8	0,32	0,1	2748.json
2542	3	3	3	0	0	0	0	0	0	577.json
955	1,1	4,4	1,1	0,0	0,7	0,1	0,2	0,10	0,0	44.json
4027	7,7,7,7,8,8,8,8,28,28,28,31,35,35	5,5,5,5,6,7,7,7,26,26,26,28,34,34	5,5,5,5,6,6,6,6,25,25,25,28,32,32	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,107,122,146,381,489,698,845,865,1447,1616,2039,2329,3410	0,1,1,0,1,2,2,1,21,2,1,5,10,2	0,2,2,0,1,4,4,2,22,4,2,7,16,4	0,4,7,0,59,60,51,6,545,14,23,128,216,61	0,1,0,0,0,0,1,0,0,0,1,0,1,0	1285.json
1697	36,37	40,41	36,37	0,0	0,6	0,3	0,5	0,131	0,1	250.json
3630	6,6	8,8	6,6	0,0	0,546	0,1	0,2	0,6	0,0	927.json
1697	3	4	3	0	0	0	0	0	0	2872.json
1793	78,77,77	74,73,73	65,64,64	0,0,0	0,207,1264	0,4,1	0,9,2	0,301,23	0,0,1	1370.json
4041	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,121,160,1377,3351	0,3,0,2,1	0,6,0,4,2	0,10,0,33,6	0,1,0,0,0	2228.json
3876	5,6,8	4,5,7	5,6,8	0,0,0	0,1766,3242	0,1,3	0,1,4	0,77,23	0,0,0	2271.json
3534	3,3,3,3	4,3,3,3	3,3,3,3	0,0,0,1	0,0,0,3111	0,1,2,3	0,2,4,6	0,17,82,79	0,0,0,0	2140.json
323	4,4	4,4	4,4	0,0	0,205	0,1	0,2	0,2	0,1	1937.json
3529	3,3,3	3,3,3	3,3,3	0,0,0	0,987,1162	0,1,1	0,2,2	0,5,6	0,0,0	1457.json
