Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
297	3	3	3	0	0	0	0	0	0	29850.json
1312	3	3	3	0	0	0	0	0	0	41122.json
1371	20	20	20	0	0	0	0	0	0	50433.json
297	3	3	3	1	0	0	0	0	0	29342.json
297	10,10	10,10	10,10	0,0	0,73	0,1	0,2	0,13	0,0	29600.json
1597	3,3,3	3,3,3	3,3,3	0,0,0	0,129,131	0,1,1	0,2,2	0,57,3	0,0,0	4925.json
1660	3	3	3	1	0	0	0	0	0	4281.json
2513	3,3	3,3	3,3	0,0	0,48	0,3	0,6	0,18	0,0	47945.json
890	18	14	14	0	0	0	0	0	0	6491.json
948	12	8	12	0	0	0	0	0	0	2184.json
1468	3	3	3	0	0	0	0	0	0	4913.json
1187	7	7	7	0	0	0	0	0	0	148.json
374	3	3	3	1	0	0	0	0	0	15388.json
3789	3,3,3	3,3,3	3,3,3	1,1,1	0,2318,2318	0,0,0	0,0,0	0,0,0	0,0,0	14050.json
3065	3,3	3,3	3,3	0,0	0,149	0,0	0,0	0,0	0,0	41091.json
2947	3,3	3,3	3,3	1,1	0,100	0,0	0,0	0,0	0,1	25636.json
2004	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,202,1394,1985	0,1,2,1	0,2,4,2	0,29,46,40	0,0,0,0	12851.json
297	6	6	6	0	0	0	0	0	0	29849.json
2640	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,0,7,10,21,22,70	0,1,1,1,1,1,1	0,2,2,2,2,2,2	0,14,8,6,62,7,8	0,0,0,0,0,0,1	27672.json
2563	6,6,6	6,6,6	6,6,6	0,0,0	0,935,942	0,0,0	0,0,0	0,0,0	0,0,0	16260.json
2088	29,29,29,27,71,72,40,40	23,23,23,21,57,58,33,33	23,23,23,21,57,58,33,33	0,0,0,0,0,0,0,0	0,0,0,89,322,404,1020,2080	0,29,29,3,69,9,19,2	0,58,58,8,94,17,70,4	0,58,82,70,1307,333,998,10	0,0,0,0,0,0,0,0	42314.json
4946	3,3,3,3,4	3,3,3,3,4	3,3,3,3,4	1,1,1,1,0	0,1273,3475,3475,4344	0,0,0,0,2	0,0,0,0,3	0,0,0,0,33	0,0,0,0,0	14758.json
4616	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,0,18,543,555,3145,3145	0,0,1,0,3,0,0	0,0,2,0,6,0,0	0,0,3,0,35,0,0	0,0,0,0,0,0,0	8739.json
4226	4,4,4	3,3,3	4,4,4	0,0,0	0,2755,2755	0,0,0	0,0,0	0,0,0	0,0,0	21187.json
3284	4,5,5,6	3,4,4,5	3,4,4,5	0,0,0,0	0,429,437,927	0,1,0,2	0,1,0,3	0,48,0,36	0,0,1,0	25505.json
1597	3	3	3	0	0	0	0	0	0	5081.json
2647	13	12	12	0	0	0	0	0	0	48051.json
1669	15	14	15	0	0	0	0	0	0	18737.json
2890	97,97,97	67,67,67	82,82,82	0,0,0	0,21,43	0,0,0	0,0,0	0,0,0	0,0,1	26730.json
3588	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,60,672,805,808	0,1,0,3,0	0,2,0,6,0	0,32,0,6,0	0,1,0,0,0	44794.json
1061	10,16,16	10,16,16	10,16,16	0,0,0	0,6,34	0,8,1	0,10,2	0,193,7	0,0,0	22515.json
75	3	3	3	0	0	0	0	0	0	46397.json
