Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
3929	4,4,4,4,4,3,3,3,3,4,4,4	4,4,4,4,4,3,3,3,3,4,4,4	4,4,4,4,4,3,3,3,3,4,4,4	0,0,0,0,0,0,0,0,0,0,0,0	0,1,2,2,2,55,55,2605,2791,3136,3161,3177	0,1,0,0,1,1,1,1,0,2,0,1	0,2,0,0,2,3,2,2,0,3,0,2	0,14,0,0,11,38,9,23,0,23,0,14	0,0,0,0,0,0,0,1,0,0,0,0	148.json
3905	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0	0,2,139,202,219,220,707,2767,3878,3878	0,0,1,2,0,2,0,0,1,1	0,0,2,4,0,4,0,0,2,2	0,0,12,16,0,21,0,0,8,4	0,0,0,1,0,1,0,0,0,1	731.json
2745	3,3	3,3	3,3	1,1	0,1607	0,0	0,0	0,0	0,0	1808.json
3101	21,12,17,18,7,8,8	19,10,15,16,3,3,3	19,10,15,16,7,8,8	0,0,0,0,0,0,0	0,239,250,303,388,399,1963	0,1,6,7,6,1,0	0,11,7,13,23,1,0	0,376,206,168,635,39,0	0,0,0,1,0,0,0	415.json
2713	6,11,15,16,16,16	3,9,13,13,13,13	3,9,13,13,13,13	0,0,0,0,0,0	0,4,11,205,1575,1914	0,7,4,2,0,1	0,9,4,3,0,2	0,273,229,62,0,13	0,1,0,0,0,0	431.json
2217	3,6,6,6,6,6,6,6	3,6,6,6,6,6,6,6	3,6,6,6,6,6,6,6	0,0,0,0,0,0,0,0	0,0,8,8,594,594,1079,1488	0,3,2,0,1,1,0,2	0,3,4,0,2,2,0,4	0,152,14,0,29,29,0,6	0,0,0,0,0,0,0,1	1490.json
3917	9,9,7,7,7,7,7,8,8,8,8	3,3,3,3,3,3,3,3,3,3,3	9,9,7,7,7,7,7,8,8,8,8	0,0,0,0,0,0,0,0,0,0,0	0,1,1,17,32,46,72,72,2779,3118,3149	0,1,5,1,1,4,2,4,0,2,0	0,2,12,2,2,8,4,7,0,4,0	0,25,90,7,21,58,4,34,8,26,0	0,0,0,0,0,0,1,0,0,0,0	1044.json
1280	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,0,142,142	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	333.json
692	6,6	5,5	6,6	0,0	0,52	0,1	0,2	0,39	0,0	284.json
27	3,3	3,3	3,3	1,0	0,0	0,2	0,4	0,27	0,0	220.json
690	8	5	8	0	0	0	0	0	0	307.json
543	8	8	8	0	0	0	0	0	0	530.json
728	27,27,27,27,27	18,18,18,18,18	18,18,18,18,18	0,0,0,0,0	0,6,52,701,701	0,1,1,1,1	0,2,2,2,2	0,36,17,43,46	0,1,0,0,0	526.json
22	3	3	3	1	0	0	0	0	0	403.json
3928	4,4,4,4,3,3,4	4,4,4,4,3,3,4	4,4,4,4,3,3,4	0,0,0,0,0,0,0	0,1,1,29,54,2790,3135	0,0,1,0,1,0,2	0,0,2,0,3,0,3	0,0,11,0,37,0,23	0,0,0,0,0,0,0	1737.json
3928	4,4,4,4,3,3,3,3,3,3,4,4	4,4,4,4,3,3,3,3,3,3,4,4	4,4,4,4,3,3,3,3,3,3,4,4	0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,29,54,54,408,408,2338,2790,3135,3157	0,0,1,0,1,1,1,1,1,0,2,1	0,0,2,0,3,2,2,2,2,0,3,2	0,0,11,0,23,1,26,18,15,0,23,17	0,0,0,0,0,0,0,0,1,0,0,0	1765.json
3107	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,0	0,0,775,775,1969,2253,2253	0,1,1,1,0,1,1	0,2,2,2,0,2,2	0,1,4,4,0,30,36	0,0,0,0,0,0,0	577.json
3842	10,12,12,12,12,3	10,12,12,12,12,3	10,12,12,12,12,3	0,0,0,0,0,0	0,2691,2691,2691,2704,3236	0,8,2,1,0,1	0,14,4,2,0,11	0,149,12,8,0,321	0,0,0,0,0,0	1285.json
1280	3,3,3,3,3,3,6	3,3,3,3,3,3,3	3,3,3,3,3,3,6	0,0,0,0,0,0,0	0,0,127,142,142,588,978	0,0,1,0,0,2,5	0,0,2,0,0,4,7	0,0,3,0,0,44,209	0,0,0,0,0,0,0	250.json
