Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1884	10,10,10	10,10,10	10,10,10	0,0,0	0,1671,1671	0,0,0	0,0,0	0,0,0	0,0,0	4925.json
2299	3,3,3	3,3,3	3,3,3	0,0,0	0,126,126	0,0,0	0,0,0	0,0,0	0,0,0	6491.json
855	22	22	22	0	0	0	0	0	0	2184.json
1884	2,2,2	2,2,2	2,2,2	0,0,0	0,1671,1671	0,0,0	0,0,0	0,0,0	0,0,0	4913.json
2353	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,90,180,1440	0,2,0,0	0,4,0,0	0,10,0,0	0,1,0,0	148.json
1440	15,25,20,8,8	15,25,21,9,9	15,25,20,8,8	0,0,0,0,0	0,470,624,996,1226	0,24,3,1,0	0,38,11,14,0	0,763,343,856,0	0,0,0,0,0	8739.json
760	4	4	4	0	0	0	0	0	0	11120.json
2220	5,5,5	5,5,5	5,5,5	0,0,0	0,6,6	0,0,0	0,0,0	0,0,0	0,0,0	3721.json
2285	7,7,7,5,5	5,5,5,5,5	7,7,7,5,5	0,0,0,0,0	0,112,112,226,1507	0,0,0,1,0	0,0,0,4,0	0,0,0,268,0	0,0,0,0,0	8365.json
2523	3,3,3	3,3,3	3,3,3	0,0,0	0,350,1609	0,0,0	0,0,0	0,0,0	0,0,0	731.json
210	4	4	4	0	0	0	0	0	0	4623.json
2772	7,7,7,7,7,4,3,3,3,3	3,3,3,3,3,3,3,3,3,3	7,7,7,7,7,4,3,3,3,3	0,0,0,0,0,0,0,0,0,0	0,3,5,5,5,22,28,110,599,1859	0,3,1,0,0,2,1,2,0,0	0,6,2,0,0,6,3,4,0,0	0,29,12,0,0,122,105,37,0,0	0,0,1,0,0,0,0,0,0,0	183.json
1397	4	4	4	0	0	0	0	0	0	5782.json
1990	3,3	3,3	3,3	0,0	0,1777	0,0	0,0	0,0	0,0	9386.json
44	3	3	3	0	0	0	0	0	0	11181.json
1173	9	9	9	0	0	0	0	0	0	5530.json
1760	3	3	3	0	0	0	0	0	0	6513.json
1907	3	3	3	1	0	0	0	0	0	5586.json
352	20,20	20,20	19,19	0,0	0,139	0,0	0,0	0,0	0,0	10416.json
