Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
888	3	3	3	0	0	0	0	0	0	4925.json
443	5	5	5	0	0	0	0	0	0	4281.json
3006	32,33,39,38,5,5	28,29,35,34,3,3	28,29,35,34,5,5	0,0,0,0,0,0	0,0,0,0,52,273	0,4,8,0,4,2	0,7,10,1,41,4	0,97,237,45,1348,18	0,0,0,0,0,0	6491.json
1962	11,11	9,9	9,9	0,0	0,970	0,1	0,2	0,9	0,1	2184.json
275	3,3	3,3	3,3	0,0	0,41	0,1	0,2	0,49	0,0	4913.json
2835	7,7,7	7,7,7	7,7,7	0,0,0	0,105,116	0,0,0	0,0,0	0,0,0	0,0,0	148.json
1619	3	3	3	0	0	0	0	0	0	15388.json
650	3,3	3,3	3,3	1,1	0,14	0,1	0,2	0,6	0,0	14050.json
2170	31	26	26	0	0	0	0	0	0	12851.json
616	3,3	2,3	2,3	0,0	0,299	0,3	0,6	0,58	0,0	14758.json
2790	7,7	6,6	7,7	0,0	0,7	0,4	0,8	0,16	0,1	8739.json
2772	8,7,4	8,7,4	8,7,4	0,0,0	0,23,2574	0,2,1	0,5,5	0,82,90	0,0,0	5081.json
2702	7,6	3,3	7,6	0,0	0,40	0,1	0,3	0,45	0,0	18737.json
1284	3	3	3	0	0	0	0	0	0	11120.json
1691	3	3	3	0	0	0	0	0	0	4428.json
2323	3	3	3	0	0	0	0	0	0	8474.json
3865	3,3,3,3,3,4	3,3,3,3,3,4	3,3,3,3,3,4	0,0,0,0,0,0	0,98,744,764,927,1057	0,2,0,0,0,2	0,4,0,0,0,3	0,12,0,0,0,28	0,0,0,1,0,0	15746.json
4340	3,3,3,3,3,3,3,5,5,5	3,3,3,3,3,3,3,5,5,5	3,3,3,3,3,3,3,5,5,5	0,0,0,0,0,0,0,0,0,0	0,0,18,18,18,1218,1238,1626,1649,1664	0,0,3,1,1,0,0,3,0,0	0,0,6,2,2,0,0,4,0,0	0,0,38,18,4,0,0,61,0,0	0,0,0,1,0,0,1,0,0,0	3721.json
2065	3	3	3	0	0	0	0	0	0	14017.json
571	3	3	3	0	0	0	0	0	0	8365.json
1884	38,37,37,38	35,35,35,36	35,35,35,36	0,0,0,0	0,187,329,1539	0,22,1,1	0,45,2,1	0,329,19,50	0,0,0,1	731.json
2936	3,3,4,4,4,4	3,3,4,4,4,4	3,3,4,4,4,4	0,0,0,0,0,0	0,0,128,163,242,364	0,1,2,1,1,1	0,2,3,2,2,2	0,11,34,7,4,4	0,0,0,1,0,1	17454.json
86	12	3	12	0	0	0	0	0	0	4623.json
2835	12,12,12,12,12	12,12,12,12,12	12,12,12,12,12	0,0,0,0,0	0,105,111,116,650	0,0,3,0,1	0,0,6,0,2	0,0,38,0,7	0,0,0,0,1	183.json
1883	3	3	3	0	0	0	0	0	0	1808.json
1149	7,7	7,7	7,7	0,0	0,513	0,1	0,2	0,24	0,1	11890.json
2556	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,1,1,2,161,657	0,2,2,2,0,2	0,4,4,4,0,4	0,22,54,54,0,11	0,0,0,0,1,0	17807.json
1315	3,3	3,3	3,3	0,0	0,4	0,1	0,2	0,10	0,1	18288.json
4340	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,0,1218,1238,1402	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	15625.json
2145	8	8	8	0	0	0	0	0	0	5782.json
2947	6,6,6,6	6,6,6,6	6,6,6,6	0,0,0,0	0,12,164,410	0,1,1,2	0,2,2,4	0,7,12,19	0,0,1,0	9386.json
2213	3,3	3,3	3,3	0,0	0,0	0,0	0,0	0,0	0,0	1926.json
1619	4	4	4	0	0	0	0	0	0	17137.json
2007	3,3,3,9	3,3,3,9	3,3,3,9	0,0,0,0	0,0,537,900	0,3,1,7	0,6,2,8	0,12,4,162	0,0,0,0	14296.json
1619	3	3	3	0	0	0	0	0	0	15430.json
2857	3,3	3,3	3,3	0,0	0,1358	0,1	0,2	0,35	0,1	6513.json
1540	3	3	3	0	0	0	0	0	0	4016.json
1203	3	3	3	0	0	0	0	0	0	14235.json
1224	4	4	4	0	0	0	0	0	0	5586.json
1847	3,3,3	3,3,3	3,3,3	0,0,0	0,34,147	0,1,1	0,2,2	0,6,7	0,1,0	10416.json
1547	3	3	3	0	0	0	0	0	0	6428.json
1496	3	3	3	0	0	0	0	0	0	6262.json
2005	13,13	12,12	13,13	0,0	0,1632	0,1	0,2	0,14	0,1	14915.json
1553	3,3,3	3,3,3	3,3,3	0,0,0	0,53,95	0,2,1	0,4,2	0,72,44	0,0,1	10921.json
2702	5	4	5	0	0	0	0	0	0	18574.json
2321	3	3	3	0	0	0	0	0	0	3198.json
1534	3,3	3,3	3,3	0,0	0,107	0,0	0,0	0,0	0,1	18357.json
4340	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0	0,0,18,1218,1238,1626,1649,1664	0,0,3,0,0,2,0,0	0,0,6,0,0,4,0,0	0,0,24,0,0,10,0,0	0,0,0,0,1,0,0,0	3663.json
1979	21	21	21	0	0	0	0	0	0	10794.json
1427	6,4,3	5,3,3	5,3,3	0,0,0	0,111,115	0,1,1	0,4,3	0,100,111	0,1,1	18211.json
2737	7,7	7,7	7,7	0,0	0,732	0,1	0,2	0,32	0,1	14814.json
2193	3	3	3	0	0	0	0	0	0	9518.json
2064	16,12,17,17	14,12,14,14	14,12,14,14	0,0,0,0	0,277,290,364	0,7,12,3	0,18,19,6	0,223,217,15	0,1,0,0	12222.json
2196	7,8,8	7,3,3	7,8,8	0,0,0	0,151,1080	0,6,1	0,11,2	0,70,14	0,0,0	415.json
2723	3,3,3	3,3,3	3,3,3	1,0,0	0,0,5	0,1,0	0,2,0	0,4,0	0,1,0	4040.json
2352	3,3	3,3	3,3	0,0	0,73	0,2	0,4	0,35	0,0	7397.json
1149	4	4	4	0	0	0	0	0	0	12088.json
2142	3	3	3	0	0	0	0	0	0	13560.json
2936	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,163,177,189,243	0,2,2,2,2	0,4,4,4,4	0,41,38,19,30	0,1,0,1,0	17567.json
1239	3	3	3	0	0	0	0	0	0	3421.json
1914	3,3	3,3	3,3	0,0	0,1046	0,1	0,2	0,7	0,1	11338.json
568	6	5	6	0	0	0	0	0	0	4374.json
2543	3,3	3,3	3,3	0,0	0,1	0,2	0,4	0,31	0,0	7188.json
2196	35	24	26	0	0	0	0	0	0	431.json
1114	3	3	3	0	0	0	0	0	0	18371.json
1081	3	3	3	0	0	0	0	0	0	6171.json
1260	4	4	4	0	0	0	0	0	0	3796.json
2692	3,3	3,3	3,3	0,0	0,1377	0,1	0,2	0,10	0,1	16167.json
1272	38,47	25,32	25,32	0,0	0,829	0,9	0,9	0,286	0,1	14958.json
2323	4	3	3	0	0	0	0	0	0	3575.json
2716	3,3	3,3	3,3	0,0	0,942	0,3	0,6	0,12	0,0	7359.json
961	3	3	3	0	0	0	0	0	0	7760.json
2828	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	1,1,1,1,0,1,1	0,0,0,110,111,124,616	0,2,1,0,1,1,1	0,4,2,0,2,2,2	0,2,1,0,4,4,9	0,0,0,0,1,1,0	8264.json
2947	3,3,3	3,3,3	3,3,3	1,1,0	0,12,754	0,2,1	0,4,2	0,3,4	0,0,1	9512.json
792	53,56,57,61	41,44,45,48	41,44,45,48	0,0,0,0	0,155,378,387	0,3,1,4	0,3,1,4	0,94,84,125	0,0,0,0	1490.json
2694	16,59,59,59,60,60,64,58,66,69,90,90,94,98,77,81,98,110,116,119,119,116,130,130,130,140,130,129,139,151,154,163,165	16,53,53,53,54,54,58,50,54,58,74,74,77,79,63,66,80,80,83,84,84,81,88,88,88,93,88,88,93,101,101,104,104	16,55,55,55,54,54,58,51,55,59,75,75,78,80,64,67,81,81,84,85,85,82,89,89,89,94,89,89,94,104,104,107,108	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,151,151,153,268,274,434,436,446,463,464,672,672,704,705,801,880,1068,1144,1340,1379,1383,1399,1441,1442,1461,1535,1613,1613,1728,2086,2195,2212	0,56,1,2,17,3,4,4,8,8,21,2,6,13,8,5,18,13,6,5,1,0,19,1,1,13,3,6,13,13,10,10,3	0,69,2,4,33,6,4,14,8,13,21,4,8,22,37,6,19,14,6,7,2,3,24,2,2,16,16,13,16,14,17,11,4	0,1684,7,29,465,36,181,338,422,307,851,8,204,364,962,96,842,1024,311,319,16,97,835,6,28,815,815,120,815,933,816,549,190	0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1	14586.json
1121	59,62,46	52,55,40	52,55,40	0,0,0	0,7,931	0,4,5	0,5,26	0,187,720	0,1,1	9233.json
2212	5,5,5	5,5,5	5,5,5	0,0,0	0,503,1398	0,4,1	0,8,2	0,34,1	0,0,1	16068.json
2969	3,3,4,6,4,4	3,3,4,6,4,4	3,3,4,6,4,4	0,0,0,0,0,0	0,236,373,381,421,2087	0,1,1,3,1,1	0,2,1,4,4,2	0,23,55,43,68,1	0,0,0,0,0,0	7064.json
3031	10,18,19,20,17,17,22,36,36,36,45,13,13	8,13,13,13,11,11,16,27,27,27,34,10,10	8,13,15,15,13,13,16,27,27,27,34,10,10	0,0,0,0,0,0,0,0,0,0,0,0,0	0,83,176,179,309,309,356,390,761,1414,1575,1594,1894	0,8,4,2,1,0,8,31,2,2,9,8,1	0,8,7,3,5,0,11,48,4,4,9,48,2	0,217,124,30,145,0,184,418,55,28,359,1035,1	0,0,0,1,0,0,1,0,0,0,0,0,0	3018.json
1883	3	3	3	0	0	0	0	0	0	7264.json
2692	1,1,1,2	2,2,2,2	1,1,1,2	0,0,0,0	0,24,120,906	0,1,1,2	0,2,2,3	0,45,49,24	0,1,1,0	6424.json
1284	3	3	3	0	0	0	0	0	0	11110.json
2694	3,3	3,3	3,3	0,0	0,1	0,1	0,2	0,22	0,0	12525.json
1569	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,6,7,420	0,1,1,2	0,2,2,4	0,19,10,17	0,0,0,1	1044.json
2694	38,38,36,46,46,46,37,41,79	31,29,29,29,29,29,29,33,65	34,32,30,30,30,30,30,34,67	0,0,0,0,0,0,0,0,0	0,419,705,817,1016,1218,1268,1300,1447	0,3,1,12,1,1,2,13,47	0,6,4,14,2,2,13,22,56	0,127,105,897,10,10,832,146,2108	0,0,1,1,0,0,0,1,1	14627.json
1500	3	3	3	0	0	0	0	0	0	19595.json
1037	3,3	3,3	3,3	0,0	0,972	0,0	0,0	0,0	0,0	14222.json
2729	3,3	3,3	3,3	0,0	0,37	0,3	0,6	0,12	0,0	17902.json
