Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1543	5,3,3,3,3	3,3,3,3,3	5,3,3,3,3	1,1,1,1,1	0,0,62,331,596	0,2,1,1,1	0,6,2,2,2	0,108,6,6,7	0,0,0,1,0	2184.json
316	4	4	4	0	0	0	0	0	0	148.json
1377	6,6,6	6,6,6	6,6,6	0,0,0	0,430,498	0,0,1	0,0,2	0,0,6	0,0,0	731.json
1507	3,3	3,3	3,3	0,0	0,560	0,1	0,2	0,13	0,0	183.json
1663	4,4,4	4,4,4	4,4,4	0,0,0	0,717,1224	0,0,1	0,0,2	0,0,10	0,0,0	1808.json
2187	8,8,8,8,3,3,3,8,8,8	8,8,8,8,3,3,3,8,8,8	8,8,8,8,3,3,3,8,8,8	0,0,0,0,0,0,0,0,0,0	0,145,162,245,524,525,529,534,687,1240	0,0,0,0,3,1,0,6,2,0	0,0,0,0,11,2,0,7,4,0	0,0,0,36,160,3,0,171,12,0	0,0,0,0,0,0,0,0,0,0	1926.json
1628	3,3	4,4	3,3	0,0	0,682	0,0	0,0	0,0	0,0	431.json
1642	10,10,10,10,10,10,10,10,10,11,15	12,12,12,12,12,12,12,12,12,13,16	10,10,10,10,10,10,10,10,10,11,14	0,0,0,0,0,0,0,0,0,0,0	0,40,246,415,514,696,749,899,902,1495,1497	0,0,2,1,0,0,1,2,1,3,12	0,0,4,2,0,0,2,4,2,5,20	0,0,39,6,0,0,1,21,6,37,135	0,0,0,1,0,0,1,0,0,0,0	1490.json
719	3	3	3	0	0	0	0	0	0	1044.json
21	3,3	3,3	3,3	0,0	0,11	0,0	0,0	0,0	0,0	333.json
1776	17,17	12,12	15,15	0,0	0,829	0,0	0,0	0,0	0,0	284.json
316	3	4	3	0	0	0	0	0	0	220.json
634	3,4,4	4,4,4	3,3,3	0,0,0	0,26,27	0,2,1	0,3,2	0,90,3	0,0,0	307.json
2187	8,8,8,8,9,9,9,10,10,10	8,8,8,8,9,9,9,10,10,10	8,8,8,8,9,9,9,10,10,10	0,0,0,0,0,0,0,0,0,0	0,145,162,245,524,525,529,665,687,1240	0,0,0,0,8,0,0,1,3,0	0,0,0,0,15,0,0,1,6,0	0,0,0,40,40,0,0,18,18,0	0,0,0,0,0,0,0,0,0,0	1947.json
2187	8,8,8,8,8,8,8,8,12,12,12	8,8,8,8,8,8,8,8,12,12,12	8,8,8,8,8,8,8,8,12,12,12	0,0,0,0,0,0,0,0,0,0,0	0,58,145,162,245,580,593,644,944,1240,1563	0,8,0,0,0,4,1,0,7,0,1	0,16,0,0,0,8,2,0,10,0,2	0,67,0,0,32,71,5,0,255,0,8	0,1,0,0,0,0,0,0,0,0,0	2063.json
151	7	9	7	0	0	0	0	0	0	1182.json
2187	3,3,3,3,3,3,3,3	3,3,3,3,4,4,4,4	3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0	0,145,162,245,589,635,663,1240	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,8,10,0,0,0	0,0,0,0,0,0,0,0	530.json
1297	4,4	6,6	4,4	0,0	0,351	0,0	0,0	0,0	0,0	2039.json
2187	3,3,3,3,3,3,3,3	3,3,3,3,4,4,4,4	3,3,3,3,3,3,3,3	1,1,1,1,0,0,0,0	0,145,162,245,589,635,663,1240	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,8,10,0,0,0	0,0,0,0,0,0,0,0	526.json
31	20,34,34,35	15,28,27,27	16,28,28,28	0,0,0,0	0,3,5,5	0,30,1,6	0,46,2,11	0,448,27,404	0,1,0,0	403.json
1162	3,3	3,3	3,3	0,0	0,215	0,0	0,0	0,0	0,0	1737.json
1162	6,6	3,3	6,6	0,0	0,215	0,0	0,0	0,0	0,0	1765.json
1486	3,3,5,5,5	3,3,3,3,3	3,3,5,5,5	0,0,1,1,1	0,539,556,556,732	0,0,3,1,0	0,0,4,2,0	0,0,48,4,0	0,0,0,0,0	577.json
612	7,7,8,8,8	7,7,8,8,8	5,5,6,6,6	0,0,0,0,0	0,6,16,17,464	0,0,1,1,1	0,0,1,2,2	0,0,17,6,9	0,0,0,0,0	1285.json
557	4	4	4	0	0	0	0	0	0	250.json
1662	3,3,3	4,4,4	3,3,3	0,0,0	0,119,716	0,0,3	0,0,6	0,0,50	0,0,0	927.json
1597	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,0,1	0,0,14,45,73,314,651	0,1,0,0,0,0,2	0,2,0,0,0,0,4	0,20,0,0,0,0,25	0,0,0,0,0,0,0	2140.json
1642	7,7,7	8,8,8	7,7,7	0,0,0	0,340,696	0,1,0	0,2,0	0,15,0	0,1,0	1937.json
316	3	4	3	0	0	0	0	0	0	225.json
1556	7,7	9,9	7,7	0,0	0,609	0,0	0,0	0,0	0,0	2212.json
1800	4,4,8,12,26,26,26,27,32,32,32,32,33	3,3,7,11,22,22,22,23,26,26,26,26,27	4,4,8,12,23,23,23,24,27,27,27,27,28	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,165,165,193,197,244,404,613,672,853,1060,1786	0,1,4,4,20,0,1,2,5,2,0,5,1	0,2,4,4,26,0,2,3,5,4,0,10,1	0,5,126,166,462,0,2,66,305,12,0,30,76	0,0,0,0,0,0,0,0,1,0,0,0,1	1457.json
1655	7,7,7	7,7,7	7,7,7	0,0,0	0,109,709	0,1,0	0,2,0	0,4,0	0,0,0	774.json
1291	2,2	3,3	2,2	0,0	0,345	0,1	0,2	0,3	0,0	719.json
1787	4,4,3,4,3,3,3,3,3,3,3,3,3,3,3	4,4,3,4,3,3,3,3,3,3,3,3,3,3,3	4,4,3,4,3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,130,147,168,168,184,231,250,298,391,475,561,659,840,1047	0,0,1,2,1,0,0,0,0,0,0,0,0,0,0	0,0,3,3,3,0,0,0,0,0,0,0,0,0,0	0,0,23,69,62,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1538.json
1390	3,3,3,14	4,4,4,15	3,3,3,13	0,0,0,0	0,443,460,614	0,0,1,13	0,0,2,15	0,0,11,350	0,0,0,0	786.json
