Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
5191	15,13,10,10,10,10,10,11,11	8,7,7,7,7,7,7,8,8	12,11,8,8,8,8,8,9,9	0,0,0,0,0,0,0,0,0	0,372,1567,2051,2057,2058,2058,2834,3913	0,1,0,1,1,1,1,2,1	0,4,0,2,2,2,2,3,2	0,82,28,8,0,10,0,6,9	0,0,0,0,0,0,0,0,1	4925.json
5191	3,3,3	3,3,3	3,3,3	1,1,1	0,372,1567	0,1,0	0,2,0	0,11,0	0,0,0	6491.json
5191	3,3,3	3,3,3	3,3,3	1,1,1	0,372,1567	0,2,0	0,4,0	0,25,0	0,0,0	2184.json
5191	7,3,9,8,8,8,9	5,3,6,6,6,6,7	5,3,7,6,6,6,7	0,1,0,0,0,0,0	0,372,753,1567,2051,2057,2834	0,1,9,0,1,1,2	0,6,12,0,2,2,3	0,79,177,29,8,0,6	0,0,0,0,0,0,0	4913.json
4582	45,43	26,26	29,27	0,0	0,958	0,0	0,0	0,430	0,0	148.json
5191	3,3	3,3	3,3	1,1	0,1567	0,0	0,0	0,0	0,0	731.json
4214	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,170,200,590	0,1,1,0	0,2,2,0	0,13,7,0	0,0,1,0	183.json
3372	3	3	3	1	0	0	0	0	0	1808.json
1311	4,6,3	3,3,3	4,6,3	0,0,0	0,125,686	0,5,1	0,8,3	0,93,39	0,0,1	1926.json
486	3	3	3	0	0	0	0	0	0	5530.json
4438	3,3,3	3,3,3	3,3,3	1,1,1	0,814,896	0,0,1	0,0,2	0,0,4	0,0,1	6513.json
5191	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,372,753,1485,1485,1567	0,0,1,2,2,0	0,0,2,4,4,0	0,0,12,6,6,0	0,0,0,0,0,0	6428.json
3258	3	3	3	0	0	0	0	0	0	6262.json
3207	6,6	6,6	6,6	0,0	0,1157	0,1	0,2	0,13	0,1	6348.json
5191	3,3,12,14,20,21,21,12,12	3,3,8,8,16,16,16,8,8	3,3,8,10,18,18,18,10,10	0,0,0,0,0,0,0,0,0	0,710,864,1130,1350,1519,1567,2043,2985	0,1,10,3,8,6,0,0,1	0,2,11,6,10,11,0,10,2	0,14,363,27,236,43,0,234,9	0,1,1,1,0,0,0,1,1	3198.json
980	3	3	3	1	0	0	0	0	0	3663.json
1169	3	3	3	0	0	0	0	0	0	415.json
28	14	11	12	0	0	0	0	0	0	7397.json
3033	16,16	12,12	12,12	0,0	0,14	0,16	0,16	0,0	0,0	3421.json
5191	3,3,3	3,3,3	3,3,3	1,1,1	0,372,1567	0,1,0	0,2,0	0,18,0	0,0,0	7188.json
1169	3	3	3	0	0	0	0	0	0	431.json
2319	3	3	3	0	0	0	0	0	0	6171.json
1311	3,3	3,3	3,3	1,1	0,1099	0,1	0,2	0,42	0,1	3796.json
4582	11,12,12,14,14,8	12,12,12,14,14,8	11,12,12,14,14,8	0,0,0,0,0,0	0,475,958,2226,3346,3634	0,0,0,4,2,1	0,0,0,6,4,8	0,4,0,14,7,82	0,0,0,0,1,0	3575.json
4438	3,3	3,3	3,3	1,1	0,814	0,0	0,0	0,0	0,0	6239.json
4819	7,7,8	7,7,8	7,7,8	0,0,0	0,1195,2462	0,0,2	0,0,3	0,28,7	0,0,0	7359.json
5191	3,3,3	3,3,3	3,3,3	1,1,1	0,891,1567	0,0,0	0,0,0	0,0,0	0,0,0	7760.json
840	61,62,62,59,57,52,43,39,39,39,37,37,37	42,42,42,40,39,36,30,29,29,29,29,29,29	44,45,45,42,41,37,30,29,29,29,29,29,29	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,14	0,4,10,1,1,1,4,2,1,1,11,23,3	0,7,20,5,4,7,17,8,2,2,24,46,6	0,12,143,248,61,238,480,31,6,6,165,184,41	0,0,0,0,0,0,0,0,0,0,0,0,0	1490.json
866	3	3	3	0	0	0	0	0	0	6364.json
1838	3	3	3	1	0	0	0	0	0	3018.json
4188	3,3	3,3	3,3	1,1	0,564	0,0	0,0	0,0	0,0	7264.json
5191	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,372,753,1485,1485,1567	0,0,1,2,2,0	0,0,2,4,4,0	0,0,12,16,16,0	0,0,0,0,0,0	6424.json
5191	3,3,3	3,3,3	3,3,3	1,1,1	0,372,1567	0,0,0	0,0,0	0,0,0	0,0,0	333.json
3144	12,12	10,10	12,12	0,0	0,771	0,2	0,4	0,11	0,0	284.json
1746	6	6	6	0	0	0	0	0	0	2978.json
5191	4,4,4,4	4,4,4,4	4,4,4,4	0,0,0,0	0,372,753,1567	0,0,4,0	0,0,8,0	0,0,65,2	0,0,0,0	5176.json
3378	3	3	3	1	0	0	0	0	0	2514.json
4160	3,3	3,3	3,3	0,0	0,536	0,0	0,0	0,0	0,0	6256.json
4438	3,3,4	3,3,3	3,3,4	0,0,0	0,814,2061	0,0,2	0,0,3	0,12,31	0,0,0	6961.json
