Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1348	16,16,16	14,14,14	14,14,14	0,0,0	0,1035,1320	0,0,7	0,0,14	0,0,24	0,0,0	4925.json
1404	6,5,5,5	3,3,3,3	6,5,5,5	0,0,0,0	0,4,228,1091	0,1,1,0	0,3,2,0	0,53,4,0	0,0,0,0	4281.json
900	3,3	3,3	3,3	0,0	0,587	0,0	0,0	0,0	0,0	6491.json
1137	4,4	4,4	4,4	0,0	0,824	0,0	0,0	0,0	0,0	2184.json
1348	4,4,4	4,4,4	4,4,4	0,0,0	0,1035,1320	0,0,1	0,0,2	0,0,3	0,0,0	4913.json
671	3	3	3	1	0	0	0	0	0	148.json
2756	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	1,1,1,1,1	0,419,941,1536,1569	0,0,0,0,1	0,0,0,0,2	0,0,0,0,16	0,0,0,0,0	11879.json
426	5	5	5	0	0	0	0	0	0	15388.json
1901	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,188,469,1126,1177,1177,1259	0,1,0,1,0,2,0	0,2,0,2,0,4,0	0,32,0,21,0,18,0	0,0,0,0,0,0,0	14050.json
2309	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,494,1089,2281	0,1,0,2	0,2,0,4	0,6,0,11	0,0,0,0	12851.json
1574	4,4,4	4,4,4	4,4,4	0,0,0	0,408,860	0,2,0	0,4,0	0,47,0	0,0,0	16260.json
1817	4,4,4,4,4,4	4,4,4,4,4,4	4,4,4,4,4,4	0,0,0,0,0,0	0,13,53,385,1093,1093	0,4,0,0,0,0	0,8,0,0,0,0	0,8,0,0,0,0	0,0,0,0,0,0	14758.json
1831	7,7,7,7,7,7,7	7,7,7,7,7,7,7	7,7,7,7,7,7,7	0,0,0,0,0,0,0	0,0,595,603,623,1518,1518	0,3,1,1,1,0,0	0,6,2,2,2,0,0	0,42,21,8,11,0,0	0,0,0,0,0,0,0	8739.json
948	8,8	3,3	8,8	0,0	0,13	0,0	0,0	0,0	0,0	21187.json
469	7,7,7	4,4,4	7,7,7	0,0,0	0,156,273	0,0,0	0,0,0	0,0,0	0,0,0	5081.json
690	3	3	3	1	0	0	0	0	0	22515.json
1778	6,6,6,6,7,7	3,3,3,3,3,3	6,6,6,6,7,7	0,0,0,0,0,0	0,337,403,415,595,1465	0,2,4,1,2,0	0,4,8,2,3,0	0,6,38,14,63,0	0,0,0,0,0,0	4428.json
1399	14,16,16,16,17,17,17,17,17	8,8,8,8,9,9,9,9,9	14,16,16,16,17,17,17,17,17	0,0,0,0,0,0,0,0,0	0,2,328,328,413,685,689,1086,1086	0,6,2,0,10,0,2,0,0	0,10,4,0,19,0,4,0,0	0,84,60,0,34,0,60,0,0	0,1,0,0,1,0,0,0,0	8474.json
412	4,4,4	4,4,4	4,4,4	0,0,0	0,251,251	0,2,1	0,4,2	0,55,16	0,0,0	15746.json
1386	10,13,13,13,13,12,12	7,9,9,9,9,8,8	7,9,9,9,9,8,8	0,0,0,0,0,0,0	0,0,155,155,158,889,1073	0,4,1,1,1,0,0	0,5,2,2,2,1,0	0,128,23,16,18,85,0	0,0,1,1,0,1,0	3721.json
