Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1583	3,3,3,20,6	3,3,3,16,6	3,3,3,20,6	0,0,0,0,0	0,621,733,1238,1291	0,1,0,18,1	0,2,0,19,16	0,11,0,592,508	0,0,0,0,0	4925.json
733	11,12,21,20	10,10,17,17	11,12,21,20	0,0,0,0	0,1,333,519	0,2,14,1	0,4,19,2	0,39,284,14	0,0,0,0	4281.json
1706	3,3,5,5	3,3,5,5	3,3,5,5	0,0,0,0	0,856,1199,1526	0,0,3,1	0,0,4,2	0,0,99,10	0,0,0,0	6491.json
1685	3,3	3,3	3,3	1,1	0,835	0,0	0,0	0,0	0,0	2184.json
607	5,3	3,3	5,3	0,0	0,390	0,1	0,2	0,18	0,0	4913.json
2179	16,17,17,17	14,15,15,15	16,17,17,17	0,0,0,0	0,130,1256,1328	0,2,2,0	0,3,4,0	0,136,47,0	0,1,1,0	11879.json
22	11	10	11	0	0	0	0	0	0	12851.json
2307	14,24,15,15,30,30,34,35,30,30,24,26	14,25,15,15,25,25,27,28,28,28,24,24	14,23,15,15,27,27,29,30,30,30,24,26	0,0,0,0,0,0,0,0,0,0,0,0	0,2,21,27,41,118,223,874,1245,1457,1639,1639	0,14,13,0,15,0,4,9,1,0,2,4	0,18,35,0,15,0,4,17,2,0,10,6	0,312,316,0,441,0,78,198,19,0,176,58	0,0,0,0,0,1,0,1,0,0,0,0	8739.json
1664	3,3	3,3	3,3	1,1	0,814	0,0	0,0	0,0	0,0	11120.json
2382	10,10,10,10,10,10	10,10,10,10,10,10	10,10,10,10,10,10	0,0,0,0,0,0	0,1,1,1,1532,2094	0,0,0,0,0,7	0,0,0,0,0,14	0,0,0,0,0,110	0,0,0,0,0,0	4428.json
915	3,3,3	3,3,3	3,3,3	1,1,1	0,43,65	0,0,0	0,0,0	0,0,6	0,1,0	8474.json
870	3,3,3	3,3,3	3,3,3	0,0,0	0,20,71	0,0,1	0,0,2	0,0,6	0,0,1	3721.json
715	3	3	3	1	0	0	0	0	0	8365.json
852	3,3	3,3	3,3	1,1	0,2	0,0	0,0	0,0	0,0	731.json
1991	14,15,16,16,16,16	13,14,14,14,14,14	14,15,16,16,16,16	0,0,0,0,0,0	0,384,659,1141,1261,1437	0,2,4,0,0,5	0,3,7,0,0,10	0,23,82,0,0,64	0,0,1,0,1,1	4623.json
1097	6,6,6	3,3,3	6,6,6	0,0,0	0,246,457	0,0,2	0,0,4	0,0,2	0,0,0	183.json
912	3,3	3,3	3,3	0,0	0,62	0,0	0,0	0,0	0,0	11890.json
