Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
2388	3	3	3	1	0	0	0	0	0	29850.json
424	16	12	15	0	0	0	0	0	0	26253.json
4245	3,3	3,3	3,3	0,0	0,1194	0,0	0,0	0,0	0,0	29342.json
1854	3	3	3	1	0	0	0	0	0	29600.json
1308	4	4	4	0	0	0	0	0	0	4925.json
1858	3	3	3	0	0	0	0	0	0	4281.json
1880	6,3	6,3	6,3	0,0	0,307	0,1	0,5	0,117	0,0	2184.json
3941	5,5,5,7,7	5,5,5,7,7	5,5,5,7,7	0,0,0,0,0	0,67,71,336,890	0,4,4,3,0	0,8,8,4,0	0,78,97,34,0	0,0,0,1,0	4913.json
4246	3,3,3	3,3,3	3,3,3	0,0,0	0,320,1195	0,1,0	0,2,0	0,9,0	0,0,0	148.json
1160	3,3	3,3	3,3	0,0	0,28	0,0	0,0	0,0	0,0	15388.json
2433	4,4,4	4,4,4	4,4,4	0,0,0	0,6,15	0,1,1	0,2,2	0,30,30	0,0,0	14050.json
1620	3,3,3	3,3,3	3,3,3	1,1,1	0,195,637	0,0,2	0,0,4	0,0,28	0,0,0	25636.json
433	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,0,1,2	0,2,1,1	0,4,2,2	0,35,9,4	0,0,1,0	12851.json
944	3,5,5,5,5	3,5,5,5,5	3,5,5,5,5	0,0,0,0,0	0,45,46,129,171	0,3,3,1,1	0,4,6,2,2	0,108,57,28,3	0,0,0,0,0	24667.json
2477	3	3	3	1	0	0	0	0	0	29849.json
3966	3,3,3	3,3,3	3,3,3	0,0,0	0,29,915	0,1,0	0,2,0	0,5,0	0,0,0	27672.json
1316	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,93,134,144,179,915	0,0,1,1,1,0	0,0,2,2,2,0	0,0,63,4,17,0	0,0,0,0,0,0	16260.json
4169	8,8,8,8	7,7,7,7	8,8,8,8	0,0,0,0	0,1119,1811,3458	0,0,1,1	0,0,2,2	0,0,5,5	0,0,0,0	14758.json
2121	20	16	19	0	0	0	0	0	0	8739.json
3321	2,2,2,2	2,2,2,2	2,2,2,2	0,0,0,0	0,5,34,270	0,0,2,0	0,0,4,0	0,0,64,0	0,1,0,0	21187.json
865	3	3	3	1	0	0	0	0	0	25505.json
2778	10,10,9	10,10,9	10,10,9	0,0,0	0,0,2347	0,9,2	0,18,5	0,19,84	0,0,0	5081.json
4242	3,3	3,3	3,3	0,0	0,1191	0,0	0,0	0,0	0,0	18737.json
4124	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,3,1074,3069,3581	0,0,0,2,1	0,0,0,4,2	0,0,0,38,8	0,0,0,0,0	26730.json
320	3	3	3	0	0	0	0	0	0	22515.json
2092	53,53	39,39	46,46	0,0	0,995	0,2	0,4	0,30	0,0	11120.json
3869	30,36,36,36,42,42,46,46,46,46,61,59,16,16,16,16,11	31,39,39,39,47,47,47,47,47,47,61,62,14,14,14,14,11	30,36,36,36,42,42,45,45,45,45,59,58,16,16,16,16,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,2,16,16,23,23,36,41,163,215,458,646,819,1714,2015	0,8,1,0,10,2,15,4,4,2,19,7,2,1,0,2,2	0,10,2,0,14,4,26,8,8,4,23,16,47,2,0,4,9	0,283,5,0,309,74,211,30,116,14,869,276,2094,6,0,12,403	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4428.json
4243	3,3	3,3	3,3	0,0	0,1192	0,0	0,0	0,0	0,0	8474.json
1283	3,3	3,3	3,3	1,1	0,61	0,0	0,0	0,0	0,0	15746.json
2047	3	3	3	0	0	0	0	0	0	3721.json
2433	3	3	3	0	0	0	0	0	0	14017.json
3115	3,3	3,3	3,3	1,1	0,65	0,0	0,0	0,0	0,0	8365.json
4246	11,11,5	10,10,5	11,11,5	0,0,0	0,1195,3149	0,0,4	0,0,14	0,0,172	0,0,0	731.json
4318	13,15,11,11,10	13,15,11,11,10	13,15,11,11,10	0,0,0,0,0	0,106,238,1267,2246	0,5,2,0,1	0,8,8,0,3	0,18,68,0,15	0,0,0,0,0	23101.json
1361	12,12,12,12,12,12,11,8,8,8,8,8,16,14,7,8,8,9	8,8,8,8,8,8,7,7,7,7,7,7,13,12,7,8,8,9	12,12,12,12,12,12,11,8,8,8,8,8,16,14,7,8,8,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,3,34,39,89,90,98,124,138,201,556,616,787,1025,1221	0,1,2,2,1,2,2,2,0,1,2,0,12,0,3,1,1,2	0,2,4,4,2,4,5,7,0,2,4,0,16,1,13,1,2,3	0,3,12,2,11,35,96,45,0,15,20,0,376,66,422,57,3,82	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17454.json
2774	28,30,30	27,29,29	27,29,29	0,0,0	0,335,1514	0,10,1	0,18,2	0,90,26	0,0,0	4623.json
4246	6,6,6	6,6,6	6,6,6	0,0,0	0,1195,3843	0,0,1	0,0,2	0,0,8	0,0,0	183.json
1908	3	3	3	1	0	0	0	0	0	29569.json
4241	3,3,3	3,3,3	3,3,3	1,1,1	0,1190,2089	0,0,1	0,0,2	0,0,31	0,0,0	1808.json
2588	15,14,14,14,14,15	13,13,13,13,13,14	15,14,14,14,14,15	0,0,0,0,0,0	0,317,766,1154,1164,2445	0,1,2,1,1,2	0,2,4,2,2,3	0,17,6,26,34,89	0,0,0,0,0,0	11890.json
1333	3,3,3	3,3,3	3,3,3	0,0,0	0,110,111	0,0,0	0,0,0	0,0,0	0,0,0	17807.json
1879	3,4	3,4	3,4	1,0	0,25	0,2	0,3	0,41	0,0	22087.json
4245	12,12	7,7	9,9	0,0	0,1194	0,0	0,0	0,0	0,0	29275.json
4242	3,3	3,3	3,3	0,0	0,1191	0,0	0,0	0,0	0,0	20463.json
4242	14,7,7,7,5	13,7,7,7,5	14,7,7,7,5	0,0,0,0,0	0,30,1191,3145,3149	0,3,0,1,1	0,13,0,2,4	0,278,0,10,88	0,0,0,0,0	18288.json
717	11,10	10,9	11,10	0,0	0,308	0,1	0,3	0,78	0,0	26961.json
735	3	3	3	1	0	0	0	0	0	15625.json
4246	11,11,11	11,11,11	11,11,11	0,0,0	0,1195,3142	0,0,1	0,0,2	0,0,10	0,0,0	5782.json
44	4	4	4	0	0	0	0	0	0	9386.json
4241	3,3	3,3	3,3	0,0	0,1190	0,0	0,0	0,0	0,0	1926.json
789	3	3	3	0	0	0	0	0	0	11181.json
2247	3	3	3	1	0	0	0	0	0	21948.json
1214	4	4	4	0	0	0	0	0	0	17137.json
3202	9,9,3,7,10,3,3	9,9,3,7,10,3,3	9,9,3,7,10,3,3	0,0,0,0,0,0,0	0,151,829,1672,1740,2008,2008	0,0,1,5,5,1,1	0,0,8,6,7,9,2	0,0,302,208,76,215,11	0,0,0,1,0,0,1	28737.json
4245	3,3,3	3,3,3	3,3,3	1,1,1	0,123,1194	0,1,0	0,2,0	0,23,0	0,0,0	28824.json
1857	6,6	6,6	6,6	0,0	0,422	0,0	0,0	0,0	0,0	23815.json
28	3	3	3	0	0	0	0	0	0	24846.json
3351	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,0,30,300	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	19954.json
3510	3,3,3	3,3,3	3,3,3	1,1,1	0,459,2006	0,0,1	0,0,2	0,0,5	0,0,0	25019.json
4246	7,7,6	7,7,6	7,7,6	0,0,0	0,1195,3162	0,0,3	0,0,7	0,0,77	0,0,0	5530.json
998	9,12,12,12	9,13,12,12	9,12,12,12	0,0,0,0	0,313,313,323	0,7,2,0	0,11,4,0	0,200,3,0	0,0,1,0	27315.json
4247	3,3,3	3,3,3	3,3,3	0,0,0	0,357,1196	0,1,0	0,2,0	0,3,0	0,1,0	14296.json
1160	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,28,454,476	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	15430.json
4245	6,6	6,6	6,6	0,0	0,1194	0,0	0,0	0,0	0,0	28943.json
3884	3,3,4,4	3,3,3,3	3,3,4,4	1,1,1,1	0,3,833,2787	0,1,0,1	0,2,0,2	0,74,5,20	0,0,0,0	6513.json
3195	3,10,3,3,3,3,3	3,10,3,3,3,3,3	3,10,3,3,3,3,3	0,0,0,0,0,0,0	0,4,5,144,382,1957,2484	0,10,3,0,0,1,1	0,13,13,0,0,2,2	0,372,395,0,0,21,11	0,0,0,0,0,0,0	28152.json
4246	8,8,8,8,8	8,8,8,8,8	8,8,8,8,8	0,0,0,0,0	0,34,1195,1859,2812	0,2,0,1,2	0,4,0,2,4	0,29,0,3,25	0,0,0,1,0	4016.json
4245	10,10,15,15,15	9,9,13,13,13	10,10,15,15,15	0,0,0,0,0	0,677,717,1194,3136	0,2,10,0,1	0,4,15,0,2	0,14,82,0,10	0,0,1,0,1	29175.json
3346	6,4,4,4,4,5,5,6,5,4	6,4,4,4,4,5,5,5,5,4	6,4,4,4,4,5,5,6,5,4	0,0,0,0,0,0,0,0,0,0	0,126,126,295,871,1064,1064,1358,1571,1911	0,1,1,0,1,1,2,2,1,0	0,4,2,0,2,1,4,3,3,1	0,55,2,0,70,56,13,59,15,52	0,0,1,0,0,1,0,0,0,0	24929.json
1092	5,5	5,5	5,5	0,0	0,1082	0,0	0,0	0,0	0,0	14235.json
3245	3,3	3,3	3,3	0,0	0,194	0,0	0,0	0,0	0,0	5586.json
4242	5,5	3,3	4,4	0,0	0,1191	0,0	0,0	0,4	0,0	20894.json
4247	3,3	3,3	3,3	0,0	0,1196	0,0	0,0	0,0	0,0	10416.json
607	15	14	15	0	0	0	0	0	0	6428.json
3351	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,171,250,300	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	19772.json
4246	11,11,11	9,9,9	9,9,9	0,0,0	0,1195,1418	0,0,1	0,0,2	0,0,10	0,0,0	6262.json
1427	3,3	3,3	3,3	0,0	0,330	0,1	0,2	0,10	0,0	14915.json
4247	3,3	3,3	3,3	0,0	0,1196	0,0	0,0	0,0	0,0	10921.json
4242	3,3,3	3,3,3	3,3,3	1,1,1	0,333,1191	0,1,0	0,2,0	0,16,0	0,0,0	20315.json
2433	3,3,14,20,20,14,14,14,11	3,3,14,19,19,14,14,14,11	3,3,14,20,20,14,14,14,11	0,0,0,0,0,0,0,0,0	0,57,80,120,798,917,999,1336,1371	0,0,12,7,1,6,1,2,0	0,0,13,8,2,18,2,4,3	0,0,417,140,23,362,9,29,99	0,0,0,0,0,0,0,0,0	21296.json
312	3,3	3,3	3,3	1,1	0,0	0,2	0,4	0,13	0,0	18574.json
4246	15,20,17,17,16,16,16,16,17,17	14,18,16,16,16,16,16,16,16,16	15,20,17,17,16,16,16,16,17,17	0,0,0,0,0,0,0,0,0,0	0,178,466,1195,1763,1765,2424,2469,2822,3149	0,7,5,0,1,1,2,1,3,1	0,9,13,0,2,2,4,2,5,2	0,219,189,0,112,14,61,4,63,21	0,0,0,0,0,0,0,0,0,0	6348.json
4246	3,3	3,3	3,3	0,0	0,1195	0,0	0,0	0,0	0,0	3198.json
2952	4,4	4,4	4,4	0,0	0,826	0,0	0,0	0,0	0,0	18357.json
2611	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	0,0,0,0,0,0,0,0	0,0,3,10,11,16,17,232	0,1,1,1,1,1,0,0	0,2,2,2,2,2,0,0	0,48,43,17,49,17,0,0	0,0,0,0,0,0,0,0	30527.json
4247	3,3	3,3	3,3	0,0	0,1196	0,0	0,0	0,0	0,0	10794.json
2157	3,4	3,3	3,4	1,1	0,1082	0,2	0,3	0,60	0,0	18211.json
4247	3,3	3,3	3,3	0,0	0,1196	0,0	0,0	0,0	0,0	14814.json
