Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1023	3	3	3	0	0	0	0	0	0	4925.json
1023	3	3	3	1	0	0	0	0	0	4913.json
92	4	3	4	0	0	0	0	0	0	148.json
1083	5,5	8,8	5,5	0,0	0,20	0,0	0,0	0,0	0,0	5081.json
370	10	11	10	0	0	0	0	0	0	3721.json
673	4	4	4	0	0	0	0	0	0	731.json
433	17	18	17	0	0	0	0	0	0	183.json
817	3,9,56	3,11,59	3,9,55	0,0,0	0,0,220	0,7,53	0,8,59	0,170,2136	0,1,0	1808.json
1148	4,4,4	4,4,4	4,4,4	0,0,0	0,85,299	0,2,1	0,4,2	0,12,6	0,0,0	1926.json
1171	3,3,3,3,3,3,3,3,3,3,3,3	2,2,2,2,2,2,2,2,2,3,3,3	2,2,2,2,2,2,2,2,2,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0	0,4,203,587,590,590,632,632,646,651,691,784	0,1,1,0,1,0,0,0,0,1,0,0	0,2,2,0,2,0,0,0,0,2,0,0	0,6,5,0,77,0,0,0,0,22,0,0	0,0,0,0,0,0,0,1,0,1,0,0	5530.json
364	13,5	12,3	13,5	0,0	0,276	0,3	0,14	0,527	0,1	5586.json
1360	3,3,3,3,3,3,3	3,3,3,3,3,3,3	3,3,3,3,3,3,3	0,0,0,0,0,1,1	0,65,76,76,297,344,517	0,1,1,1,3,2,1	0,2,2,2,6,4,2	0,26,74,4,16,60,3	0,1,0,0,0,0,0	3198.json
527	3,3	3,3	3,3	0,0	0,8	0,0	0,0	0,0	0,0	3663.json
722	7	7	7	0	0	0	0	0	0	415.json
1016	3,5,6,6	3,5,6,6	3,5,6,6	0,0,0,0	0,603,611,615	0,4,3,1	0,6,5,2	0,113,148,8	0,0,0,0	4040.json
1360	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,76,297,344	0,0,3,0	0,0,6,0	0,0,32,0	0,0,0,0	3421.json
1016	3,3,3	3,3,3	3,3,3	0,0,0	0,5,172	0,0,1	0,0,2	0,0,2	0,0,0	4374.json
716	3,6	3,6	3,6	0,0	0,116	0,4	0,5	0,129	0,0	431.json
197	3	3	3	0	0	0	0	0	0	3796.json
1360	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0,0,0,0,0,0	0,65,76,297,344,792	0,1,1,3,1,0	0,2,2,6,2,0	0,11,4,16,4,0	0,1,0,0,0,0	3575.json
1189	3,3	3,3	3,3	0,0	0,126	0,2	0,4	0,29	0,0	4044.json
682	6	7	6	0	0	0	0	0	0	1490.json
565	3,3	3,3	3,3	0,0	0,54	0,0	0,0	0,0	0,0	3018.json
646	3,4,4	3,4,4	3,4,4	0,0,0	0,126,130	0,1,1	0,1,2	0,29,7	0,0,1	1044.json
98	4	3	4	0	0	0	0	0	0	4080.json
638	4	4	4	0	0	0	0	0	0	333.json
1360	4,4,4,4,4,5	4,4,4,4,4,6	4,4,4,4,4,5	0,0,0,0,0,0	0,65,76,297,714,986	0,1,0,4,0,1	0,2,0,8,0,1	0,10,0,56,0,68	0,1,0,0,0,1	2978.json
239	8	12	8	0	0	0	0	0	0	4512.json
644	3	3	3	1	0	0	0	0	0	2514.json
321	5,5	5,5	5,5	0,0	0,80	0,1	0,2	0,34	0,1	4160.json
467	3	3	3	0	0	0	0	0	0	5395.json
1154	2,2,2,2,3,2,2	2,2,2,2,3,2,2	2,2,2,2,3,2,2	0,0,0,0,0,0,0	0,4,91,143,359,360,639	0,0,1,1,1,0,1	0,0,2,2,1,1,2	0,0,5,7,24,24,7	0,0,0,0,0,1,1	220.json
1189	6,6,6	7,7,7	6,6,6	0,0,0	0,126,619	0,6,0	0,12,0	0,58,0	0,0,0	3965.json
754	4,4,4	4,4,4	4,4,4	0,0,0	0,32,72	0,0,1	0,0,2	0,0,12	0,0,0	307.json
1360	10,9,9,9,9,10,10,10,5	12,11,11,11,11,9,9,9,5	9,9,9,9,9,9,9,9,5	0,0,0,0,0,0,0,0,0	0,65,160,169,297,344,573,792,928	0,8,1,7,2,9,1,4,3	0,17,2,14,4,17,2,8,11	0,361,6,183,8,287,12,53,226	0,1,1,1,0,0,0,0,1	2631.json
765	3,4,3	3,2,3	3,2,3	1,0,1	0,8,24	0,2,1	0,3,2	0,55,63	0,0,0	5160.json
655	3	3	3	0	0	0	0	0	0	2311.json
1360	4,3,3,3	4,3,3,3	4,3,3,3	0,0,0,0	0,59,297,705	0,0,3,1	0,1,6,2	0,16,34,5	0,1,0,1	2326.json
765	3	3	3	0	0	0	0	0	0	2826.json
646	3,3,4,4,4	3,3,4,4,4	3,3,4,4,4	0,0,0,0,0	0,52,58,58,244	0,1,3,1,3	0,2,5,2,6	0,2,111,1,32	0,0,0,0,0	1947.json
791	21,21	23,23	20,20	0,0	0,264	0,1	0,2	0,6	0,0	5052.json
755	3,3,3	3,3,3	3,3,3	0,0,0	0,16,192	0,1,0	0,2,0	0,22,0	0,0,0	4638.json
741	3	3	3	0	0	0	0	0	0	4983.json
315	4	4	4	0	0	0	0	0	0	2063.json
374	3	3	3	1	0	0	0	0	0	1182.json
796	7,6,7,6	7,6,7,6	7,6,7,6	0,0,0,0	0,123,150,362	0,0,1,2	0,1,1,5	0,22,39,59	0,0,0,1	2483.json
514	3,4,4,4,4,4	3,3,3,3,3,3	3,4,4,4,4,4	0,0,0,0,0,0	0,78,80,241,289,303	0,2,1,1,1,1	0,3,2,2,2,2	0,75,7,15,46,21	0,0,0,0,1,0	530.json
1295	3,3,7,7,7,7,7,8,8,8,11,11,12,11,11	3,3,7,7,7,7,7,9,9,9,12,12,13,12,12	3,3,7,7,7,7,7,8,8,8,11,11,12,11,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,95,105,145,232,284,293,350,499,500,540,649,657,736,780	0,1,5,1,4,2,1,1,1,1,4,1,1,3,1	0,2,6,2,8,4,2,1,2,2,5,2,1,7,2	0,6,142,8,18,35,5,55,7,13,191,1,38,176,7	0,1,0,0,0,0,0,1,1,0,1,0,0,0,1	2039.json
1254	9,9,9,9,21,19,19,19	9,9,9,9,15,13,13,13	9,9,9,9,15,13,13,13	0,0,0,0,0,0,0,0	0,100,104,191,307,387,674,739	0,2,0,0,1,0,19,2	0,4,0,0,2,2,19,4	0,24,0,0,667,41,0,14	0,0,0,0,0,0,0,1	5270.json
436	4,4	4,4	4,4	0,0	0,2	0,1	0,2	0,6	0,0	526.json
531	25,19,18,18	23,17,17,17	23,17,16,16	0,0,0,0	0,22,108,304	0,6,2,2	0,18,4,4	0,245,26,40	0,1,0,0	5648.json
722	3	3	3	1	0	0	0	0	0	403.json
1011	4,6,5,5,5,5,5,5	4,6,5,6,5,5,5,5	4,6,5,5,5,5,5,5	0,0,0,0,0,0,0,0	0,3,365,454,454,499,598,606	0,3,0,1,1,1,0,1	0,4,1,2,2,2,0,2	0,68,25,59,2,5,0,4	0,1,0,0,1,0,0,0	2736.json
231	3	3	3	0	0	0	0	0	0	1737.json
679	9	10	9	0	0	0	0	0	0	1765.json
1107	4,3,3,5,5,5,5,5	4,3,3,6,6,6,6,6	4,3,3,5,5,5,5,5	0,0,0,0,0,0,0,0	0,21,44,96,148,538,694,874	0,3,1,4,2,1,0,2	0,6,2,6,4,2,0,4	0,162,30,97,9,7,0,19	0,1,0,0,0,0,0,1	2786.json
766	13	13	13	0	0	0	0	0	0	3937.json
