Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
1849	7,7	6,6	6,6	0,0	0,21	0,2	0,4	0,31	0,0	148.json
1635	3	3	3	0	0	0	0	0	0	731.json
1828	3	3	3	0	0	0	0	0	0	183.json
1849	3	3	3	0	0	0	0	0	0	415.json
1653	3,3,3	3,3,3	3,3,3	1,1,1	0,2,4	0,1,1	0,2,2	0,10,11	0,0,0	431.json
1849	4,3,3	4,3,3	4,3,3	0,0,0	0,30,438	0,1,1	0,3,2	0,103,9	0,1,1	1044.json
1849	3	3	3	0	0	0	0	0	0	333.json
1849	3	3	3	1	0	0	0	0	0	220.json
1849	16,14	14,14	16,14	0,0	0,34	0,4	0,10	0,283	0,0	307.json
1920	6	4	4	0	0	0	0	0	0	1182.json
1849	14	10	13	0	0	0	0	0	0	530.json
1849	10,9	9,9	10,9	0,0	0,132	0,0	0,0	0,4	0,0	526.json
1849	3	3	3	0	0	0	0	0	0	403.json
1849	8,8	8,8	8,8	0,0	0,14	0,0	0,0	0,0	0,0	577.json
1849	4,4	4,4	4,4	0,0	0,34	0,1	0,2	0,5	0,0	250.json
1835	5,7,7,7,7,7,3	5,6,6,6,6,7,3	5,6,6,6,6,7,3	0,0,0,0,0,0,0	0,2,3,3,3,134,193	0,5,1,1,1,1,1	0,8,2,2,2,2,6	0,142,1,25,25,32,63	0,0,1,1,1,0,0	927.json
1849	3,3	3,3	3,3	1,1	0,116	0,2	0,4	0,10	0,0	225.json
1821	10,10,10,10,10,11	8,8,8,8,8,9	8,8,8,8,8,9	0,0,0,0,0,0	0,79,309,447,447,504	0,0,2,0,0,1	0,0,4,0,0,1	0,2,56,0,0,53	0,0,0,0,0,0	774.json
1635	9	9	9	0	0	0	0	0	0	719.json
1477	3,3	3,3	3,3	0,0	0,11	0,2	0,4	0,46	0,0	786.json
1732	10,10	10,10	10,10	0,0	0,0	0,1	0,2	0,17	0,1	70.json
1849	3,3,3	3,3,3	3,3,3	0,0,0	0,881,884	0,1,1	0,2,2	0,2,7	0,0,0	564.json
1849	3	3	3	1	0	0	0	0	0	296.json
1849	9,6	9,4	9,5	0,0	0,214	0,3	0,9	0,103	0,0	753.json
1849	4,4	3,3	4,4	0,0	0,14	0,0	0,0	0,0	0,0	578.json
1849	3	3	3	0	0	0	0	0	0	115.json
1849	25	24	24	0	0	0	0	0	0	1134.json
1849	11,11	10,10	11,10	0,0	0,70	0,0	0,0	0,9	0,0	797.json
1849	7,9,9,10,10,10	7,7,7,7,7,7	7,8,8,9,9,9	0,0,0,0,0,0	0,207,213,216,443,443	0,3,1,2,1,1	0,4,2,3,2,2	0,41,5,20,37,1	0,0,0,0,0,0	327.json
1849	3	3	3	0	0	0	0	0	0	381.json
1849	4	4	4	0	0	0	0	0	0	131.json
1832	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,0,0,197,321	0,2,3,3,0	0,4,6,6,0	0,34,3,9,0	0,0,0,1,0	890.json
1849	11,11,11,11,11,11	10,10,10,10,10,10	10,10,10,10,10,10	0,0,0,0,0,0	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,90	0,0,0,1,0,0	185.json
1849	3,3	3,3	3,3	0,0	0,70	0,0	0,0	0,0	0,0	798.json
1849	3,3,4,7	3,3,4,6	3,3,4,6	1,1,0,0	0,19,19,20	0,0,1,4	0,0,1,5	0,0,33,83	0,0,0,0	505.json
1651	8,8,9,13,13	8,8,9,12,12	8,8,9,12,12	0,0,0,0,0	0,0,3,200,201	0,2,2,5,1	0,4,3,6,2	0,21,22,89,7	0,0,0,0,0	935.json
1849	3	3	3	0	0	0	0	0	0	269.json
1920	3,3,3	3,3,3	3,3,3	0,0,0	0,98,98	0,1,1	0,2,2	0,6,47	0,0,0	1169.json
1849	3	3	3	0	0	0	0	0	0	943.json
1849	18	18	18	0	0	0	0	0	0	302.json
1801	4,7,3	4,4,3	4,6,3	0,0,0	0,159,166	0,5,1	0,7,6	0,53,139	0,0,0	758.json
1671	7,9,9	7,8,8	7,9,9	0,0,0	0,1,1	0,5,1	0,8,2	0,176,6	0,0,0	1125.json
1849	7,8	8,9	7,8	0,0	0,30	0,1	0,1	0,13	0,0	81.json
1849	3	3	3	0	0	0	0	0	0	334.json
1552	5	5	5	0	0	0	0	0	0	647.json
1849	6,6	6,6	6,6	0,0	0,884	0,1	0,2	0,7	0,0	331.json
1849	5	5	5	0	0	0	0	0	0	738.json
1849	3	3	3	0	0	0	0	0	0	379.json
1849	7,6,5	6,5,5	6,5,5	0,0,0	0,177,395	0,3,2	0,7,5	0,129,22	0,0,0	1073.json
1832	3	3	3	0	0	0	0	0	0	1138.json
1909	3,3	3,3	3,3	0,0	0,3	0,1	0,2	0,8	0,0	1141.json
1797	3,4,3	3,3,3	3,4,3	0,0,0	0,3,6	0,3,1	0,5,3	0,52,30	0,1,0	689.json
1546	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,1,1,1	0,1,1,1	0,2,2,2	0,17,4,7	0,0,1,0	410.json
1849	6,6,6,7,7	6,5,5,6,6	6,5,5,6,6	0,0,0,0,0	0,23,30,437,438	0,4,1,1,1	0,8,2,1,2	0,119,28,86,9	0,0,1,1,1	1039.json
1849	13	13	13	0	0	0	0	0	0	736.json
1477	3,3	3,3	3,3	0,0	0,11	0,2	0,4	0,46	0,0	788.json
1849	3	3	3	0	0	0	0	0	0	292.json
1849	6,8,8,8,8,8,5,5	6,7,7,7,7,7,5,5	6,7,7,7,7,7,5,5	0,0,0,0,0,0,0,0	0,47,48,49,59,116,116,117	0,5,4,3,3,2,2,1	0,8,8,6,6,4,7,2	0,113,33,38,19,8,158,15	0,0,0,0,0,0,0,0	957.json
1849	3	3	3	0	0	0	0	0	0	940.json
1490	6	6	6	0	0	0	0	0	0	252.json
1849	15,15	13,13	14,14	0,0	0,330	0,2	0,4	0,18	0,0	190.json
1763	3,3,3	3,3,3	3,3,3	0,0,0	0,47,332	0,0,1	0,0,2	0,0,10	0,0,0	601.json
1849	10,10,10,10,10,10	9,9,9,9,9,9	9,9,9,9,9,9	0,0,0,0,0,0	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,92	0,0,0,1,0,0	176.json
1919	3,3,3	3,3,3	3,3,3	0,0,0	0,97,97	0,1,1	0,2,2	0,6,15	0,0,0	1165.json
1849	3	3	3	0	0	0	0	0	0	119.json
1920	3	3	3	0	0	0	0	0	0	1198.json
1849	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,71,72,363	0,0,0,1	0,0,0,2	0,16,0,11	0,0,0,0	829.json
1849	3	3	3	0	0	0	0	0	0	1135.json
1917	3,3,3	3,3,3	3,3,3	0,0,0	0,1,86	0,0,1	0,0,2	0,0,27	0,0,0	1225.json
1849	11,13	11,11	11,11	0,0	0,332	0,3	0,4	0,7	0,0	99.json
1743	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,80,89,89,89,90,90,90,90,90,92,94,94,105,224,225,717	0,2,0,1,4,1,4,2,1,1,1,2,1,2,1,9,1,3	0,3,1,3,8,2,8,4,2,2,2,3,1,4,3,13,2,5	0,80,55,66,67,32,46,86,13,7,86,123,82,21,70,308,58,91	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	775.json
1849	11,11,11,11,11	9,9,9,9,9	9,9,9,9,9	0,0,0,0,0	0,21,21,22,363	0,1,2,1,1	0,2,4,2,2	0,46,39,13,80	0,0,0,0,0	147.json
1849	12,7,5,5	11,7,5,5	11,7,5,5	0,0,0,0	0,9,26,132	0,0,1,0	0,5,4,0	0,149,80,0	0,0,1,0	493.json
1849	3,3	3,3	3,3	0,0	0,22	0,0	0,0	0,16	0,0	867.json
1849	3	3	3	0	0	0	0	0	0	114.json
1819	6,7,7,7,7,7,7	6,6,6,6,6,6,6	6,7,7,7,7,7,7	0,0,0,0,0,0,0	0,15,22,28,28,332,445	0,2,1,2,1,1,1	0,3,2,4,2,2,2	0,32,41,56,10,21,31	0,0,0,0,0,0,0	1014.json
1583	4,4,4	4,4,4	4,4,4	0,0,0	0,437,441	0,1,1	0,2,2	0,8,6	0,0,0	631.json
1373	9,9,10,6	9,9,9,6	9,9,10,6	0,0,0,0	0,0,57,61	0,0,2,0	0,0,3,4	0,0,50,156	0,0,0,0	773.json
1849	12,12	12,12	12,12	0,0	0,19	0,0	0,0	0,8	0,0	513.json
1823	7,7,7,7	6,6,6,6	6,6,6,6	0,0,0,0	0,0,0,106	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,0	591.json
1920	3	3	3	0	0	0	0	0	0	1197.json
1849	7	6	7	0	0	0	0	0	0	309.json
1373	3,3	3,3	3,3	0,0	0,7	0,0	0,0	0,0	0,0	1031.json
1849	7,7,7,11,16,16,12,13,13,13,13,11,11,11	7,7,7,10,13,13,9,10,10,10,10,8,8,8	7,7,7,11,13,13,9,10,10,10,10,8,8,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,20,29,41,151,151,177,177,178,178,196,196,267,294	0,1,1,4,10,1,4,1,1,1,1,2,1,1	0,2,2,4,15,2,12,1,2,2,2,6,2,2	0,17,12,162,311,10,314,32,32,3,23,90,9,7	0,0,0,0,0,1,0,0,0,0,0,0,0,0	1119.json
1849	3	3	3	0	0	0	0	0	0	993.json
1849	3	3	3	0	0	0	0	0	0	1056.json
1849	3	3	3	0	0	0	0	0	0	547.json
1849	3,3	3,3	3,3	1,1	0,19	0,0	0,0	0,0	0,0	506.json
1849	4	4	4	0	0	0	0	0	0	135.json
1849	3	3	3	0	0	0	0	0	0	670.json
1405	6	6	6	0	0	0	0	0	0	450.json
1828	3	3	3	0	0	0	0	0	0	184.json
1477	3,3	3,3	3,3	0,0	0,11	0,2	0,4	0,46	0,0	790.json
1849	11,11,11,11,11,11	11,11,11,11,11,11	11,11,11,11,11,11	0,0,0,0,0,0	0,71,72,78,317,822	0,0,0,1,1,1	0,0,0,2,2,2	0,108,0,24,8,10	0,0,0,0,0,0	834.json
1849	14,9,9	10,7,7	10,7,7	0,0,0	0,20,317	0,1,1	0,7,2	0,142,8	0,0,0	544.json
