Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4025	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,210,211,411	0,0,0,1	0,0,0,2	0,0,0,7	0,0,0,0	26253.json
7199	17,17,14,13,13,13,11,15,18,18,15	12,12,9,9,9,9,7,10,12,12,10	12,12,9,10,10,10,7,10,12,12,10	0,0,0,0,0,0,0,0,0,0,0	0,1549,1623,2156,3384,3385,5209,6503,6703,6706,6706	0,1,1,4,0,0,6,4,3,1,0	0,2,5,9,0,0,14,4,3,2,3	0,1,80,152,0,0,200,123,57,13,70	0,1,1,0,0,0,1,1,1,0,0	29342.json
7310	36,36,73,73,103,106,106,106,110,117,288,260,262,263	22,22,46,46,65,65,65,65,64,64,149,149,153,153	34,34,70,70,99,102,102,102,102,109,190,175,179,180	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,7,471,1883,1948,2571,3495,3496,4026,4878,5020,5145,5323,5323	0,19,43,3,48,4,0,0,9,89,206,126,61,2	0,38,49,6,66,5,0,0,14,171,241,280,120,3	0,44,1211,21,1507,96,0,0,229,989,5730,1697,809,26	0,0,0,0,0,0,0,0,0,0,0,1,0,1	29600.json
877	1	3	1	1	0	0	0	0	0	4281.json
1859	3	3	3	0	0	0	0	0	0	34152.json
1205	24	16	22	0	0	0	0	0	0	6491.json
2592	3	3	3	0	0	0	0	0	0	2184.json
7012	96,91,91,91,85	60,60,60,60,60	66,66,66,66,60	0,0,0,0,0	0,3198,3199,3798,5036	0,0,0,0,75	0,0,0,0,156	0,29,0,0,588	0,0,0,0,0	4913.json
426	42	39	40	0	0	0	0	0	0	148.json
1255	3	3	3	1	0	0	0	0	0	11879.json
6159	20,19,19,17,20,20,20,20	13,12,12,11,13,13,13,13	14,13,13,12,14,14,14,14	0,0,0,0,0,0,0,0	0,514,990,1413,1596,2344,2345,4871	0,1,1,0,3,0,0,1	0,3,2,2,3,0,0,2	0,40,11,23,48,0,0,52	0,0,0,0,1,0,0,1	15388.json
5853	27,27,27,27,27	24,24,24,24,24	24,24,24,24,24	0,0,0,0,0	0,275,2038,2039,2639	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	14050.json
3655	4	3	3	1	0	0	0	0	0	25636.json
4027	13,13,13,13	11,11,11,11	11,11,11,11	0,0,0,0	0,212,213,813	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	12851.json
7310	7,7,7	3,3,3	6,6,6	0,0,0	0,3495,3496	0,0,0	0,0,0	0,6,0	0,0,0	24667.json
4795	12,12,12	10,10,10	10,10,10	0,0,0	0,981,982	0,0,0	0,0,0	0,0,0	0,0,0	27672.json
2767	3	3	3	0	0	0	0	0	0	16260.json
7199	3,3,3	3,3,3	3,3,3	1,1,1	0,3384,3385	0,0,0	0,0,0	0,0,0	0,0,0	14758.json
1429	13	8	10	0	0	0	0	0	0	8739.json
4451	5,3,3,3,3	5,3,3,3,3	5,3,3,3,3	0,0,0,0,0	0,634,637,638,3248	0,3,0,0,0	0,8,0,0,0	0,57,0,0,0	0,0,0,0,0	21187.json
5549	4,4,4	3,3,3	3,3,3	0,0,0	0,1735,1736	0,0,0	0,0,0	0,0,0	0,0,0	25505.json
4473	39,39,39,40,40,38,35	34,34,34,35,35,35,32	36,36,36,37,37,35,32	0,0,0,0,0,0,0	0,659,660,1111,1259,2506,2918	0,0,0,38,0,18,24	0,0,0,75,0,38,51	0,0,0,163,0,74,937	0,0,0,0,0,0,0	5081.json
7230	9,9,9	8,8,8	8,8,8	0,0,0	0,3415,3416	0,0,0	0,0,0	0,0,0	0,0,0	18737.json
2495	2	2	2	0	0	0	0	0	0	26730.json
909	5	5	5	0	0	0	0	0	0	31073.json
1219	8	7	8	0	0	0	0	0	0	22515.json
3390	19,19	14,14	18,18	0,0	0,176	0,0	0,0	0,0	0,0	11120.json
2067	5,5	4,4	4,4	0,0	0,9	0,0	0,0	0,0	0,0	4428.json
4811	11,10,10,10,12,12	8,7,7,7,9,9	8,7,7,7,9,9	0,0,0,0,0,0	0,16,997,998,1197,1597	0,0,0,0,2,0	0,1,0,0,2,0	0,50,0,0,65,0	0,1,0,0,0,0	8474.json
4473	3,3,3	3,3,3	3,3,3	1,1,1	0,659,660	0,0,0	0,0,0	0,0,0	0,0,0	15746.json
704	4	3	3	1	0	0	0	0	0	3721.json
4933	13,32,32,32,32,54,54,29	12,26,26,26,26,27,27,24	12,26,26,26,26,27,27,24	0,0,0,0,0,0,0,0	0,319,542,1118,1119,1149,1719,3975	0,29,3,0,0,25,0,12	0,39,6,0,0,28,0,49	0,622,46,0,0,764,0,995	0,0,1,0,0,0,0,1	14017.json
3872	3,3,3	3,3,3	3,3,3	0,0,0	0,57,58	0,0,0	0,0,0	0,0,0	0,0,0	36007.json
4457	3,3,3	3,3,3	3,3,3	1,1,1	0,643,644	0,0,0	0,0,0	0,0,0	0,0,0	23101.json
5951	48,48,48,48,48,57,58	44,44,44,44,44,45,45	40,40,40,40,40,49,50	0,0,0,0,0,0,0	0,343,414,2137,2138,3972,5896	0,1,1,0,0,42,2	0,2,2,0,0,75,4	0,135,13,0,0,257,95	0,0,0,0,0,0,0	17454.json
426	3	3	3	1	0	0	0	0	0	183.json
4550	3,3,3	3,3,3	3,3,3	1,1,1	0,736,737	0,0,0	0,0,0	0,8,0	0,0,0	26158.json
3290	22,32	17,26	17,26	0,0	0,14	0,10	0,10	0,335	0,0	29569.json
