Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
5257	4,4,4,4,4,4,4,12,19,24,24,24,26,26,26,26,26,26	3,3,3,3,3,3,2,9,11,14,14,14,12,14,14,14,14,14	4,4,4,4,4,4,3,11,15,19,19,19,20,19,19,19,19,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,265,418,418,447,814,1395,1644,1655,1656,1804,1993,2228,2859,3446,3457,4808,4853	0,0,0,0,0,0,1,9,9,5,0,1,10,5,1,1,1,1	0,0,0,0,0,0,2,10,11,5,0,2,18,6,2,2,2,2	0,0,0,0,0,0,52,236,338,55,0,6,240,69,16,16,5,5	0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0	4281.json
3437	3	2	3	0	0	0	0	0	0	6491.json
449	4	3	4	0	0	0	0	0	0	2184.json
3896	32,32,32,32,32,32,32,37,36,36	16,16,16,16,16,16,16,18,18,18	23,23,23,23,23,23,23,27,27,27	0,0,0,0,0,0,0,0,0,0	0,53,70,85,156,442,884,1019,1553,2389	0,1,2,1,0,0,0,6,1,1	0,2,4,2,0,0,0,7,3,2	0,2,2,2,0,0,0,164,77,53	0,0,0,0,0,0,0,0,1,0	4913.json
3601	4,4,4	3,3,3	4,4,4	1,0,0	0,197,2093	0,1,0	0,2,0	0,35,0	0,0,0	148.json
3163	4,4,4	3,3,3	4,4,4	1,1,1	0,151,1936	0,0,1	0,0,2	0,0,9	0,0,0	5081.json
5562	5,5,14,14,14,14,14,14,8,8,14,6,6,6,6,6,5,14,14	3,3,9,9,9,9,9,9,4,4,9,4,4,4,4,4,3,8,8	4,4,12,12,12,12,12,12,5,5,12,5,5,5,5,5,4,13,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,23,129,163,169,233,290,302,555,570,610,610,723,723,752,1119,1249,1676,2109	0,1,9,2,4,4,1,4,2,0,9,1,0,0,0,0,1,11,0	0,2,9,4,8,8,2,8,10,0,12,10,0,0,0,0,3,13,0	0,6,227,36,48,71,2,4,130,0,222,199,0,0,0,0,36,204,0	0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0	4428.json
2913	3,3	3,3	3,3	1,1	0,584	0,0	0,0	0,0	0,0	8474.json
3754	4,4	3,3	4,4	1,1	0,301	0,0	0,0	0,0	0,0	3721.json
2913	3,3,3,3	2,2,2,2	3,3,3,3	0,0,0,0	0,1,20,584	0,1,1,0	0,2,2,0	0,27,27,0	0,1,0,0	8365.json
2114	8	7	8	0	0	0	0	0	0	731.json
