SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4,4,4,4,4,8,8,15,22,23,22,22	1,1,1,1,1,2,2,2,4,4,4,4	0,0,0,0,0,2,2,4,7,7,7,7	0.23311389982700348,0.23629875481128693,0.08448714017868042,0.0801321491599083,0.07928743213415146,0.018088823184370995,0.0041044531390070915,0.0026052407920360565,0.0023782458156347275,0.0018879121635109186,0.004423255566507578,0.0014231373788788915	122.85169219970703,122.85169219970703,122.28182983398438,122.28182983398438,122.28182983398438,105.18153381347656,104.80902099609375,93.48395538330078,86.4782943725586,85.4615249633789,86.84941864013672,86.72318267822266	2184.json
4	1	0	0.8304897546768188	127.42622375488281	148.json
28	4	2	0.24295271933078766	84.41403198242188	183.json
16	4	2	0.021506551653146744	93.10790252685547	1808.json
4	1	0	0.10463827103376389	128.936767578125	1926.json
4	1	0	0.5592139959335327	124.39620971679688	415.json
4,4	1,1	0,0	0.5924326181411743,0.8361274600028992	125.79222106933594,125.79222106933594	431.json
8,8,8	2,2,2	2,2,2	0.6030150055885315,0.6030150055885315,0.6084001660346985	110.74185943603516,110.74185943603516,111.82166290283203	1490.json
11,11,10,10,9,9,9,13,17,31,32,32,25,25,32,32,32,32,32,32	2,2,2,2,2,2,2,3,3,7,7,7,5,5,6,6,6,6,6,6	2,2,2,2,2,2,2,4,2,12,12,12,8,8,8,8,8,8,8,8	0.01843057945370674,0.031334638595581055,0.09193743765354156,0.09616538137197495,0.06654436141252518,0.07021725922822952,0.09561486542224884,0.006337267346680164,0.007331646513193846,4.6485711936838925E-4,1.811921247281134E-4,1.4590733917430043E-4,2.734157314989716E-4,2.72826524451375E-4,4.460577620193362E-4,5.725060473196208E-4,4.849673714488745E-4,4.987607826478779E-4,6.676831399090588E-4,4.943264648318291E-4	100.08109283447266,100.41276550292969,103.07308959960938,102.68017578125,104.74292755126953,104.74292755126953,104.94768524169922,96.38753509521484,91.81573486328125,77.5582046508789,76.40687561035156,76.35354614257812,81.76217651367188,81.76217651367188,77.08740997314453,77.14518737792969,77.18352508544922,77.18352508544922,76.96501159667969,76.88091278076172	1044.json
4,3	1,1	0,0	0.8103901147842407,0.9871299266815186	125.79222106933594,134.26058959960938	333.json
4,4	1,1	0,0	0.5606762170791626,0.6257474422454834	123.59581756591797,123.59581756591797	284.json
3	1	0	0.6949679851531982	131.43582153320312	2514.json
4,6,5,6	1,2,2,2	0,2,2,2	0.7291317582130432,0.8439188599586487,0.9575732946395874,0.8456239700317383	126.77537536621094,116.85369873046875,120.51615905761719,116.85369873046875	2605.json
3	1	0	0.893014669418335	134.26058959960938	220.json
4,4	1,1	0,0	0.8295552730560303,0.8662466406822205	125.79222106933594,127.78498840332031	307.json
9,9,16,13,18,15,19,19	3,3,4,3,4,3,4,4	5,5,7,5,7,7,9,9	0.028480984270572662,0.0292203351855278,0.019119972363114357,0.03076481819152832,0.004666872322559357,0.003991111181676388,3.0654287547804415E-4,3.1112294527702034E-4	104.57923126220703,104.45230102539062,93.36389923095703,97.6878890991211,90.00701141357422,93.33935546875,88.46955108642578,88.46955108642578	1947.json
4,4,4	1,1,1	0,0,0	0.7890394926071167,0.7890394926071167,0.7890394926071167	125.79222106933594,125.79222106933594,125.79222106933594	2063.json
4	1	0	0.06020568311214447	121.82937622070312	1182.json
7,9,9,9	2,3,3,3	5,7,7,7	0.1420251727104187,0.049100350588560104,0.030940594151616096,0.06150120496749878	110.30502319335938,104.19578552246094,104.2077407836914,103.98953247070312	2483.json
5	1	0	0.1831544190645218	119.57592010498047	530.json
4,4,4	1,1,1	0,0,0	0.7665657997131348,0.7665657997131348,0.7665657997131348	125.79222106933594,125.79222106933594,125.79222106933594	2039.json
3	1	0	0.945729672908783	133.59722900390625	526.json
3	1	0	0.8686346411705017	130.45266723632812	403.json
9,9,11,11	2,2,2,2	3,3,3,3	0.09152665734291077,0.09180484712123871,0.11949317157268524,0.01711566001176834	104.36398315429688,104.36398315429688,100.34114074707031,99.96955108642578	2736.json
6,9	2,2	4,4	0.1767825186252594,0.2764574885368347	113.27349090576172,106.59547424316406	1737.json
3	1	0	0.8772633075714111	130.05470275878906	2569.json
3,3	1,1	0,0	0.08280712366104126,0.696222722530365	128.31268310546875,128.60531616210938	2748.json
6,6	2,2	3,3	0.9460406303405762,0.9460406303405762	115.81021118164062,115.81021118164062	2786.json
4	1	0	0.3634049594402313	128.13519287109375	577.json
20,16,17,18,18,18	2,2,2,2,2,2	0,0,0,0,0,0	0.0025546224787831306,0.0015587288653478026,0.0,0.0,0.0,0.0	88.08897399902344,92.13555145263672,89.72418975830078,87.9926528930664,87.87686920166016,87.87686920166016	44.json
8	2	3	0.8422415256500244	111.14976501464844	1285.json
4,4,4,4	1,1,1,1	0,0,0,0	0.7488735914230347,0.6921860575675964,0.534984827041626,0.7479470372200012	126.62725830078125,125.15930938720703,125.91468811035156,125.91468811035156	250.json
17,18,18,21,21,20,20,20,24,29,29,29,29,29,29,33,33	3,3,3,4,4,4,4,4,5,6,6,6,6,6,6,7,7	4,4,4,7,7,7,7,7,9,17,17,17,17,17,17,20,20	0.0,7.983658579178154E-4,2.272595593240112E-4,1.524561521364376E-4,1.7567086615599692E-4,2.680878387764096E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	88.62520599365234,88.35301971435547,88.85869598388672,85.61688232421875,85.71353912353516,86.671630859375,86.671630859375,87.09536743164062,82.7765121459961,77.8534164428711,77.8534164428711,77.8534164428711,77.92353057861328,77.92353057861328,77.87667846679688,75.06104278564453,75.06104278564453	927.json
4	1	0	0.5751814246177673	124.71717071533203	2140.json
18,3,4,5,4	2,1,1,1,1	0,0,0,0,0	0.196552574634552,0.854825496673584,0.19252388179302216,2.8401671443134546E-4,0.8217746019363403	92.54572296142578,132.61029052734375,124.7987289428711,116.9176254272461,127.94984436035156	1937.json
4,4,4,4	1,1,1,1	0,0,0,0	0.7859746813774109,0.7233036756515503,0.6511149406433105,0.8031553030014038	125.79222106933594,124.48601531982422,125.15930938720703,125.15930938720703	225.json
8,8,8,8,8	2,2,2,2,2	2,2,2,2,2	0.2501339018344879,0.23397761583328247,0.2393406182527542,0.2827211022377014,0.27860477566719055	110.30216217041016,110.30216217041016,110.08924102783203,109.95417022705078,109.95417022705078	1457.json
34,34,37,42,42,42,42,51,48,48,48,57,58,68,68,68,69,73,73,74,86,95,97,80,80,80,101,108,108,168,171,175,175,240,252,268,57,58,58,58,58,66	7,7,8,8,8,8,8,9,9,9,9,10,10,12,12,12,12,13,13,13,16,19,19,14,17,17,24,26,26,35,36,37,37,53,56,59,9,9,9,9,9,11	12,12,16,16,16,16,16,18,18,18,18,27,28,32,32,26,27,29,29,29,38,39,41,33,29,31,40,44,52,69,71,74,74,128,132,135,20,20,20,22,22,24	3.2202250440604985E-4,3.0304546817205846E-4,0.0,1.1029116285499185E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	75.41055297851562,75.41055297851562,73.16983032226562,70.89599609375,70.81004333496094,70.83189392089844,70.78865814208984,66.41291809082031,68.27784729003906,68.23416900634766,68.33939361572266,64.2688217163086,63.88444137573242,59.92531204223633,59.88227462768555,59.84867477416992,59.53819274902344,57.781028747558594,57.7285041809082,57.50809097290039,53.28207778930664,50.70234298706055,50.27116394042969,55.70451736450195,54.85393142700195,54.76939010620117,48.12360382080078,46.23457336425781,46.00857162475586,33.659183502197266,33.07963943481445,32.3757209777832,32.3757209777832,21.51541519165039,19.774951934814453,17.74595832824707,61.896690368652344,61.61494445800781,61.637752532958984,61.556339263916016,61.556339263916016,58.5449333190918	1538.json
13,13,13,16,16,12,13	3,3,4,4,4,3,3	5,5,7,7,7,4,4	0.006233025807887316,0.006304976064711809,0.003297970164567232,0.006275862455368042,0.006219253875315189,0.03901240602135658,0.03204898536205292	95.93299865722656,95.93299865722656,95.19840240478516,91.90093231201172,91.90093231201172,98.51883697509766,96.7821273803711	786.json
22,23,26,26,26,26	5,5,6,6,6,6	14,12,14,14,14,14	0.02796640619635582,0.010409215465188026,0.011954323388636112,0.012017342261970043,0.010746803134679794,0.011978528462350368	86.47705078125,84.57435607910156,82.1037368774414,82.1037368774414,81.9317855834961,81.8716812133789	1603.json
12,15,12,12,17,18,11,11,11,11	3,3,3,3,4,4,2,2,2,2	5,5,6,6,8,9,0,0,0,0	0.23805861175060272,0.2671334147453308,0.10678406059741974,0.040036920458078384,0.021689141169190407,0.010768869891762733,0.03248761594295502,0.03248761594295502,0.004422562196850777,0.03248761594295502	100.71611022949219,97.10118103027344,99.53533935546875,99.8090591430664,92.49768829345703,90.31063842773438,101.5722427368164,101.5722427368164,100.56344604492188,101.5722427368164	1982.json
4	1	0	0.8077828884124756	125.79222106933594	355.json
4	1	0	0.7649180889129639	125.79222106933594	359.json
18,21,21,22,22,22,22	3,3,3,3,3,3,3	12,12,12,15,15,15,15	0.0,0.0,1.4684088819194585E-4,0.0,0.0,0.0,0.0	87.99065399169922,84.87419891357422,85.47602844238281,84.1559066772461,84.05015563964844,84.05015563964844,83.53640747070312	47.json
15,15	6,6	7,7	0.1615634560585022,0.06168173998594284	95.05167388916016,93.41819763183594	2714.json
4	1	0	0.04242348670959473	128.936767578125	1907.json
28,28,28,28	7,7,7,7	20,20,20,20	9.478551801294088E-4,9.529078961350024E-4,9.518953738734126E-4,9.458416025154293E-4	81.7452163696289,81.7452163696289,81.7452163696289,81.7452163696289	70.json
6	1	0	0.2770112454891205	116.62230682373047	564.json
4,4,4,4	1,1,1,1	0,0,0,0	0.2901453673839569,0.2702752351760864,0.38632911443710327,0.42072996497154236	123.87862396240234,122.88362884521484,123.39956665039062,123.39956665039062	296.json
4,4	1,1	0,0	0.13906551897525787,0.1463278830051422	125.27178192138672,124.91740417480469	1595.json
12,14,9	3,3,2	6,6,4	0.29901787638664246,0.3165481388568878,0.3538717031478882	99.50308227539062,96.93208312988281,106.81678771972656	1701.json
4,4	1,1	0,0	0.6048224568367004,0.6486702561378479	125.67974090576172,125.67974090576172	115.json
5	1	0	0.03890670835971832	118.98002624511719	1134.json
4,4,4	1,1,1	0,0,0	0.8016893863677979,0.8016893863677979,0.8016893863677979	126.19583892822266,126.19583892822266,126.19583892822266	2044.json
21,21,4,4	5,5,1,1	7,6,0,0	0.07874003797769547,0.09718162566423416,0.07630456984043121,0.020651254802942276	88.45153045654297,88.66411590576172,124.25267028808594,123.74861145019531	1601.json
19,26,28,31,31,39,39,40,38,38,38,58,58,58,58,51,51,51,51,51,51,51,51,51,51,51	3,7,8,8,8,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,9,9,10,9,9,9	4,9,10,10,10,14,14,14,14,14,14,15,15,18,18,16,16,17,17,20,20,20,21,20,20,20	0.0018780954414978623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	88.37214660644531,79.70286560058594,78.02227020263672,76.64911651611328,76.13207244873047,70.73063659667969,70.78961944580078,70.34007263183594,71.2890625,71.53208923339844,71.32844543457031,63.48394012451172,63.620792388916016,63.34819412231445,63.2818489074707,65.86508178710938,65.86508178710938,66.25218963623047,66.25218963623047,66.00968933105469,66.0606460571289,66.07843780517578,65.59879302978516,66.07843780517578,66.07843780517578,66.07843780517578	797.json
4	1	0	0.6954191327095032	126.62725830078125	327.json
4	1	0	0.8380851745605469	125.79222106933594	381.json
5	1	0	0.09555017203092575	120.43379974365234	489.json
58,58,62,62,61,61,61,61,58,70,70,70,70	11,11,12,12,12,12,12,12,12,13,13,13,13	26,34,40,40,38,38,40,40,38,41,41,41,41	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	63.52519989013672,62.93014144897461,60.905189514160156,60.93391799926758,61.43904113769531,61.453834533691406,61.38028335571289,61.2676887512207,62.28759765625,58.35516357421875,58.35516357421875,58.35516357421875,58.35516357421875	1524.json
4	1	0	0.5968265533447266	125.5254898071289	1816.json
4	1	0	0.7602027654647827	125.5254898071289	1785.json
9,9,9,9	2,2,2,2	2,2,2,2	0.504960298538208,0.44919565320014954,0.4948641061782837,0.5185397267341614	107.15947723388672,106.98554992675781,107.33891296386719,107.33891296386719	131.json
18,21,14	5,5,3	9,9,2	0.16436667740345,0.18240535259246826,0.030292239040136337	91.14552307128906,88.53009033203125,95.73225402832031	1702.json
3,4	1,1	0,0	0.015301769599318504,0.02221713773906231	130.30841064453125,125.15235137939453	1238.json
9	2	4	0.4301929175853729	107.27902221679688	1731.json
