SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
11,11	3,3	4,4	0.45669353008270264,0.45669353008270264	102.16889953613281,102.16889953613281	4925.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.6109176278114319	132.61029052734375,132.61029052734375,132.61029052734375,132.25152587890625	4281.json
3,3,3	1,1,1	0,0,0	0.9280638098716736,0.9638419151306152,0.9639444351196289	128.7513427734375,130.45266723632812,130.45266723632812	6491.json
12,12,12,12,12,10	3,3,3,3,3,3	6,6,5,5,5,5	0.6304175853729248,0.5992016792297363,0.7455657124519348,0.716181755065918,0.716181755065918,0.7654970288276672	101.2367172241211,101.2367172241211,101.54722595214844,101.54722595214844,101.54722595214844,105.58740234375	2184.json
6,6	2,2	2,2	0.7901893854141235,0.7901893854141235	116.30582427978516,116.30582427978516	4913.json
4,4,3	1,1,1	0,0,0	0.7486764788627625,0.7486764788627625,0.73078453540802	125.67974090576172,125.67974090576172,131.1535186767578	148.json
14,13,13,7,7,3,20,20,20,6	4,4,4,2,2,1,5,5,5,2	8,8,8,3,3,0,7,7,7,4	0.3631924092769623,0.42460325360298157,0.31126028299331665,0.5855928063392639,0.5855928063392639,0.39193880558013916,0.09364111721515656,0.042118147015571594,0.042118147015571594,0.5043296217918396	97.73149108886719,99.58198547363281,99.33918762207031,112.90506744384766,112.90506744384766,130.45266723632812,88.1942367553711,87.94265747070312,87.94265747070312,115.26795196533203	5081.json
14,13,13,7,7,3,20,20,20,6	4,4,4,2,2,1,5,5,5,2	8,8,8,3,3,0,7,7,7,4	0.3631924092769623,0.42460325360298157,0.31126028299331665,0.5855928063392639,0.5855928063392639,0.39193880558013916,0.09364111721515656,0.042118147015571594,0.042118147015571594,0.149411141872406	97.73149108886719,99.58198547363281,99.33918762207031,112.90506744384766,112.90506744384766,130.45266723632812,88.1942367553711,87.94265747070312,87.94265747070312,115.26795196533203	4428.json
3,3,3,3	1,1,1,1	0,0,0,0	0.05802466347813606,0.05160268023610115,0.048720233142375946,0.053958065807819366	127.54407501220703,127.54407501220703,127.54407501220703,127.30142211914062	8474.json
6,6,6,6,5,5	2,2,2,2,2,2	0,0,0,0,0,0	0.08047837764024734,0.07120974361896515,0.07120974361896515,0.07306777685880661,0.14669466018676758,0.10747024416923523	115.72040557861328,115.72040557861328,115.72040557861328,115.72040557861328,120.0035629272461,119.61820220947266	3721.json
7,7,7,7	1,1,1,1	0,0,0,0	0.003120127134025097,0.003120127134025097,0.0036700910422950983,0.004106416366994381	110.26661682128906,110.26661682128906,110.26661682128906,110.02425384521484	8365.json
6,6	2,2	2,2	0.6836259365081787,0.6836259365081787	115.88265228271484,115.88265228271484	731.json
8,8,8,11,11,11,12	2,2,2,3,3,3,3	0,0,0,2,2,2,2	0.6897140145301819,0.6897140145301819,0.6897140145301819,0.8415965437889099,0.8199580907821655,0.8199580907821655,0.7581148147583008	110.01913452148438,110.01913452148438,110.01913452148438,103.85804748535156,103.85804748535156,103.85804748535156,101.65228271484375	4623.json
3,3,3,3	1,1,1,1	0,0,0,0	0.4819527566432953,0.7244336009025574,0.7244336009025574,0.7244336009025574	128.92515563964844,129.93223571777344,129.93223571777344,129.93223571777344	183.json
20,20,20	3,3,3	6,6,6	2.841739624273032E-4,2.841940149664879E-4,5.821682279929519E-4	87.2143325805664,87.2143325805664,88.17707061767578	1808.json
3,3	1,1	0,0	0.8942989706993103,0.8942989706993103	133.59722900390625,133.59722900390625	5782.json
11,13,13,13	2,2,2,2	2,2,2,2	0.003684558207169175,1.7251518147531897E-4,1.7251518147531897E-4,1.7610425129532814E-4	100.73722839355469,96.00245666503906,96.00245666503906,96.2545166015625	1926.json
7,7,7,8,8,8	2,2,2,2,2,2	2,2,2,2,2,2	0.8526891469955444,0.8526891469955444,0.8526891469955444,0.644182026386261,0.615906834602356,0.615906834602356	114.26372528076172,114.26372528076172,114.26372528076172,110.9945297241211,110.9945297241211,110.9945297241211	5530.json
4,4	1,1	0,0	0.20372727513313293,0.20372727513313293	123.02798461914062,123.02798461914062	6513.json
12,12,12	4,4,4	6,6,6	0.6524397730827332,0.6176429986953735,0.6176429986953735	101.70943450927734,101.70943450927734,101.70943450927734	4016.json
6	2	4	0.4872009754180908	115.26795196533203	6428.json
10	3	6	0.7908805012702942	105.46453857421875	6262.json
6	2	3	0.7904320359230042	116.5784912109375	6348.json
3,3	1,1	0,0	0.6670373678207397,0.6670373678207397	131.43582153320312,131.43582153320312	3198.json
3,3,3	1,1,1	0,0,0	0.6026245355606079,0.5096531510353088,0.5096531510353088	132.79563903808594,132.79563903808594,132.79563903808594	3663.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.4783560633659363,0.4836950898170471,0.4836950898170471,0.4836950898170471,0.4783560633659363	129.81976318359375,128.92515563964844,128.92515563964844,128.92515563964844,129.81976318359375	415.json
3,3,3,5,5,5	1,1,1,2,2,2	0,0,0,2,2,2	0.8577473163604736,0.7552903890609741,0.7552903890609741,0.8452194929122925,0.843022346496582,0.843022346496582	131.28770446777344,131.43582153320312,131.43582153320312,120.73249816894531,120.73249816894531,120.73249816894531	4040.json
4,4,4,4	1,1,1,1	0,0,0,0	0.0,0.0,0.0,0.0	121.0166244506836,121.0166244506836,121.0166244506836,120.82833862304688	7397.json
36,36,36,36	7,7,7,7	3,3,3,3	6.044237525202334E-4,5.712826387025416E-4,5.712826387025416E-4,6.450720247812569E-4	74.90104675292969,74.90104675292969,74.90104675292969,74.90104675292969	3421.json
5,5	1,1	0,0	0.6761602163314819,0.6761602163314819	119.23677062988281,119.23677062988281	4374.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.3423016369342804,0.3309968113899231,0.33661893010139465,0.18520380556583405,0.31364327669143677,0.33354219794273376	128.92515563964844,128.92515563964844,128.92515563964844,129.47398376464844,129.47398376464844,129.14646911621094	7188.json
5,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.9433125257492065,0.9368607401847839,0.9809116125106812,0.9809116125106812,0.9809116125106812	118.82691955566406,118.43518829345703,119.66572570800781,119.66572570800781,119.66572570800781	431.json
10,13,13,13,14,14,14	3,4,4,4,4,4,4	4,5,6,6,6,6,6	0.40835991501808167,0.3769787549972534,0.6783616542816162,0.6783616542816162,0.5348413586616516,0.5348413586616516,0.5348413586616516	104.15770721435547,98.47028350830078,99.48828887939453,99.48828887939453,97.67939758300781,97.67939758300781,97.67939758300781	6171.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.8841508626937866	132.61029052734375,132.61029052734375,132.61029052734375,133.59722900390625	3796.json
3,3,3,4	1,1,1,1	0,0,0,0	0.7847822904586792,0.6673203110694885,0.6673203110694885,0.6174170970916748	132.79563903808594,132.79563903808594,132.79563903808594,125.78216552734375	3575.json
12	2	0	0.025015588849782944	98.86983489990234	6239.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.9489437341690063	132.61029052734375,132.61029052734375,132.61029052734375,133.18099975585938	4044.json
4,4,4,4,5,5,5,5,5,5	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	2.2944780357647687E-4,0.0,0.0,0.0,1.8423130677547306E-4,2.578803396318108E-4,2.578803396318108E-4,2.6986218290403485E-4,3.303939593024552E-4,5.032604094594717E-4	120.23833465576172,119.80323791503906,119.20023345947266,119.20023345947266,115.58531188964844,115.58531188964844,115.58531188964844,115.58531188964844,115.35023498535156,115.35023498535156	7359.json
