SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
9,25,30,30,30,31,33,33,19,21,26,29,33,54,54,58,74,77,82,84,82,85,85,88,88,88,91,93,97,97,62,67,69,73	2,6,7,7,7,7,7,7,5,5,6,7,8,13,13,14,17,18,19,18,19,20,20,20,20,20,21,22,23,23,14,15,15,16	2,9,11,11,11,11,11,11,8,8,8,12,16,20,20,22,29,31,33,31,33,36,36,36,36,35,39,39,42,42,33,38,38,42	0.749826967716217,0.03630449250340462,0.004164241719990969,0.003718328895047307,0.0037234884221106768,0.002353411866351962,0.009955356828868389,0.009138614870607853,0.1848185956478119,0.05492444336414337,0.04606112092733383,0.0029628758784383535,0.0015364015707746148,3.306204453110695E-4,3.165153320878744E-4,1.3898343604523689E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	104.3133544921875,82.5992660522461,78.5805435180664,78.5805435180664,78.5805435180664,77.92001342773438,77.3163833618164,77.22594451904297,89.32125854492188,86.71087646484375,82.31053161621094,79.39129638671875,76.4129409790039,65.25713348388672,65.37901306152344,63.43812942504883,57.40414047241211,56.280765533447266,54.54182052612305,54.87118148803711,54.51253128051758,53.470943450927734,53.66215133666992,52.8600959777832,52.87228775024414,52.8845100402832,51.80577850341797,51.08955764770508,49.87466812133789,49.694793701171875,61.07037353515625,59.059532165527344,59.07119369506836,57.48075866699219	4925.json
5,5,5,5,3,3	2,2,2,2,1,1	2,2,2,2,0,0	0.7226525545120239,0.6023842692375183,0.453593909740448,0.46219441294670105,0.96406090259552,0.966705322265625	120.0035629272461,120.0035629272461,120.09993743896484,119.80731201171875,132.086669921875,131.60296630859375	4281.json
5,3	2,1	4,0	0.279880553483963,0.5905171036720276	118.2215576171875,131.28770446777344	2184.json
13,11	5,4	8,6	0.08786869794130325,0.21969251334667206	98.89952850341797,103.62804412841797	4913.json
19,19,19,19,19	1,1,1,1,1	0,0,0,0,0	0.0,0.0,0.0,0.0,0.0	86.2207260131836,86.85103607177734,86.85103607177734,86.85103607177734,86.85103607177734	148.json
6,10,10	2,3,3	2,4,4	0.689725399017334,0.29124143719673157,0.35155126452445984	117.45413208007812,105.43936920166016,106.00228881835938	8474.json
13,13,14,14,14,14	4,4,4,4,4,4	8,9,7,7,7,7	0.0957711711525917,0.0631546899676323,0.3035953640937805,0.29049190878868103,0.29049190878868103,0.29049190878868103	97.73163604736328,97.37110900878906,97.51164245605469,97.51164245605469,97.51164245605469,97.51164245605469	3721.json
3	1	0	0.8567392230033875	130.99049377441406	8365.json
10,3,5,5,5	2,1,1,1,1	2,0,0,0,0	0.42597177624702454,0.6966229677200317,0.9204906821250916,0.549127459526062,0.7053031325340271	103.69681549072266,131.91592407226562,122.06163787841797,119.41529846191406,120.23355865478516	731.json
3,3	1,1	0,0	0.650945246219635,0.8922431468963623	131.28770446777344,132.25152587890625	4623.json
7,7,7	2,2,2	2,2,2	0.13964982330799103,0.030994506552815437,0.0320587195456028	111.25896453857422,111.25896453857422,111.07701873779297	183.json
23,23,22,22,22,19	3,3,3,3,3,3	3,3,3,3,4,7	0.0280792023986578,0.02546255849301815,0.02920847199857235,0.02664301171898842,0.020597374066710472,0.02092040702700615	84.14728546142578,84.11966705322266,85.12238311767578,85.05571746826172,84.8998031616211,88.53082275390625	1808.json
36,39,36,36,45,45,17,17,9,9,23,13	11,12,11,11,14,14,6,6,3,3,8,4	31,36,33,33,39,39,11,11,6,6,17,8	3.594683366827667E-4,2.0979539840482175E-4,5.224636406637728E-4,4.2678063618950546E-4,0.0,0.0,0.23691576719284058,0.222391277551651,0.5184870362281799,0.5154831409454346,0.10043428093194962,0.32692351937294006	74.67236328125,72.57769012451172,74.4689712524414,74.4689712524414,69.2515869140625,69.2515869140625,92.8875961303711,92.51692962646484,107.3419189453125,107.22505950927734,86.30560302734375,97.87535095214844	5782.json
27,27,27,27	3,3,3,3	5,5,5,5	0.015882618725299835,0.01630041003227234,0.015016809105873108,0.021971195936203003	83.63337707519531,83.46302032470703,83.1655044555664,83.4176025390625	9386.json
7,6	1,1	0,0	0.35967114567756653,0.7170716524124146	112.0172119140625,115.86640167236328	1926.json
19,19,19,11,12,11	5,5,5,3,3,3	10,9,8,4,4,4	0.29159900546073914,0.30447354912757874,0.17034152150154114,0.6773473024368286,0.666388213634491,0.6773473024368286	90.60614776611328,91.81938934326172,91.34306335449219,102.33252716064453,99.69802856445312,102.33252716064453	6513.json
12	2	0	0.4386554956436157	101.77722930908203	4016.json
3,3	1,1	0,0	0.5660989880561829,0.5395087003707886	131.43582153320312,131.43582153320312	5586.json
4	1	0	0.024835120886564255	124.7987289428711	6262.json
3	1	0	0.648409366607666	131.28770446777344	6348.json
6,6,6	2,2,2	2,2,2	0.06092510372400284,0.06098712980747223,0.06457474827766418	114.4288101196289,114.4288101196289,114.4288101196289	3663.json
5	1	0	0.09604650735855103	119.75839233398438	9518.json
7,7,7,7,7	4,4,4,4,4	6,6,6,6,6	0.21090289950370789,0.6376184821128845,0.6452197432518005,0.6384916305541992,0.6452197432518005	109.00108337402344,109.00108337402344,109.00108337402344,109.1635971069336,109.00108337402344	4040.json
5	2	2	0.6877267956733704	121.4416275024414	9358.json
6,6,3	2,2,1	2,2,0	0.7554249167442322,0.7358147501945496,0.8922431468963623	116.30582427978516,116.04551696777344,132.25152587890625	3421.json
8,8,8,5,4,4,4,4	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	0.457918643951416,0.39699965715408325,0.453851580619812,0.45492950081825256,0.5444990396499634,0.4684385359287262,0.42553097009658813,0.3830904960632324	110.24234008789062,110.24234008789062,110.24234008789062,118.59001159667969,121.9708480834961,122.2049331665039,122.44895935058594,122.87435913085938	7188.json
3	1	0	0.9706774353981018	132.9956512451172	431.json
14,14,18,18,8	5,5,5,5,1	4,4,4,4,0	0.7371505498886108,0.8795154690742493,0.831414520740509,0.834717333316803,0.6814354062080383	99.27176666259766,99.27176666259766,94.15375518798828,93.9043197631836,111.90510559082031	6171.json
