SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,3,3	1,1,1	0,0,0	0.06884338706731796,0.06884338706731796,0.06884338706731796	129.81280517578125,129.81280517578125,129.81280517578125	4281.json
3,3,3	1,1,1	0,0,0	0.08960017561912537,0.08960017561912537,0.08960017561912537	132.25152587890625,132.25152587890625,132.25152587890625	6491.json
5,5,5,6	1,1,1,1	0,0,0,0	0.07959920912981033,0.10477472841739655,0.08606071770191193,0.039416681975126266	120.23355865478516,120.23355865478516,120.23355865478516,116.2755126953125	2184.json
3,3,3	1,1,1	0,0,0	0.2738725244998932,0.2738725244998932,0.2738725244998932	128.8092498779297,128.8092498779297,128.8092498779297	4913.json
5,5	2,2	2,2	0.8774223327636719,0.8774223327636719	119.16963195800781,119.16963195800781	148.json
6,6,6,6,13,13	2,2,2,2,4,4	2,2,2,4,8,8	0.7280288934707642,0.7280288934707642,0.7280288934707642,0.8081411123275757,0.19715765118598938,0.19360649585723877	116.6823501586914,116.6823501586914,116.6823501586914,116.231689453125,97.73163604736328,97.73163604736328	12851.json
3	1	0	0.7251215577125549	131.28770446777344	8739.json
3,3,3,3	1,1,1,1	0,0,0,0	0.6862857937812805,0.6778632402420044,0.702322244644165,0.702322244644165	130.07347106933594,130.07347106933594,130.07347106933594,130.07347106933594	5081.json
3,5,5,5,5	1,2,2,2,2	0,2,2,2,2	0.48732614517211914,0.4298120141029358,0.4298120141029358,0.4298120141029358,0.4298120141029358	130.30841064453125,119.6359634399414,119.6359634399414,119.6359634399414,119.6359634399414	8474.json
55,55,55,53	11,11,11,10	22,22,22,20	0.0,0.0,0.0,0.0	63.64026641845703,63.64026641845703,63.64026641845703,64.39511108398438	8365.json
25,33,43,85,93,93	6,11,6,11,12,12	7,12,8,15,17,17	0.0,0.0,0.0,0.0,0.0,0.0	79.90652465820312,73.12533569335938,67.7580337524414,51.3601188659668,49.15275955200195,49.15275955200195	731.json
3,3,3	1,1,1	0,0,0	0.765123724937439,0.765123724937439,0.765123724937439	130.99049377441406,130.99049377441406,130.99049377441406	4623.json
9,9	3,3	4,4	0.7314702868461609,0.7314702868461609	106.47323608398438,106.47323608398438	183.json
7	2	2	0.011648204177618027	110.38590240478516	1808.json
5	1	0	0.09612954407930374	117.61241912841797	11890.json
7,7,7,7	2,2,2,2	0,0,0,0	0.06835436075925827,0.06835436075925827,0.06835436075925827,0.11298730969429016	110.72124481201172,110.72124481201172,110.72124481201172,111.1139144897461	9386.json
3	1	0	0.5832791924476624	133.59722900390625	1926.json
5,9,9,9	1,2,2,2	0,2,2,2	0.01134410873055458,0.18078142404556274,0.18078142404556274,0.18078142404556274	119.48943328857422,106.39176940917969,106.39176940917969,106.39176940917969	11181.json
8,9,9,9,9	3,3,3,3,3	5,5,5,5,5	0.44372326135635376,0.46708163619041443,0.46708163619041443,0.46708163619041443,0.46708163619041443	108.46711730957031,106.4539794921875,106.4539794921875,106.4539794921875,106.4539794921875	5530.json
3,3	1,1	0,0	0.9908698797225952,0.9908698797225952	130.18594360351562,130.18594360351562	14296.json
1,6,2,2,2,2	1,2,1,1,1,1	0,2,0,0,0,0	0.9657432436943054,0.4229680001735687,0.9364989995956421,0.9968457818031311,0.9968457818031311,0.9968457818031311	152.05810546875,115.65497589111328,140.82913208007812,140.82913208007812,140.82913208007812,140.82913208007812	6513.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.3392898440361023,0.3337259888648987,0.6158775687217712,0.3337259888648987,0.3337259888648987	131.43582153320312,131.43582153320312,132.25152587890625,131.43582153320312,131.43582153320312	14235.json
11,11,9,10	3,3,3,3	6,6,4,4	0.643502950668335,0.643502950668335,0.6135277152061462,0.1474681943655014	101.10761260986328,101.10761260986328,105.94925689697266,103.31035614013672	5586.json
8,8,8	3,3,3	6,6,6	0.22416287660598755,0.22416287660598755,0.22416287660598755	107.86644744873047,107.86644744873047,107.86644744873047	10416.json
7,10,10,10,10,10	3,4,4,4,4,4	4,5,5,5,5,5	0.08822400867938995,0.02518608048558235,0.025281574577093124,0.025281574577093124,0.025281574577093124,0.1658366322517395	109.84042358398438,101.86911010742188,101.86911010742188,101.86911010742188,101.86911010742188,101.86911010742188	6428.json
87	6	9	0.0	54.90376281738281	6262.json
32,32,32,35,36	6,6,6,7,7	12,12,12,14,16	0.0,0.0,0.0,0.0,0.0	77.04188537597656,77.04188537597656,77.04188537597656,74.90493774414062,74.20199584960938	10921.json
1,2,2,2	1,1,1,1	0,0,0,0	0.9727139472961426,0.9976152181625366,0.9976152181625366,0.9976152181625366	152.05810546875,140.82913208007812,140.82913208007812,140.82913208007812	6348.json
35,37,53,47,48,48,47,59,58,61,61,66,53,56,56,54,54,54,56,57,57,57,57,83,88,88,87,87,74,74,75,75,75,73,73,71,78	7,8,12,10,10,10,10,15,15,16,16,16,11,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,15,15,15,15,15,15,15,15,17	16,18,24,18,18,18,18,26,26,29,30,30,22,25,25,25,25,25,25,25,25,25,25,35,35,35,35,35,29,29,29,29,29,22,22,22,25	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	73.19477844238281,71.88053131103516,63.124610900878906,66.54060363769531,66.0634536743164,66.0634536743164,66.49177551269531,60.50168228149414,60.8715934753418,59.240543365478516,59.28703689575195,58.01078414916992,64.90913391113281,63.42219543457031,63.42219543457031,64.0113525390625,64.0113525390625,64.02799224853516,63.21725082397461,62.90207290649414,62.95029830932617,62.87771987915039,62.64309310913086,52.637054443359375,51.67991638183594,51.598548889160156,51.96874237060547,51.99699020385742,55.81118392944336,55.81118392944336,55.3848762512207,55.34251403808594,55.34251403808594,56.27819061279297,56.27819061279297,57.03544998168945,54.76095962524414	10794.json
6	2	2	0.4600105583667755	116.13532257080078	9518.json
1,3,3	1,1,1	0,0,0	0.8640215992927551,0.8045126795768738,0.8045126795768738	149.40048217773438,131.60296630859375,131.60296630859375	12222.json
53,53,55,55,55,58,57,57	12,12,12,12,12,13,12,12	23,23,22,22,22,21,18,18	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	63.85675048828125,63.85675048828125,63.22751998901367,63.22751998901367,62.997127532958984,62.487674713134766,63.095130920410156,63.095130920410156	415.json
3,3,3	1,1,1	0,0,0	0.8280473351478577,0.8280473351478577,0.8280473351478577	133.59722900390625,133.59722900390625,133.59722900390625	9358.json
10,10,10	1,1,1	0,0,0	0.16461943089962006,0.16461943089962006,0.16461943089962006	104.04568481445312,104.04568481445312,104.04568481445312	7397.json
3,13	1,2	0,0	0.9979428052902222,0.017089132219552994	131.75106811523438,96.20037078857422	13560.json
3,3	1,1	0,0	0.9162221550941467,0.9162221550941467	131.60296630859375,131.60296630859375	13428.json
11,11,11,11,11,11,12,12,12	3,3,3,3,3,3,3,3,3	4,5,5,7,7,7,9,9,9	0.059183940291404724,0.018873311579227448,0.035018038004636765,0.012191368266940117,0.008127191103994846,0.004420379642397165,0.0016509905690327287,0.0016509905690327287,0.0016509905690327287	101.25132751464844,100.48503112792969,100.52924346923828,101.05069732666016,100.73866271972656,100.32792663574219,98.3725357055664,98.3725357055664,98.3725357055664	11338.json
3,3,3	1,1,1	0,0,0	0.9082663655281067,0.9082663655281067,0.9082663655281067	132.61029052734375,132.61029052734375,132.61029052734375	7188.json
9,9	2,2	5,5	0.5419835448265076,0.31486472487449646	105.74180603027344,105.74180603027344	431.json
