SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
6,6	2,2	2,2	0.09836037456989288,0.11182000488042831	115.17733001708984,115.40231323242188	731.json
4	1	0	0.753974437713623	125.79222106933594	1808.json
57,57,55	9,9,8	14,14,14	0.0,0.0,0.0	62.7209358215332,62.665321350097656,63.681610107421875	415.json
3	1	0	0.6747987866401672	132.4454345703125	284.json
3	1	0	0.177851140499115	129.61952209472656	2978.json
6	2	2	0.8437021970748901	116.231689453125	2514.json
3,3	1,1	0,0	0.008160622790455818,0.006555382627993822	125.94933319091797,125.94933319091797	2605.json
4	1	0	1.993557671085E-4	120.13176727294922	2870.json
4	2	2	0.4969572126865387	123.52867889404297	307.json
11	4	2	0.15843982994556427	102.46839141845703	2631.json
9,11,13,13	3,4,4,4	0,3,8,6	0.010271056555211544,0.002478382783010602,0.0012415805831551552,0.0013893211726099253	104.38741302490234,99.27698516845703,95.305908203125,95.41117858886719	2311.json
5,3,3,3,5,3,3	2,1,1,1,2,1,1	2,0,0,0,0,0,0	0.1775226593017578,0.05512171611189842,0.05512171611189842,0.05512171611189842,0.07130801677703857,0.4129444360733032,0.3547229766845703	117.43174743652344,127.94976043701172,127.94976043701172,127.94976043701172,117.84797668457031,129.28781127929688,129.9696044921875	2826.json
50,50,50,50,50,50,50,52,50,53,53,49,47,51,51,55,55,56,56,56,56,49,50,50,50,59,60,60,59,59,58,58,62,63,64,64,60,60,63,46,50,47,47,48,48,48,52,52,53,52,48,48,49,51,52	12,12,12,12,12,12,12,13,12,13,13,11,10,11,11,12,12,12,12,12,12,11,12,12,12,13,15,15,15,15,15,15,16,16,16,16,15,15,16,10,11,10,10,10,10,10,11,11,11,11,10,10,10,11,11	20,21,21,20,20,20,20,21,20,23,23,22,19,19,19,22,22,22,22,22,22,22,24,24,27,29,33,33,33,33,33,34,35,35,35,33,28,28,29,19,21,21,20,19,19,21,23,23,23,23,21,21,21,23,25	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	66.59967041015625,66.54171752929688,66.54171752929688,66.59967041015625,66.4645004272461,66.4645004272461,66.4645004272461,65.44271850585938,66.4645004272461,64.8048324584961,64.8048324584961,66.87655639648438,68.17448425292969,66.18351745605469,66.18351745605469,64.22321319580078,64.05099487304688,63.48349380493164,63.48349380493164,63.450584411621094,63.369205474853516,66.6687240600586,65.92890930175781,65.92890930175781,65.68643188476562,61.662109375,60.615962982177734,60.63326644897461,61.06792068481445,61.06792068481445,61.44409942626953,61.41463851928711,59.62941360473633,59.055599212646484,58.63658142089844,58.72029113769531,60.37516403198242,60.37516403198242,59.09696578979492,67.01252746582031,65.18167877197266,66.6090087890625,66.64556121826172,66.13007354736328,66.0982666015625,65.94525146484375,64.12125396728516,64.1066665649414,63.6994743347168,64.1066665649414,65.94525146484375,65.94525146484375,65.52253723144531,64.51226806640625,63.87939453125	1947.json
4	1	0	0.64152991771698	125.64796447753906	2063.json
3	1	0	0.39962059259414673	129.2428436279297	2483.json
8	2	4	0.004743556026369333	108.87444305419922	526.json
3	1	0	0.8947717547416687	133.59722900390625	403.json
6	2	3	0.8469928503036499	116.30830383300781	2736.json
3,3,18,18,18,19	1,1,4,4,4,4	0,0,6,6,8,10	0.006626107729971409,0.0010381975444033742,0.3390081226825714,0.2697012424468994,0.15560992062091827,0.10798319429159164	127.51214599609375,127.102294921875,91.48749542236328,91.21195220947266,90.66438293457031,89.34233856201172	1765.json
3	1	0	0.9648269414901733	131.03103637695312	2748.json
3	1	0	0.4733589291572571	130.30841064453125	2786.json
9,7,7,7,7,7	3,2,2,2,2,2	5,4,4,6,6,6	0.24361327290534973,0.4709226191043854,0.4913104474544525,0.32551953196525574,0.34626665711402893,0.5116153359413147	105.52632904052734,111.7208480834961,112.25464630126953,111.47267150878906,111.47267150878906,111.98090362548828	44.json
2,3,3	1,1,2	0,0,2	0.947577178478241,0.6637849807739258,0.7980374693870544	142.4026641845703,132.79563903808594,130.62745666503906	1285.json
5,7	1,2	0,3	0.16701002418994904,0.052299853414297104	118.44156646728516,110.94255828857422	250.json
9,10	3,3	2,2	0.729800820350647,0.5475547313690186	107.04901885986328,104.09257507324219	2872.json
12	3	2	0.46112844347953796	101.65228271484375	1370.json
