SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
15,15,14,14,11	4,4,4,4,3	5,5,7,7,5	0.18021883070468903,0.18021883070468903,0.19863182306289673,0.19995921850204468,0.4663398861885071	95.3884506225586,95.3884506225586,96.36366271972656,96.36366271972656,101.46054077148438	2184.json
6	2	0	0.9759869575500488	117.66641235351562	148.json
15,14,15	3,3,3	6,6,6	0.004633705597370863,0.0029263508040457964,7.260238635353744E-4	94.52386474609375,95.64154815673828,93.99088287353516	731.json
9,10,10,10,10,10,6,8,8,8	2,2,2,2,2,2,2,2,2,2	4,4,4,4,4,4,2,4,4,4	0.7784064412117004,0.7572497129440308,0.7620222568511963,0.7620222568511963,0.764864444732666,0.7608935832977295,0.17060698568820953,0.03344978392124176,0.041977234184741974,0.06095844507217407	107.28234100341797,105.34435272216797,105.34435272216797,105.34435272216797,105.34435272216797,105.57550048828125,114.35456085205078,107.46741485595703,107.57398223876953,107.90721130371094	1926.json
6,6,6,5	1,1,1,1	0,0,0,0	0.6341538429260254,0.6341538429260254,0.6247633099555969,0.6028577089309692	116.53582763671875,116.53582763671875,116.53582763671875,119.48943328857422	3663.json
5,5,4,4,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.5262097120285034,0.5295419096946716,0.6646466255187988,0.6614390015602112,0.6614390015602112,0.6646466255187988	120.03731536865234,120.03731536865234,123.65223693847656,123.65223693847656,123.65223693847656,123.65223693847656	3421.json
13,14,12,12	2,2,2,2	2,2,2,2	1.5904528845567256E-4,0.0,0.018170364201068878,0.015837978571653366	95.6037826538086,94.19876861572266,99.89933776855469,99.77452087402344	3575.json
12,6,6,4,5	2,1,1,1,1	5,0,0,0,0	0.03590008243918419,0.0437832772731781,0.04403437674045563,0.0076519339345395565,0.003276836359873414	101.82780456542969,114.84321594238281,115.1243667602539,122.85169219970703,117.93329620361328	1490.json
9,9,9,8,8	1,1,1,1,1	0,0,0,0,0	0.2078412026166916,0.2078412026166916,0.20673973858356476,0.2298232465982437,0.2298232465982437	107.63188934326172,107.63188934326172,107.63188934326172,109.53997039794922,109.53997039794922	3018.json
7,8	2,2	3,3	0.057125672698020935,0.09163450449705124	111.05684661865234,108.3963394165039	1044.json
9,9,33,33,33,33	3,3,9,9,9,9	5,5,21,21,21,21	0.14887920022010803,0.14696837961673737,0.0,0.0,0.0,0.0	107.96918487548828,107.96918487548828,76.03398895263672,76.03398895263672,76.03398895263672,76.03398895263672	2514.json
6,6,6	1,1,1	0,0,0	0.7003971934318542,0.7003971934318542,0.7033947110176086	114.7745132446289,114.7745132446289,114.7745132446289	2870.json
4,4,3,3	1,1,1,1	0,0,0,0	0.9590447545051575,0.9590606689453125,0.9588276743888855,0.7430808544158936	124.48761749267578,124.48761749267578,129.1480712890625,128.14134216308594	2631.json
21,18,18,18	4,4,4,4	9,9,9,9	0.04214382544159889,0.060683444142341614,0.06052825599908829,0.06076116859912872	87.88812255859375,90.38536071777344,90.38536071777344,90.38536071777344	2311.json
10,10	2,2	2,2	0.5543472170829773,0.5644704699516296	106.33924102783203,106.13748168945312	2826.json
10,11,11,12	3,3,3,3	8,8,8,8	0.015014472417533398,0.020983656868338585,0.020250093191862106,0.022665247321128845	103.16268920898438,101.61866760253906,101.48595428466797,99.99697875976562	1947.json
9,9	2,2	0,0	0.15213944017887115,0.15287239849567413	106.81678771972656,106.81678771972656	2063.json
3	1	0	0.029123181477189064	128.1388702392578	1182.json
10,9,20,20,20,20,20,20	3,3,4,4,4,4,5,5	5,5,12,12,12,12,12,12	0.9557141661643982,0.9216903448104858,0.09165584295988083,0.09165584295988083,0.09194619953632355,0.08834568411111832,0.03626752644777298,0.009537859819829464	105.22864532470703,106.93548583984375,87.9694595336914,87.9694595336914,87.9694595336914,88.23847961425781,87.44223022460938,87.1509780883789	2483.json
4,4,4,3	1,1,1,1	0,0,0,0	0.5603995323181152,0.5603995323181152,0.5752214789390564,0.5931916832923889	126.77537536621094,126.77537536621094,126.77537536621094,131.28770446777344	2039.json
10,8	3,2	4,2	0.03304203227162361,0.08732114732265472	103.58568572998047,108.61510467529297	526.json
16,16,16	5,5,5	12,12,12	0.004871244076639414,0.005492478609085083,0.012396477162837982	91.41178894042969,91.41178894042969,91.62406158447266	2736.json
4,4,4,3	1,1,1,1	0,0,0,0	0.6160376071929932,0.6160376071929932,0.6334409713745117,0.6165502667427063	127.59107971191406,127.59107971191406,127.59107971191406,132.4454345703125	2569.json
8,8,5,5,6,5,5,5,4,4	2,2,1,1,1,1,1,1,1,1	2,2,0,0,0,0,0,0,0,0	0.566003680229187,0.4446471333503723,0.02010933868587017,0.02152688428759575,0.03481275588274002,0.02152688428759575,0.02152688428759575,0.02147095277905464,0.008290451020002365,0.008125695399940014	108.08734130859375,107.83899688720703,120.0484390258789,119.76210021972656,115.95040893554688,119.76210021972656,119.76210021972656,119.76210021972656,123.37702178955078,123.37702178955078	2748.json
3,3	1,1	0,0	0.6476621031761169,0.6338970065116882	132.61029052734375,132.61029052734375	577.json
1,1	1,1	0,0	0.9837418794631958,0.9837418794631958	152.79727172851562,152.79727172851562	44.json
17,17	5,5	4,4	0.02237747050821781,0.02268514782190323	93.28176879882812,93.16079711914062	1285.json
4,4,3	1,1,1	0,0,0	0.36486172676086426,0.36486172676086426,0.4500100910663605	128.936767578125,128.936767578125,133.59722900390625	927.json
9,9,9,8	2,2,2,2	2,2,2,2	0.49166354537010193,0.49166354537010193,0.49766814708709717,0.6510911583900452	106.15443420410156,106.15443420410156,106.15443420410156,108.38811492919922	2872.json
5,5,5,4	1,1,1,1	0,0,0,0	0.46400776505470276,0.46400776505470276,0.4639064371585846,0.5084951519966125	119.48943328857422,119.48943328857422,119.48943328857422,122.84404754638672	2883.json
11,8,8,8	2,2,2,2	4,2,2,2	0.08215486258268356,0.2871851623058319,0.2578045725822449,0.1782648265361786	101.90313720703125,108.06251525878906,108.29985046386719,108.04276275634766	1370.json
5,16,16,17	1,3,3,3	0,6,6,6	0.4064349830150604,0.34419873356819153,0.34419873356819153,0.3324885368347168	118.74115753173828,93.25465393066406,93.25465393066406,92.21807861328125	2228.json
9,9	2,2	2,2	0.05044085532426834,0.5423797369003296	107.23184967041016,107.23184967041016	1937.json
5	1	0	0.563147246837616	118.90401458740234	2212.json
6,6,9,9,9,9,9,7	2,2,2,2,2,2,2,2	2,2,4,4,4,4,4,4	0.8540849685668945,0.8543452024459839,0.40496015548706055,0.4239955544471741,0.4239955544471741,0.42000916600227356,0.4008890986442566,0.4285035729408264	116.9500732421875,116.9500732421875,107.45506286621094,107.15008544921875,107.15008544921875,107.15008544921875,107.61260986328125,111.68390655517578	1457.json
19,23,23,23,23,21,21,21,22,22,22	4,5,5,5,5,5,5,5,5,5,5	9,10,10,10,10,10,8,8,9,9,10	0.01794695481657982,0.0037381143774837255,0.0037381143774837255,0.003876113099977374,0.0037456864956766367,0.0033395851496607065,0.006142939906567335,0.005983569193631411,0.003717695362865925,5.225243512541056E-4,2.5678626843728125E-4	89.93138122558594,85.40489959716797,85.40489959716797,85.40489959716797,85.57402038574219,86.9653549194336,87.7171630859375,87.7171630859375,86.50830078125,86.50830078125,86.29413604736328	3079.json
16,16,16,16,16,15,15,18,18,17,17,20,30,40,40,34,34	3,3,3,3,3,3,3,3,3,3,3,4,7,9,9,8,8	0,0,0,0,0,0,0,0,0,3,3,4,9,13,13,12,12	0.458575040102005,0.3828756511211395,0.38949906826019287,0.38949906826019287,0.3962077498435974,0.4122367799282074,0.44791126251220703,0.012906273826956749,0.01295117661356926,0.006172641646116972,0.003295245813205838,0.0019221375696361065,3.081450704485178E-4,0.0,0.0,0.0,0.0	96.96373748779297,96.70072937011719,96.44822692871094,96.44822692871094,96.44822692871094,97.4937515258789,97.5321044921875,91.51028442382812,91.51028442382812,90.89877319335938,90.6907958984375,87.36405944824219,78.76766204833984,72.39024353027344,72.39024353027344,76.00772857666016,76.00772857666016	3285.json
4,4,14,14	1,1,3,3	0,0,4,4	0.21943390369415283,0.23910613358020782,0.03555687516927719,0.035799313336610794	124.81353759765625,124.81353759765625,97.65975189208984,97.65975189208984	3226.json
11,8,7	2,1,1	13,0,0	0.4928913712501526,0.6745589971542358,0.7225279211997986	102.121826171875,108.4183120727539,110.63600158691406	1684.json
25	4	4	0.004247109405696392	82.21302795410156	786.json
6,6,6,6,5,8,8	2,2,2,2,2,3,3	3,3,3,3,3,6,6	0.17344963550567627,0.17344963550567627,0.12361228466033936,0.34545350074768066,0.3229120969772339,0.17970792949199677,0.18057942390441895	116.57478332519531,116.57478332519531,116.57478332519531,116.85369873046875,119.80731201171875,109.59251403808594,109.59251403808594	1603.json
12	3	3	0.006017532665282488	99.27298736572266	1975.json
2	1	0	0.9993259310722351	142.4026641845703	47.json
