SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
8,8	2,2	2,2	0.7682087421417236,0.7682087421417236	111.74175262451172,111.74175262451172	148.json
3,3,3	1,1,1	0,0,0	0.6123688817024231,0.36493080854415894,0.3834671080112457	129.81976318359375,128.92515563964844,128.62307739257812	731.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.008162091486155987,0.0037463095504790545,0.0037463095504790545,0.004386207554489374,0.004386207554489374	128.70916748046875,128.0337677001953,128.0337677001953,127.59099578857422,127.59099578857422	183.json
3	1	0	0.6016711592674255	133.59722900390625	415.json
13,13,13,13,13,13,13	5,5,5,5,5,5,5	8,8,8,8,8,8,8	0.10397768020629883,0.10397768020629883,0.09986625611782074,0.08110352605581284,0.07813410460948944,0.06751104444265366,0.0676584243774414	96.43319702148438,96.43319702148438,96.53223419189453,96.278076171875,96.51448059082031,96.24107360839844,96.24107360839844	431.json
3	1	0	0.589587390422821	130.18594360351562	1044.json
7,7,7,7	2,2,2,2	2,2,2,2	0.6262789964675903,0.6262789964675903,0.6262789964675903,0.7713825106620789	113.63477325439453,113.63477325439453,113.63477325439453,113.89506530761719	333.json
7	2	2	0.331640362739563	111.41020202636719	284.json
6,6	2,2	2,2	0.4734523296356201,0.1081332117319107	115.63639831542969,113.80038452148438	1182.json
10,10,10,10	3,3,3,3	5,2,2,2	0.11724169552326202,0.09227699041366577,0.09227699041366577,0.09842098504304886	103.6401596069336,104.39786529541016,104.39786529541016,104.0461654663086	530.json
3,3,3,3	1,1,1,1	0,0,0,0	0.5742681622505188,0.5742681622505188,0.552673876285553,0.5914146304130554	129.0255889892578,129.0255889892578,129.4591827392578,128.91311645507812	526.json
5	1	0	0.7418348789215088	120.53388214111328	403.json
2,2,2,2,2	1,1,1,1,1	0,0,0,0,0	0.922695517539978,0.922695517539978,0.922695517539978,0.922695517539978,0.99691241979599	140.82913208007812,140.82913208007812,140.82913208007812,140.82913208007812,140.82913208007812	577.json
6,6,6	2,2,2	2,2,2	0.23851315677165985,0.23851315677165985,0.23524422943592072	115.56517028808594,115.56517028808594,115.33042907714844	44.json
5,5,5,5,5	1,1,1,1,1	0,0,0,0,0	0.568263053894043,0.568263053894043,0.5622670650482178,0.48879772424697876,0.48879772424697876	121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656,121.69422912597656	250.json
3	1	0	0.3381102979183197	129.7158966064453	927.json
10,10,10	3,3,3	5,5,5	0.8588208556175232,0.8588208556175232,0.8588208556175232	105.84918975830078,105.84918975830078,105.84918975830078	225.json
2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.988764226436615,0.988764226436615,0.9895254969596863,0.9916460514068604,0.8524221777915955,0.8757524490356445,0.8757524490356445,0.7513481378555298	139.0139617919922,139.0139617919922,139.0139617919922,138.03729248046875,135.85635375976562,135.85635375976562,135.85635375976562,135.10760498046875	774.json
4,4,3,3	1,1,1,1	0,0,0,0	0.8055005073547363,0.8055005073547363,0.2884828448295593,0.3050009310245514	123.47842407226562,123.47842407226562,129.57785034179688,129.2428436279297	719.json
3	1	0	0.9343355298042297	130.57513427734375	786.json
5,5	2,2	0,0	0.34609782695770264,0.35692504048347473	120.30387878417969,120.0035629272461	355.json
3	1	0	0.7568941116333008	131.9385528564453	359.json
15,15,15,15	4,4,4,4	6,6,6,6	0.014025863260030746,0.017821816727519035,0.017821816727519035,0.017104124650359154	95.84608459472656,95.84608459472656,95.84608459472656,95.72242736816406	70.json
2,2,2,2,2	1,1,1,1,1	0,0,0,0,0	0.9062893986701965,0.9062893986701965,0.9062893986701965,0.9062893986701965,0.9961704611778259	140.16575622558594,140.16575622558594,140.16575622558594,140.16575622558594,140.16575622558594	564.json
3,3	1,1	0,0	0.7375631332397461,0.7375631332397461	132.25152587890625,132.25152587890625	296.json
13,13	3,3	4,4	0.06902463734149933,0.07107459008693695	98.00941467285156,97.93668365478516	753.json
18,18,18,18,18,18	5,5,5,5,5,5	4,4,4,4,4,4	0.16234807670116425,0.16234807670116425,0.16894905269145966,0.15654250979423523,0.13507217168807983,0.13890080153942108	91.37474822998047,91.37474822998047,91.37474822998047,91.37474822998047,91.21192169189453,90.99720764160156	578.json
11,11,10,10	1,1,1,1	0,0,0,0	0.003216103883460164,0.0035823993384838104,0.0028181744273751974,0.002546219155192375	97.44432067871094,97.59429931640625,99.13832092285156,98.98834991455078	115.json
