SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
6,6	2,2	6,6	0.7617570757865906,0.776620090007782	114.57196044921875,114.24373626708984	2184.json
24,24,24,24,22,22,22	5,5,5,5,5,5,5	12,12,12,12,12,12,12	0.003029918298125267,0.0024712791200727224,0.0024712791200727224,0.0024712791200727224,0.007526224013417959,0.0075922152027487755,0.007582325953990221	86.30936431884766,85.865966796875,85.865966796875,85.865966796875,87.27555084228516,87.18694305419922,87.18694305419922	148.json
16,16,16,16,16,16	4,4,4,4,4,4	9,9,9,9,9,9	0.0,0.0,0.0,0.0,0.0,0.0	89.66830444335938,89.5913314819336,89.5913314819336,89.41979217529297,89.18061065673828,89.08964538574219	731.json
12,12,19,19,19,19,19,19	3,3,6,6,6,6,6,6	3,3,7,7,7,7,7,7	0.007803134620189667,0.008184941485524178,0.003106243908405304,0.0045117964036762714,0.003106243908405304,3.7331233033910394E-4,4.822133923880756E-4,4.5331617002375424E-4	97.37938690185547,97.50414276123047,86.6690673828125,86.76286315917969,86.6690673828125,86.53658294677734,86.6690673828125,86.67710876464844	183.json
3	2	2	0.6822968125343323	127.90887451171875	1808.json
5,5	2,2	2,2	0.2653660774230957,0.2568957805633545	114.67552185058594,114.84886932373047	1926.json
3,3,3,12,12,12	2,2,2,4,4,4	1,1,1,8,8,8	0.002743627643212676,0.002743627643212676,0.002743627643212676,0.03218553215265274,0.030487312003970146,0.02938747964799404	127.20789337158203,127.20789337158203,127.20789337158203,99.05235290527344,98.80055236816406,98.73430633544922	415.json
1,1,1	1,1,1	0,0,0	0.14829197525978088,0.14829197525978088,0.14829197525978088	148.95103454589844,148.95103454589844,148.95103454589844	431.json
3	1	0	0.9686225056648254	130.18594360351562	3018.json
3,3,3,3	1,1,1,1	0,0,0,0	0.2664269506931305,0.2664269506931305,0.2664269506931305,0.2821829617023468	131.28770446777344,131.28770446777344,131.28770446777344,130.85629272460938	1044.json
5,5	1,1	0,0	0.8119117021560669,0.8103541731834412	119.75839233398438,119.57592010498047	333.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.7495126128196716,0.7385154962539673,0.7721578478813171,0.7721578478813171,0.7721578478813171,0.7759182453155518	130.99049377441406,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344,130.85629272460938	284.json
15,15	4,4	11,11	0.17326854169368744,0.18193961679935455	93.48271942138672,93.24712371826172	2978.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9367530345916748,0.9316798448562622,0.9316798448562622,0.9365500807762146	131.43582153320312,131.43582153320312,131.43582153320312,130.99049377441406	2514.json
3,3,3	1,1,1	0,0,0	0.7225587964057922,0.7225587964057922,0.7268481850624084	130.07347106933594,130.07347106933594,129.7158966064453	2605.json
66,66,66,66,66,68,68	20,20,20,20,20,21,21	24,24,24,24,24,24,24	0.0,0.0,0.0,0.0,0.0,0.0,0.0	58.71956253051758,58.67543029785156,58.67543029785156,58.67543029785156,58.626869201660156,57.85531234741211,57.89426803588867	2870.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.7764296531677246,0.3701171278953552,0.6675413250923157,0.8664951324462891,0.8664951324462891,0.8664951324462891	132.4454345703125,131.43582153320312,131.60296630859375,132.61029052734375,132.61029052734375,132.61029052734375	220.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.7764296531677246,0.3701171278953552,0.7764296531677246,0.8664951324462891,0.9138051867485046,0.9138051867485046,0.9138051867485046	132.4454345703125,131.43582153320312,132.4454345703125,132.61029052734375,133.59722900390625,133.59722900390625,133.59722900390625	307.json
3	1	0	0.41284263134002686	132.25152587890625	2631.json
7,7,7,7,7,7,7,7	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	0.17038996517658234,0.16101108491420746,0.19687491655349731,0.14321310818195343,0.14321310818195343,0.14321310818195343,0.15174274146556854,0.1561618149280548	110.94767761230469,111.23677825927734,111.60965728759766,111.05950927734375,111.05950927734375,111.05950927734375,110.77831268310547,110.67108917236328	2311.json
15,15	4,4	7,7	0.05366286635398865,0.05235768482089043	94.17513275146484,94.0595703125	2326.json
12,12,12	5,5,5	4,4,4	0.2935435175895691,0.29427772760391235,0.6371808052062988	101.03275299072266,100.877685546875,101.63510131835938	2826.json
9,9,9,9	3,3,3,3	5,5,5,5	0.5898109674453735,0.5898109674453735,0.5898109674453735,0.5745957493782043	107.73165130615234,107.73165130615234,107.73165130615234,107.39887237548828	1947.json
3	1	0	0.0014203677419573069	127.36557006835938	2483.json
3,4,4,4	1,1,1,1	0,0,0,0	0.9550656080245972,0.9260619282722473,0.9260619282722473,0.9260619282722473	132.9956512451172,126.94251251220703,126.94251251220703,126.94251251220703	530.json
3	1	0	0.11374690383672714	128.1235809326172	2039.json
7,7,8,8,8,8,8,8	2,2,2,2,2,2,2,2	3,3,3,3,3,3,3,3	0.02599826641380787,0.024585960432887077,0.03829750791192055,0.03277847543358803,0.03277847543358803,0.03277847543358803,0.03373287245631218,0.03283267468214035	110.99961853027344,110.99961853027344,108.3963394165039,108.08633422851562,108.08633422851562,108.08633422851562,107.9375,107.83845520019531	526.json
3,3,3	1,1,1	0,0,0	0.9270300269126892,0.9270300269126892,0.9270300269126892	132.9956512451172,132.9956512451172,132.9956512451172	403.json
37,37,44,45,45,45,45,45,45,45	17,17,10,10,10,10,10,10,10,10	24,24,13,13,13,13,13,13,13,14	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	69.18938446044922,69.22774505615234,68.72087860107422,68.16167449951172,68.16167449951172,68.16167449951172,68.16167449951172,68.00353240966797,68.00353240966797,67.94281005859375	2736.json
3,3,3	1,1,1	0,0,0	0.008816842921078205,0.010313854552805424,0.053435128182172775	128.60531616210938,128.1235809326172,128.70916748046875	1737.json
3,3	1,1	0,0	0.13451267778873444,0.1439988762140274	129.34671020507812,129.0215301513672	1765.json
16,16,17,19,19,19,19,18,17,17	4,4,4,4,4,4,4,4,4,4	6,6,6,6,10,10,10,10,10,10	0.044839899986982346,0.04277142509818077,0.03949112445116043,0.05149252340197563,0.04554711654782295,0.04834269359707832,0.017303600907325745,0.015619607642292976,0.009169773198664188,0.009160643443465233	91.4404525756836,91.71182250976562,90.31495666503906,88.42715454101562,87.99307250976562,87.77239990234375,87.69593048095703,88.6482925415039,89.69111633300781,89.69111633300781	2569.json
3,3,3	1,1,1	0,0,0	0.43518248200416565,0.43518248200416565,0.43518248200416565	131.43582153320312,131.43582153320312,131.43582153320312	2748.json
24,18,18,18,18,18,18,22,24,23,23	4,3,3,3,3,3,3,4,5,5,5	7,4,4,4,4,4,4,8,7,6,6	0.002942540915682912,0.03992551937699318,0.03992551937699318,0.03992551937699318,0.03995951637625694,0.040796104818582535,0.04164943844079971,0.014370026998221874,0.09622688591480255,0.09195449948310852,0.08363210409879684	85.51647186279297,88.46485900878906,88.46485900878906,88.46485900878906,88.46485900878906,88.36597442626953,88.30056762695312,83.80602264404297,83.42330169677734,84.3189926147461,84.1886978149414	2786.json
3,3,3,3	1,1,1,1	0,0,0,0	0.6988150477409363,0.6988150477409363,0.6988150477409363,0.7152111530303955	130.57513427734375,130.57513427734375,130.57513427734375,130.18594360351562	577.json
35,35,35	11,11,11	14,14,14	0.0,0.0,0.0	74.32354736328125,74.24627685546875,74.22034454345703	44.json
8,8	2,2	2,2	0.1560090035200119,0.15236026048660278	109.6941146850586,109.49869537353516	1285.json
3,3,3,3	1,1,1,1	0,0,0,0	0.8878287672996521,0.7383787631988525,0.7383787631988525,0.7383787631988525	131.60067749023438,131.28770446777344,131.28770446777344,131.28770446777344	250.json
12,12,12,12	3,3,3,3	7,7,7,7	0.012555571272969246,0.009835327044129372,0.009835327044129372,0.009835327044129372	99.30195617675781,98.9467544555664,98.9467544555664,98.9467544555664	927.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.01829412393271923,0.01829412393271923,0.01829412393271923,0.02136559784412384,0.020427724346518517	128.41912841796875,128.41912841796875,128.41912841796875,127.94976043701172,127.94976043701172	2872.json
32,32,32,32,32,32,32,34,35,34,34,34	13,13,13,13,13,13,13,14,15,15,15,15	13,13,13,13,13,13,13,13,15,15,15,15	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	74.694091796875,74.694091796875,74.694091796875,74.694091796875,74.60033416748047,74.57706451416016,74.37178039550781,73.07077026367188,72.02733612060547,72.49693298339844,72.4761734008789,72.53831481933594	2883.json
5,5,5,5,5,6,9,9,9,9,7	2,2,2,2,2,2,3,3,3,3,2	4,4,4,3,4,4,4,4,4,4,2	0.5471296310424805,0.5471296310424805,0.5471296310424805,0.4761764705181122,0.5471296310424805,0.3698437511920929,0.0034445200581103563,0.0034445200581103563,0.0034445200581103563,0.0037272425834089518,1.6755532124079764E-4	118.51115417480469,118.51115417480469,118.51115417480469,118.91511535644531,118.51115417480469,114.09522247314453,104.30156707763672,104.30156707763672,104.30156707763672,104.03549194335938,108.46482849121094	1370.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.015775462612509727,0.015121525153517723,0.015121525153517723,0.015121525153517723,0.015775462612509727	128.0337677001953,128.50894165039062,128.50894165039062,128.50894165039062,128.0337677001953	2228.json
12,12,12,12,12,12	3,3,3,3,3,3	5,5,5,5,5,5	4.557966603897512E-4,4.4059791252948344E-4,4.4059791252948344E-4,4.4059791252948344E-4,4.557966603897512E-4,4.7151948092505336E-4	96.77854919433594,96.90721893310547,96.90721893310547,96.90721893310547,96.77854919433594,96.68731689453125	2271.json
15,15	4,4	6,6	0.21392206847667694,0.21592572331428528	95.38957214355469,95.32069396972656	2140.json
14,14,14,10,10,10	5,5,5,3,3,3	8,8,8,5,5,5	0.5085021257400513,0.5085021257400513,0.5085021257400513,0.837231457233429,0.831608235836029,0.7063823342323303	95.5804443359375,95.5804443359375,95.5804443359375,103.78611755371094,103.6401596069336,103.43932342529297	1937.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.4575638473033905,0.4682304263114929,0.4682304263114929,0.4518732726573944,0.4522964060306549	122.93054962158203,122.93054962158203,122.93054962158203,123.28931427001953,123.02798461914062	225.json
8,8,8,8,8,8,3	2,2,2,2,2,2,1	13,13,13,13,13,13,0	0.1395978480577469,0.1468832939863205,0.1395978480577469,0.1395978480577469,0.1395978480577469,0.1468832939863205,0.8484856486320496	107.72148132324219,107.4850845336914,107.72148132324219,107.72148132324219,107.72148132324219,107.4850845336914,128.50894165039062	2212.json
55,55,69,69,69,69,69,69,69	14,14,19,19,19,19,19,19,19	26,26,34,34,34,34,34,34,34	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	64.12757873535156,64.40667724609375,58.409385681152344,58.225040435791016,58.225040435791016,58.225040435791016,58.25164031982422,58.19240951538086,58.19240951538086	774.json
3	1	0	0.668098509311676	129.81976318359375	719.json
10,10,10,10	3,3,3,3	3,3,3,3	0.37049445509910583,0.375544011592865,0.3806208372116089,0.4056398570537567	103.24458312988281,103.110595703125,103.02997589111328,103.02997589111328	1538.json
17,17,17,17,16	5,5,5,5,4	9,9,9,9,7	0.11733186990022659,0.10040520131587982,0.033419642597436905,0.03768858313560486,0.028640836477279663	91.29544830322266,91.05684661865234,90.95684814453125,91.22508239746094,92.25135803222656	1684.json
13,13,12,12,12,12,12,12,12	4,4,4,4,4,5,5,5,5	6,6,6,6,6,7,7,7,7	0.13906411826610565,0.10703489184379578,0.06410322338342667,0.06410322338342667,0.06410322338342667,0.04460844770073891,0.01977713778614998,0.019056076183915138,0.018360815942287445	97.70780181884766,97.52498626708984,98.34471893310547,98.34471893310547,98.34471893310547,97.65264129638672,97.48213195800781,97.38690948486328,97.33187866210938	786.json
3	1	0	0.04160277545452118	128.70916748046875	1603.json
6,13,13,13,12	2,4,4,4,4	2,4,4,4,4	0.5904055237770081,0.05440796911716461,0.05440796911716461,0.05440796911716461,0.05065887048840523	116.13201141357422,98.53856658935547,98.53856658935547,98.53856658935547,100.05347442626953	1982.json
3,3,3,3	1,1,1,1	0,0,0,0	0.6744489073753357,0.6744489073753357,0.6744489073753357,0.6791518330574036	130.45266723632812,130.45266723632812,130.45266723632812,130.07347106933594	355.json
5,5	1,1	0,0	0.8205085396766663,0.8190063834190369	119.75839233398438,119.57592010498047	359.json
42,42,42	13,13,13	15,15,15	0.0,0.0,0.0	70.24220275878906,70.14884948730469,70.0576171875	47.json
3	1	0	0.5494260191917419	128.62307739257812	2714.json
10,10,10,10,10,10	3,3,3,3,3,3	2,2,2,2,2,2	0.45727309584617615,0.44228652119636536,0.44228652119636536,0.44228652119636536,0.4540335237979889,0.45992714166641235	105.65377044677734,105.65377044677734,105.65377044677734,105.65377044677734,105.34550476074219,105.22864532470703	1907.json
13	3	5	0.020132003352046013	96.7591781616211	70.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7576116323471069,0.7576116323471069,0.7576116323471069,0.7615379691123962	130.57513427734375,130.57513427734375,130.57513427734375,130.18594360351562	564.json
8,8,8,8	2,2,2,2	2,2,2,2	0.8261958360671997,0.8175547122955322,0.8219412565231323,0.7810774445533752	110.30028533935547,110.30028533935547,110.09143829345703,110.09143829345703	2630.json
4	1	0	0.8303518295288086	127.59107971191406	296.json
6,6,3	2,2,2	2,2,2	0.45854124426841736,0.47825151681900024,0.33657073974609375	115.97023010253906,115.56517028808594,127.19049072265625	753.json
3,3	1,1	0,0	0.03618185967206955,0.04212771728634834	129.0255889892578,128.51292419433594	1595.json
6,6	2,2	2,2	0.02226344309747219,0.02405351959168911	114.88836669921875,114.54450988769531	1701.json
14,15,15,15,15	4,4,4,4,4	7,3,3,3,3	0.0,0.0,0.0,0.0,0.0	92.20675659179688,91.01947784423828,91.27867126464844,91.11188507080078,90.90386199951172	3040.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7108280658721924,0.7108280658721924,0.7108280658721924,0.7268258333206177	130.57513427734375,130.57513427734375,130.57513427734375,130.18594360351562	578.json
22,22,4,4,4,4	5,5,1,1,1,1	4,4,0,0,0,0	0.006700617726892233,0.007121558766812086,0.22672685980796814,0.22702649235725403,0.27231109142303467,0.36196833848953247	85.53205871582031,85.50513458251953,121.02215576171875,120.89375305175781,121.28888702392578,121.4874496459961	115.json
