SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
6,6,7,6,6	2,2,2,2,2	2,2,2,2,2	0.308758407831192,0.308758407831192,0.180007204413414,0.5099543333053589,0.4445425570011139	115.41443634033203,115.41443634033203,111.05950927734375,116.9500732421875,117.45413208007812	731.json
3	1	0	0.8143367171287537	132.086669921875	183.json
3,3,3	1,1,1	0,0,0	0.011498869396746159,2.8724223375320435E-4,3.211239818483591E-4	128.41912841796875,127.76728820800781,127.76728820800781	415.json
4,4,4,8,11,12,14,14,14,14,14,14,11,11,3,3,3,3,3,3,3,3,3,3	1,1,1,2,3,3,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1	0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0	0.2543320059776306,0.2543320059776306,0.25172632932662964,0.2962896525859833,0.04146362468600273,0.04311473295092583,0.02929030917584896,0.014038990251719952,0.009484187699854374,0.014038990251719952,0.021350787952542305,0.0210647601634264,0.12764284014701843,0.09878470748662949,0.002587471390143037,2.1333583572413772E-4,4.3637241469696164E-4,5.229881498962641E-4,5.916833761148155E-4,0.003017200855538249,0.0029999148100614548,0.0026509982999414206,0.0017674072878435254,0.8904519081115723	122.28182983398438,122.28182983398438,122.28182983398438,106.6033706665039,99.18892669677734,97.19158172607422,93.79212951660156,93.4194564819336,93.24170684814453,93.4194564819336,93.60279846191406,93.60279846191406,99.29502868652344,99.32532501220703,126.87217712402344,126.49983978271484,126.49983978271484,126.49983978271484,126.49983978271484,127.102294921875,127.102294921875,127.102294921875,127.59099578857422,132.086669921875	1490.json
3,3	1,1	0,0	0.48720782995224,0.48720782995224	130.05470275878906,130.05470275878906	1044.json
4,4	1,1	0,0	0.722312867641449,0.722312867641449	125.02987670898438,125.02987670898438	284.json
3	1	0	0.16520652174949646	131.46876525878906	1182.json
8	1	0	0.009157326072454453	107.20468139648438	526.json
3,3	1,1	0,0	0.43230849504470825,0.5164296627044678	131.43582153320312,131.43582153320312	403.json
12	3	4	0.002060743048787117	99.02873229980469	44.json
4	1	0	0.6937380433082581	125.5254898071289	1285.json
3,3,3,3,3,3,2,2,3,3,4,3,3,6,16,15,17,17,17,17,19,18,12,14,22	1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,5,5,5,5,4,4,4,2	0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,7,7,7,7,7,6,6,6,2	0.7355196475982666,0.6382994651794434,0.6382994651794434,0.6382994651794434,0.6382994651794434,0.6102533340454102,0.485919326543808,0.485919326543808,0.6102533340454102,0.4971027672290802,0.28221386671066284,0.400848388671875,0.3802921772003174,0.7275193333625793,0.1806350201368332,0.17186033725738525,0.017546838149428368,0.015544820576906204,0.015544820576906204,0.015544820576906204,0.0783696323633194,0.028978820890188217,0.2689574062824249,0.18253803253173828,0.2413099706172943	132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,142.4026641845703,142.4026641845703,132.61029052734375,132.61029052734375,127.77642822265625,131.75106811523438,131.91592407226562,116.21601867675781,93.8514404296875,94.72949981689453,92.64834594726562,92.58293914794922,92.58293914794922,92.58293914794922,90.39057159423828,89.91168975830078,98.75458526611328,95.78520202636719,87.62354278564453	250.json
3	1	0	0.7632631063461304	133.59722900390625	1370.json
21,21	7,7	13,13	2.5892932899296284E-4,2.6404231903143227E-4	86.33760070800781,86.25823211669922	225.json
3,4,4,4,4,4,3,4,4,4,9,10,11,13,13,14	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.016368817538022995,0.0179530531167984,0.0179530531167984,0.0179530531167984,0.016428643837571144,0.016428643837571144,0.7609568238258362,0.016428643837571144,1.4993749209679663E-4,1.4993749209679663E-4,8.248785161413252E-4,2.8185054543428123E-4,0.0,0.0,0.0,0.0	128.51292419433594,121.08204650878906,121.08204650878906,121.08204650878906,121.08204650878906,121.08204650878906,130.45266723632812,121.08204650878906,119.40454864501953,119.40454864501953,105.57917785644531,103.2553482055664,101.15193939208984,97.46186828613281,97.35955810546875,95.7269515991211	1457.json
2,2	1,1	0,0	0.9985321760177612,0.9985321760177612	142.4026641845703,142.4026641845703	774.json
6,6,6,6,6	2,2,2,2,2	2,2,2,2,2	0.6381617784500122,0.6391691565513611,0.6391691565513611,0.6391691565513611,0.6381617784500122	116.231689453125,116.50606536865234,116.50606536865234,116.50606536865234,116.231689453125	719.json
3,3,3,3,3,3,3,3,3,2	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.5019418597221375,0.5019418597221375,0.5019418597221375,0.5019418597221375,0.47206759452819824,0.5463459491729736,0.43740883469581604,0.6565647125244141,0.6565647125244141,0.9822442531585693	132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,142.4026641845703	1538.json
14,14,14,14,14,14	3,3,3,3,3,3	3,3,3,3,3,3	0.07880567014217377,0.07880567014217377,0.07880567014217377,0.07880567014217377,0.07880567014217377,0.053305018693208694	96.3370590209961,96.3370590209961,96.3370590209961,96.3370590209961,96.3370590209961,96.10198211669922	786.json
3	1	0	0.6897003650665283	131.28770446777344	47.json
11,10,10,10,4,4	1,1,1,1,1,1	0,0,0,0,0,0	0.08177027851343155,0.0991426557302475,0.21183232963085175,0.21183232963085175,0.7312973737716675,0.7312973737716675	101.94595336914062,103.95829010009766,104.56063842773438,104.56063842773438,123.74861145019531,123.74861145019531	70.json
3,3,3	1,1,1	0,0,0	0.45816442370414734,0.45816442370414734,0.45816442370414734	130.7338104248047,130.7338104248047,130.7338104248047	564.json
