SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	2.1013191144447774E-4,5.338688497431576E-4,4.431109700817615E-4,4.431109700817615E-4,4.431109700817615E-4	127.33940887451172,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594	29850.json
3,3,3,3	1,1,1,1	0,0,0,0	0.748302698135376,0.6569742560386658,0.6569742560386658,0.6569742560386658	132.43687438964844,132.43687438964844,132.43687438964844,132.43687438964844	29342.json
3,3,3,3	1,1,1,1	0,0,0,0	0.48314639925956726,0.47145429253578186,0.47145429253578186,0.47145429253578186	132.43687438964844,132.43687438964844,132.43687438964844,132.43687438964844	29600.json
3,3	1,1	0,0	0.08845119923353195,0.08845119923353195	130.45266723632812,130.45266723632812	4925.json
7,7	2,2	0,0	0.3303212523460388,0.3303212523460388	111.41561126708984,111.41561126708984	4281.json
3,3	1,1	0,0	0.6877428293228149,0.6877428293228149	130.34019470214844,130.34019470214844	6491.json
4,4	1,1	0,0	0.004290466196835041,0.004290466196835041	122.12896728515625,122.12896728515625	2184.json
3,3	1,1	0,0	0.07044252008199692,0.07044252008199692	128.92515563964844,128.92515563964844	4913.json
28,28	9,9	10,10	1.1254409037064761E-4,1.1254409037064761E-4	79.81172943115234,79.81172943115234	148.json
12,45,13,13	1,10,2,2	0,15,2,2	0.09396862238645554,0.0,0.9613285660743713,0.9613285660743713	96.83515930175781,67.30776977539062,96.59210968017578,96.59210968017578	15388.json
3,3,3,3	1,1,1,1	0,0,0,0	4.1024398524314165E-4,0.0,0.0,0.0	127.33940887451172,125.92535400390625,125.92535400390625,127.33940887451172	25636.json
6,6,6	2,2,2	2,2,2	0.263804167509079,0.263804167509079,0.263804167509079	115.63639831542969,115.63639831542969,115.63639831542969	12851.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	2.1013191144447774E-4,0.0,0.0,0.0,0.0	127.33940887451172,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594	29849.json
3,3,3	1,1,1	0,0,0	0.7456930875778198,0.7456930875778198,0.7456930875778198	130.30841064453125,130.30841064453125,130.30841064453125	14758.json
3,3	1,1	0,0	0.1307859569787979,0.1307859569787979	130.18594360351562,130.18594360351562	5081.json
3,3,3,3	1,1,1,1	0,0,0,0	0.40600335597991943,0.6438632607460022,0.6438632607460022,0.6438632607460022	130.85745239257812,132.43687438964844,132.43687438964844,132.43687438964844	18737.json
8,8,8	3,3,3	3,3,3	0.2970755994319916,0.2970755994319916,0.2970755994319916	108.9604263305664,108.9604263305664,108.9604263305664	31073.json
3,3,3	1,1,1	0,0,0	0.9076341986656189,0.9076341986656189,0.9076341986656189	133.59722900390625,133.59722900390625,133.59722900390625	11120.json
11,50,50,50,50	1,5,5,5,5	0,10,10,10,10	0.09527409076690674,0.0,0.0,0.0,0.0	100.6867446899414,67.41246032714844,67.41246032714844,67.41246032714844,67.41246032714844	8474.json
3,3,3	1,1,1	0,0,0	0.1908755749464035,0.1908755749464035,0.1908755749464035	132.43687438964844,132.43687438964844,132.43687438964844	15746.json
3,3	1,1	0,0	0.03271348029375076,0.03271348029375076	128.91311645507812,128.91311645507812	3721.json
