SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
17,15,14,14,14	3,3,3,3,3	6,6,6,6,6	0.09160585701465607,0.08421085774898529,0.06432760506868362,0.10781904309988022,0.10781904309988022	92.09849548339844,94.18359375,95.69361114501953,95.85106658935547,95.85106658935547	26253.json
24,26,26,12,15,19,21,22	6,7,7,4,5,5,5,6	14,16,16,6,9,9,9,11	0.0,0.0,0.0,0.007594211492687464,0.001809847541153431,3.9130731602199376E-4,3.9572708192281425E-4,1.5952519606798887E-4	82.59101867675781,80.70112609863281,80.67149353027344,99.02832794189453,93.49754333496094,88.72734832763672,87.12012481689453,85.67728424072266	4925.json
20,12,14,12,14,12,14,12,14,12,18,18,18,18,23,24,21,29,32,35,38,42,42,42,42,42,42,45,42,42,42,45,44,44,40,40,40,36,36	5,4,5,4,5,4,5,4,5,4,4,4,4,4,6,6,6,7,8,9,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11	11,8,11,8,11,8,11,8,11,8,8,8,8,8,12,12,12,18,19,21,24,28,28,28,28,28,28,32,33,33,33,42,41,41,33,33,33,25,25	0.0013671956257894635,0.008384631015360355,0.0013447211822494864,0.008384631015360355,0.0013447211822494864,0.008384631015360355,0.0013447211822494864,0.008384631015360355,0.0013447211822494864,0.008384631015360355,0.01536601036787033,0.0121914679184556,0.0180412158370018,0.0180412158370018,0.0013941406505182385,0.00253092497587204,0.0037010973319411278,3.2072910107672215E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	88.34165954589844,97.7121353149414,94.11978912353516,97.7121353149414,94.11978912353516,97.7121353149414,94.11978912353516,97.7121353149414,94.11978912353516,97.7121353149414,91.10398864746094,91.10398864746094,91.25664520263672,91.25664520263672,85.18634796142578,84.21142578125,86.3746337890625,79.01688385009766,76.59888458251953,74.17351531982422,71.97879791259766,69.37995147705078,69.30516052246094,69.30516052246094,69.30516052246094,69.25016784667969,69.137939453125,67.1484375,68.23300170898438,68.21758270263672,68.15453338623047,66.55875396728516,66.6535873413086,66.5826187133789,68.7190170288086,68.7190170288086,68.7190170288086,71.81661987304688,71.85430145263672	4281.json
3	1	0	0.8199793100357056	130.45266723632812	6491.json
14,14,14	4,4,4	5,5,5	3.6958022974431515E-4,3.6958022974431515E-4,2.9875454492866993E-4	96.4531478881836,96.4531478881836,96.26940155029297	2184.json
3	1	0	0.6348580121994019	131.9385528564453	4913.json
10,10,10,10,10,10,11,11	3,3,3,3,3,3,4,4	2,2,4,4,4,4,6,6	0.02735149674117565,0.02735149674117565,0.007202039938420057,0.007124532014131546,0.010005560703575611,0.009606779552996159,0.009567863307893276,0.01061285100877285	101.83057403564453,101.83057403564453,102.0062484741211,101.89945220947266,102.07699584960938,102.1869888305664,99.8922348022461,100.05654907226562	148.json
7,8	3,3	4,4	0.4748300015926361,0.4852435886859894	112.31066131591797,109.91943359375	11879.json
3	1	0	0.830978512763977	132.4454345703125	15388.json
37,37,43,42,43,42,62,71,66,66,66	8,8,8,8,8,8,9,11,15,15,15	21,21,21,21,21,21,21,26,36,37,38	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	72.51000213623047,72.14706420898438,69.02969360351562,69.60095977783203,69.02969360351562,69.60095977783203,62.755367279052734,59.121891021728516,58.332820892333984,58.28489685058594,58.225502014160156	25636.json
18,18,18,25,19	3,3,3,4,3	4,4,4,7,4	0.01510150171816349,0.013290949165821075,0.0080269705504179,5.026402068324387E-4,0.007844950072467327	89.89747619628906,89.7768325805664,89.575439453125,82.3143310546875,88.28433990478516	12851.json
39,20,45,20,45,20,45,20,45,20,45,46,50,50,56,55,55,55,56,57,57,93,95,95,104,106,108,108,116,118,118,118,119,119,152,152,161,166,168,170,267,267,267,267	5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,7,7,7,11,11,11,11,13,13,13,13,13,13,17,17,19,20,20,20,34,34,34,34	12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,23,23,23,29,29,29,29,35,35,35,35,35,35,42,42,44,47,47,47,65,65,65,65	3.146782692056149E-4,0.0,1.0700072743929923E-4,0.0,1.0700072743929923E-4,0.0,1.0700072743929923E-4,0.0,1.0700072743929923E-4,0.0,1.0700072743929923E-4,0.0,1.548391446704045E-4,1.4891294995322824E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	76.44355010986328,87.26239013671875,73.38700866699219,87.26239013671875,73.38700866699219,87.26239013671875,73.38700866699219,87.26239013671875,73.38700866699219,87.26239013671875,73.38700866699219,72.959716796875,71.24394989013672,71.05912017822266,68.12136840820312,68.59910583496094,68.59910583496094,68.35640716552734,67.883544921875,67.47227478027344,67.47227478027344,55.157894134521484,54.73482894897461,54.29953384399414,50.33408737182617,49.978797912597656,49.55729675292969,49.50223159790039,47.520668029785156,47.09340286254883,47.09340286254883,47.09340286254883,46.9404411315918,46.94963073730469,40.939483642578125,40.926170349121094,39.31584167480469,38.3671875,38.10409164428711,37.65107345581055,24.419044494628906,24.447362899780273,24.440685272216797,24.430511474609375	24667.json
14,35,36	1,3,3	0,0,0	0.2443869560956955,0.0,0.0	95.2055435180664,73.5260009765625,72.71685028076172	27672.json
6,8,8,8,12,12	2,2,2,2,3,3	2,2,2,2,3,3	0.8914602398872375,0.6894037127494812,0.513325572013855,0.029937181621789932,0.027247237041592598,0.0338774248957634	116.48211669921875,109.13993835449219,108.63074493408203,108.91381072998047,100.60858154296875,100.77908325195312	16260.json
3	1	0	0.7350401878356934	133.59722900390625	14758.json
22,22,24	5,5,6	9,9,12	0.0014779926277697086,0.0014779926277697086,0.0014384478563442826	84.88859558105469,84.88859558105469,83.18274688720703	21187.json
4	1	0	0.790141761302948	122.36370849609375	5081.json
