SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
43,43,43	5,5,5	3,3,3	3.158528998028487E-4,3.158528998028487E-4,3.100629255641252E-4	71.43244171142578,71.43244171142578,71.41539001464844	2184.json
3,3	1,1	0,0	0.23702065646648407,0.23702065646648407	129.14646911621094,129.14646911621094	148.json
19	3	5	0.002495112828910351	86.80948638916016	3721.json
3	1	0	0.3988772928714752	130.70933532714844	731.json
31,31,31,36,38,39	6,6,6,7,7,7	8,10,10,10,10,10	2.3595584207214415E-4,1.913070591399446E-4,2.3298358428291976E-4,0.0,0.0,0.0	79.11570739746094,78.83882904052734,78.95378875732422,75.72191619873047,74.84603118896484,74.3720932006836	183.json
5,5,5,6	1,1,1,1	0,0,0,0	0.6606290936470032,0.6606290936470032,0.6606290936470032,0.3759617507457733	118.5140380859375,118.5140380859375,118.5140380859375,114.2916030883789	1926.json
3	1	0	0.5154873132705688	131.1535186767578	3198.json
4,4	1,1	0,0	0.4689245820045471,0.07904423028230667	123.55950164794922,123.55950164794922	3663.json
11,11,14	4,4,5	4,4,6	0.08674289286136627,0.08674289286136627,0.11152417212724686	102.94024658203125,102.94024658203125,97.30631256103516	415.json
20,21,26,26,26,26	2,2,4,4,4,4	2,2,4,4,4,4	0.01538369432091713,0.01617828756570816,0.20775526762008667,0.20775526762008667,0.16865339875221252,0.16865339875221252	88.0633544921875,87.27295684814453,83.91193389892578,83.91193389892578,83.88430786132812,83.88430786132812	3421.json
13,13,13	5,5,5	6,6,6	0.04115055501461029,0.04115055501461029,0.04115055501461029	95.76846313476562,95.76846313476562,95.76846313476562	431.json
10,14,14,14,14,17,15,18	1,2,2,2,2,3,3,3	0,2,2,2,2,4,4,4	0.0017374479211866856,0.002735086251050234,0.002779985312372446,0.007024333346635103,0.005160006694495678,0.0036998074501752853,0.04287346452474594,0.011230329051613808	102.11968994140625,95.08272552490234,95.08272552490234,95.27521514892578,95.13661193847656,90.3497085571289,92.9044418334961,89.18985748291016	3796.json
2,2	1,1	0,0	0.9039472937583923,0.9039472937583923	137.7220458984375,137.7220458984375	3575.json
6,6,6,6	2,2,2,2	2,2,2,2	0.04576292261481285,0.04576292261481285,0.04576292261481285,0.04576292261481285	115.71755981445312,115.71755981445312,115.71755981445312,115.71755981445312	1490.json
3,3	1,1	0,0	0.18793904781341553,0.18793904781341553	133.59722900390625,133.59722900390625	3018.json
11,11	4,4	2,2	0.10268419235944748,0.10268419235944748	102.0830307006836,102.0830307006836	1044.json
9,9,9,9	3,3,3,3	4,4,4,4	0.05032624676823616,0.05032624676823616,0.05032624676823616,0.05032624676823616	106.27698516845703,106.27698516845703,106.27698516845703,106.27698516845703	333.json
20,20	3,3	7,7	0.0028339046984910965,0.0028351566288620234	88.36460876464844,88.51600646972656	284.json
9,13,23,23,23	2,2,2,2,2	2,2,2,2,2	0.09110875427722931,0.04543342813849449,0.012175830081105232,0.012175830081105232,0.012175830081105232	104.7842788696289,98.24876403808594,89.00594329833984,89.00594329833984,89.00594329833984	2514.json
3	1	0	0.3615129888057709	131.91592407226562	2605.json
4,4,4	1,1,1	0,0,0	0.10789437592029572,0.10789437592029572,0.10789437592029572	122.5160903930664,122.5160903930664,122.5160903930664	2870.json
