SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4,4	1,1	0,0	0.13021220266819,0.13021220266819	122.3560791015625,122.3560791015625	2184.json
19	5	8	0.0019066525856032968	88.14132690429688	148.json
15	4	0	0.007533790543675423	94.30875396728516	183.json
24,23,23,23	5,5,5,5	8,8,8,8	0.0,0.0,0.0,0.0	79.91828155517578,80.53070831298828,80.53070831298828,80.56832122802734	1926.json
3	1	0	1.5329157758969814E-4	126.36177825927734	1490.json
8,8,8,8,8,8,8	2,2,2,2,2,2,2	0,0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	105.6552963256836,105.57743072509766,105.33221435546875,105.33221435546875,105.6552963256836,105.6552963256836,105.33221435546875	1044.json
3,3,3,3,3,3,4,4	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.9689236879348755,0.1980045586824417,0.20714353024959564,0.0813448578119278,0.0813448578119278,0.06628940254449844,0.025845125317573547,0.025855358690023422	130.621337890625,129.0215301513672,129.0215301513672,128.91311645507812,128.91311645507812,128.91311645507812,123.19084167480469,123.19084167480469	333.json
4,3,3	1,1,1	0,0,0	0.0133760254830122,7.727647316642106E-4,7.822740590199828E-4	123.19084167480469,127.67500305175781,127.67500305175781	2605.json
4,4,5,11,11,11,11,12,12,12,12,12,12,12	1,1,1,3,3,3,3,4,4,4,4,3,3,3	0,0,0,2,2,2,2,2,2,2,2,0,0,0	0.0,1.1825704132206738E-4,7.276406977325678E-4,0.0446118526160717,0.0446118526160717,0.04197988659143448,0.03298246115446091,0.10595936328172684,0.10595936328172684,0.09089542925357819,0.11127222329378128,0.11887634545564651,0.1551520675420761,0.13215544819831848	121.4874496459961,121.83938598632812,117.67395782470703,101.42052459716797,101.42052459716797,101.42052459716797,101.21717071533203,98.6800308227539,98.6800308227539,98.3751449584961,98.50848388671875,99.30610656738281,99.49429321289062,99.19511413574219	2311.json
22	3	0	0.0	83.59871673583984	2326.json
4,5,3	1,1,1	0,0,0	0.0,0.0,8.01710004452616E-4	120.29814910888672,115.07886505126953,127.51214599609375	2483.json
4	1	0	0.3191867172718048	123.10436248779297	530.json
5,5,6,5	1,1,1,1	0,0,0,0	0.0,0.0,0.0,0.0	116.13312530517578,116.13312530517578,113.17951202392578,116.13312530517578	2039.json
4,4,4	1,1,1	0,0,0	0.5930111408233643,0.5930111408233643,0.5930111408233643	123.94486236572266,123.94486236572266,123.94486236572266	526.json
3,3	1,1	0,0	0.0,0.0	124.64512634277344,124.18195343017578	1737.json
5	1	0	0.0388149619102478	118.37519836425781	1765.json
3	1	0	0.7757787704467773	132.25152587890625	2569.json
3,3	1,1	0,0	0.05578306317329407,0.11067759245634079	132.086669921875,132.9956512451172	44.json
3	1	0	0.9409566521644592	133.59722900390625	250.json
10,9	1,1	0,0	0.8862597346305847,0.7247381210327148	104.75129699707031,106.45813751220703	927.json
3	1	0	0.0	124.58214569091797	1370.json
7,4,4	2,2,2	2,3,5	0.15465198457241058,0.014759181067347527,0.004158989060670137	110.45449829101562,119.95356750488281,118.98543548583984	2271.json
7	1	0	3.6754098255187273E-4	111.01609802246094	1937.json
4	1	0	0.05917994678020477	124.91740417480469	1538.json
3,3,3	1,1,1	0,0,0	0.8915667533874512,0.8975938558578491,0.8975938558578491	129.58164978027344,129.58164978027344,129.58164978027344	1684.json
4,4	1,1	0,0	0.4611567258834839,0.20886920392513275	124.81353759765625,124.26470947265625	1603.json
12,13,13	4,4,4	5,8,8	0.021062012761831284,0.013772712089121342,0.029867077246308327	98.92473602294922,96.85211181640625,96.9676742553711	1975.json
3	1	0	0.688104510307312	132.79563903808594	1982.json
6	1	0	0.0	112.1324691772461	355.json
23,23,28,28,22,22,22,22,22	4,4,5,5,4,4,4,4,4	8,8,10,10,8,8,8,8,8	2.973229275085032E-4,1.3898740871809423E-4,2.7835226501338184E-4,3.919254522770643E-4,0.002588609466329217,0.0025799148716032505,0.0022748687770217657,0.0025799148716032505,0.0022748687770217657	82.44265747070312,82.02037811279297,78.25923156738281,78.42357635498047,83.74496459960938,83.74496459960938,83.68750762939453,83.74496459960938,83.68750762939453	47.json
3,3	1,1	0,0	0.9345443248748779,0.9345443248748779	133.59722900390625,133.59722900390625	2714.json
