SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4	1	0	0.7312169075012207	127.59107971191406	26253.json
8,8,8,8,8,8,8,9	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	0.07284252345561981,0.07284252345561981,0.062087565660476685,0.06989176571369171,0.03489595279097557,0.057869356125593185,0.013286118395626545,0.005007184576243162	107.06063079833984,107.06063079833984,107.36992645263672,107.06063079833984,107.10320281982422,107.32369995117188,106.80692291259766,104.42105102539062	29342.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.26107361912727356,0.21397556364536285,0.21173174679279327,0.21397556364536285,0.12701763212680817	124.91740417480469,124.91740417480469,125.5254898071289,124.91740417480469,125.15235137939453	4925.json
14	2	0	0.15319222211837769	98.39432525634766	4281.json
4,4,4,4	1,1,1,1	0,0,0,0	0.32238125801086426,0.4079543352127075,0.32238125801086426,0.32542577385902405	125.02987670898438,125.64796447753906,125.02987670898438,125.02987670898438	4913.json
14,14,15,3,15,15,15,15,22,22	3,3,3,1,3,3,3,3,3,3	4,4,4,0,4,4,4,4,4,4	0.02414596639573574,0.02414596639573574,0.007388542406260967,0.0,0.007388542406260967,0.004291686695069075,0.004291686695069075,0.004291686695069075,0.005581221543252468,0.005616877693682909	96.11531066894531,96.11531066894531,94.43184661865234,126.31071472167969,94.43184661865234,94.06766510009766,94.06766510009766,94.06766510009766,87.76305389404297,87.76305389404297	148.json
3,3,3,3,3,3,3	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0.9829869270324707,0.9829869270324707,0.6250814199447632,0.7128821015357971,0.7128821015357971,0.7128821015357971,0.7885110974311829	131.28770446777344,131.28770446777344,130.99049377441406,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	11879.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.3673752546310425,0.3673752546310425,0.38752251863479614,0.43205875158309937,0.43205875158309937	129.61952209472656,129.61952209472656,129.61952209472656,129.61952209472656,129.61952209472656	15388.json
3,10,10	1,3,3	0,2,2	9.843689622357488E-4,0.0012775447685271502,0.0010474608279764652	126.07219696044922,101.47245025634766,101.47245025634766	12851.json
3	1	0	0.024511879310011864	129.69032287597656	29849.json
9	3	2	0.026231758296489716	106.58649444580078	27672.json
3	1	0	0.27328336238861084	133.59722900390625	14758.json
3,3,3	1,1,1	0,0,0	0.0,0.0,0.0	125.80547332763672,125.3664321899414,125.3664321899414	8739.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7549324035644531,0.7549324035644531,0.7549324035644531,0.7549324035644531	130.57513427734375,130.57513427734375,130.57513427734375,130.57513427734375	21187.json
6,6	2,3	2,4	0.5202425718307495,0.6327291131019592	115.643310546875,114.7307357788086	5081.json
3,3,5,5,6	1,1,2,2,2	0,0,2,2,2	0.14856840670108795,0.14856840670108795,0.04811832308769226,0.06349512189626694,0.11244826763868332	131.43582153320312,131.43582153320312,119.930908203125,120.05338287353516,116.13532257080078	18737.json
6,6,7	2,2,2	2,2,2	0.20562124252319336,0.20562124252319336,0.177266925573349	116.50606536865234,116.50606536865234,112.83319091796875	26730.json
4	1	0	0.4633762240409851	125.52845764160156	22515.json
3	1	0	0.7177185416221619	131.75106811523438	11120.json
8,11,11	2,3,3	2,7,7	0.9284749627113342,0.4190581440925598,0.39970532059669495	110.66998291015625,102.5025863647461,102.5025863647461	4428.json
3,3,3	1,1,1	0,0,0	0.14062638580799103,0.14062638580799103,0.14062638580799103	130.18594360351562,130.18594360351562,130.18594360351562	8474.json
3,3,3,3	1,1,1,1	0,0,0,0	0.0,0.0,0.0,0.0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	15746.json
3,3,5	1,1,2	0,0,2	0.9455033540725708,0.9455033540725708,0.9333028197288513	131.46876525878906,131.46876525878906,120.73746490478516	14017.json
9,13	3,4	5,7	0.3833445608615875,0.02393612079322338	105.11917877197266,96.21073913574219	8365.json
4,4,4,4	1,1,1,1	0,0,0,0	0.5910362005233765,0.5910362005233765,0.5910362005233765,0.5910362005233765	124.361083984375,124.361083984375,124.361083984375,124.361083984375	731.json
3	1	0	0.7150923013687134	129.0215301513672	4623.json
3,3,3	1,1,1	0,0,0	0.09769466519355774,0.09769466519355774,0.09769466519355774	129.57785034179688,129.57785034179688,129.57785034179688	183.json
2	1	0	0.9957907199859619	140.82913208007812	26158.json
24	5	8	4.631394403986633E-4	86.30613708496094	29569.json
3	1	0	0.7690682411193848	131.1385955810547	1808.json
24,24,22,22,22,22,22,20,21,20,20,20,20,20,20	5,5,5,5,5,5,5,5,5,5,5,5,5,5,5	5,5,5,5,5,5,5,2,2,4,4,4,4,4,4	0.03232809901237488,0.03232809901237488,0.02045290917158127,0.021759288385510445,0.021759288385510445,0.02188628725707531,0.02188628725707531,0.03829029202461243,0.016819637268781662,0.017350714653730392,0.016757208853960037,0.013587757013738155,0.014628801494836807,0.010625090450048447,0.008526635356247425	84.08414459228516,84.08414459228516,85.06709289550781,85.34825134277344,85.34825134277344,85.46871948242188,85.46871948242188,88.36156463623047,87.47116088867188,88.31132507324219,88.31132507324219,88.13350677490234,88.13350677490234,88.13350677490234,87.83853912353516	11890.json
3,3,3,3	1,1,1,1	0,0,0,0	0.5137103199958801,0.5137103199958801,0.5137103199958801,0.5422158241271973	130.57513427734375,130.57513427734375,130.57513427734375,130.57513427734375	17807.json
65,65,65,65,65,65,65,63,63,63,63,64,70,71,71,66	7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8	17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	61.38227844238281,61.38227844238281,61.42472839355469,61.467529296875,61.02798080444336,61.02798080444336,61.08604431152344,61.56215286254883,61.605262756347656,61.605262756347656,61.76163101196289,61.4212760925293,59.998291015625,59.64159393310547,59.64159393310547,60.715389251708984	22087.json
10,10,14,13,13,15,14,21,21,21,21,25,25	3,3,4,4,4,4,4,5,5,5,5,5,5	5,5,6,6,6,6,6,8,8,8,8,8,8	0.789615273475647,0.789615273475647,0.5865489840507507,0.633786678314209,0.5796377658843994,0.08621595799922943,0.47506317496299744,0.023448683321475983,0.023448683321475983,0.02926684357225895,0.02848109044134617,0.015021774917840958,0.015939755365252495	105.90748596191406,105.90748596191406,98.32437133789062,100.13748931884766,100.13748931884766,95.65815734863281,98.32437133789062,87.95867156982422,87.95867156982422,88.155029296875,88.155029296875,84.77742767333984,84.26481628417969	29275.json
12,12	4,4	8,7	0.05926450714468956,0.08140643686056137	101.10539245605469,101.76776885986328	20463.json
22,22,22,22,22,22,22	7,7,7,7,7,7,7	11,11,11,11,11,11,11	0.007370371837168932,0.007370371837168932,0.007370371837168932,0.007370371837168932,0.008460843935608864,0.007879256270825863,0.007463960442692041	84.89888763427734,84.89888763427734,84.89888763427734,84.89888763427734,85.0794448852539,85.04581451416016,84.89888763427734	18288.json
3,3,3	1,1,1	0,0,0	0.7670972347259521,0.7670972347259521,0.7670972347259521	130.99049377441406,130.99049377441406,130.99049377441406	26961.json
3	1	0	0.8609069585800171	132.4454345703125	15625.json
3,3,3,3	1,1,1,1	0,0,0,0	0.49806031584739685,0.49806031584739685,0.49806031584739685,0.6706436276435852	129.93223571777344,129.93223571777344,129.93223571777344,130.57513427734375	9386.json
3	1	0	0.5239872932434082	129.81976318359375	1926.json
5	1	0	0.02438940480351448	117.61241912841797	17137.json
3	1	0	0.329301655292511	133.59722900390625	27954.json
6,6,6,8	3,3,3,3	5,5,5,2	0.6355820298194885,0.6355820298194885,0.6355820298194885,0.4204727113246918	114.25296783447266,114.25296783447266,114.25296783447266,111.244873046875	28737.json
3,3,3	1,1,1	0,0,0	0.05679893493652344,0.05679893493652344,0.05679893493652344	128.31268310546875,128.31268310546875,128.31268310546875	28824.json
