SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.35490167140960693	130.07347106933594	4281.json
3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0.6709058284759521,0.6709058284759521,0.6709058284759521,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.856850802898407,0.856850802898407,0.787403404712677,0.787403404712677	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	6491.json
3	1	0	0.22849605977535248	129.34671020507812	2184.json
3,3	1,1	0,0	0.896574854850769,0.9495536088943481	132.4454345703125,132.4454345703125	148.json
4,4,4,4,4,4	1,1,1,1,1,1	0,0,0,0,0,0	1.8225598614662886E-4,1.8225598614662886E-4,1.8225598614662886E-4,0.003730372991412878,0.0048139928840100765,0.0048139928840100765	121.90362548828125,121.90362548828125,121.90362548828125,121.62247467041016,121.62247467041016,121.62247467041016	5081.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	0.005118012893944979,0.005118012893944979,0.005238981917500496,0.005238981917500496,0.005238981917500496,0.005238981917500496	128.1235809326172,128.1235809326172,127.42049407958984,127.42049407958984,127.42049407958984,127.42049407958984	4428.json
3,3,3,3,3,3	1,1,1,1,1,1	0,0,0,0,0,0	1.059714995790273E-4,1.059714995790273E-4,1.1167964112246409E-4,1.1159029236296192E-4,1.1159029236296192E-4,1.1159029236296192E-4	127.17938995361328,127.17938995361328,126.56407165527344,126.78941345214844,126.78941345214844,126.78941345214844	3721.json
5,5	1,1	0,0	0.4884646534919739,0.4884646534919739	119.41529846191406,119.41529846191406	183.json
8,8	3,3	3,3	0.5673620104789734,0.5673620104789734	110.5118637084961,110.5118637084961	5782.json
14,14,14	5,5,5	5,5,5	5.749081610701978E-4,4.7167891170829535E-4,4.7167891170829535E-4	94.02119445800781,94.02119445800781,94.02119445800781	6513.json
36,36	11,11	15,15	0.0,0.0	75.07157135009766,75.07157135009766	5586.json
3,12,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,7,7,7,7	1,4,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,3,3,3,3	0,4,13,13,15,15,15,15,15,15,15,7,7,7,9,9,9,5,5,5,5	0.996738851070404,0.3437538743019104,8.378705242648721E-4,7.908069528639317E-4,4.983830731362104E-4,4.087747656740248E-4,3.7571214488707483E-4,3.7571214488707483E-4,3.8003368536010385E-4,3.8003368536010385E-4,4.544616094790399E-4,0.005001850891858339,0.005299204960465431,0.006559236440807581,0.0017090414185076952,0.001484702923335135,0.001484702923335135,0.25691279768943787,0.23566439747810364,0.23566439747810364,0.502117395401001	130.07347106933594,99.19932556152344,81.70814514160156,81.70814514160156,81.47956848144531,81.35037994384766,81.25238037109375,81.25238037109375,81.25238037109375,81.25238037109375,81.25238037109375,87.39385986328125,87.39385986328125,87.54247283935547,86.88336944580078,86.69071197509766,86.69071197509766,108.54080200195312,108.54080200195312,108.54080200195312,109.04063415527344	6428.json
4	1	0	0.014302220195531845	119.81270599365234	6348.json
3,3,3	1,1,1	0,0,0	1.059714995790273E-4,1.1062722478527576E-4,1.1062722478527576E-4	127.17938995361328,126.78941345214844,126.78941345214844	3198.json
3	1	0	0.41005846858024597	130.7338104248047	3663.json
3,3,3	1,1,1	0,0,0	0.9026142954826355,0.9054906368255615,0.9658432006835938	129.47398376464844,129.47398376464844,130.99049377441406	415.json
3	1	0	0.3691707253456116	130.07347106933594	4040.json
5,9	2,3	2,4	0.15905943512916565,0.15891414880752563	119.08892822265625,107.03191375732422	3421.json
